SL. No.,States/U.Ts,Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
6,Tamil Nadu,Thanjavur Town,2,NA,NA,NA,NA,3,57,153,24,2,NA,1,631
7,Tamil Nadu,Tiruchirapalli Town,15,NA,1,6,NA,15,277,922,43,37,36,22,2344
8,Tamil Nadu,Dindigul,2,NA,NA,12,NA,1,65,138,49,NA,11,1,556
9,Tamil Nadu,Tirunelveli Town,14,NA,3,7,NA,7,69,158,24,9,2,3,1213
10,Tamil Nadu,Tuticorin Town,2,NA,3,4,NA,2,38,101,17,4,8,3,882
11,Tamil Nadu,Nagercoil Town,NA,NA,NA,1,NA,2,85,193,73,8,11,NA,667
12,Tamil Nadu,Salem Town,12,NA,NA,12,NA,NA,174,339,117,13,39,5,1727
13,Tamil Nadu,Kancheepuram Town,NA,NA,NA,NA,NA,NA,71,112,5,2,8,NA,383
14,Tamil Nadu,Kumbakonam Town,4,NA,1,1,NA,NA,91,149,19,8,9,1,702
15,Tamil Nadu,Trippur,15,NA,1,NA,1,7,84,193,144,12,29,4,902
16,Tamil Nadu,Erode,6,NA,NA,5,NA,1,88,342,56,6,8,3,773
17,Tamil Nadu,Singanallur,1,NA,NA,NA,2,2,25,40,25,5,2,NA,140
1,Uttar Pradesh,Meerut,204,38,31,133,86,247,811,2022,351,160,150,NA,9641
2,Uttar Pradesh,Bulandshahar,160,46,29,67,119,181,582,1633,319,103,55,NA,4436
3,Uttar Pradesh,Muzaffarnagar,122,54,27,72,41,109,363,655,134,83,36,NA,2759
4,Uttar Pradesh,Saharanpur,129,38,21,77,44,118,452,969,174,112,60,NA,3408
5,Uttar Pradesh,Ghaziabad,165,30,40,84,63,211,685,1571,258,132,70,NA,4694
6,Uttar Pradesh,Varanasi,106,55,11,45,153,124,603,1154,266,156,88,NA,5149
7,Uttar Pradesh,Mirzapur,70,41,20,25,48,46,253,445,93,58,26,NA,1869
8,Uttar Pradesh,Jaunpur,48,5,5,12,83,65,380,460,175,24,24,NA,2023
9,Uttar Pradesh,Lucknow,160,32,43,124,121,238,1141,3584,371,324,242,NA,8572
10,Uttar Pradesh,Kanpur City,164,25,51,187,103,288,950,2645,1336,309,296,NA,6752
11,Uttar Pradesh,Allahabad,242,60,34,73,111,250,754,1736,316,140,151,NA,5740
12,Uttar Pradesh,Etawah,120,28,12,64,88,256,546,690,257,66,44,NA,3265
13,Uttar Pradesh,Fatehgarh,174,42,17,94,90,213,458,776,122,88,34,NA,3174
14,Uttar Pradesh,Bareilly,177,32,26,102,85,195,728,1031,171,137,83,NA,4159
15,Uttar Pradesh,Shahjahanpur,155,60,25,55,82,199,460,1088,130,78,31,NA,3331
16,Uttar Pradesh,Agra,171,32,40,192,178,447,1249,2636,5598,202,148,NA,8042
17,Uttar Pradesh,Mathura,115,24,25,60,117,185,483,671,296,56,50,NA,2987
18,Uttar Pradesh,Aligarh,184,37,31,116,183,234,739,1439,337,112,71,NA,5033
19,Uttar Pradesh,Gorakhpur,130,39,23,87,192,148,563,987,313,81,113,NA,4238
20,Uttar Pradesh,Bahraich,85,36,32,86,135,116,505,985,232,76,88,NA,3284
21,Uttar Pradesh,Jhansi,58,24,31,16,49,89,400,487,158,55,38,NA,2192
22,Uttar Pradesh,Dehradun,63,14,8,51,29,70,252,516,131,121,39,NA,2222
23,Uttar Pradesh,Moradabad,266,30,52,88,139,298,632,765,328,140,150,NA,4536
24,Uttar Pradesh,Rampur,78,19,15,34,44,86,284,646,59,39,30,NA,2075
