SL. No.,States/U.Ts.,Districts,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
8,Orissa,Dhenkanal,38,2,8,9,10,38,341,770,171,23,12,NA,2839
9,Orissa,Sundargarh,58,5,18,5,10,32,212,301,47,13,6,NA,1578
10,Orissa,Balangir,26,1,10,7,7,24,276,469,193,19,8,NA,1958
11,Orissa,Keonjhar,33,6,9,7,6,10,166,317,45,8,19,NA,1504
12,Orissa,Phulbani,32,2,7,12,8,24,162,230,66,12,19,NA,1444
13,Orissa,Mayurbhanj,51,6,15,5,22,35,203,437,101,25,10,1,1955
14,Orissa,Kalahandi,27,9,6,8,20,30,317,368,130,20,10,NA,1832
15,Orissa,Rourkela,11,NA,12,13,4,41,177,405,150,16,15,NA,1898
16,Orissa,Govt. Rly. Police Cuttack,NA,NA,1,1,1,10,19,248,20,3,9,NA,382
17,Orissa,Govt. Rly. Police Rourk,2,NA,1,1,4,21,29,229,16,NA,1,NA,383
18,Orissa,Bhubaneswar,7,NA,8,11,3,60,317,833,55,43,33,1,2471
1,Punjab,Jalandhar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Punjab,Amritsar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Punjab,Gurdaspur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Punjab,Hoshiarpur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Punjab,Kapurthala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Punjab,Patiala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Punjab,Ludhiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Punjab,Ropar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Punjab,Sangrur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Punjab,Ferozepur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Punjab,Bhatinda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Punjab,Faridkot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Rajasthan,Ajmer,50,1,13,63,2,40,303,452,362,101,117,2,2938
2,Rajasthan,Bhilwara,25,NA,12,130,NA,49,289,412,532,96,115,NA,2962
3,Rajasthan,Nagour,42,1,9,36,NA,63,136,335,477,22,74,NA,2601
4,Rajasthan,Jaipur City,40,2,13,100,3,77,413,1356,649,84,202,4,5137
5,Rajasthan,Jaipur Rural,51,NA,17,64,11,43,321,698,1217,47,75,NA,4062
6,Rajasthan,Jhunjhunu,29,3,12,19,2,20,84,217,539,26,43,NA,1734
7,Rajasthan,Sikar,28,1,9,23,1,24,129,236,567,20,69,NA,1764
8,Rajasthan,Tonk,19,1,5,34,4,15,143,241,344,28,36,NA,1748
9,Rajasthan,Bikaner,22,NA,11,21,8,23,173,276,259,12,55,NA,1786
10,Rajasthan,Churu,28,5,16,13,NA,17,138,214,295,18,87,NA,1809
11,Rajasthan,Ganganagar,108,3,29,57,3,30,255,335,96,43,141,NA,3394
12,Rajasthan,Bharatpur,50,2,11,47,11,44,196,631,754,23,77,NA,3096
13,Rajasthan,Alwar,68,2,15,55,6,67,279,846,874,36,125,NA,3614
14,Rajasthan,Sawai Madhopur,50,1,29,50,10,40,266,489,831,31,52,NA,3078
15,Rajasthan,Dholpur,32,3,16,34,11,39,93,194,312,14,18,NA,1199
16,Rajasthan,Jodhpur,37,2,14,52,1,99,338,541,404,48,142,2,3166
17,Rajasthan,Jalore,16,NA,2,15,2,31,61,136,109,48,17,NA,1131
18,Rajasthan,Jaisalmer,1,NA,1,5,1,7,37,63,38,3,28,NA,422
19,Rajasthan,Barmer,19,NA,8,33,2,49,118,290,127,29,52,NA,1663
20,Rajasthan,Pali,27,NA,7,50,1,23,176,319,335,47,41,1,2409
21,Rajasthan,Sirohi,13,NA,6,12,3,17,110,88,83,4,21,NA,827
22,Rajasthan,Kota City,10,1,9,58,3,42,197,264,145,34,48,NA,1889
23,Rajasthan,Kota Rural,37,7,30,74,8,33,284,321,364,34,53,NA,2970
24,Rajasthan,Bundi,19,1,10,40,NA,18,161,240,160,31,46,NA,1547
25,Rajasthan,Jhalawar,31,1,25,56,2,51,230,218,335,28,50,NA,1901
26,Rajasthan,Udaipur,69,16,18,181,4,79,566,646,969,75,176,NA,5272
27,Rajasthan,Banswara,26,NA,14,57,6,28,183,211,409,38,15,NA,1834
28,Rajasthan,Chittorgarh,32,3,17,132,1,38,308,500,616,39,147,NA,3818
29,Rajasthan,Dungarpur,15,2,NA,28,NA,11,75,106,192,13,21,NA,954
30,Rajasthan,G.R.P.,11,NA,1,6,2,14,6,662,34,3,14,NA,947
1,Sikkam,North District,NA,NA,NA,NA,NA,NA,4,6,NA,1,1,NA,19
2,Sikkam,East District,2,NA,7,5,NA,4,38,77,7,4,1,NA,211
3,Sikkam,West District,NA,NA,NA,NA,NA,1,2,5,NA,1,NA,NA,21
4,Sikkam,South District,1,NA,NA,NA,1,NA,2,15,NA,1,NA,NA,32
1,Tamil Nadu,Chingleput East,46,NA,9,35,13,17,593,1506,567,51,43,3,5813
2,Tamil Nadu,Chinglepat West,33,3,12,27,1,6,532,1227,507,14,34,NA,4757
3,Tamil Nadu,South Arcot,87,1,10,65,7,21,73,1666,920,346,40,9,9664
4,Tamil Nadu,North Arcot,100,NA,25,48,8,44,940,2132,1033,67,81,11,8597
5,Tamil Nadu,Dharmapuri,73,NA,5,10,1,8,276,490,247,28,16,2,2913
6,Tamil Nadu,Salem,137,NA,6,36,2,6,608,983,415,24,57,10,5623
7,Tamil Nadu,Coimbatore Urban,44,NA,2,18,2,20,457,1436,335,89,90,17,4987
8,Tamil Nadu,Coimbatore Rural,60,NA,9,31,7,12,284,638,440,26,41,4,3117
9,Tamil Nadu,Periyar,80,1,5,34,3,7,370,822,309,33,28,7,3760
10,Tamil Nadu,The Nilriris,8,NA,6,7,NA,6,159,239,140,11,8,5,1374
11,Tamil Nadu,Tiruchirapalli,118,NA,9,45,2,26,821,2089,448,64,71,3,8424
12,Tamil Nadu,Thanjavur East,46,NA,10,41,NA,5,611,1061,366,78,26,NA,5706
13,Tamil Nadu,Thanjavur West,84,NA,5,43,1,16,643,1116,550,78,42,5,5720
14,Tamil Nadu,Pudukkottai,28,NA,6,30,NA,2,260,431,466,47,17,6,2630
15,Tamil Nadu,Madurai South,69,NA,8,48,2,12,388,1129,542,52,87,36,5655
16,Tamil Nadu,Madurai North,66,NA,14,45,NA,11,443,1046,778,53,45,6,5643
17,Tamil Nadu,Ramnad East,54,NA,11,27,3,6,366,728,529,28,20,10,3642
18,Tamil Nadu,Ramnad West,44,2,6,14,2,5,266,748,244,46,21,11,3289
19,Tamil Nadu,Tirunelveli East,75,NA,18,34,1,19,377,644,131,36,20,9,3500
20,Tamil Nadu,Tirunelveli West,76,1,21,47,1,35,357,921,188,45,32,13,4397
21,Tamil Nadu,Kanyakummari,38,NA,4,4,NA,10,272,382,510,40,24,9,3080
22,Tamil Nadu,"Railway Police, Trichy & Madras",2,NA,NA,NA,1,2,9,449,60,26,6,NA,862
23,Tamil Nadu,Madras City Police,43,4,21,20,1,58,456,4230,137,129,312,17,10561
1,Tripura,South Tripura,23,NA,4,NA,78,79,171,215,106,3,2,NA,1217
2,Tripura,West Tripura,63,8,7,28,132,92,764,823,282,15,16,NA,3398
3,Tripura,North Tripura,32,8,8,22,73,83,254,310,104,19,3,2,1410
1,Uttar Pradesh,Meerut,204,38,31,133,86,247,811,2022,351,160,150,NA,9641
2,Uttar Pradesh,Bulandshahar,160,46,29,67,119,181,582,1633,319,103,55,NA,4436
3,Uttar Pradesh,Muzaffaranagar,122,54,27,72,41,109,363,655,134,83,36,NA,2756
4,Uttar Pradesh,Saharanpur,129,38,21,77,44,118,452,969,174,112,60,NA,3408
5,Uttar Pradesh,Ghaziabad,165,30,40,84,63,211,685,1571,238,132,70,NA,4694
6,Uttar Pradesh,Varanasi,106,55,11,45,153,124,603,1154,266,156,88,NA,5149
7,Uttar Pradesh,Mirzapur,70,41,20,25,48,46,253,445,93,58,26,NA,1869
8,Uttar Pradesh,Ghazipur,44,4,NA,13,48,27,233,294,85,39,16,NA,1226
9,Uttar Pradesh,Jaunpur,48,5,5,12,83,65,380,460,175,24,24,NA,2023
10,Uttar Pradesh,Ballia,56,19,5,27,37,39,370,494,156,56,38,NA,1865
11,Uttar Pradesh,Lucknow,160,32,43,124,121,238,1141,3584,371,324,212,NA,8572
12,Uttar Pradesh,Sitapur,239,71,29,74,252,239,27,1238,207,66,51,NA,4006
13,Uttar Pradesh,Hardoi,135,85,37,62,63,297,528,782,173,55,47,NA,3305
14,Uttar Pradesh,kheri,122,63,15,64,41,172,323,854,133,45,24,NA,2620
15,Uttar Pradesh,Raibarali,48,32,10,18,47,120,361,344,120,30,15,NA,1702
16,Uttar Pradesh,Unnao,153,44,23,37,69,155,472,507,105,44,36,NA,2538
17,Uttar Pradesh,Kanpur City,164,25,51,187,103,288,950,2645,1336,309,236,NA,6752
18,Uttar Pradesh,Kanpur Dehat,104,37,16,48,112,209,437,592,173,45,38,NA,2758
19,Uttar Pradesh,Fatehpur,129,73,24,32,93,159,529,550,151,45,24,NA,2072
20,Uttar Pradesh,Allahabad,242,60,34,73,111,250,754,1736,316,140,151,NA,5740
21,Uttar Pradesh,Etawah,120,28,12,64,88,256,546,690,257,66,44,NA,3265
22,Uttar Pradesh,Fatehgarh,174,42,17,94,90,213,458,776,122,88,34,NA,3174
23,Uttar Pradesh,Bareilly,177,32,26,102,85,195,728,1031,171,137,83,NA,4159
24,Uttar Pradesh,Badaun,161,43,26,63,73,185,387,871,174,58,27,NA,3062
25,Uttar Pradesh,Pilibhit,78,12,11,19,27,56,123,301,44,38,19,NA,1272
26,Uttar Pradesh,Shahjahanpur,155,60,25,55,82,199,460,1088,130,78,31,NA,3331
27,Uttar Pradesh,Agra,171,32,40,192,178,447,1249,2636,598,202,149,NA,8042
28,Uttar Pradesh,Mathura,115,24,25,60,117,185,483,671,296,56,50,NA,2987
29,Uttar Pradesh,Etah,209,25,18,135,154,159,474,695,360,45,51,NA,3169
30,Uttar Pradesh,Aligarh,184,37,31,116,183,234,739,1439,337,112,71,NA,5033
31,Uttar Pradesh,Mainpuri,180,11,19,90,189,369,573,826,306,65,56,NA,3805
32,Uttar Pradesh,Gorakhpur,130,39,23,87,192,148,563,987,313,81,113,NA,4238
33,Uttar Pradesh,Azamgarh,98,45,15,35,100,107,534,797,358,75,54,4,3127
34,Uttar Pradesh,Basti,102,32,12,62,104,78,498,685,229,80,50,NA,3139
35,Uttar Pradesh,Deoria,90,42,14,27,98,62,320,443,145,51,36,NA,2275
36,Uttar Pradesh,Faizabad,95,30,16,69,151,160,641,1046,350,87,65,NA,3917
37,Uttar Pradesh,Bahraich,85,36,32,86,135,116,505,985,232,76,88,NA,3284
38,Uttar Pradesh,Barabanki,124,32,10,33,70,102,535,472,162,53,14,NA,2345
39,Uttar Pradesh,Gonda,106,43,21,73,103,223,570,831,204,91,71,NA,3342
40,Uttar Pradesh,Pratapgarh,74,29,9,30,79,111,473,495,251,89,45,NA,2504
41,Uttar Pradesh,Sultanpur,74,62,18,43,90,133,663,651,263,78,40,NA,3151
42,Uttar Pradesh,Jhansi,58,24,31,16,49,89,400,487,158,55,38,NA,2192
43,Uttar Pradesh,Banda,137,111,23,17,90,310,505,494,83,37,50,NA,2756
44,Uttar Pradesh,Hamirpur,113,16,14,9,48,55,270,270,83,25,20,NA,1437
45,Uttar Pradesh,Jalaun,66,12,8,16,44,94,279,304,94,25,30,NA,1450
46,Uttar Pradesh,Lalitpur,19,9,21,24,26,57,176,246,89,20,14,NA,1052
47,Uttar Pradesh,Nainital,56,23,16,43,22,70,331,663,117,63,59,NA,2264
48,Uttar Pradesh,Almora,17,4,NA,16,13,10,47,42,51,8,8,NA,398
49,Uttar Pradesh,Pithoragarh,10,4,2,5,NA,28,50,91,29,10,2,NA,480
50,Uttar Pradesh,Pauri Garhwal,NA,1,4,6,2,10,66,76,18,7,3,NA,254
51,Uttar Pradesh,Tehri Garhwal,12,2,NA,5,10,19,56,83,30,7,4,NA,405
52,Uttar Pradesh,Uttarkashi,NA,1,NA,NA,2,11,NA,41,10,5,1,NA,177
53,Uttar Pradesh,Chamoli,5,NA,1,2,9,19,35,54,26,6,NA,NA,235
54,Uttar Pradesh,Dehradun,63,14,8,51,29,70,252,516,131,121,39,NA,2222
55,Uttar Pradesh,Moradabad,266,30,52,88,139,298,632,765,328,140,150,NA,4536
56,Uttar Pradesh,Bijnor,84,24,8,58,63,25,13,NA,166,28,2,NA,2560
57,Uttar Pradesh,Rampur,78,19,15,34,44,86,284,646,59,39,30,NA,2075
58,Uttar Pradesh,Govt. Railway Police,38,12,12,21,37,110,21,4768,57,200,128,NA,5940
1,West Bengal,Bankura,65,16,25,30,41,30,38,717,210,25,8,NA,1566
2,West Bengal,Birbhum,55,19,20,45,55,54,83,691,462,16,28,NA,2208
3,West Bengal,Burdwan,157,105,50,76,177,121,157,2534,849,66,56,NA,6530
4,West Bengal,Hooghly,83,41,56,74,83,61,144,1718,800,97,59,NA,4832
5,West Bengal,Purulia,50,24,7,15,40,15,55,604,369,23,8,NA,2015
6,West Bengal,24 Parganas,202,96,109,306,168,138,544,6104,2171,221,172,7,16349
7,West Bengal,Murshidabad,132,47,42,37,52,65,79,918,764,17,29,NA,3234
8,West Bengal,Nadia,97,40,67,66,66,37,96,1182,1046,26,23,NA,3822
9,West Bengal,West Dinajpur,79,67,24,29,155,116,210,1101,417,15,5,NA,3336
10,West Bengal,Jalpaiguri,93,44,25,37,29,63,110,1114,264,46,21,NA,3249
11,West Bengal,Malda,102,27,11,23,40,20,50,382,324,8,6,1,1563
12,West Bengal,Darjeeling,60,37,16,17,9,23,53,798,103,56,12,1,2125
13,West Bengal,Coochbehar,36,16,11,30,37,24,108,432,208,30,1,NA,1503
14,West Bengal,Howrah,61,13,30,40,48,26,87,1207,377,107,50,2,3520
15,West Bengal,Midnapur,85,39,47,72,60,41,444,1719,924,91,63,NA,5170
1,A & N Island,A & N Islands,17,1,3,5,NA,4,46,116,29,7,14,NA,739
1,Arunachal Pradesh,Tirap,4,NA,NA,5,1,1,12,25,3,1,NA,NA,103
2,Arunachal Pradesh,Lohit,3,NA,2,2,3,3,11,13,NA,2,1,NA,98
3,Arunachal Pradesh,Debang Valley,3,NA,NA,1,2,7,12,14,NA,2,NA,NA,89
4,Arunachal Pradesh,East Siang,4,NA,3,2,NA,3,23,25,NA,NA,1,NA,109
5,Arunachal Pradesh,West Siang,4,NA,1,6,NA,1,9,28,1,2,3,NA,129
6,Arunachal Pradesh,Upper Subansiri,1,NA,1,1,NA,NA,10,10,2,1,1,NA,44
7,Arunachal Pradesh,Lower Subansiri,4,NA,2,5,3,1,31,43,1,5,6,NA,214
8,Arunachal Pradesh,West Kameng,3,NA,NA,1,NA,5,12,23,2,5,1,NA,111
9,Arunachal Pradesh,East Kameng,1,NA,NA,NA,NA,NA,14,7,NA,2,NA,NA,38
10,Arunachal Pradesh,Tawang,2,3,NA,NA,NA,NA,2,6,NA,2,NA,NA,25
1,Chandigarh,Chandigarh,9,3,1,19,NA,11,143,712,30,48,47,4,1806
1,Dadar & Nagar Haveli,Dadar and Nagar Haveli,6,NA,1,1,1,4,62,35,19,1,5,NA,283
1,Delhi,North District,66,47,27,250,11,50,287,3374,80,174,190,3,9497
2,Delhi,Central District,43,67,10,385,3,46,258,2203,58,78,126,5,6908
3,Delhi,East District,64,54,12,251,14,24,238,1045,96,33,70,1,4622
4,Delhi,New Delhi District,7,4,4,21,4,17,122,1810,20,30,125,9,3943
5,Delhi,South District,84,49,37,155,16,70,699,4128,135,64,141,2,11006
6,Delhi,West District,38,32,12,110,5,25,202,1040,62,43,87,NA,5320
7,Delhi,Crime & Railways,15,2,NA,4,NA,3,1,293,1,9,8,4,508
8,Delhi,Palam Air Port,NA,NA,NA,1,NA,NA,4,48,NA,8,52,1,136
1,Daman & Diu,Goa,22,8,7,8,3,51,495,714,242,41,35,4,2959
2,Daman & Diu,Daman,1,1,NA,NA,NA,NA,12,28,18,1,1,NA,108
3,Daman & Diu,Diu,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,23
1,Lakshadweep,Lakshadweep,NA,2,NA,NA,NA,NA,3,7,NA,1,NA,NA,33
1,Mizoram,Aizawl,20,13,26,6,2,39,45,134,1,24,12,5,806
2,Mizoram,Lunglei,5,NA,3,1,NA,3,18,49,NA,9,7,NA,475
3,Mizoram,Chimtuipui,4,NA,5,4,1,NA,8,25,NA,7,4,1,296
1,Pondicherry,Pondicherry,14,NA,8,12,1,7,174,737,124,38,29,5,2613
