SL. No.,States/U.Ts.,Districts,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
25,Andhra Pradesh,Adilabad,53,NA,3,8,16,39,122,139,46,17,7,NA,2151
26,Andhra Pradesh,RP. Vijyawada,NA,NA,NA,NA,2,NA,1,215,NA,NA,3,NA,253
27,Andhra Pradesh,RP. Secunderabad,NA,NA,NA,NA,NA,2,NA,169,2,2,3,NA,216
28,Andhra Pradesh,RP. Guntakal,1,NA,NA,NA,NA,NA,1,150,17,3,2,NA,200
1,Assam,Dhubri,36,NA,21,32,33,20,170,230,378,12,14,NA,1444
2,Assam,Goalpara,30,2,13,28,27,20,195,391,298,37,12,NA,1649
3,Assam,Kokrajhar,28,NA,3,19,31,18,157,274,160,3,14,NA,1090
4,Assam,Kamrup,64,10,39,104,55,28,721,1263,531,95,85,5,4906
5,Assam,Barpeta,33,1,15,39,33,18,226,320,286,17,24,NA,1557
6,Assam,Sonitpur,49,NA,12,44,36,31,325,634,281,11,29,2,2653
7,Assam,Darrang,48,1,18,18,48,59,314,315,201,24,16,NA,1665
8,Assam,Nagaon,69,2,26,109,88,44,715,1088,933,59,104,8,5076
9,Assam,Sibsagar,25,NA,NA,48,3,24,147,387,93,13,10,NA,1519
10,Assam,Jorhat,96,1,25,93,19,45,255,703,197,28,42,3,2986
11,Assam,Dibrugarh,126,5,21,59,23,37,319,752,141,25,28,4,3051
12,Assam,Lakhimpur,45,1,28,54,12,34,226,391,236,22,38,2,1958
13,Assam,Karbi Anglong,20,2,4,12,21,23,69,123,55,13,4,NA,622
14,Assam,N.C. Hills,3,NA,2,4,NA,2,24,54,16,2,2,NA,207
15,Assam,Karimaganj,32,NA,7,21,7,4,159,227,335,14,13,NA,1303
16,Assam,Cachar,43,NA,29,90,20,21,311,718,619,36,38,6,3459
1,Bihar,Patna,186,16,19,107,132,165,644,2634,978,187,148,4,9378
2,Bihar,Nalanda,110,9,8,44,80,81,200,573,365,21,33,1,2368
3,Bihar,Bhojpur,125,23,18,42,147,63,464,629,560,49,29,1,3795
4,Bihar,Rohtas,140,26,14,44,134,79,448,586,411,51,17,NA,3995
5,Bihar,Gaya,82,9,14,38,105,68,151,696,530,41,19,NA,3014
6,Bihar,Aurangabad,36,1,9,16,60,13,138,403,325,26,30,NA,1794
7,Bihar,Nawada,26,7,3,26,22,10,47,383,258,36,34,NA,1499
8,Bihar,Saran,68,7,6,27,80,34,392,432,331,23,33,NA,3017
9,Bihar,Siwan,65,NA,8,36,55,35,346,401,348,28,28,NA,2569
10,Bihar,Gopalganj,65,11,8,23,63,36,184,289,223,11,23,NA,1516
11,Bihar,West Champaran,46,14,11,115,133,41,187,361,473,25,58,NA,2218
12,Bihar,East Champaran,62,10,12,59,85,29,296,499,864,31,52,NA,3128
13,Bihar,Muzaffarpur,58,12,9,42,121,75,327,534,534,16,20,NA,3228
14,Bihar,Vaishali,44,9,5,34,67,23,116,265,300,36,4,NA,1270
15,Bihar,Sitamarhi,27,7,6,36,58,21,292,235,436,41,37,NA,2069
16,Bihar,Darbhanga,40,24,25,18,30,12,376,370,545,59,35,NA,2961
17,Bihar,Samastipur,52,7,21,45,92,33,225,316,519,10,10,7,2443
18,Bihar,Madhubani,38,6,16,19,53,25,380,387,639,54,28,NA,2694
19,Bihar,Begusarai,77,5,6,129,73,66,226,368,433,23,17,NA,2237
20,Bihar,Bhagalpur,166,10,22,81,156,146,483,903,781,52,41,NA,3793
21,Bihar,Munger,217,17,14,82,220,126,369,780,639,53,32,NA,4217
22,Bihar,Khagaria,49,3,9,24,33,22,81,185,188,11,9,NA,1024
23,Bihar,Shahebganj,67,6,20,22,37,23,100,216,182,41,23,NA,1144
24,Bihar,Godda,28,5,10,2,24,5,4,58,117,4,3,NA,544
25,Bihar,Dumka,44,5,16,23,68,12,83,199,243,28,34,NA,1304
26,Bihar,Deoghar,33,1,3,11,29,5,62,149,144,11,28,NA,794
27,Bihar,Katihar,31,3,39,46,60,26,209,619,513,19,19,NA,2370
28,Bihar,Saharsa,29,6,6,24,74,46,298,369,527,36,36,NA,2141
29,Bihar,Madhepura,17,5,7,18,33,19,163,186,325,15,15,NA,1190
30,Bihar,Purnea,84,18,19,43,126,40,384,750,619,72,51,NA,4516
31,Bihar,Hazaribagh,125,30,70,51,140,140,70,840,590,35,51,NA,4459
32,Bihar,Giridih,67,209,9,21,100,59,308,392,185,9,16,NA,1733
33,Bihar,Bokaro,20,1,11,13,55,19,99,325,131,12,6,NA,1154
34,Bihar,Dhanbad,65,NA,32,35,58,75,422,758,277,24,14,2,3665
35,Bihar,Palamau,99,8,16,47,119,64,350,585,484,33,59,NA,2844
36,Bihar,Gumla,98,5,6,16,37,9,40,137,53,12,21,NA,805
37,Bihar,Lohardagga,14,NA,3,3,10,NA,23,29,24,4,11,NA,310
38,Bihar,Ranchi,229,20,25,50,90,158,365,903,283,35,26,1,4336
39,Bihar,Singhbhum,183,6,20,67,54,28,202,566,281,19,7,NA,2240
40,Bihar,Jamshedpur,31,1,19,19,6,37,126,621,85,25,30,NA,2093
41,Bihar,Railway Patna,10,3,1,7,19,9,NA,668,27,15,17,NA,830
42,Bihar,Railway Jamshedpur,5,NA,2,5,7,8,10,165,4,1,4,NA,324
43,Bihar,Railway Katihar,8,NA,NA,5,9,21,16,300,21,4,3,NA,466
44,Bihar,Railway Muzaffarpur,9,1,1,6,14,21,NA,313,37,2,7,NA,553
45,Bihar,Railway Dhanbad,7,NA,1,5,18,2,5,190,12,5,3,NA,374
46,Bihar,Railway Jamalpur,6,NA,4,3,19,18,8,178,9,NA,2,NA,347
1,Gujarat,Gandhinagar,37,NA,11,30,11,62,287,831,113,66,31,NA,4177
2,Gujarat,Kheda,37,3,7,32,8,26,233,561,43,72,36,NA,3021
3,Gujarat,Anand,42,NA,7,22,10,25,203,597,84,60,22,NA,3550
4,Gujarat,Sabarkantha,27,NA,6,24,2,29,271,475,91,90,36,NA,3753
5,Gujarat,Banaskantha,34,NA,2,26,2,63,265,646,84,75,22,NA,3214
6,Gujarat,Meshana,40,NA,5,22,15,60,285,1081,193,69,43,2,4623
7,Gujarat,Patan,35,NA,5,6,8,43,193,698,108,55,16,NA,2953
8,Gujarat,Jamnagar,38,1,1,22,NA,41,195,518,53,28,28,NA,2618
9,Gujarat,Kutch,43,NA,3,13,5,36,200,385,91,29,23,NA,2230
10,Gujarat,Rajkot Rural,46,NA,9,17,4,27,174,717,45,30,24,1,3341
11,Gujarat,Surendranagar,25,NA,5,18,5,25,169,328,46,24,19,NA,2289
12,Gujarat,Amreli,23,NA,6,11,NA,28,95,364,35,22,19,NA,1821
13,Gujarat,Bhavnagar,62,1,6,34,8,60,226,703,107,26,22,1,3580
14,Gujarat,Junagarh,66,NA,4,21,11,60,271,688,59,42,42,NA,3105
15,Gujarat,Porbandar,17,NA,4,6,2,17,56,127,8,11,8,NA,869
16,Gujarat,Vadodara Rural,73,1,7,21,8,35,196,565,40,48,31,NA,3508
17,Gujarat,Bharuch,63,NA,4,25,2,15,214,461,67,55,16,NA,3140
18,Gujarat,Panchmahal,79,NA,4,12,16,46,230,432,39,38,31,1,3177
19,Gujarat,Surat Rural,52,NA,7,8,2,16,113,236,76,25,11,NA,1851
20,Gujarat,Valsad,45,NA,7,23,4,16,244,434,55,42,34,2,3228
21,Gujarat,Western Railway,10,1,4,12,2,20,43,1388,17,26,8,NA,2021
22,Gujarat,Ahmedabad City,68,3,7,101,11,51,510,2503,246,109,154,2,10156
23,Gujarat,Rajkot City,23,NA,3,13,NA,8,109,349,37,15,16,NA,1886
24,Gujarat,Surat City,28,NA,3,35,7,14,242,1101,172,55,52,NA,3961
25,Gujarat,Vadodara City,18,NA,10,52,7,20,387,1917,148,73,99,3,5858
1,Haryana,Gurgaon,32,8,5,10,11,9,190,250,48,5,28,NA,1660
2,Haryana,Faridabad,29,10,9,23,6,6,273,450,53,33,59,1,2532
3,Haryana,Rohtak,59,10,12,10,1,5,210,215,37,17,28,2,1483
4,Haryana,Sonepat,27,15,4,6,1,4,106,237,42,7,12,1,1103
5,Haryana,Ambala,35,13,23,32,1,5,288,429,8,35,25,NA,2112
6,Haryana,Kurukshetra,45,4,15,29,4,7,245,291,3,24,37,NA,1518
7,Haryana,Karnal,41,18,13,23,3,12,319,379,19,50,39,NA,2019
8,Haryana,Jind,20,5,5,7,1,3,104,134,2,10,16,NA,679
9,Haryana,Hissar,45,18,10,6,2,6,196,337,17,23,26,1,1450
10,Haryana,Bhiwani,24,7,6,8,2,2,92,120,16,10,16,NA,1289
11,Haryana,Narnaul,18,6,5,6,NA,4,105,187,32,21,24,NA,983
12,Haryana,Sirsa,15,5,8,14,3,3,91,130,2,9,9,NA,1084
1,Himachal Pradesh,Mandi,3,3,4,6,NA,1,70,72,59,8,8,NA,666
2,Himachal Pradesh,Kangra,21,6,4,11,1,5,101,67,41,4,14,NA,752
3,Himachal Pradesh,Hamirpur,3,2,1,3,NA,NA,24,19,8,3,2,NA,264
4,Himachal Pradesh,Una,5,1,1,6,NA,NA,39,29,5,6,10,NA,413
5,Himachal Pradesh,Kullu,6,NA,2,3,NA,NA,34,38,15,6,1,NA,284
6,Himachal Pradesh,Chamba,5,1,1,4,NA,4,44,34,14,11,3,NA,231
7,Himachal Pradesh,Lahaul & Spiti,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,13
8,Himachal Pradesh,Shimla,6,1,5,10,NA,NA,80,105,56,29,28,NA,1037
9,Himachal Pradesh,Bilaspur,NA,NA,1,6,NA,1,14,20,30,1,3,NA,285
10,Himachal Pradesh,Sirmaur,7,1,2,9,NA,6,35,48,25,2,11,NA,424
11,Himachal Pradesh,Solan,3,NA,NA,10,NA,3,50,54,50,9,7,NA,565
12,Himachal Pradesh,Kinnaur,1,NA,4,3,NA,1,30,15,5,3,1,NA,120
13,Himachal Pradesh,Railway & Traffic,1,NA,NA,NA,NA,NA,2,2,NA,NA,1,NA,11
1,Jammu Kashmir,Anantnag,7,2,12,32,NA,NA,94,154,267,16,11,NA,1025
2,Jammu Kashmir,Bramulla,12,1,10,68,2,2,136,234,342,21,15,NA,1993
3,Jammu Kashmir,Badgam,8,NA,7,30,1,NA,44,113,241,3,6,NA,786
4,Jammu Kashmir,Doda,5,2,5,40,1,NA,81,154,96,7,5,NA,1016
5,Jammu Kashmir,Jammu,32,NA,14,71,7,10,284,665,119,26,57,NA,3493
6,Jammu Kashmir,Kathua,8,2,3,13,1,1,72,103,69,12,4,NA,859
7,Jammu Kashmir,Kargil,NA,NA,NA,NA,NA,NA,3,2,7,NA,NA,NA,65
8,Jammu Kashmir,Kupwara,10,NA,4,26,NA,4,41,125,126,10,7,NA,800
9,Jammu Kashmir,Leh,3,NA,1,2,1,2,7,11,7,2,NA,NA,68
10,Jammu Kashmir,Poonch,3,2,1,10,1,NA,51,121,138,2,5,NA,650
11,Jammu Kashmir,Pulwama,3,NA,17,26,NA,8,65,152,130,8,4,NA,976
12,Jammu Kashmir,Rajouri,12,NA,18,39,2,NA,47,204,80,8,5,NA,818
