SL. No.,Category,State/UTs/Cities,Murder - Male,Murder - Female,Murder - Total,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Culpable Homicide Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Kidnapping & Abduction - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Thefts - Male,Thefts - Female,Thefts - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Total Cognizable Crime Under IPC - Male,Total Cognizable Crime Under IPC - Female,Total Cognizable Crime Under IPC - Total
20,State,Tripura,228,4,232,26,NA,26,23,NA,23,98,NA,98,485,NA,485,367,NA,367,1091,NA,1091,807,15,822,2340,44,2384,36,NA,36,40,2,42,2,NA,2,5589,69,5658
21,State,Uttar Pradesh,16667,65,16732,4361,43,4404,1385,57,1442,4662,74,4736,18459,73,18532,7972,154,8126,18152,15,18167,24543,139,24682,58652,253,58905,2535,164,2699,2820,96,2916,77,NA,77,255153,1916,257069
22,State,West Bengal,2505,58,2563,1200,24,1224,689,18,707,1174,100,1274,4095,46,4141,1885,21,1906,2615,50,2665,21304,383,21687,59210,443,59653,1383,23,1406,975,12,987,46,4,50,133468,1604,135072
Total (States),State,Total (States),58163,1172,59335,7137,106,7243,8914,101,9015,17169,556,17725,42480,313,42793,27139,599,27738,93763,2082,95845,203348,7427,210775,559632,12226,571858,16040,340,16380,16456,323,16779,1349,7,1356,1984681,57725,2042406
23,UT,A & N Islands,14,3,17,1,NA,1,6,NA,6,4,NA,4,NA,NA,NA,5,NA,5,38,NA,38,70,9,79,243,6,249,5,3,8,40,3,43,NA,NA,NA,768,110,878
24,UT,Arunachal Pradesh,27,3,30,8,NA,8,8,NA,8,24,NA,24,15,NA,15,12,NA,12,75,2,77,137,NA,137,48,NA,48,15,NA,15,11,NA,11,NA,NA,NA,794,24,818
25,UT,Chandigarh,27,2,29,7,1,8,5,NA,5,14,NA,14,NA,NA,NA,23,NA,23,111,3,114,335,7,342,132,1,133,25,NA,25,95,2,97,3,NA,3,5200,107,5307
26,UT,D & N Haveli,5,NA,5,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,3,NA,3,92,2,94,33,1,34,92,NA,92,3,NA,3,3,NA,3,NA,NA,NA,292,10,302
27,UT,Delhi,307,22,329,374,16,390,94,NA,94,381,22,403,127,NA,127,245,NA,245,750,12,762,1441,34,1475,1268,6,1274,164,NA,164,398,NA,398,4,NA,4,19514,655,20169
28,UT,"Goa, Daman & Diu",48,1,49,19,1,20,7,NA,7,12,1,13,21,NA,21,45,4,49,294,7,301,411,39,450,1339,116,1455,43,2,45,31,2,33,1,NA,1,3760,260,4020
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,11,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,16,2,18
30,UT,Mizoram,27,NA,27,3,NA,3,37,NA,37,15,NA,15,11,NA,11,47,NA,47,60,5,65,234,2,236,9,NA,9,50,10,60,24,NA,24,9,NA,9,2103,376,2479
31,UT,Pondicherry,21,1,22,NA,NA,NA,6,NA,6,5,NA,5,NA,NA,NA,6,NA,6,84,1,85,321,7,328,873,3,876,24,NA,24,22,2,24,4,NA,4,2735,407,3142
Total (UTs),UT,Total (UTs),476,32,508,412,18,430,164,NA,164,455,23,478,174,1,175,386,4,390,1504,32,1536,2993,99,3092,4004,132,4136,331,15,346,624,9,633,21,NA,21,35182,1951,37133
All India,All India,All India,58639,1204,59843,7549,124,7673,9078,101,9179,17624,579,18203,42654,314,42968,27525,603,28128,95267,2114,97381,206341,7526,213867,563636,12358,575994,16371,355,16726,17080,332,17412,1370,7,1377,2019863,59676,2079539
1,City,Ahmedabad,132,9,141,4,NA,4,12,1,13,91,10,101,24,NA,24,61,NA,61,433,6,439,1074,103,1177,1011,61,1072,85,2,87,111,6,117,NA,NA,NA,11540,398,11938
2,City,Bangalore,71,2,73,NA,1,1,24,NA,24,11,4,15,20,NA,20,161,NA,161,455,4,459,1431,50,1481,2637,26,2663,76,NA,76,152,12,164,NA,NA,NA,11669,231,11900
3,City,Bombay,665,28,693,10,NA,10,104,1,105,210,8,218,277,11,288,532,2,534,1256,18,1274,4988,188,5176,2440,28,2468,676,12,688,671,16,687,4,NA,4,25769,648,26417
4,City,Calcutta,123,9,132,13,NA,13,16,NA,16,121,5,126,167,NA,167,427,NA,427,743,NA,743,6175,59,6234,2008,NA,2008,282,NA,282,256,NA,256,22,NA,22,21786,150,21936
5,City,Delhi,271,21,292,364,16,380,92,NA,92,369,22,391,107,NA,107,223,NA,223,728,12,740,1374,32,1406,1141,5,1146,155,NA,155,327,NA,327,4,NA,4,18278,641,18919
6,City,Hyderabad,143,5,148,1,NA,1,45,NA,45,55,5,60,81,NA,81,161,NA,161,356,NA,356,821,11,832,2443,56,2499,19,NA,19,106,NA,106,2,NA,2,6343,82,6425
7,City,Jaipur,73,4,77,NA,NA,NA,16,NA,16,37,4,41,15,NA,15,65,NA,65,212,6,218,361,7,368,1285,109,1394,27,2,29,65,NA,65,2,NA,2,4708,158,4866
8,City,Kanpur,300,1,301,34,NA,34,39,NA,39,183,NA,183,258,NA,258,136,NA,136,326,NA,326,582,NA,582,1462,NA,1462,81,NA,81,125,NA,125,NA,NA,NA,3523,1,3527
9,City,Lucknow,73,NA,73,31,NA,31,31,NA,31,68,NA,68,138,NA,138,154,NA,154,264,NA,264,578,NA,578,798,NA,798,146,NA,146,80,NA,80,4,NA,4,3281,NA,3281
10,City,Madras,69,NA,69,NA,NA,NA,30,NA,30,17,NA,17,5,NA,5,75,1,76,441,40,481,3477,136,3613,1302,71,1373,132,NA,132,289,NA,289,NA,NA,NA,10312,351,10663
11,City,Nagpur,126,6,132,1,NA,1,79,NA,79,90,5,95,76,2,78,331,NA,331,489,9,498,1166,64,1230,1102,94,1196,72,NA,72,108,5,113,NA,NA,NA,6791,352,7143
12,City,Pune,49,14,63,3,2,5,30,NA,30,55,13,68,16,NA,16,106,3,109,536,47,583,1412,11,1512,1728,209,1937,128,4,132,129,12,141,1,NA,1,11311,1417,12728
Total (Cities),City,Total (Cities),2095,99,2194,461,19,480,518,2,520,1307,76,1383,1184,13,1197,2432,6,2438,6239,142,6381,23439,750,24189,19357,659,20016,1879,20,1899,2419,51,2470,39,NA,39,135314,4429,139743
