SL. No.,Category,States/U.Ts/Cities,Residential Premises - Number of Cases Reported,Residential Premises - Value of Property Stolen,Highways - Number of Cases Reported,Highways - Value of Property Stolen ,Railways - Number of Cases Reported,Railways - Value of Property Stolen ,Rivers & Sea - Number of Cases Reported,Rivers & Sea - Value of Property Stolen ,Banks - Number of Cases Reported,Banks - Value of Property Stolen ,Commercial Establishments - Number of Cases Reported,Commercial Establishments - Value of Property Stolen ,Other Places - Number of Cases Reported,Other Places - Value of Property Stolen ,Total - Number of Cases Reported,Total - Value of Property Stolen 
31,UT,Pondicherry,7,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.8
Total (UTs),UT,Total (UTs),74,20.91,358,6.17,17,0.12,NA,NA,NA,NA,136,3.73,166,1.62,751,32.55
Total (All-India),Total (All-India),Total (All-India),6620,129.59,3383,53.72,396,10.49,14,0.57,11,2.07,501,27.73,11935,147.16,22860,371.33
1,City,Ahmedabad ,6,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0.44,29,0.57
2,City,Bangalore ,45,1.06,8,0.07,NA,NA,NA,NA,NA,NA,1,0.06,256,2.37,310,3.56
3,City,Bombay,43,22.65,10,0.42,NA,NA,NA,NA,NA,NA,4,0.05,288,2.27,345,25.39
4,City,Calcutta,19,2.11,124,4.54,NA,NA,NA,NA,NA,NA,27,2.92,11,0.52,181,10.09
5,City,Delhi,15,19.61,312,5.88,17,0.12,NA,NA,NA,NA,131,3.7,96,0.8,571,30.11
6,City,Hyderabad,2,0.09,20,0.26,NA,NA,NA,NA,NA,NA,NA,NA,13,0.08,35,0.43
7,City,Kanpur,98,2.16,158,3.95,NA,NA,NA,NA,NA,NA,NA,NA,46,0.76,302,6.87
8,City,Madras,17,0.33,9,0.1,NA,NA,NA,NA,NA,NA,1,0.09,43,0.43,70,0.95
Total (Cities)*,City,Total (Cities)*,245,48.14,641,15.22,17,0.12,NA,NA,NA,NA,164,6.82,776,7.67,1843,77.97
