SL. No.,Category,States/U.Ts/Cities,Murder - 1978,Murder - 1979,Murder - Percentage Variation,Kidnapping & Abduction - 1978,Kidnapping & Abduction - 1979,Kidnapping & Abduction - Percentage Variation,Dacoity - 1978,Dacoity - 1979,Dacoity - Perentage Variation,Robbery - 1978,Robbery - 1979,Robbery - Percentage Variation,Burglary - 1978,Burglary - 1979,Burglary - Percentage Variation ,Thefts - 1978,Thefts - 1979,Thefts - Percentage Variation,Riots - 1978,Riots - 1979,Riots - Percentage Variation,Criminal Breach of Trust - 1978,Criminal Breach of Trust - 1979,Criminal Breach of Trust - Percentage Variation,Cheating  - 1978,Cheating  - 1979,Cheating  - Percentage Variation,Counterfeiting - 1978,Counterfeiting - 1979,Counterfeiting - Percentage Variation,Total Cognizable Crime - 1978,Total Cognizable Crime - 1979,Total Cognizable Crime - Percentage Variation
11,State,Maharashtra,1536,1571,2.3,821,759,-7.6,564,511,-9.4,2850,2928,2.7,19168,19418,1.3,58700,61572,4.9,4576,3707,-19,3143,2987,-5,2466,2393,-3,28,46,64.3,150626,154372,2.5
12,State,Manipur,48,94,95.8,199,174,-12.6,28,52,85.7,49,74,51,299,262,-12.4,813,807,-0.7,186,165,-11.3,135,46,-65.9,128,131,2.3,3,4,33.3,3363,3242,-3.6
13,State,Meghalaya,62,92,48.4,4,20,400,14,32,128.6,53,40,-24.5,232,285,22.8,600,537,-10.5,141,328,132.6,26,31,19.2,37,28,-24.3,NA,NA,NA,1894,2280,20.4
14,State,Nagaland,32,18,-43.8,10,16,60,12,6,-50,30,29,-3.3,314,277,-11.8,429,385,-10.3,43,22,-48.8,31,32,3.2,44,37,-15.9,NA,NA,NA,957,834,-12.9
15,State,Orissa,458,461,0.7,170,168,-1.2,277,265,-4.3,556,630,13.3,7679,7571,-1.4,12516,12767,2,2195,2801,27.6,539,553,2.6,369,268,-27.4,13,10,-23.1,39589,42595,7.6
16,State,Punjab,560,590,5.4,299,306,2.3,2,1,-100,25,28,12,1552,1252,-19.3,2672,2345,-12.2,21,20,-4.8,518,474,-8.5,457,394,-13.8,7,3,-57.1,12831,12128,-5.5
17,State,Rajasthan,772,784,1.6,1649,1472,-10.7,127,111,-12.6,1521,1294,-14.9,8384,6531,-22.1,14375,13646,-5.1,9031,8533,-5.5,1105,988,-10.6,1643,1588,-3.3,6,3,-50,63752,59877,-6.1
18,State,Sikkim ,8,13,62.5,3,3,0,NA,1,100,6,9,50,36,53,47.2,129,143,10.9,2,15,650,15,71,373.3,2,2,0,1,NA,-100,217,318,46.5
19,State,Tamil Nadu,908,953,5,683,724,6,44,47,6.8,243,306,25.9,11073,10289,-7.1,36897,34545,-6.4,8852,8954,1.2,1873,1526,-18.5,1899,1471,-22.5,131,28,-78.6,107973,104745,-3
20,State,Tripura,34,61,79.4,47,24,-48.9,72,72,0,143,121,-15.4,569,1286,126,1791,1540,-14,458,522,16,35,40,14.3,42,39,-7.1,NA,NA,NA,5355,5766,7.7
21,State,Uttar Pradesh,5325,5420,1.8,3223,2924,-9.3,6431,6970,8.4,8881,8563,-3.6,39147,32837,-16.1,76248,72088,-5.5,13101,12663,-3.3,5897,5522,-6.4,2818,2717,-3.6,63,43,-31.7,217222,206230,-5.1
22,State,West Bengal ,909,1046,15.1,1015,1046,3.1,1332,1446,10.1,1218,1162,-4.6,7229,5946,-17.7,37666,36585,-2.9,12402,13328,7.5,1412,1329,-5.9,1255,1126,-10.3,92,65,-29.3,93596,92367,-1.3
Total (States),State,Total (States),19060,20073,5.3,12718,12254,-3.6,13106,13948,6.4,22148,22109,-0.2,179063,164168,-8.3,407198,400454,-1.7,95863,98002,2.2,2299,21103,-5.4,18531,17140,-7.5,611,486,-20.5,1290271,1280749,-0.7
23,UT,A & N Islands,8,13,62.5,8,7,-12.5,NA,NA,NA,12,6,-50,85,73,-14.1,167,134,-19.8,29,40,37.9,17,15,-11.8,9,1,-88.5,NA,NA,NA,701,703,0.3
24,UT,Arunachal Pradesh,10,16,60,6,10,66.7,3,4,33.3,12,12,0,59,74,25.4,146,192,31.5,13,14,7.7,11,12,9.1,4,2,-50,NA,NA,NA,443,615,38.8
25,UT,Chandigarh,6,8,33.3,24,20,-16.7,2,1,-100,7,15,114.3,187,177,-5.3,1663,1484,-10.8,6,21,250,57,42,-26.3,62,61,-1.6,NA,1,100,2609,2430,-6.9
26,UT,D & N Haveli,6,6,0,1,1,0,NA,NA,NA,7,5,-28.6,28,17,-39.3,35,40,14.3,11,2,-81.8,10,17,70,2,5,150,NA,NA,NA,220,191,-13.2
27,UT,Delhi,182,189,3.8,821,793,-3.4,69,64,-7.2,667,616,-7.6,3738,3331,-10.9,25268,25755,1.9,305,395,29.5,679,674,-0.7,1114,1065,-4.4,22,37,68.2,43407,44078,1.5
28,UT,"Goa, Daman & Diu",10,9,-10,7,5,-28.6,4,4,0,29,33,13.8,441,382,-13.4,566,592,4.6,119,112,-5.9,24,43,79.2,31,40,29,NA,1,100,2181,2209,1.3
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,-87.5,8,1,-87.5,4,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,6,-70
30,UT,Mizoram,21,27,28.6,7,7,0,8,6,-25,39,57,46.2,71,63,-11.3,229,213,-7,2,20,900,62,30,-51.6,26,33,26.9,NA,NA,NA,771,1277,65.6
31,UT,Pondicherry,11,8,-27.3,24,28,16.7,3,1,-66.7,2,7,250,311,288,-7.4,1889,1618,-14.3,136,290,113.2,96,80,-16.7,42,23,-45.2,3,NA,-100,4345,3910,-10
Total (UTs),UT,Total (UTs),254,276,8.7,898,871,-3,89,80,-10.1,775,751,-3.1,4928,4406,-10.6,29989,30029,0.1,625,894,43,956,913,-4.5,1290,1230,-4.7,25,39,56,54697,55419,1.3
Total (All-India),Total (All-India),Total (All-India),19314,20349,5.4,13616,13125,-3.6,13195,14028,6.3,22923,22860,-0.3,183991,168574,-8.4,437187,430483,-1.5,96488,98896,2.5,23255,22016,-5.3,19821,18370,-7.3,636,525,-17.5,1344968,1336168,-0.7
1,City,Ahmedabad ,36,57,58.3,137,114,-16.8,2,13,550,32,29,-9.4,475,473,-0.4,2655,2591,-2.4,193,272,40.9,146,152,4.1,209,148,-29.2,1,8,700,8035,8107,-0.2
2,City,Bangalore ,38,48,26.3,94,74,-21.3,46,44,-4.3,474,310,-34.6,2764,2483,-10.2,10554,9383,-11.1,548,447,-18.4,451,315,-30.2,949,661,-30.3,52,42,-19.2,26063,22439,-13.9
3,City,Bombay,191,187,-2.1,240,219,-8.8,22,41,86.4,314,345,9.9,2525,2572,1.9,17638,17773,0.8,334,273,-18.3,1045,958,-8.3,1130,1154,2.1,11,27,145.5,36160,36448,0.8
4,City,Calcutta,97,93,-4.1,130,130,0,52,48,-7.7,170,181,6.5,671,620,-7.6,6400,6278,-1.9,818,855,4.5,323,329,1.9,370,346,-6.5,58,35,-39.7,13039,13104,0.5
5,City,Delhi,156,160,2.6,768,743,-3.3,52,52,0,629,571,-9.2,3450,3060,-11.3,24295,25535,5.1,267,357,33.7,663,658,-0.8,1092,1044,-4.4,22,37,68.2,41061,41552,1.2
6,City,Hyderabad,42,45,7.1,43,31,-27.9,7,14,100,43,35,-18.6,1268,1242,-2.1,4136,4148,0.3,179,868,384.9,85,125,47.1,175,195,11.4,6,2,-66.7,7772,8478,9.1
7,City,Kanpur,200,188,-6,230,68,-70.4,227,266,17.2,390,302,-22.6,1674,1468,-12.3,4488,4155,-5.7,412,361,-12.4,530,502,-5.3,315,312,-1,23,18,-21.7,11395,10546,7.5
8,City,Madras,40,34,-15,78,77,-1.3,1,7,600,28,70,150,839,900,7.3,10597,9762,-7.9,356,231,-35.1,548,416,-24.1,886,504,-43.1,61,NA,-100,19789,17288,-9.4
Total (Cities),City,Total (Cities),800,812,1.5,1720,1456,-15.3,409,485,18.6,2080,1843,-11.4,13666,12818,-6.2,80763,79625,-1.4,3107,3664,17.9,3791,3455,-8.9,5126,4364,-14.9,234,169,-27.8,162614,157872,-2.9
