SL. No.,Category,State/U.Ts/Cities,Total Cognizable Crime - Male,Total Cognizable Crime - Female,Murder - Male,Murder - Female,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Rape - Male,Rape - Female,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Dacoity - Male,Dacoity - Female,Robbery - Male,Robbery - Female,Burglary - Male,Burglary - Female,Thefts - Male,Thefts - Female,Riots - Male,Riots - Female,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Cheating - Male,Cheating - Female,Counterfeiting - Male,Counterfeiting - Female
Total (States),State,Total (States),1749103,31278,45364,805,5190,34,5159,41,14798,481,51630,182,24008,160,95380,1595,222954,5141,535973,10406,20341,85,13160,118,257,2
23,UT,A & N Islands,713,18,11,3,NA,NA,2,NA,7,NA,NA,NA,4,NA,52,NA,71,NA,148,8,15,NA,NA,NA,NA,NA
24,UT,Arunachal Pradesh,399,1,30,1,7,NA,6,NA,7,NA,9,NA,7,NA,34,NA,109,NA,18,NA,14,NA,6,NA,NA,NA
25,UT,Chandigarh,7377,32,14,1,17,NA,3,NA,19,NA,NA,NA,31,NA,98,2,256,9,38,NA,39,NA,71,NA,2,NA
26,UT,D & N Haveli,232,9,5,1,NA,NA,3,NA,NA,NA,NA,NA,13,1,14,NA,33,1,21,NA,17,NA,5,NA,NA,NA
27,UT,Delhi,25271,125,232,3,474,7,72,NA,466,10,175,NA,509,NA,1051,11,2677,46,2934,15,286,3,444,17,11,NA
28,UT,"Goa, Daman & Diu",2680,173,15,3,10,NA,3,NA,3,NA,44,5,28,3,178,3,405,33,768,36,39,1,15,1,NA,NA
29,UT,Lakshadweep,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,UT,Mizoram,1203,87,22,NA,4,NA,36,NA,5,NA,12,NA,52,NA,28,NA,126,18,75,NA,13,1,25,NA,NA,NA
31,UT,Pondicherry,3633,234,42,NA,NA,NA,3,NA,7,2,NA,NA,9,NA,101,3,272,7,1423,4,26,NA,8,NA,NA,NA
Total (UTs),UT,Total (UTs),41517,679,371,12,512,7,128,NA,514,12,240,5,653,4,1556,19,3590,114,5425,63,449,5,574,18,13,NA
Total (All-India),Total (All-India),Total (All-India),1790620,31957,45735,817,5702,41,5287,41,15312,493,51870,187,24661,164,96936,1614,226904,5255,541398,10469,20790,90,13734,136,270,2
1,City,Ahmedabad ,8407,799,80,10,1,NA,5,NA,97,12,25,NA,31,1,368,24,1144,59,1208,97,153,4,102,7,1,NA
2,City,Bangalore ,11765,137,89,2,NA,NA,13,10,18,2,84,NA,223,NA,718,20,2121,88,1333,50,72,2,133,2,6,NA
3,City,Bombay,29107,599,371,6,7,NA,67,NA,179,16,112,NA,481,2,1713,24,7250,280,2139,138,573,4,730,6,7,NA
4,City,Calcutta,19971,353,172,7,9,NA,31,NA,141,6,138,5,317,NA,936,NA,8026,255,4998,NA,342,NA,310,2,18,NA
5,City,Delhi,23303,123,147,3,392,7,65,NA,397,10,145,NA,423,NA,935,11,2514,46,2585,12,274,3,365,17,11,NA
6,City,Hyderabad,4692,254,82,2,5,NA,16,NA,22,1,29,NA,30,NA,423,NA,959,136,1327,NA,28,3,52,12,1,NA
7,City,Kanpur,10150,25,508,17,96,1,28,NA,203,14,1179,NA,321,NA,694,1,1012,NA,2007,NA,177,NA,150,NA,9,NA
8,City,Madras,8291,239,45,NA,NA,NA,5,NA,15,NA,5,NA,22,NA,408,4,2851,86,607,5,99,NA,70,NA,NA,NA
Total (Cities),City,Total (Cities),115686,2529,1494,47,510,8,230,10,1072,61,1717,5,1848,3,6195,84,25877,950,16204,302,1718,16,1912,46,53,NA
