Sl.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Theft Auto Theft,Theft Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
2,Himachal Pradesh,Chamba,5,2,2,9,4,4,0,0,0,2,103,25,5,20,4,4,5,0,13,54,0,13,3,12,0,257,517
3,Himachal Pradesh,G.R.P.,0,0,0,0,1,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,5
4,Himachal Pradesh,Hamirpur,6,4,1,3,3,3,0,1,0,0,32,29,3,26,22,0,5,0,6,252,0,13,0,29,0,243,649
5,Himachal Pradesh,Kangra,26,24,2,17,21,17,4,2,0,1,137,122,27,95,114,6,21,1,25,343,2,43,3,66,0,947,1923
6,Himachal Pradesh,Kinnaur,4,0,0,5,3,3,0,0,0,0,10,5,1,4,6,2,0,0,0,10,0,5,0,1,0,63,114
7,Himachal Pradesh,Kullu,8,2,0,4,2,1,1,1,0,1,22,30,13,17,30,1,5,2,5,49,0,12,2,2,0,455,633
8,Himachal Pradesh,Lahaul-Spiti,0,0,0,0,0,0,0,0,0,0,2,5,1,4,0,0,0,0,2,3,0,0,0,0,0,50,62
9,Himachal Pradesh,Mandi,16,10,0,25,20,15,5,1,0,2,72,61,0,61,67,6,30,0,39,207,0,58,4,60,0,1079,1757
10,Himachal Pradesh,Shimla,16,15,1,27,19,19,0,1,0,4,207,218,47,171,121,9,38,0,12,88,0,45,2,18,0,1099,1940
11,Himachal Pradesh,Sirmaur,13,7,1,8,16,13,3,0,0,3,45,28,12,16,51,5,10,0,5,45,0,37,0,20,0,446,740
12,Himachal Pradesh,Solan,12,10,0,9,9,8,1,2,0,2,93,82,18,64,96,17,2,1,6,364,1,17,0,29,0,361,1113
13,Himachal Pradesh,UNA,8,10,0,10,7,7,0,1,0,2,56,32,10,22,51,9,3,0,4,93,1,9,0,13,0,359,668
14,Himachal Pradesh,Total,123,89,8,129,110,95,15,9,0,17,821,690,145,545,610,71,131,4,128,1591,4,288,15,307,0,5990,11135
1,Jammu Kashmir,Anantnag,91,14,2,8,62,52,10,3,0,15,116,60,9,51,37,12,36,1,50,21,0,43,18,0,0,377,966
2,Jammu Kashmir,Awantipora,19,2,0,4,21,19,2,5,0,7,22,31,3,28,26,5,6,0,10,1,0,14,3,0,0,167,343
3,Jammu Kashmir,Badgam,38,18,3,6,48,43,5,1,0,0,52,136,9,127,71,1,8,0,13,3,0,34,12,0,0,254,698
4,Jammu Kashmir,Baramulla,147,129,4,24,89,70,19,6,0,12,121,189,17,172,114,5,17,0,34,21,0,75,11,0,0,414,1412
5,Jammu Kashmir,Border,11,40,1,7,17,17,0,2,0,4,38,27,5,22,21,2,9,1,0,19,0,10,10,0,0,546,765
6,Jammu Kashmir,Crime Jammu,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,23,0,0,0,0,0,0,0,0,0,25
7,Jammu Kashmir,Crime Srinagar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,37
8,Jammu Kashmir,Doda,13,23,0,10,26,26,0,1,0,2,27,46,0,46,13,5,9,1,11,29,0,14,6,1,0,352,589
9,Jammu Kashmir,Ganderbal,5,10,0,3,21,21,0,0,0,2,29,24,2,22,36,2,2,3,14,1,0,22,3,0,0,119,296
10,Jammu Kashmir,Jammu,11,97,1,21,66,66,0,1,0,6,247,481,197,284,143,15,66,3,0,58,7,20,75,30,0,2193,3541
11,Jammu Kashmir,Kargil,1,0,0,1,2,2,0,0,0,0,3,2,0,2,8,2,3,0,2,0,0,2,1,1,0,73,101
12,Jammu Kashmir,Kathua,11,19,0,11,17,13,4,3,0,1,58,53,9,44,42,5,5,1,7,37,0,4,13,4,0,496,787
13,Jammu Kashmir,Kulgam,36,14,0,11,33,29,4,1,0,9,31,34,1,33,55,1,11,0,27,15,0,12,4,0,0,232,526
14,Jammu Kashmir,Kupwara,102,156,0,4,39,33,6,0,0,3,26,35,0,35,36,8,17,0,20,8,0,21,5,0,0,186,666
15,Jammu Kashmir,Leh,1,1,1,0,1,1,0,0,0,0,1,4,0,4,13,2,2,0,0,1,0,4,5,0,0,118,154
16,Jammu Kashmir,Poonch,91,166,2,7,22,10,12,0,0,0,6,28,0,28,8,5,4,1,21,31,0,3,4,5,0,255,659
17,Jammu Kashmir,Pulwama,24,68,0,9,39,31,8,7,0,24,60,154,9,145,143,4,12,0,15,12,0,33,19,0,0,254,877
18,Jammu Kashmir,Railways,0,0,0,2,2,2,0,0,0,0,0,19,1,18,0,0,1,0,0,0,0,0,0,0,0,11,35
19,Jammu Kashmir,Rajouri,75,70,0,18,25,25,0,1,0,5,18,32,1,31,10,3,11,0,12,19,0,10,4,3,0,638,954
20,Jammu Kashmir,Ramban,29,53,7,3,3,3,0,3,0,0,15,6,0,6,2,0,4,0,5,7,0,3,0,0,0,238,378
21,Jammu Kashmir,Reasi,29,41,0,2,7,7,0,0,0,0,10,18,0,18,6,2,0,0,7,2,0,2,2,1,0,114,243
22,Jammu Kashmir,Srinagar,6,34,2,11,106,89,17,2,0,38,343,356,222,134,104,13,75,7,65,15,0,137,137,0,0,928,2379
23,Jammu Kashmir,Udhampur,24,73,2,21,12,7,5,2,0,8,72,107,12,95,46,5,10,0,15,32,3,17,10,6,0,621,1086
24,Jammu Kashmir,Total,766,1028,25,183,658,566,92,38,0,136,1295,1843,497,1346,934,103,361,18,328,332,10,480,342,51,0,8586,17517
1,Karnataka,Bagalkot,43,14,10,2,20,11,9,3,0,2,58,107,23,84,193,18,24,4,4,323,3,42,0,62,0,713,1645
2,Karnataka,Bangalore Commr.,212,311,2,27,127,68,59,29,18,391,2469,6635,2453,4182,389,214,1418,611,7,3466,55,219,41,250,0,10293,27184
3,Karnataka,Bangalore Rural,122,91,2,18,26,14,12,32,0,36,452,582,81,501,446,12,36,4,41,1171,29,64,1,84,0,2131,5380
4,Karnataka,Belgaum,129,69,3,10,43,26,17,18,2,44,236,415,123,292,393,22,101,4,18,1044,1,71,0,118,0,2360,5101
5,Karnataka,Bellary,53,36,2,15,12,6,6,7,0,26,266,282,62,220,328,14,35,2,6,659,3,62,1,48,0,1246,3103
6,Karnataka,Bidar,55,75,1,7,20,13,7,11,6,32,176,177,23,154,153,6,25,1,31,1044,3,82,2,54,0,1841,3802
7,Karnataka,Bijapur,63,53,2,0,23,18,5,12,0,15,129,133,19,114,399,7,36,0,19,577,2,51,0,86,0,926,2533
8,Karnataka,Chamaranjnagar,27,16,1,9,4,4,0,0,1,3,108,153,16,137,129,2,12,2,0,554,7,29,0,8,0,423,1488
9,Karnataka,Chickmagalur,55,27,1,6,6,5,1,2,0,11,177,208,44,164,214,6,14,1,3,803,3,30,2,49,0,1016,2634
10,Karnataka,ChitraDurga,42,17,2,10,17,15,2,5,0,20,179,234,39,195,349,5,20,2,3,746,9,62,0,29,0,1322,3073
11,Karnataka,Dakshin Kannada,45,37,1,11,8,4,4,0,0,12,159,186,91,95,123,15,38,10,12,401,3,24,1,24,0,1865,2975
12,Karnataka,Davanagere,47,27,9,6,15,8,7,3,1,20,224,309,67,242,290,10,49,4,0,600,9,76,4,45,0,1146,2894
13,Karnataka,Dharwad Commr.,18,27,0,1,11,7,4,3,0,31,148,223,68,155,113,32,74,1,3,184,3,6,2,16,0,989,1885
14,Karnataka,Dharwad Rural,30,11,0,1,1,0,1,3,0,0,29,39,2,37,106,2,10,0,0,136,2,11,0,10,0,520,911
15,Karnataka,Gadag,24,20,0,6,8,1,7,2,0,8,34,56,5,51,119,3,16,0,6,162,6,11,0,16,0,381,878
16,Karnataka,Gulbarga,95,172,3,18,51,32,19,35,1,97,310,432,56,376,630,17,67,0,30,1333,7,115,0,136,0,1568,5117
17,Karnataka,Hassan,66,76,0,20,22,8,14,4,0,23,270,380,39,341,347,8,26,2,29,1314,3,74,0,58,0,1533,4255
18,Karnataka,Haveri,31,10,1,1,10,6,4,8,0,6,79,115,15,100,258,7,16,2,0,313,1,43,0,13,0,949,1863
19,Karnataka,K.G.F.,16,22,1,7,19,14,5,2,0,13,97,107,20,87,68,1,8,0,0,260,1,15,3,19,0,243,902
20,Karnataka,Kodagu,32,30,1,6,7,6,1,3,0,4,118,134,31,103,60,6,20,4,5,641,2,21,0,14,0,553,1661
21,Karnataka,Kolar,92,95,1,15,28,0,28,8,0,29,263,381,68,313,662,12,23,3,56,837,13,64,1,69,0,1334,3986
22,Karnataka,Koppal,22,19,0,9,11,11,0,7,0,2,99,88,20,68,198,3,19,1,3,285,2,46,0,32,0,625,1471
23,Karnataka,Mandya,52,48,1,10,6,0,6,4,0,17,255,266,45,221,302,15,12,0,0,1249,8,57,0,79,0,1897,4278
24,Karnataka,Mysore Commr.,25,38,0,8,11,4,7,5,0,24,131,445,161,284,31,23,68,4,0,294,9,12,1,44,0,766,1939
25,Karnataka,Mysore Rural,60,40,1,13,9,7,2,0,0,5,195,197,20,177,196,9,6,4,0,972,5,66,3,70,0,993,2844
26,Karnataka,Raichur,38,44,5,6,16,12,4,8,1,7,164,133,21,112,282,10,28,1,11,550,4,35,2,44,0,683,2072
27,Karnataka,Railways,14,2,0,0,0,0,0,1,0,14,2,288,3,285,40,3,4,5,0,14,0,3,0,1,0,194,585
28,Karnataka,Shimoga,59,34,0,9,13,8,5,7,0,23,180,244,75,169,220,9,27,6,18,1042,7,59,0,120,0,1590,3667
29,Karnataka,Tumkur,87,55,5,14,27,8,19,12,1,25,326,553,109,444,332,14,37,1,29,1330,10,70,5,45,0,1990,4968
30,Karnataka,Udupi,12,13,1,12,10,3,7,1,0,5,107,87,40,47,98,3,17,3,4,365,2,23,0,19,0,1056,1838
31,Karnataka,Uttar Kannada,28,21,0,4,6,4,2,1,0,12,82,75,21,54,103,6,9,3,3,511,5,25,6,26,0,1552,2478
32,Karnataka,Total,1694,1550,56,281,587,323,264,236,31,957,7522,13664,3860,9804,7571,514,2295,685,341,23180,217,1568,75,1688,0,44698,109410
1,Kerala,Alappuzha,24,26,0,18,9,6,3,1,0,10,202,161,70,91,288,20,117,17,15,1203,5,121,4,119,0,4385,6745
2,Kerala,CBCID,17,2,2,3,0,0,0,2,0,4,2,1,0,1,0,9,47,73,2,3,1,0,0,6,0,38,212
3,Kerala,Ernakulam,43,50,12,38,16,9,7,17,0,59,578,652,266,386,605,49,247,10,12,1567,0,144,7,153,0,9199,13458
4,Kerala,Idukki,29,26,1,33,0,0,0,2,0,18,277,226,37,189,321,25,95,0,22,1767,1,128,15,108,0,2083,5177
5,Kerala,Kannur,34,92,4,40,14,6,8,5,0,21,267,208,79,129,892,10,186,4,3,1253,0,72,4,179,0,2722,6010
6,Kerala,Kasargod,21,15,1,22,5,2,3,8,0,3,178,122,52,70,472,11,63,1,0,579,1,0,0,64,0,1235,2801
7,Kerala,Kollam,45,28,30,49,12,6,6,5,0,13,207,173,61,112,409,11,113,16,42,1526,2,174,0,234,0,4112,7201
8,Kerala,Kottayam,29,23,4,24,8,6,2,7,0,31,332,262,77,185,367,30,231,0,15,1266,2,127,6,95,0,3805,6664
9,Kerala,Kozhikode,23,39,2,39,18,11,7,12,0,9,398,396,138,258,834,31,251,13,88,1199,0,146,8,255,0,3942,7703
10,Kerala,Malappuram,31,20,8,71,3,2,1,9,0,14,319,334,158,176,618,55,235,7,15,1007,2,50,3,395,0,5951,9147
11,Kerala,Palakkad,31,38,2,85,11,9,2,6,0,19,330,272,94,178,584,57,162,1,73,1653,1,102,0,217,0,3334,6978
12,Kerala,Pathanamthitta,31,16,3,7,0,0,0,0,0,7,132,117,55,62,211,18,63,0,16,978,3,106,4,80,0,2256,4048
13,Kerala,Railways,1,1,0,1,0,0,0,2,0,7,1,97,2,95,27,0,0,0,0,21,0,0,0,0,0,19,177
14,Kerala,Thrissur,50,50,11,42,18,13,5,15,0,53,361,363,131,232,576,25,340,13,12,1304,1,198,15,198,0,6234,9879
15,Kerala,Trivandrum,44,66,14,47,25,19,6,25,3,94,627,525,115,410,779,48,347,16,40,2101,2,271,2,259,0,5298,10633
16,Kerala,Wayanadu,12,12,1,33,0,0,0,3,0,13,110,117,32,85,166,12,52,4,4,501,4,56,1,56,0,1043,2200
17,Kerala,Total,465,504,95,552,139,89,50,119,3,375,4321,4026,1367,2659,7149,411,2549,175,359,17928,25,1695,69,2418,0,55656,99033
1,Madhya Pradesh,Balaghat,62,55,12,95,14,12,2,3,3,11,245,245,30,215,43,9,1,0,16,562,7,195,13,58,0,1109,2758
2,Madhya Pradesh,Barwani,57,46,2,42,18,18,0,3,2,27,164,287,21,266,37,7,14,0,9,186,3,88,12,22,0,1807,2833
3,Madhya Pradesh,Bastar,90,42,2,66,14,11,3,4,0,39,183,148,40,108,50,7,29,2,17,213,1,56,4,17,0,1312,2296
4,Madhya Pradesh,Betul,51,75,0,107,20,20,0,3,0,15,193,257,30,227,41,4,25,0,12,501,5,169,20,58,0,999,2555
5,Madhya Pradesh,Bhind,69,108,4,29,69,8,61,1,8,45,248,303,23,280,116,6,22,0,32,817,33,88,7,42,0,1938,3985
6,Madhya Pradesh,Bhopal,66,105,0,87,60,43,17,6,1,105,785,1596,451,1145,90,21,172,3,22,791,20,188,29,90,0,8913,13150
7,Madhya Pradesh,Bhopal Rly.,4,2,0,2,2,1,1,0,0,23,7,711,10,701,1,1,10,0,0,1,1,9,5,1,0,249,1029
8,Madhya Pradesh,Bilaspur,77,41,15,54,21,20,1,2,1,48,549,555,70,485,150,12,54,1,22,385,13,180,14,86,0,1943,4223
9,Madhya Pradesh,Chhatarpur,53,81,2,75,21,15,6,6,4,50,304,254,0,254,155,3,15,0,35,478,19,186,19,57,0,1800,3617
10,Madhya Pradesh,Chhindwara,83,57,14,108,10,10,0,4,0,30,170,237,22,215,37,10,65,0,23,1059,9,194,25,104,0,1433,3672
11,Madhya Pradesh,Damoh,47,63,0,62,17,11,6,0,1,22,142,142,23,119,43,4,12,0,31,953,26,208,0,58,0,1055,2886
12,Madhya Pradesh,Dantewada,107,41,0,15,4,2,2,12,1,6,49,69,5,64,32,7,9,0,12,124,1,20,2,4,0,317,832
13,Madhya Pradesh,Datiya,58,65,0,13,16,7,9,2,3,16,70,118,12,106,22,4,22,0,10,493,15,44,0,21,0,955,1947
14,Madhya Pradesh,Dewas,40,69,0,78,16,12,4,4,7,36,296,582,102,480,112,15,22,0,32,385,18,188,75,50,0,2419,4444
15,Madhya Pradesh,Dhamtari,15,12,0,20,5,5,0,0,0,4,125,131,14,117,12,4,6,0,3,72,2,49,4,9,0,475,948
16,Madhya Pradesh,Dhar,91,63,0,100,31,27,4,0,4,41,291,625,53,572,44,33,26,0,32,739,6,167,9,56,0,2771,5129
17,Madhya Pradesh,Dindori,20,10,0,21,10,9,1,1,1,4,69,64,2,62,5,5,12,0,6,134,0,41,3,9,0,353,768
18,Madhya Pradesh,Durg,56,83,0,136,32,27,5,3,6,74,715,1065,174,891,57,14,62,2,38,539,8,262,52,113,0,3422,6739
19,Madhya Pradesh,Guna,62,94,14,140,18,13,5,7,3,52,553,477,39,438,224,17,40,6,37,1458,10,340,24,82,0,2349,6007
20,Madhya Pradesh,Gwalior,102,144,0,51,50,29,21,8,8,105,916,1177,317,860,134,18,67,1,30,1186,32,157,7,59,0,4008,8260
21,Madhya Pradesh,Harda,16,12,0,20,4,4,0,0,0,9,61,76,10,66,18,4,4,0,3,116,4,41,4,10,0,295,697
22,Madhya Pradesh,Hoshangabad,57,62,0,56,14,12,2,0,1,19,234,383,49,334,24,8,14,0,6,532,11,92,6,22,0,1068,2609
23,Madhya Pradesh,Indore,112,142,4,77,65,51,14,6,14,88,916,2874,1292,1582,98,84,161,3,32,1275,35,161,37,195,0,6837,13216
24,Madhya Pradesh,Indore Rly.,4,3,2,2,0,0,0,1,0,6,7,142,0,142,0,1,4,0,0,10,0,0,0,0,0,84,266
25,Madhya Pradesh,Jabalpur,86,132,45,120,46,34,12,0,1,85,617,928,295,633,102,38,61,0,17,2123,45,246,40,108,0,3688,8528
26,Madhya Pradesh,Jabalpur Rly.,6,3,1,0,0,0,0,2,0,7,3,220,2,218,1,0,1,0,0,5,1,1,0,0,0,103,354
27,Madhya Pradesh,Janjgir,44,18,0,53,9,8,1,1,1,23,235,220,22,198,77,4,22,3,23,258,9,86,8,61,0,736,1891
28,Madhya Pradesh,Jashpur,63,15,3,38,3,1,2,7,0,18,112,82,5,77,9,0,5,0,9,121,1,36,1,7,0,246,776
29,Madhya Pradesh,Jhabua,168,157,0,42,67,64,3,14,8,26,141,245,17,228,67,6,9,0,68,1110,4,136,4,16,0,1003,3291
30,Madhya Pradesh,Kanker,31,16,19,30,3,3,0,5,0,3,54,57,11,46,30,5,6,0,9,23,2,44,0,9,0,406,752
31,Madhya Pradesh,Katni,28,25,1,29,7,0,7,1,5,22,182,149,14,135,31,2,13,0,13,580,17,107,12,47,0,820,2091
32,Madhya Pradesh,Kawardha,24,16,4,29,0,0,0,1,1,3,76,86,3,83,13,2,11,0,9,129,4,66,7,20,0,271,772
33,Madhya Pradesh,Khandwa,54,37,0,54,14,13,1,3,2,21,244,318,37,281,48,15,22,0,15,127,10,177,13,45,0,2143,3362
34,Madhya Pradesh,Khargon,30,56,1,56,40,39,1,12,5,33,222,519,24,495,96,5,17,0,23,455,11,194,27,44,0,2705,4551
35,Madhya Pradesh,Korba,38,16,0,36,5,3,2,1,0,5,221,293,41,252,54,1,25,1,6,225,5,77,13,25,0,843,1890
36,Madhya Pradesh,Koriya,28,18,6,43,3,3,0,0,0,10,232,169,21,148,38,2,17,1,11,168,3,98,6,41,0,834,1728
37,Madhya Pradesh,Mahasamund,26,14,2,31,2,2,0,0,1,6,108,159,15,144,23,7,9,0,14,184,9,70,10,17,0,492,1184
38,Madhya Pradesh,Mandla,32,17,0,68,5,5,0,0,1,7,135,153,7,146,12,4,24,0,9,468,1,191,24,69,0,908,2128
39,Madhya Pradesh,Mandsaur,26,30,0,36,10,7,3,4,0,20,181,377,52,325,62,11,23,0,18,367,8,96,8,40,0,1141,2458
40,Madhya Pradesh,Muraina,73,71,1,33,33,14,19,8,7,26,226,388,56,332,187,7,10,0,21,1140,18,85,0,24,0,2130,4488
41,Madhya Pradesh,Narasinghpur,45,34,1,42,6,6,0,0,0,6,141,143,30,113,32,5,2,1,12,803,16,116,9,26,0,560,2000
42,Madhya Pradesh,Neemuch,22,18,2,38,4,2,2,2,4,17,195,389,49,340,33,17,45,0,11,279,5,54,10,39,0,785,1969
43,Madhya Pradesh,Panna,23,25,2,30,10,9,1,1,0,19,155,129,6,123,51,5,16,1,10,44,11,108,5,33,0,1292,1970
44,Madhya Pradesh,Raigarh,56,19,0,50,11,6,5,4,0,8,189,170,28,142,38,8,12,0,9,203,3,78,5,11,0,532,1406
45,Madhya Pradesh,Raipur,71,75,0,114,19,13,6,1,0,46,693,825,171,654,103,36,71,9,27,553,15,186,46,69,0,2608,5567
46,Madhya Pradesh,Raipur Rly.,2,3,0,0,1,1,0,0,0,7,14,244,8,236,6,0,9,0,0,19,0,5,3,1,0,95,409
47,Madhya Pradesh,Raisen,55,69,13,75,10,8,2,0,0,13,178,203,9,194,63,8,15,0,6,425,12,210,13,51,4,1480,2903
48,Madhya Pradesh,Rajgarh,46,46,1,90,7,4,3,8,0,43,165,275,43,232,135,10,10,0,49,660,4,191,21,42,0,1915,3718
49,Madhya Pradesh,Rajnandgaon,42,22,0,63,10,7,3,0,0,17,240,222,30,192,18,9,19,0,17,186,1,110,8,48,0,1393,2425
50,Madhya Pradesh,Ratlam,48,61,0,61,20,16,4,2,3,25,193,335,90,245,40,13,50,0,27,376,7,114,16,43,0,1616,3050
51,Madhya Pradesh,Riwa,59,54,0,25,21,18,3,7,1,32,548,371,85,286,117,0,35,4,16,576,16,96,2,48,0,2018,4046
52,Madhya Pradesh,Sagar,81,95,0,133,35,30,5,1,5,57,452,607,40,567,190,12,60,0,49,2553,33,501,0,182,0,2820,7866
53,Madhya Pradesh,Sarguja,102,52,4,131,31,31,0,12,1,21,356,343,32,311,91,5,28,0,19,292,0,262,9,53,0,1490,3302
54,Madhya Pradesh,Satna,83,62,6,72,17,12,5,6,0,67,573,518,88,430,84,10,41,1,43,812,27,154,8,67,0,2173,4824
55,Madhya Pradesh,Shahdol,27,25,2,49,4,4,0,1,1,12,140,202,32,170,49,9,13,1,9,363,5,71,13,14,0,1001,2011
56,Madhya Pradesh,Shajapur,67,36,5,46,15,0,15,7,5,34,443,520,37,483,39,7,23,0,28,486,9,238,11,121,0,2095,4235
57,Madhya Pradesh,Sheopur,48,50,1,67,16,14,2,3,8,34,274,461,71,390,56,8,20,1,30,1037,5,142,27,50,0,979,3317
58,Madhya Pradesh,Shivpuri,24,31,0,29,18,1,17,3,1,4,52,80,7,73,63,5,2,0,2,265,2,43,0,13,0,453,1090
59,Madhya Pradesh,Sidhi,76,64,1,83,17,10,7,9,9,30,202,269,238,31,135,9,16,2,65,638,13,169,3,27,0,2213,4050
60,Madhya Pradesh,Sihore,45,20,3,43,25,22,3,1,1,11,262,259,11,248,28,2,19,1,15,466,16,153,5,85,0,1858,3318
61,Madhya Pradesh,Sivni,36,72,3,86,36,36,0,1,1,18,260,354,44,310,53,18,24,0,27,328,5,104,14,49,0,1750,3239
62,Madhya Pradesh,Tikamgarh,49,36,2,95,7,6,1,1,2,32,141,159,66,93,110,4,11,0,35,141,15,142,1,25,0,1796,2804
63,Madhya Pradesh,Ujjain,82,147,0,52,43,36,7,3,4,81,795,1196,262,934,130,28,48,0,48,162,29,166,41,110,0,4113,7278
64,Madhya Pradesh,Umariya,21,12,23,28,6,6,0,2,0,18,150,148,7,141,43,4,10,0,10,120,3,51,1,28,0,634,1312
65,Madhya Pradesh,Vidisha,49,43,0,81,10,8,2,0,0,8,153,231,38,193,67,13,18,0,16,801,6,219,25,61,0,1421,3222
66,Madhya Pradesh,Total,3415,3287,223,3737,1177,869,308,210,146,1850,17245,25534,4933,20601,4169,652,1760,44,1305,33080,685,8516,840,3092,4,105470,216441
1,Maharashtra,Ahmednagar,92,47,2,42,25,21,4,9,8,87,341,763,154,609,211,45,40,1,46,607,0,72,1,520,0,1316,4275
2,Maharashtra,Akola,82,45,0,26,28,24,4,8,1,45,420,806,128,678,77,22,53,11,46,849,6,77,4,189,0,1314,4109
3,Maharashtra,Amravati Commr.,22,31,1,20,24,17,7,7,4,54,296,873,4,869,115,16,34,2,25,424,5,36,14,89,0,797,2889
4,Maharashtra,Amravati Rural,70,44,4,72,23,19,4,4,0,52,505,1196,28,1168,118,33,49,0,39,900,8,173,31,254,0,1341,4916
5,Maharashtra,Aurangabad Commr.,38,16,0,12,22,19,3,7,0,34,293,449,154,295,104,10,88,0,11,304,0,32,6,151,0,831,2408
6,Maharashtra,Aurangabad Rural,62,15,0,22,8,6,2,9,1,42,146,288,28,260,115,8,26,0,32,813,11,47,14,300,0,830,2789
7,Maharashtra,Beed,60,47,2,13,30,21,9,15,3,78,240,439,52,387,174,11,36,0,45,947,4,57,10,175,0,990,3376
8,Maharashtra,Bhandara,37,16,1,37,16,16,0,4,0,18,216,404,38,366,62,13,36,2,50,411,8,71,33,52,0,752,2239
9,Maharashtra,Buldhana,57,33,2,33,15,12,3,7,1,21,157,602,32,570,90,20,37,0,47,664,23,96,30,215,0,1020,3170
10,Maharashtra,Chandrapur,59,20,4,36,34,28,6,6,0,20,219,564,64,500,93,14,53,2,38,527,4,133,20,191,0,1141,3178
11,Maharashtra,Dhule,43,15,3,10,10,8,2,17,0,18,163,413,60,353,103,35,57,0,11,428,33,18,10,189,0,1120,2696
12,Maharashtra,Gadchiroli,48,16,1,23,15,0,15,8,0,11,90,100,5,95,24,7,14,0,35,258,1,58,22,50,0,395,1176
13,Maharashtra,Gondia,55,13,1,37,7,6,1,0,0,19,241,445,0,445,17,11,28,2,36,422,7,98,24,102,0,669,2234
14,Maharashtra,Hingoli,33,17,0,6,11,9,2,6,0,41,94,220,15,205,76,6,20,0,17,449,1,48,13,151,0,461,1670
15,Maharashtra,Jalgaon,103,45,0,39,29,18,11,13,6,38,259,722,91,631,139,36,126,0,28,766,0,68,39,453,0,1719,4628
16,Maharashtra,Jalna,45,18,0,11,20,15,5,11,1,32,181,352,46,306,98,21,39,1,38,652,8,47,9,222,0,741,2547
17,Maharashtra,Kolhapur,66,35,4,19,21,14,7,13,2,35,244,539,145,394,166,133,111,2,21,515,34,49,3,200,0,902,3114
18,Maharashtra,Latur,50,17,0,8,22,22,0,5,3,33,154,339,0,339,75,23,38,1,24,903,18,48,8,187,0,1106,3062
19,Maharashtra,Mumbai,311,201,5,124,145,16,129,78,83,569,2838,11690,3215,8475,261,491,1186,154,2,3710,13,206,131,137,0,6903,29238
20,Maharashtra,Mumbai Rly.,6,5,0,1,2,0,2,5,2,41,5,2428,1,2427,22,32,34,0,1,51,0,1,0,0,0,137,2773
21,Maharashtra,Nagpur Commr.,98,87,2,36,57,45,12,16,79,224,1318,2619,818,1801,226,60,224,13,22,1056,9,83,64,198,0,3080,9571
22,Maharashtra,Nagpur Rly.,6,2,0,2,1,0,1,3,0,22,2,795,5,790,13,7,5,6,0,20,0,10,2,0,0,129,1025
23,Maharashtra,Nagpur Rural,89,60,4,72,29,24,5,18,2,77,469,1148,46,1102,194,26,31,1,89,842,5,124,35,84,0,2162,5561
24,Maharashtra,Nanded,96,61,4,25,44,31,13,27,4,108,322,623,78,545,206,32,122,0,91,1272,28,87,17,222,0,1591,4982
25,Maharashtra,Nandurbar,32,17,0,22,11,9,2,4,0,6,85,151,19,132,78,12,21,0,6,276,5,36,7,73,0,377,1219
26,Maharashtra,Nasik Commr.,23,14,0,3,8,4,4,9,1,19,278,438,154,284,132,11,43,1,7,274,6,18,8,73,0,694,2060
27,Maharashtra,Nasik Rural,89,46,1,41,17,11,6,18,2,32,281,425,53,372,278,48,38,2,14,858,14,76,29,369,0,1739,4417
28,Maharashtra,Navi Mumbai,57,20,2,15,31,17,14,15,12,78,455,1038,310,728,86,98,188,0,3,345,3,28,14,65,0,1182,3735
29,Maharashtra,Osmanabad,37,17,1,20,11,6,5,6,2,18,164,289,27,262,91,19,21,0,28,801,3,37,7,103,0,851,2526
30,Maharashtra,Parbhani,51,25,0,23,24,17,7,14,1,57,145,264,38,226,122,7,42,0,28,728,2,45,3,195,0,681,2457
31,Maharashtra,Pune Commr.,77,36,3,49,40,20,20,13,4,83,865,2613,1314,1299,894,94,231,4,12,933,1,57,98,121,0,2713,8941
32,Maharashtra,Pune Rly.,1,1,0,0,0,0,0,0,1,7,0,356,5,351,3,1,3,0,0,6,1,2,0,0,0,54,436
33,Maharashtra,Pune Rural,107,48,8,42,26,17,9,33,5,74,293,705,210,495,167,37,34,0,33,540,7,93,9,204,0,2114,4579
34,Maharashtra,Raigad,44,14,1,19,8,0,8,25,7,24,138,254,46,208,98,17,23,4,12,225,2,40,15,55,0,952,1977
35,Maharashtra,Ratnagiri,24,3,2,18,9,8,1,5,0,12,112,209,41,168,45,14,18,0,10,219,0,44,19,54,0,645,1462
36,Maharashtra,Sangli,87,35,2,34,20,18,2,14,4,26,222,580,122,458,126,28,61,0,46,593,10,53,10,93,0,1077,3121
37,Maharashtra,Satara,72,20,9,25,14,2,12,6,1,25,272,534,97,437,73,21,30,3,11,520,52,45,9,219,0,1943,3904
38,Maharashtra,Sindhudurg,8,2,0,12,5,4,1,2,0,5,113,128,11,117,22,6,8,1,20,183,0,22,17,8,0,277,839
