SI.No.,States/UT/City,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,Protection of Civil Rights Act - Incidence,Protection of Civil Rights Act - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activites Act - Incidence,Terrorist & Disruptive Activites Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women (P)Act - Incidence,Indecent Representation of Women (P)Act - Rate,Copy Right Act - Incidence,Copy Right Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev. Of Atrocities ) Act - Incidence,SC/ST (Prev. Of Atrocities ) Act - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes under SLL - Incidence,Total Cognizable Crimes under SLL - Rate
11,Kerala,249,0.8,512,1.6,1927,6,347,1.1,6396,19.8,254,0.8,92,0.3,18,0.1,4,0,0,0,23,0.1,63,0.2,0,0,1,0,7,0,1,0,35,0.1,121,0.4,0,0,257,0.8,52,0.2,13170,40.7,23529,72.7
12,Madhya Pradesh,7710,9.6,1159,1.4,25728,32.1,33273,41.5,0,0,437,0.5,23,0,15005,18.7,3,0,32,0,2,0,206,0.3,0,0,2,0,136,0.2,3,0,0,0,146,0.2,0,0,1365,1.7,50,0.1,168539,210.1,253819,316.4
13,Maharashtra,1215,1.3,494,0.5,19871,21.7,0,0,125721,137.5,62,0.1,160,0.2,6319,6.9,37,0,128,0.1,14,0,865,0.9,0,0,1,0,22,0,33,0,149,0.2,608,0.7,0,0,196,0.2,24,0,19368,21.2,175287,191.7
14,Manipur,47,1.9,114,4.5,1,0,0,0,0,0,17,0.7,0,0,0,0,6,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,27.2,875,34.5
15,Meghalaya,40,1.6,20,0.8,16,0.7,18,0.7,1,0,16,0.7,0,0,0,0,4,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,53,2.2,170,6.9
16,Mizoram,13,1.4,45,4.7,1,0.1,0,0,0,0,1,0.1,2,0.2,0,0,189,19.7,0,0,12,1.3,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917,95.6,1181,123.1
17,Nagaland,24,1.4,432,25.5,1,0.1,6,0.4,30,1.8,6,0.4,1,0.1,9,0.5,2,0.1,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,12.4,724,42.7
18,Orissa,278,0.8,144,0.4,599,1.7,2218,6.2,5,0,95,0.3,17,0,8,0,1,0,0,0,0,0,83,0.2,0,0,0,0,424,1.2,0,0,0,0,8,0,0,0,667,1.9,0,0,185,0.5,4732,13.2
19,Punjab,1063,4.5,2192,9.3,2948,12.5,16736,70.8,4,0,24,0.1,26,0.1,124,0.5,12,0.1,2,0,48,0.2,133,0.6,0,0,0,0,3,0,2,0,5,0,33,0.1,0,0,27,0.1,0,0,484,2,23866,101
20,Rajasthan,1650,3.1,665,1.2,7040,13.1,6529,12.1,0,0,367,0.7,110,0.2,1474,2.7,5,0,0,0,26,0,294,0.5,0,0,0,0,3,0,4,0,29,0.1,214,0.4,0,0,4413,8.2,1317,2.4,4244,7.9,28384,52.7
21,Sikkim,3,0.5,4,0.7,0,0,96,17.1,0,0,0,0,0,0,0,0,3,0.5,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,49.6,386,68.7
22,Tamil Nadu,227,0.4,3222,5.2,18409,29.7,1,0,295789,477.6,376,0.6,6950,11.2,80,0.1,20,0,211,0.3,34,0.1,139,0.2,0,0,6,0,287,0.5,0,0,2,0,353,0.6,0,0,799,1.3,17,0,250045,403.7,576967,931.6
23,Tripura,50,1.3,13,0.3,3,0.1,0,0,0,0,14,0.4,0,0,0,0,0,0,0,0,0,0,23,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,106,2.8
24,Uttar Pradesh,36640,21.4,9700,5.7,5149,3,26890,15.7,0,0,1293,0.8,30,0,13037,7.6,7,0,0,0,9,0,1005,0.6,0,0,1,0,256,0.1,0,0,4,0,136,0.1,0,0,4199,2.4,2677,1.6,353827,206.3,454860,265.2
25,West Bengal,1633,2.1,487,0.6,731,0.9,1078,1.4,1,0,204,0.3,49,0.1,4895,6.2,1030,1.3,0,0,10,0,491,0.6,0,0,3,0,5,0,0,0,5,0,96,0.1,0,0,0,0,1,0,1040859,1312,1051578,1325.5
Total States,Total States,57341,5.8,22109,2.2,139786,14.2,109570,11.1,537412,54.5,4707,0.5,9367,1,44380,4.5,1405,0.1,793,0.1,276,0,4808,0.5,12,0,37,0,2862,0.3,90,0,661,0.1,2220,0.2,0,0,15134,1.5,4916,0.5,2422448,245.9,3380334,343.1
26,A & N Islands,0,0,5,1.3,9,2.3,2279,587.4,119,30.7,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,2,0.5,0,0,0,0,0,0,0,0,0,0,490,126.3,2907,749.2
27,Chandigarh,9,1,37,4.1,137,15.3,483,54,0,0,2,0.2,6,0.7,0,0,3,0.3,0,0,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,5,0.6,0,0,1,0.1,0,0,88,9.8,774,86.6
28,D & N Haveli,5,2.6,0,0,2,1,4,2.1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,19,9.9,35,18.2
29,Daman & DIU,3,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.8
30,Delhi,2985,21.2,584,4.1,1011,7.2,6474,45.9,0,0,46,0.3,94,0.7,24,0.2,25,0.2,0,0,33,0.2,43,0.3,0,0,1,0,9,0.1,0,0,0,0,139,1,0,0,17,0.1,0,0,341,2.4,11826,83.9
31,Lakshadweep,0,0,0,0,0,0,0,0,5,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,0,0,0,0,6,8.3
32,Pondicherry,4,0.4,4,0.4,14,1.3,1,0.1,0,0,2,0.2,48,4.3,1,0.1,0,0,17,1.5,0,0,15,1.3,0,0,0,0,4,0.4,0,0,1,0.1,0,0,0,0,3,0.3,0,0,666,59.5,780,69.7
Total (UTs),Total (UTs),3006,17.8,630,3.7,1173,6.9,9241,54.7,124,0.7,52,0.3,148,0.9,26,0.2,29,0.2,17,0.1,33,0.2,64,0.4,0,0,1,0,14,0.1,2,0,1,0,144,0.9,0,0,23,0.1,0,0,1604,9.5,16332,96.6
Total (All -India),Total (All -India),60347,6,22739,2.3,140959,14.1,118811,11.9,537536,53.6,4759,0.5,9515,0.9,44406,4.4,1434,0.1,810,0.1,309,0,4872,0.5,12,0,38,0,2876,0.3,92,0,662,0.1,2364,0.2,0,0,15157,1.5,4916,0.5,2424052,241.9,3396666,338.9
33,Ahmedabad,22,0.5,10,0.2,1173,27.4,0,0,5894,137.7,0,0,4,0.1,0,0,0,0,10,0.2,0,0,16,0.4,0,0,1,0,0,0,0,0,0,0,24,0.6,0,0,15,0.4,0,0,4422,103.3,11591,270.8
34,Bangalore,5,0.1,27,0.5,217,3.8,441,7.7,0,0,10,0.2,332,5.8,0,0,6,0.1,3,0.1,18,0.3,62,1.1,0,0,2,0,263,4.6,0,0,0,0,44,0.8,0,0,85,1.5,36,0.6,1713,30,3264,57.2
35,Bhopal,468,27.8,45,2.7,989,58.7,264,15.7,0,0,8,0.5,2,0.1,0,0,1,0.1,0,0,0,0,10,0.6,0,0,0,0,1,0.1,0,0,0,0,5,0.3,0,0,45,2.7,0,0,27,1.6,1865,110.6
36,Calcutta,2,0,158,2.3,1843,27.3,0,0,781,11.6,0,0,3658,54.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,112,1.7,0,0,0,0,0,0,0,0,7,0.1,0,0,63679,943.7,70241,1040.9
37,Chennai,0,0,76,5.8,96,7.4,0,0,85,6.5,5,0.4,147,11.3,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,20,1.5,0,0,10,0.8,1,0.1,2503,192.4,2944,226.3
38,Coimbatore,2835,23.5,578,4.8,1001,8.3,5743,47.6,0,0,46,0.4,94,0.8,24,0.2,25,0.2,0,0,33,0.3,41,0.3,0,0,1,0,9,0.1,0,0,0,0,133,1.1,0,0,16,0.1,0,0,315,2.6,10894,90.3
39,Delhi,81,1.1,20,0.3,441,6.2,21,0.3,742,10.4,17,0.2,20,0.3,0,0,0,0,0,0,22,0.3,0,0,0,0,5,0.1,8,0.1,0,0,191,2.7,6,0.1,0,0,33,0.5,0,0,58223,813.9,59830,836.3
40,Hyderabad,1202,82.6,34,2.3,998,68.6,1212,83.3,0,0,5,0.3,2,0.1,0,0,1,0.1,0,0,0,0,3,0.2,0,0,0,0,2,0.1,0,0,0,0,33,2.3,0,0,0,0,0,0,207,14.2,3699,254.2
41,Indore,128,5.8,37,1.7,439,19.9,647,29.3,4,0.2,8,0.4,10,0.5,0,0,0,0,0,0,17,0.8,10,0.5,0,0,0,0,0,0,0,0,0,0,29,1.3,0,0,74,3.3,3,0.1,377,17.1,1783,80.6
42,Jaipur,1321,53.3,808,32.6,307,12.4,699,28.2,0,0,254,10.3,0,0,0,0,1,0,0,0,0,0,16,0.6,0,0,1,0,32,1.3,0,0,0,0,10,0.4,0,0,91,3.7,41,1.7,24205,976.8,27786,1121.3
43,Kanpur,21,1.1,67,3.7,17,0.9,0,0,104,5.7,4,0.2,5,0.3,0,0,1,0.1,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,3,0.2,2,0.1,0,0,13,0.7,0,0,1388,75.7,1626,88.7
44,Kochi,181,1.4,176,1.3,257,2,982,7.5,0,0,78,0.6,43,0.3,25,0.2,0,0,0,0,0,0,47,0.4,0,0,0,0,0,0,0,0,0,0,70,0.5,0,0,0,0,0,0,1037587,7947.8,1039446,7962.1
45,Lucknow,646,24.2,191,7.1,101,3.8,306,11.4,0,0,21,0.8,3,0.1,0,0,0,0,0,0,0,0,11,0.4,0,0,0,0,5,0.2,0,0,4,0.1,3,0.1,0,0,87,3.3,5,0.2,9578,358.2,10961,409.9
46,Ludhiana,188,10.9,95,5.5,198,11.5,299,17.3,0,0,1,0.1,6,0.3,0,0,0,0,0,0,0,0,30,1.7,0,0,0,0,0,0,0,0,5,0.3,13,0.8,0,0,0,0,0,0,20,1.2,855,49.5
47,Madurai,26,2,175,13.6,412,32.1,0,0,3213,250.2,1,0.1,198,15.4,0,0,0,0,11,0.9,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,9,0.7,0,0,0,0,0,0,19201,1495.4,23247,1810.5
48,Mumbai,300,1.6,133,0.7,635,3.4,0,0,2300,12.3,0,0,117,0.6,5,0,0,0,4,0,3,0,21,0.1,0,0,0,0,0,0,0,0,144,0.8,195,1,0,0,0,0,0,0,1999,10.7,5856,31.3
49,Nagpur,265,12.7,46,2.2,599,28.6,0,0,1934,92.4,1,0,4,0.2,2,0.1,0,0,2,0.1,0,0,39,1.9,0,0,0,0,4,0.2,0,0,0,0,16,0.8,0,0,5,0.2,0,0,712,34,3629,173.5
50,Patna,167,12.8,2,0.2,16,1.2,74,5.7,0,0,26,2,3,0.2,0,0,1,0.1,0,0,0,0,7,0.5,0,0,0,0,21,1.6,1,0.1,0,0,2,0.2,0,0,11,0.8,0,0,16,1.2,347,26.7
51,Pune,15,0.4,10,0.3,208,5.8,0,0,6441,179.2,0,0,5,0.1,2,0.1,37,1,2,0.1,0,0,8,0.2,0,0,0,0,1,0,0,0,0,0,36,1,0,0,5,0.1,0,0,3429,95.4,10199,283.8
52,Surat,45,1.8,6,0.2,507,20.8,0,0,11375,466,12,0.5,36,1.5,0,0,11,0.5,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,71,2.9,0,0,4,0.2,1,0,6925,283.7,18995,778.2
53,Vadodra,12,0.7,6,0.4,285,17.2,0,0,6460,389.6,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0,0,0,0,0,0,2,0.1,0,0,20,1.2,0,0,4,0.2,0,0,1269,76.5,8061,486.2
54,Varanasi,523,39.9,544,41.5,74,5.6,187,14.3,0,0,30,2.3,3,0.2,0,0,0,0,0,0,0,0,39,3,0,0,0,0,4,0.3,0,0,0,0,2,0.2,0,0,23,1.8,4,0.3,6764,516.3,8197,625.7
55,Vishakhapatnam,0,0,2,0.1,1250,70.1,15,0.8,83,4.7,3,0.2,20,1.1,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,5,0.3,0,0,86801,4868.3,88184,4945.8
Total Cities,Total Cities,8453,8.6,3246,3.3,12063,12.2,10890,11.1,39416,40,530,0.5,4712,4.8,58,0.1,84,0.1,36,0,93,0.1,367,0.4,0,0,10,0,463,0.5,3,0,347,0.4,745,0.8,0,0,533,0.5,91,0.1,1331360,1351.1,1413500,1434.4
