SL.No.,States/UT/City,Arms Act - 1999,Arms Act - 2000,Arms Act - Percentage Variation Over Previous Year,N.D.P.S. Act - 1999,N.D.P.S. Act - 2000,N.D.P.S. Act - Percentage Variation Over Previous Year,Gambling Act - 1999,Gambling Act - 2000,Gambling Act - Percentage Variation Over Previous Year,Excise Act - 1999,Excise Act - 2000,Excise Act - Percentage Variation Over Previous Year,Prohibition Act - 1999,Prohibition Act - 2000,Prohibition Act - Percentage Variation Over Previous Year,Explosives & Expolosive Substances Act - 1999,Explosives & Expolosive Substances Act - 2000,Explosives & Expolosive Substances Act - Percentage Variation Over Previous Year,Immoral Traffic (prevention ) Act - 1999,Immoral Traffic (prevention ) Act - 2000,Immoral Traffic (prevention ) Act - Percentage Variation Over Previous Year,Indian Railways Act - 1999,Indian Railways Act - 2000,Indian Railways Act - Percentage Variation Over Previous Year,Registration of Foreigners Act - 1999,Registration of Foreigners Act - 2000,Registration of Foreigners Act - Percentage Variation Over Previous Year,Protection of Cvil Rights Act - 1999,Protection of Cvil Rights Act - 2000,Protection of Cvil Rights Act - Percentage Variation Over Previous Year,Indian Passport Act - 1999,Indian Passport Act - 2000,Indian Passport Act - Percentage Variation Over Previous Year,Essential Commodities Act - 1999,Essential Commodities Act - 2000,Essential Commodities Act - Percentage Variation Over Previous Year,Terrorist and Disruptive Activites Act - 1999,Terrorist and Disruptive Activites Act - 2000,Terrorist and Disruptive Activites Act - Percentage Variation Over Previous Year,Antiquity & Art Treasure Act - 1999,Antiquity & Art Treasure Act - 2000,Antiquity & Art Treasure Act - Percentage Variation Over Previous Year,Dowry Prohibition Act - 1999,Dowry Prohibition Act - 2000,Dowry Prohibition Act - Percentage Variation Over Previous Year,Child Marriage Restraint Act - 1999,Child Marriage Restraint Act - 2000,Child Marriage Restraint Act - Percentage Variation Over Previous Year,Indecent Representation of Women (P) Act - 1999,Indecent Representation of Women (P) Act - 2000,Indecent Representation of Women (P) Act - Percentage Variation Over Previous Year,Copy Right Act - 1999,Copy Right Act - 2000,Copy Right Act - Percentage Variation Over Previous Year,Sati Prevention Act - 1999,Sati Prevention Act - 2000,Sati Prevention Act - Percentage Variation Over Previous Year,SC/ST Prevention of Atrocities Act - 1999,SC/ST Prevention of Atrocities Act - 2000,SC/ST Prevention of Atrocities Act - Percentage Variation Over Previous Year,Forest Act - 1999,Forest Act - 2000,Forest Act - Percentage Variation Over Previous Year,Other SLL Crimes - 1999,Other SLL Crimes - 2000,Other SLL Crimes - Percentage Variation Over Previous Year,Total Cognizable Crimes under SLL - 1999,Total Cognizable Crimes under SLL - 2000,Total Cognizable Crimes under SLL - Percentage Variation Over Previous Year
11,Kerala,197,249,26.4,437,512,17.2,1707,1927,12.9,233,347,48.9,5592,6396,14.4,267,254,-4.9,62,92,48.4,13,18,38.5,12,4,-66.7,1,0,-100,41,23,-43.9,78,63,-19.2,0,0,NA,0,1,NA,9,7,-22.2,2,1,-50,9,35,288.9,61,121,98.4,0,0,NA,277,257,-7.2,56,52,-7.1,8771,13170,50.2,17825,23529,32
12,Madhya Pradesh,9701,7710,-20.5,1102,1159,5.2,21936,25728,17.3,26591,33273,25.1,0,0,NA,480,437,-9,33,23,-30.3,13570,15005,10.6,3,3,0,43,32,-25.6,2,2,0,293,206,-29.7,0,0,NA,0,2,NA,197,136,-31,0,3,NA,0,0,NA,186,146,-21.5,0,0,NA,1077,1365,26.7,69,50,-27.5,161668,168539,4.3,236951,253819,7.1
13,Maharashtra,1368,1215,-11.2,685,494,-27.9,15670,19871,26.8,0,0,NA,116890,125721,7.6,74,62,-16.2,390,160,-59,6197,6319,2,74,37,-50,204,128,-37.3,18,14,-22.2,965,865,-10.4,0,0,NA,2,1,-50,14,22,57.1,2,33,1550,147,149,1.4,586,608,3.8,0,0,NA,215,196,-8.8,25,24,-4,241404,19368,-92,384930,175287,-54.5
14,Manipur,20,47,135,66,114,72.7,4,1,-75,0,0,NA,0,0,NA,10,17,70,0,0,NA,0,0,NA,0,6,NA,0,0,NA,0,0,NA,2,1,-50,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,510,689,35.1,612,875,43
15,Meghalaya,54,40,-25.9,12,20,66.7,14,16,14.3,8,18,125,0,1,NA,10,16,60,0,0,NA,0,0,NA,6,4,-33.3,0,0,NA,0,1,NA,1,0,-100,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,3,1,-66.7,0,0,NA,0,0,NA,0,0,NA,10,53,430,118,170,44.1
16,Mizoram,16,13,-18.8,34,45,32.4,10,1,-90,0,0,NA,0,0,NA,2,1,-50,0,2,NA,0,0,NA,80,189,136.2,0,0,NA,42,12,-71.4,6,1,-83.3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,771,917,18.9,961,1181,22.9
17,Nagaland,16,24,50,98,432,340.8,0,1,NA,8,6,-25,27,30,11.1,7,6,-14.3,0,1,NA,11,9,-18.2,0,2,NA,0,0,NA,0,0,NA,0,2,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,184,211,14.7,351,724,106.3
18,Orissa,258,278,7.8,118,144,22,559,599,7.2,220,2218,908.2,1,5,400,58,95,63.8,22,17,-22.7,8,8,0,0,1,NA,0,0,NA,0,0,NA,83,83,0,0,0,NA,0,0,NA,349,424,21.5,0,0,NA,0,0,NA,5,8,60,0,0,NA,617,667,8.1,3,0,-100,153,185,20.9,2454,4732,92.8
19,Punjab,1044,1063,1.8,1741,2192,25.9,2217,2948,33,16676,16736,0.4,0,4,NA,42,24,-42.9,14,26,85.7,139,124,-10.8,14,12,-14.3,5,2,-60,91,48,-47.3,110,133,20.9,0,0,NA,0,0,NA,7,3,-57.1,2,2,0,0,5,NA,35,33,-5.7,0,0,NA,18,27,50,1,0,-100,657,484,-26.3,22813,23866,4.6
20,Rajasthan,1437,1650,14.8,645,665,3.1,5601,7040,25.7,6150,6529,6.2,0,0,NA,282,367,30.1,85,110,29.4,1351,1474,9.1,15,5,-66.7,3,0,-100,17,26,52.9,212,294,38.7,0,0,NA,0,0,NA,3,3,0,6,4,-33.3,8,29,262.5,122,214,75.4,0,0,NA,4572,4413,-3.5,1092,1317,20.6,3627,4244,17,25228,28384,12.5
21,Sikkim,7,3,-57.1,1,4,300,0,0,NA,0,96,NA,0,0,NA,2,0,-100,0,0,NA,0,0,NA,3,3,0,0,0,NA,0,0,NA,3,1,-66.7,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,10,279,2690,26,386,1384.6
22,Tamil Nadu,183,227,24,2409,3222,33.7,16483,18409,11.7,3,1,-66.7,318161,295789,-7,386,376,-2.6,6462,6950,7.6,43,80,86,3,20,566.7,302,211,-30.1,19,34,78.9,33,139,321.2,0,0,NA,0,6,NA,226,287,27,0,0,NA,0,2,NA,175,353,101.7,0,0,NA,673,799,18.7,32,17,-46.9,275143,250045,-9.1,620736,576967,-7.1
23,Tripura,36,50,38.9,2,13,550,6,3,-50,0,0,NA,0,0,NA,5,14,180,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,21,23,9.5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,3,NA,70,106,51.4
24,Uttar Pradesh,34702,36640,5.6,9238,9700,5,4844,5149,6.3,25475,26890,5.6,1,0,-100,860,1293,50.3,24,30,25,5884,13037,121.6,1,7,600,13,0,-100,4,9,125,1222,1005,-17.8,0,0,NA,1,1,0,347,256,-26.2,1,0,-100,6,4,-33.3,213,136,-36.2,0,0,NA,3579,4199,17.3,2869,2677,-6.7,319138,353827,10.9,408422,454860,11.4
25,West Bengal,1511,1633,8.1,330,487,47.6,790,731,-7.5,1675,1078,-35.6,7,1,-85.7,164,204,24.4,39,49,25.6,4641,4895,5.5,1229,1030,-16.2,0,0,NA,12,10,-16.7,730,491,-32.7,0,0,NA,4,3,-25,1,5,400,0,0,NA,0,5,NA,112,96,-14.3,0,0,NA,0,0,NA,25,1,-96,843715,1040859,23.4,854985,1051578,23
Total States,Total States,57963,57341,-1.1,19428,22109,13.8,115560,139786,21,98004,109570,11.8,547272,537412,-1.8,4362,4707,7.9,9223,9367,1.6,36055,44380,23.1,1564,1405,-10.2,980,793,-19.1,433,276,-36.3,5586,4808,-13.9,0,12,NA,15,37,146.7,3050,2862,-6.2,57,90,57.9,212,661,211.8,1835,2220,21,0,0,NA,14579,15134,3.8,5133,4916,-4.2,2208632,2422448,9.7,3129943,3380334,8
26,A & N Islands,0,0,NA,5,5,0,16,9,-43.8,2301,2279,-1,112,119,6.3,2,2,0,5,0,-100,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,NA,1,2,100,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,364,490,34.6,2806,2907,3.6
27,Chandigarh,9,9,0,19,37,94.7,66,137,107.6,324,483,49.1,0,0,NA,8,2,-75,7,6,-14.3,0,0,NA,4,3,NA,0,0,NA,0,0,NA,4,3,-25,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,2,5,150,0,0,NA,0,1,NA,0,0,NA,63,88,39.7,506,774,53
28,D & N Haveli,2,5,150,0,0,NA,0,2,NA,2,4,100,0,0,NA,0,0,NA,0,0,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,3,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,NA,0,0,NA,12,19,58.3,16,35,118.8
29,Daman & DIU,0,3,NA,1,0,-100,1,0,-100,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,2,0,-100,5,4,-20
30,Delhi,2628,2985,13.6,676,584,-13.6,865,1011,16.9,6013,6474,7.7,0,0,NA,27,46,70.4,78,94,20.5,44,24,-45.5,17,25,47.1,6,0,-100,39,33,-15.4,34,43,26.5,0,0,NA,1,1,0,8,9,12.5,0,0,NA,10,0,-100,138,139,0.7,0,0,NA,14,17,21.4,0,0,NA,775,341,-56,11373,11826,4
31,Lakshadweep,0,0,NA,0,0,NA,0,0,NA,0,0,NA,2,5,150,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,NA,0,0,NA,1,0,-100,3,6,100
32,Pondicherry,5,4,-20,3,4,33.3,8,14,75,18,1,-94.4,0,0,NA,0,2,NA,50,48,-4,0,1,NA,1,0,-100,10,17,70,0,0,NA,15,15,0,0,0,NA,0,0,NA,6,4,-33.3,0,0,NA,0,1,NA,5,0,-100,0,0,NA,2,3,50,6,0,-100,2320,666,-71.3,2449,780,-68.2
Total (UTs),Total (UTs),2644,3006,13.7,704,630,-10.5,956,1173,22.7,8658,9241,6.7,114,124,8.8,37,52,40.5,140,148,5.7,44,26,-40.9,23,29,26.1,16,17,6.3,39,33,-15.4,53,64,20.8,0,0,NA,1,1,0,14,14,0,1,2,100,10,1,-90,145,144,-0.7,0,0,NA,16,23,43.8,6,0,-100,3537,1604,-54.7,17158,16332,-4.8
Total (All - India),Total (All -India),60607,60347,-0.4,20132,22739,12.9,116516,140959,21,106662,118811,11.4,547386,537536,-1.8,4399,4759,8.2,9363,9515,1.6,36099,44406,23,1587,1434,-9.6,996,810,-18.7,472,309,-34.5,5639,4872,-13.6,0,12,NA,16,38,137.5,3064,2876,-6.1,58,92,58.6,222,662,198.2,1980,2364,19.4,0,0,NA,14595,15157,3.9,5139,4916,-4.3,2212169,2424052,9.6,3147101,3396666,7.9
33,Ahmedabad,26,22,-15.4,27,10,-63,1350,1173,-13.1,0,0,NA,6801,5894,-13.3,11,0,-100,7,4,-42.9,0,0,NA,0,0,NA,11,10,-9.1,0,0,NA,27,16,-40.7,0,0,NA,0,1,NA,0,0,NA,2,0,-100,0,0,NA,28,24,-14.3,0,0,NA,20,15,-25,0,0,NA,5034,4422,-12.2,13344,11591,-13.1
34,Bangalore,13,5,-61.5,38,27,-28.9,132,217,64.4,616,441,-28.4,8,0,-100,3,10,233.3,292,332,13.7,0,0,NA,23,6,-73.9,1,3,200,40,18,-55,80,62,-22.5,0,0,NA,1,2,100,266,263,-1.1,0,0,NA,0,0,NA,24,44,83.3,0,0,NA,84,85,1.2,69,36,-47.8,814,1713,110.4,2504,3264,30.4
35,Bhopal,288,468,62.5,30,45,50,714,989,38.5,149,264,77.2,0,0,NA,8,8,0,0,2,NA,0,0,NA,1,1,0,0,0,NA,0,0,NA,8,10,25,0,0,NA,0,0,NA,0,1,NA,0,0,NA,0,0,NA,23,5,-78.3,0,0,NA,21,45,114.3,1,0,-100,4,27,575,1247,1865,49.6
36,Calcutta,3,2,-33.3,124,158,27.4,2616,1843,-29.5,0,0,NA,895,781,-12.7,3,0,-100,3349,3658,9.2,0,0,NA,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,55,112,103.6,0,0,NA,0,0,NA,4,0,-100,0,0,NA,2,7,250,0,0,NA,52389,63679,21.6,59441,70241,18.2
37,Chennai,2,0,-100,144,76,-47.2,142,96,-32.4,0,0,NA,375,85,-77.3,3,5,66.7,223,147,-34.1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,4,1,-75,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,4,20,400,0,0,NA,7,10,42.9,32,1,-96.9,3503,2503,-28.5,4439,2944,-33.7
38,Coimbatore,2476,2835,14.5,660,578,-12.4,850,1001,17.8,5346,5743,7.4,0,0,NA,24,46,91.7,76,94,23.7,44,24,-45.5,15,25,66.7,6,0,-100,39,33,-15.4,33,41,24.2,0,0,NA,1,1,0,8,9,12.5,0,0,NA,10,0,-100,136,133,-2.2,0,0,NA,12,16,33.3,0,0,NA,761,315,-58.6,10497,10894,3.8
39,Delhi,90,81,-10,26,20,-23.1,10,441,4310,32,21,-34.4,680,742,9.1,3,17,466.7,9,20,122.2,0,0,NA,0,0,NA,0,0,NA,40,22,-45,0,0,NA,0,0,NA,0,5,NA,2,8,300,0,0,NA,0,191,NA,24,6,-75,0,0,NA,26,33,26.9,0,0,NA,54365,58223,7.1,55307,59830,8.2
40,Hyderabad,1322,1202,-9.1,26,34,30.8,858,998,16.3,1258,1212,-3.7,0,0,NA,19,5,-73.7,5,2,-60,0,0,NA,0,1,NA,0,0,NA,0,0,NA,5,3,-40,0,0,NA,0,0,NA,2,2,0,0,0,NA,0,0,NA,11,33,200,0,0,NA,4,0,-100,0,0,NA,114,207,81.6,3624,3699,2.1
41,Indore,146,128,-12.3,62,37,-40.3,258,439,70.2,553,647,17,0,4,NA,5,8,60,24,10,-58.3,0,0,NA,1,0,-100,0,0,NA,0,17,NA,20,10,-50,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,34,29,-14.7,0,0,NA,77,74,-3.9,10,3,-70,296,377,27.4,1486,1783,20
42,Jaipur,1669,1321,-20.9,983,808,-17.8,298,307,3,808,699,-13.5,0,0,NA,107,254,137.4,1,0,-100,0,0,NA,0,1,NA,0,0,NA,2,0,-100,26,16,-38.5,0,0,NA,1,1,0,21,32,52.4,0,0,NA,0,0,NA,14,10,-28.6,0,0,NA,77,91,18.2,54,41,-24.1,24962,24205,-3,29023,27786,-4.3
43,Kanpur,7,21,200,45,67,48.9,26,17,-34.6,0,0,NA,90,104,15.6,1,4,300,5,5,0,0,0,NA,1,1,0,1,0,-100,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,3,NA,1,2,100,0,0,NA,10,13,30,0,0,NA,1038,1388,33.7,1226,1626,32.6
44,Kochi,184,181,-1.6,161,176,9.3,438,257,-41.3,1638,982,-40,0,0,NA,43,78,81.4,38,43,13.2,26,25,-3.8,0,0,NA,0,0,NA,0,0,NA,63,47,-25.4,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,51,70,37.3,0,0,NA,0,0,NA,0,0,NA,841166,1037587,23.4,843808,1039446,23.2
45,Lucknow,772,646,-16.3,263,191,-27.4,149,101,-32.2,307,306,-0.3,0,0,NA,18,21,16.7,6,3,-50,0,0,NA,0,0,NA,0,0,NA,0,0,NA,10,11,10,0,0,NA,0,0,NA,0,5,NA,0,0,NA,0,4,NA,0,3,NA,0,0,NA,52,87,67.3,24,5,-79.2,13646,9578,-29.8,15247,10961,-28.1
46,Ludhiana,167,188,12.6,78,95,21.8,134,198,47.8,288,299,3.8,0,0,NA,0,1,NA,4,6,50,0,0,NA,0,0,NA,1,0,-100,0,0,NA,18,30,66.7,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,5,NA,15,13,-13.3,0,0,NA,0,0,NA,1,0,-100,58,20,-65.5,764,855,11.9
47,Madurai,9,26,188.9,171,175,2.3,397,412,3.8,1,0,-100,3284,3213,-2.2,2,1,-50,208,198,-4.8,0,0,NA,1,0,-100,12,11,-8.3,1,0,-100,2,0,-100,0,0,NA,0,0,NA,0,1,NA,0,0,NA,0,0,NA,3,9,200,0,0,NA,0,0,NA,0,0,NA,44871,19201,-57.2,48962,23247,-52.5
48,Mumbai,345,300,-13,278,133,-52.2,2155,635,-70.5,0,0,NA,2443,2300,-5.9,1,0,-100,362,117,-67.7,0,5,NA,3,0,-100,3,4,33.3,11,3,-72.7,48,21,-56.3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,144,144,0,208,195,-6.3,0,0,NA,2,0,-100,0,0,NA,222344,1999,-99.1,228347,5856,-97.4
49,Nagpur,264,265,0.4,41,46,12.2,510,599,17.5,0,0,NA,1959,1934,-1.3,2,1,-50,3,4,33.3,0,2,NA,0,0,NA,1,2,100,0,0,NA,20,39,95,0,0,NA,0,0,NA,0,4,NA,0,0,NA,0,0,NA,18,16,-11.1,0,0,NA,5,5,0,0,0,NA,717,712,-0.7,3540,3629,2.5
50,Patna,221,167,-24.4,2,2,0,23,16,-30.4,105,74,-29.5,0,0,NA,18,26,44.4,2,3,50,0,0,NA,4,1,-75,0,0,NA,0,0,NA,16,7,-56.3,0,0,NA,0,0,NA,38,21,-44.7,0,1,NA,0,0,NA,3,2,-33.3,0,0,NA,11,11,0,0,0,NA,58,16,-72.4,501,347,-30.7
51,Pune,23,15,-34.8,10,10,0,187,208,11.2,0,0,NA,6494,6441,-0.8,0,0,NA,3,5,66.7,1,2,100,69,37,-46.4,0,2,NA,0,0,NA,3,8,166.7,0,0,NA,0,0,NA,0,1,NA,0,0,NA,0,0,NA,52,36,-30.8,0,0,NA,2,5,150,0,0,NA,3834,3429,-10.6,10678,10199,-4.5
52,Surat,29,45,55.2,12,6,-50,483,507,5,0,0,NA,11074,11375,2.7,0,12,NA,29,36,24.1,0,0,NA,1,11,1000,0,0,NA,0,0,NA,0,2,NA,0,0,NA,0,0,NA,0,0,NA,1,0,-100,0,0,NA,41,71,73.2,0,0,NA,6,4,-33.3,0,1,NA,5632,6925,23,17308,18995,9.7
53,Vadodra,13,12,-7.7,4,6,50,237,285,20.3,0,0,NA,5350,6460,20.7,2,0,-100,1,0,-100,0,0,NA,0,0,NA,0,0,NA,0,0,NA,6,3,-50,0,0,NA,0,0,NA,0,0,NA,0,2,NA,0,0,NA,10,20,100,0,0,NA,14,4,-71.4,0,0,NA,1367,1269,-7.2,7004,8061,15.1
54,Varanasi,310,523,68.7,305,544,78.4,36,74,105.6,242,187,-22.7,0,0,NA,22,30,36.4,4,3,-25,0,0,NA,0,0,NA,0,0,NA,0,0,NA,35,39,11.4,0,0,NA,0,0,NA,14,4,-71.4,0,0,NA,0,0,NA,6,2,-66.7,0,0,NA,27,23,-14.8,12,4,-66.7,6422,6764,5.3,7435,8197,10.2
55,Vishakhapatnam,1,0,-100,4,2,-50,673,1250,85.7,50,15,-70,35,83,137.1,0,3,NA,32,20,-37.5,0,0,NA,0,0,NA,32,3,-90.6,0,0,NA,0,0,NA,0,0,NA,0,0,NA,9,0,-100,0,0,NA,0,0,NA,1,2,100,0,0,NA,3,5,66.7,1,0,-100,72026,86801,20.5,72867,88184,21
Total Cities,Total Cities,8380,8453,0.9,3494,3246,-7.1,12676,12063,-4.8,11393,10890,-4.4,39488,39416,-0.2,295,530,79.7,4683,4712,0.6,71,58,-18.3,119,84,-29.4,69,36,-47.8,133,93,-30.1,425,367,-13.6,0,0,NA,3,10,233.3,415,463,11.6,3,3,0,154,347,125.3,711,745,4.8,0,0,NA,462,533,15.4,204,91,-55.4,1355421,1331360,-1.8,1438599,1413500,-1.7
