SI.No.,States/UT/City,Murder - Incidence,Murder - Rate,Attempt to Commit Murder - Incidence,Attempt to Commit Murder - Rate,C.H. Not Amounting to Murder - Incidence,C.H. Not Amounting to Murder - Rate,Rape - Incidence,Rape - Rate,Kidnapping & Abduction Total - Incidence,Kidnapping & Abduction Total - Rate,Kidnapping & Abduction of Women & Girls - Incidence,Kidnapping & Abduction of Women & Girls - Rate,Kidnapping & Abduction of Others - Incidence,Kidnapping & Abduction of Others - Rate,Dacoity of Others - Incidence,Dacoity of Others - Rate,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate,Robbery - Incidence,Robbery - Rate,Burglary - Incidence,Burglary - Rate,Theft - Incidence,Theft - Rate,Auto Theft - Incidence,Auto Theft - Rate,Other Theft - Incidence,Other Theft - Rate,Riots - Incidence,Riots - Rate,Criminal Breach of Trust - Incidence,Criminal Breach of Trust - Rate,Cheating - Incidence,Cheating - Rate,Counterfeiting - Incidence,Counterfeting - Rate,Arson - Incidence,Arson - Rate,Hurt - Incidence,Hurt - Rate,Dowry Deaths - Incidence,Dowry Deaths - Rate,Molestation - Incidence,Molestation - Rate,Sexual Harassment - Incidence,Sexual Harassment - Rate,Cruelty By Husband and Relatives - Incidence,Cruelty By Husband and Relatives - Rate,Importation of Girls - Incidence,Importation of Girls - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
11,Kerala,465,1.4,504,1.6,95,0.3,552,1.7,139,0.4,89,0.3,50,0.2,119,0.4,3,0,375,1.2,4321,13.4,4026,12.4,1367,4.2,2659,8.2,7149,22.1,411,1.3,2549,7.9,175,0.5,359,1.1,17928,55.4,25,0.1,1695,5.2,69,0.2,2418,7.5,0,0,55656,172,99033,306.1
12,Madhya Pradesh,3415,4.3,3287,4.1,223,0.3,3737,4.7,1177,1.5,869,1.1,308,0.4,210,0.3,146,0.2,1850,2.3,17245,21.5,25534,31.8,4933,6.1,20601,25.7,4169,5.2,652,0.8,1760,2.2,44,0.1,1305,1.6,33080,41.2,685,0.9,8516,10.6,840,1,3092,3.9,4,0,105470,131.5,216441,269.8
13,Maharashtra,2857,3.1,1464,1.6,94,0.1,1310,1.4,1050,1.1,662,0.7,388,0.4,553,0.6,288,0.3,2530,2.8,14930,16.3,41470,45.4,8516,9.3,32954,36,5633,6.2,1701,1.9,3877,4.2,230,0.3,1212,1.3,28642,31.3,371,0.4,2805,3.1,930,1,6768,7.4,0,0,54751,59.9,173466,189.7
14,Manipur,217,8.6,142,5.6,5,0.2,8,0.3,92,3.6,44,1.7,48,1.9,12,0.5,1,0,27,1.1,74,2.9,211,8.3,58,2.3,153,6,94,3.7,13,0.5,142,5.6,17,0.7,61,2.4,258,10.2,0,0,18,0.7,0,0,4,0.2,0,0,1181,46.6,2577,101.7
15,Meghalaya,124,5.1,49,2,5,0.2,35,1.4,31,1.3,13,0.5,18,0.7,92,3.8,1,0,125,5.1,167,6.8,380,15.5,27,1.1,353,14.4,10,0.4,15,0.6,33,1.3,6,0.2,21,0.9,102,4.2,0,0,8,0.3,13,0.5,0,0,0,0,485,19.8,1702,69.4
16,Mizoram,40,4.2,17,1.8,8,0.8,58,6,10,1,3,0.3,7,0.7,6,0.6,0,0,17,1.8,384,40,936,97.6,32,3.3,904,94.3,2,0.2,34,3.5,103,10.7,11,1.1,11,1.1,105,10.9,0,0,70,7.3,0,0,0,0,0,0,504,52.6,2316,241.5
17,Nagaland,111,6.5,37,2.2,16,0.9,14,0.8,31,1.8,4,0.2,27,1.6,42,2.5,6,0.4,125,7.4,171,10.1,261,15.4,84,5,177,10.4,11,0.6,6,0.4,65,3.8,4,0.2,3,0.2,34,2,1,0.1,2,0.1,0,0,0,0,0,0,428,25.2,1368,80.7
18,Orissa,1138,3.2,1088,3,37,0.1,747,2.1,434,1.2,359,1,75,0.2,283,0.8,47,0.1,1188,3.3,3589,10,6454,17.9,738,2.1,5716,15.9,1505,4.2,285,0.8,635,1.8,13,0,358,1,4208,11.7,276,0.8,1658,4.6,135,0.4,1088,3,13,0,24240,67.4,49419,137.4
19,Punjab,797,3.4,668,2.8,80,0.3,334,1.4,464,2,292,1.2,172,0.7,21,0.1,98,0.4,62,0.3,1757,7.4,2509,10.6,939,4,1570,6.6,0,0,326,1.4,2235,9.5,77,0.3,72,0.3,3571,15.1,199,0.8,340,1.4,40,0.2,917,3.9,0,0,9807,41.5,24374,103.2
20,Rajasthan,1513,2.8,2005,3.7,69,0.1,1242,2.3,3070,5.7,2550,4.7,520,1,99,0.2,24,0,1021,1.9,8065,15,17026,31.6,3920,7.3,13106,24.3,15687,29.1,858,1.6,6338,11.8,110,0.2,1104,2,16776,31.1,429,0.8,3092,5.7,50,0.1,5437,10.1,0,0,76968,142.9,160983,298.8
21,Sikkim,19,3.4,11,2,1,0.2,6,1.1,2,0.4,1,0.2,1,0.2,2,0.4,0,0,2,0.4,74,13.2,61,10.9,0,0,61,10.9,17,3,4,0.7,17,3,0,0,1,0.2,72,12.8,0,0,0,0,0,0,14,2.5,0,0,129,23,432,76.9
22,Tamil Nadu,1711,2.8,1834,3,31,0.1,538,0.9,1182,1.9,805,1.3,377,0.6,159,0.3,11,0,660,1.1,5580,9,17255,27.9,4234,6.8,13021,21,5005,8.1,432,0.7,2221,3.6,248,0.4,1137,1.8,28208,45.5,191,0.3,1948,3.1,2167,3.5,837,1.4,7,0,79967,129.1,151329,244.3
23,Tripura,306,8,56,1.5,0,0,86,2.3,293,7.7,40,1.1,253,6.6,37,1,0,0,71,1.9,237,6.2,294,7.7,3,0.1,291,7.6,286,7.5,26,0.7,28,0.7,6,0.2,87,2.3,518,13.6,16,0.4,59,1.5,0,0,129,3.4,0,0,837,22,3372,88.6
24,Uttar Pradesh,7755,4.5,8329,4.9,1176,0.7,1865,1.1,4233,2.5,2755,1.6,1478,0.9,920,0.5,62,0,4171,2.4,9569,5.6,27449,16,5602,3.3,21847,12.7,7682,4.5,3445,2,5207,3,125,0.1,863,0.5,14221,8.3,2222,1.3,2607,1.5,3160,1.8,6021,3.5,0,0,64586,37.6,175668,102.4
25,West Bengal,1892,2.4,503,0.6,683,0.9,814,1,926,1.2,749,0.9,177,0.2,353,0.4,306,0.4,817,1,454,0.6,15624,19.7,2498,3.1,13126,16.5,3899,4.9,534,0.7,1187,1.5,103,0.1,171,0.2,3990,5,284,0.4,1057,1.3,55,0.1,4025,5.1,0,0,28157,35.5,65834,83
Total States,Total States,36737,3.7,30089,3.1,3706,0.4,16023,1.6,21427,2.2,13952,1.4,7475,0.8,6748,0.7,1464,0.1,20143,2,101454,10.3,235830,23.9,49814,5.1,186016,18.9,80025,8.1,14043,1.4,39543,4,2237,0.2,10294,1,237526,24.1,6865,0.7,32297,3.3,10864,1.1,45617,4.6,64,0,754057,76.5,1707053,173.3
26,A & N Islands,18,4.6,7,1.8,1,0.3,5,1.3,3,0.8,3,0.8,0,0,1,0.3,0,0,8,2.1,71,18.3,89,22.9,6,1.5,83,21.4,29,7.5,6,1.5,17,4.4,0,0,7,1.8,95,24.5,0,0,23,5.9,1,0.3,12,3.1,0,0,359,92.5,752,193.8
27,Chandigarh,19,2.1,20,2.2,5,0.6,23,2.6,67,7.5,52,5.8,15,1.7,1,0.1,0,0,10,1.1,239,26.7,1071,119.8,344,38.5,727,81.3,75,8.4,31,3.5,173,19.4,7,0.8,7,0.8,93,10.4,2,0.2,34,3.8,8,0.9,36,4,0,0,1014,113.4,2935,328.3
28,D & N Haveli,10,5.2,4,2.1,0,0,3,1.6,13,6.8,7,3.6,6,3.1,1,0.5,0,0,2,1,52,27.1,72,37.5,6,3.1,66,34.4,28,14.6,11,5.7,6,3.1,0,0,3,1.6,27,14.1,0,0,4,2.1,1,0.5,2,1,0,0,201,104.7,440,229.2
29,Daman & Diu,3,2.1,7,5,0,0,1,0.7,5,3.5,3,2.1,2,1.4,3,2.1,0,0,1,0.7,45,31.9,40,28.4,10,7.1,30,21.3,28,19.9,2,1.4,5,3.5,1,0.7,4,2.8,25,17.7,0,0,0,0,0,0,2,1.4,0,0,79,56,251,178
30,Delhi,586,4.2,598,4.2,57,0.4,435,3.1,1346,9.5,998,7.1,348,2.5,70,0.5,41,0.3,758,5.4,3453,24.5,21082,149.6,8043,57.1,13039,92.5,210,1.5,476,3.4,1940,13.8,49,0.3,64,0.5,2258,16,125,0.9,549,3.9,123,0.9,106,0.8,0,0,21923,155.5,56249,399
31,Lakshadweep,0,0,0,0,0,0,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,3,4.2,8,11.1,0,0,8,11.1,0,0,1,1.4,0,0,0,0,1,1.4,2,2.8,0,0,0,0,0,0,0,0,0,0,8,11.1,24,33.3
32,Pondicherry,26,2.3,18,1.6,4,0.4,5,0.4,10,0.9,8,0.7,2,0.2,1,0.1,0,0,4,0.4,74,6.6,396,35.4,192,17.2,204,18.2,61,5.5,11,1,17,1.5,5,0.4,12,1.1,554,49.5,3,0.3,33,2.9,27,2.4,3,0.3,0,0,2116,189.1,3380,302.1
Total (UTs),Total (UTs),662,3.9,654,3.9,67,0.4,473,2.8,1444,8.5,1071,6.3,373,2.2,77,0.5,41,0.2,783,4.6,3937,23.3,22758,134.6,8601,50.9,14157,83.8,431,2.5,538,3.2,2158,12.8,62,0.4,98,0.6,3054,18.1,130,0.8,643,3.8,160,0.9,161,1,0,0,25700,152.1,64031,378.8
Total (All -India),Total (All -India),37399,3.7,30743,3.1,3773,0.4,16496,1.6,22871,2.3,15023,1.5,7848,0.8,6825,0.7,1505,0.2,20926,2.1,105391,10.5,258588,25.8,58415,5.8,200173,20,80456,8,14581,1.5,41701,4.2,2299,0.2,10392,1,240580,24,6995,0.7,32940,3.3,11024,1.1,45778,4.6,64,0,779757,77.8,1771084,176.7
33,Ahmedabad,111,2.6,58,1.4,5,0.1,11,0.3,149,3.5,72,1.7,77,1.8,22,0.5,2,0,226,5.3,811,18.9,3593,83.9,1540,36,2053,48,257,6,123,2.9,246,5.7,9,0.2,6,0.1,1317,30.8,3,0.1,35,0.8,28,0.7,357,8.3,0,0,6781,158.4,14150,330.5
34,Bangalore,212,3.7,311,5.5,2,0,27,0.5,127,2.2,68,1.2,59,1,29,0.5,18,0.3,391,6.9,2469,43.3,6635,116.3,2453,43,4182,73.3,289,5.1,214,3.8,1418,24.9,611,10.7,7,0.1,3466,60.7,55,1,219,3.8,41,0.7,250,4.4,0,0,10393,182.1,27184,476.4
35,Bhopal,46,2.7,79,4.7,0,0,54,3.2,55,3.3,38,2.3,17,1,4,0.2,1,0.1,91,5.4,710,42.1,1443,85.6,440,26.1,1003,59.5,70,4.2,21,1.2,169,10,3,0.2,9,0.5,968,57.4,12,0.7,116,6.9,25,1.5,72,4.3,0,0,7013,416,10961,650.1
36,Calcutta,62,0.9,169,2.5,0,0,24,0.4,40,0.6,13,0.2,27,0.4,14,0.2,0,0,100,1.5,640,9.5,2270,33.6,376,5.6,1894,28.1,86,1.3,80,1.2,610,9,96,1.4,0,0,644,9.5,22,0.3,47,0.7,49,0.7,112,1.7,0,0,1147,17,6212,92.1
37,Chennai,18,1.4,17,1.3,0,0,6,0.5,19,1.5,11,0.8,8,0.6,5,0.4,1,0.1,30,2.3,191,14.7,954,73.3,336,25.8,618,47.5,72,5.5,37,2.8,77,5.9,15,1.2,4,0.3,189,14.5,7,0.5,17,1.3,60,4.6,35,2.7,0,0,1914,147.1,3668,281.9
38,Coimbatore,477,4,536,4.4,52,0.4,374,3.1,1177,9.8,869,7.2,308,2.6,51,0.4,37,0.3,671,5.6,3140,26,19780,164,7603,63.1,12177,101,171,1.4,448,3.7,1866,15.5,48,0.4,57,0.5,2031,16.8,102,0.8,488,4,110,0.9,76,0.6,0,0,19632,162.8,51324,425.6
39,Delhi,115,1.6,104,1.5,4,0.1,50,0.7,76,1.1,36,0.5,40,0.6,6,0.1,0,0,52,0.7,1179,16.5,3007,42,1103,15.4,1904,26.6,141,2,100,1.4,1292,18.1,29,0.4,0,0,2818,39.4,32,0.4,98,1.4,38,0.5,754,10.5,0,0,1697,23.7,11592,162
40,Hyderabad,76,5.2,114,7.8,3,0.2,49,3.4,56,3.8,43,3,13,0.9,5,0.3,14,1,69,4.7,806,55.4,2580,177.3,1238,85.1,1342,92.2,65,4.5,64,4.4,138,9.5,3,0.2,20,1.4,922,63.4,21,1.4,91,6.3,28,1.9,136,9.3,0,0,5439,373.8,10699,735.3
41,Indore,37,1.7,49,2.2,1,0,35,1.6,189,8.5,165,7.5,24,1.1,2,0.1,0,0,69,3.1,784,35.5,2613,118.2,839,37.9,1774,80.2,1420,64.2,184,8.3,767,34.7,35,1.6,29,1.3,63,2.8,26,1.2,156,7.1,0,0,412,18.6,0,0,6089,275.4,12960,586.2
42,Jaipur,253,10.2,165,6.7,25,1,48,1.9,210,8.5,149,6,61,2.5,20,0.8,2,0.1,178,7.2,338,13.6,1195,48.2,517,20.9,678,27.4,224,9,233,9.4,282,11.4,23,0.9,18,0.7,1067,43.1,71,2.9,77,3.1,260,10.5,319,12.9,0,0,1708,68.9,6716,271
43,Kanpur,14,0.8,23,1.3,8,0.4,10,0.5,7,0.4,5,0.3,2,0.1,9,0.5,0,0,40,2.2,321,17.5,350,19.1,143,7.8,207,11.3,187,10.2,27,1.5,140,7.6,4,0.2,5,0.3,550,30,0,0,52,2.8,4,0.2,46,2.5,0,0,3709,202.2,5506,300.2
44,Kochi,49,0.4,138,1.1,13,0.1,35,0.3,105,0.8,71,0.5,34,0.3,27,0.2,52,0.4,151,1.2,110,0.8,4016,30.8,1034,7.9,2982,22.8,316,2.4,315,2.4,826,6.3,57,0.4,0,0,1279,9.8,15,0.1,152,1.2,46,0.4,196,1.5,0,0,5078,38.9,12976,99.4
45,Lucknow,161,6,128,4.8,27,1,29,1.1,146,5.5,125,4.7,21,0.8,20,0.7,3,0.1,115,4.3,604,22.6,2070,77.4,624,23.3,1446,54.1,250,9.3,215,8,574,21.5,5,0.2,7,0.3,65,2.4,22,0.8,57,2.1,147,5.5,291,10.9,0,0,2555,95.5,7491,280.1
46,Ludhiana,58,3.4,46,2.7,4,0.2,35,2,36,2.1,19,1.1,17,1,0,0,15,0.9,8,0.5,113,6.5,307,17.8,211,12.2,96,5.6,0,0,17,1,215,12.4,3,0.2,4,0.2,105,6.1,12,0.7,8,0.5,0,0,204,11.8,0,0,435,25.2,1625,94
47,Madurai,27,2.1,69,5.4,0,0,8,0.6,22,1.7,11,0.9,11,0.9,7,0.5,0,0,23,1.8,110,8.6,453,35.3,132,10.3,321,25,100,7.8,14,1.1,303,23.6,18,1.4,4,0.3,186,14.5,5,0.4,22,1.7,94,7.3,41,3.2,0,0,2340,182.2,3846,299.5
48,Mumbai,311,1.7,201,1.1,5,0,124,0.7,145,0.8,16,0.1,129,0.7,78,0.4,83,0.4,569,3,2838,15.2,11690,62.5,3215,17.2,8475,45.3,261,1.4,491,2.6,1186,6.3,154,0.8,2,0,3710,19.8,13,0.1,206,1.1,131,0.7,137,0.7,0,0,6903,36.9,29238,156.3
49,Nagpur,98,4.7,87,4.2,2,0.1,36,1.7,57,2.7,45,2.2,12,0.6,16,0.8,79,3.8,224,10.7,1318,63,2619,125.2,818,39.1,1801,86.1,226,10.8,60,2.9,224,10.7,13,0.6,22,1.1,1056,50.5,9,0.4,83,4,64,3.1,198,9.5,0,0,3080,147.2,9571,457.5
50,Patna,227,17.5,269,20.7,31,2.4,26,2,117,9,6,0.5,111,8.5,82,6.3,18,1.4,331,25.5,338,26,1454,111.8,415,31.9,1039,79.9,124,9.5,156,12,285,21.9,5,0.4,20,1.5,144,11.1,34,2.6,21,1.6,0,0,68,5.2,33,2.5,1950,150,5733,441
51,Pune,77,2.1,36,1,3,0.1,49,1.4,40,1.1,20,0.6,20,0.6,13,0.4,4,0.1,83,2.3,865,24.1,2613,72.7,1314,36.6,1299,36.1,894,24.9,94,2.6,231,6.4,4,0.1,12,0.3,933,26,1,0,57,1.6,98,2.7,121,3.4,0,0,2713,75.5,8941,248.8
52,Surat,83,3.4,22,0.9,0,0,16,0.7,67,2.7,40,1.6,27,1.1,35,1.4,0,0,54,2.2,311,12.7,1400,57.4,856,35.1,544,22.3,139,5.7,72,2.9,168,6.9,6,0.2,10,0.4,334,13.7,33,1.4,9,0.4,6,0.2,103,4.2,0,0,1063,43.5,3931,161
53,Vadodra,45,2.7,18,1.1,0,0,6,0.4,53,3.2,42,2.5,11,0.7,8,0.5,0,0,39,2.4,331,20,1059,63.9,447,27,612,36.9,154,9.3,139,8.4,129,7.8,5,0.3,5,0.3,442,26.7,2,0.1,8,0.5,9,0.5,173,10.4,0,0,3032,182.9,5657,341.2
54,Varanasi,47,3.6,77,5.9,11,0.8,12,0.9,29,2.2,23,1.8,6,0.5,3,0.2,1,0.1,56,4.3,79,6,402,30.7,186,14.2,216,16.5,51,3.9,90,6.9,95,7.3,2,0.2,3,0.2,86,6.6,12,0.9,6,0.5,86,6.6,60,4.6,0,0,703,53.7,1911,145.9
55,Vishakhapatnam,16,0.9,27,1.5,0,0,14,0.8,13,0.7,8,0.4,5,0.3,1,0.1,0,0,9,0.5,332,18.6,865,48.5,196,11,669,37.5,10,0.6,37,2.1,181,10.2,2,0.1,7,0.4,448,25.1,3,0.2,41,2.3,4,0.2,192,10.8,0,0,1182,66.3,3384,189.8
Total Cities,Total Cities,2620,2.7,2743,2.8,196,0.2,1078,1.1,2935,3,1895,1.9,1040,1.1,457,0.5,330,0.3,3579,3.6,18738,19,73368,74.5,26036,26.4,47332,48,5507,5.6,3231,3.3,11422,11.6,1150,1.2,251,0.3,22823,23.2,512,0.5,2066,2.1,1328,1.3,4353,4.4,33,0,96556,98,255276,259.1
