SL.No.,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Other IPC Crimes,Total Cog. under IPC
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,3,7,0,7,1,0,0,0,0,2,0,0,0,0,0,0,13
Total (UTs),Total (UTs),9,13,0,9,5,3,2,1,0,6,71,126,2,124,4,0,2,1,1,30,5,4,0,2,0,67,356
Total (All -India),Total (All -India),267,196,27,198,83,54,29,33,7,79,1241,2388,256,2132,532,24,37,3,29,1497,78,151,41,334,0,2022,9267
33,Ahmedabad,1,0,0,0,2,1,1,0,0,0,31,72,44,28,3,0,0,0,0,9,0,0,0,0,0,18,136
34,Bangalore,2,2,0,0,0,0,0,0,1,1,12,46,5,41,0,0,0,0,0,5,1,1,0,0,0,2,73
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Calcutta,0,0,0,0,0,0,0,0,0,0,4,8,0,8,0,0,1,0,0,0,0,0,0,0,0,8,21
37,Chennai,0,0,0,0,0,0,0,0,0,0,4,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12
38,Coimbatore,8,12,0,9,5,3,2,1,0,6,62,102,2,100,1,0,2,1,1,26,5,3,0,2,0,53,299
39,Delhi,0,0,0,0,0,0,0,0,0,0,20,122,0,122,0,0,0,0,0,11,0,0,0,0,0,0,153
40,Hyderabad,4,8,0,2,2,0,2,0,0,2,5,22,0,22,0,0,0,0,0,27,0,4,2,0,0,69,147
41,Indore,0,0,0,0,0,0,0,0,0,0,22,24,5,19,3,0,0,0,0,1,0,1,0,0,0,9,60
42,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Kanpur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,Kochi,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
45,Lucknow,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Madurai,0,3,0,0,0,0,0,6,0,3,14,16,0,16,5,0,0,0,0,6,0,0,0,0,0,4,57
48,Mumbai,5,1,0,3,0,0,0,0,0,7,29,74,0,74,1,0,1,0,0,34,0,6,0,1,0,30,192
49,Nagpur,2,1,0,1,0,0,0,0,0,2,37,31,0,31,2,0,0,0,0,16,0,1,0,0,0,8,101
50,Patna,0,1,0,1,0,0,0,0,0,2,0,6,1,5,2,0,2,0,0,1,1,0,0,2,0,11,29
51,Pune,0,0,0,2,0,0,0,0,0,0,16,44,10,34,2,0,1,2,2,3,0,0,0,0,0,7,79
52,Surat,2,0,0,0,1,0,1,0,0,1,2,14,6,8,2,0,0,0,0,1,0,0,0,4,0,3,30
53,Vadodra,2,1,0,0,0,0,0,0,0,0,6,12,5,7,2,0,0,0,0,17,0,0,0,5,0,9,54
54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,13,53,21,32,0,0,0,0,0,1,0,0,3,0,0,2,72
Total Cities,Total Cities,26,31,0,18,10,4,6,7,1,24,281,655,99,556,23,0,7,3,3,158,7,16,5,14,0,233,1522
