SI.No.,States/UT/City,Number of Victims - Upto 10 Years - Male,Number of Victims - Upto 10 Years - Female,Number of Victims - Upto 10 Years - Total,Number of Victims - 11-15 Years - Male,Number of Victims - 11-15 Years - Female,Number of Victims - 11-15 Years - Total,Number of Victims - 16-18 Years - Male,Number of Victims - 16-18 Years - Female,Number of Victims - 16-18 Years - Total,Number of Victims - 19-30 Years - Male,Number of Victims - 19-30 Years - Female,Number of Victims - 19-30 Years - Total,Number of Victims - 31-50 Years - Male,Number of Victims - 31-50 Years - Female,Number of Victims - 31-50 Years - Total,Number of Victims - Above 50 Years - Male,Number of Victims - Above 50 Years - Female,Number of Victims - Above 50 Years - Total,Number of Victims - total of All Age Groups - Male,Number of Victims - total of All Age Groups - Female,Number of Victims - total of All Age Groups - Total
38,Coimbatore,0,0,0,0,0,0,4,0,4,55,5,60,26,5,31,5,1,6,90,11,101
39,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4
40,Hyderabad,0,0,0,0,0,0,0,0,0,4,0,4,1,0,1,0,0,0,5,0,5
41,Indore,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
42,Jaipur,1,0,1,0,1,1,0,4,4,16,1,17,1,0,1,1,0,1,19,6,25
43,Kanpur,0,0,0,1,0,1,0,0,0,4,0,4,4,0,4,0,0,0,9,0,9
44,Kochi,0,0,0,0,0,0,0,0,0,9,0,9,3,0,3,1,0,1,13,0,13
45,Lucknow,0,0,0,0,0,0,1,0,1,11,0,11,10,0,10,5,0,5,27,0,27
46,Ludhiana,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,1,0,1,5,0,5
47,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Mumbai,0,0,0,0,0,0,1,1,2,0,0,0,3,0,3,0,0,0,4,1,5
49,Nagpur,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2
50,Patna,0,0,0,0,0,0,0,0,0,21,0,21,9,0,9,1,0,1,31,0,31
51,Pune,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,2,1,3
52,Surat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Vadodra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Varanasi,0,0,0,0,0,0,1,0,1,6,0,6,2,0,2,2,0,2,11,0,11
55,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Cities,Total Cities,1,0,1,1,2,3,7,5,12,133,9,142,66,7,73,17,1,18,225,24,249
