SI.No. , State/UT                            ,Arms Act ,NDPS Act ,Gambling Act ,Excise Act ,prohibition Act ,Explosive & Explosive Substances Act,Immoral Traffic Prevention Act,Indian Railways Act  ,Registration of Foreigners Act ,Protection Of Civil Rights  Act,Indian Passport Act ,Essential Commodities Act,Terrorist & Disruptive Actvites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act ,Child Marriage Restraint Act ,Indecent Representation of Women Prohibition Act,Copy Rights Act ,Sati Prevention Act ,SC/ST Prevention of Atrocities Act ,Forest Act ,Other SLL Crimes ,Total Cog. Crimes under SLL 
19,Punjab,95.9,98.6,98.4,99.2,100,69.7,91.7,93.1,90.9,80,89.6,78.7,NA ,NA ,60,0,100,91.2,NA ,85.7,NA ,92.3,98.4
20,Rajasthan,98.9,95.1,100,99.1,NA ,97.5,100,98.3,100,NA ,78.9,93.4,NA ,NA ,100,100,100,99,NA ,95,99.6,92.1,97.9
21,Sikkim ,100,100,NA ,100,NA ,100,NA ,NA ,100,NA ,NA ,100,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,100,100
22,Tamil Nadu,91.1,83.3,100,100,95.2,89.2,100,65.2,100,95.7,90.9,20.8,NA ,100,99.5,NA ,100,99.7,NA ,99.3,50,76.6,88.8
23,Tripura,78.4,93.3,100,NA ,NA ,50,NA ,NA ,NA ,NA ,NA ,73.3,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,50,77.8
24,Uttar Pradesh,98.6,99.4,99.9,99.8,NA ,92,100,98,100,100,85.7,81.9,NA ,100,75.7,NA ,100,97.8,NA ,89.6,95.5,99.4,99.2
25,West Bengal ,90.9,66.3,83.8,99.1,66.7,70.4,96.9,99.7,99.7,NA ,50,80.9,NA ,62.5,100,NA ,NA ,47.3,NA ,NA ,20,99.6,99.5
Total States,Total States,96.9,95.2,99.8,99.1,97.2,85.3,99.8,98.8,99.1,96.6,80.7,88.4,35.6,79.2,92,97.3,96.7,96.3,0,92.6,94.3,97.7,97.7
26,A & N Islands,NA ,100,100,100,100,66.7,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,100,NA ,NA ,NA ,NA ,NA ,96.1,99.4
27,Chandigarh,66.7,91.7,99.3,97.9,NA ,88.9,100,NA ,50,NA ,NA ,100,NA ,NA ,NA ,NA ,NA ,100,NA ,NA ,NA ,89.9,96.5
28,D & N Haveli,100,NA ,100,100,NA ,NA ,NA ,100,NA ,NA ,NA ,100,NA ,NA ,NA ,NA ,NA ,NA ,NA ,100,NA ,100,100
29,Daman & DIU,100,NA ,NA ,NA ,NA ,NA ,NA ,NA ,100,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,100
30,Delhi,98.4,98.9,100,99.4,NA ,90.6,98.9,93.1,100,100,80,96.6,NA ,NA ,100,NA ,NA ,100,NA ,100,NA ,95.6,98.9
31,Lakshadweep,NA ,NA ,NA ,NA ,100,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,0,NA ,0,60
32,Pondicherry,100,100,100,0,NA ,NA ,100,0,0,93.8,NA ,96.1,NA ,NA ,100,NA ,100,100,NA ,100,NA ,98.4,97.9
Total (UTs),Total (UTs),98.3,98.4,99.9,99.5,100,88.6,99.3,90.3,91.3,94.1,80,96.5,0,0,100,100,100,100,0,95.2,0,96.5,98.8
Total (All NAIndia),Total (All NAIndia),96.9,95.3,99.8,99.2,97.2,85.4,99.8,98.8,99,96.5,80.6,88.5,35.6,79.2,92,97.3,96.7,96.6,0,92.6,94.3,97.7,97.7
