SI.No.,States/UT/City,Arms Act,Narcotic Drugs & Psy. Subtances Act,Gambling Act,Excise Act,prohibition Act,Explosive & Expplosive Sub.Act,Immorail Trafic (Prevention) Act,Indian Railways Act,Registration of Foreigners Act,Protection of civil Rights Act,Indian Passport Act,Essenial Commodities Act,Terrorist & Disruptive Activites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copy Right Act,Sati Prevention Act,SC/ST (P) of Atrocities Act,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
44,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Madurai,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,239
48,Mumbai,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25
49,Nagpur,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17
50,Patna,3,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9
51,Pune,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
52,Surat,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,52
53,Vadodra,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,45
54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Vishakhapatnam,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total Cities,Total Cities,10,1,11,14,127,2,1,0,0,0,2,0,0,0,1,2,25,2,0,0,0,500,698
