SI.No.,State/UT,Estimated Mid - Year Population,Murder - Incidence,Murder - Rate,Murder - percentage contribution to All India,Hurt - Incidence,Hurt - Rate,Hurt - percentage contribution to All India,Rape - Incidence,Rape - Rate,Rape - percentage contribution to All India,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - percentage contribution to All India,Dacoity - Incidence,Dacoity - Rate,Dacoity - percentage contribution to All India,Robbery - Incidence,Robbery - Rate,Robbery - percentage contribution to All India,Arson - Incidence,Arson - Rate,Arson - percentage contribution to All India,Prot. of Civl Rights Act - Incidence,Prot. Of Civl Rights Act - Rate,Prot. Of Civl Rights Act - percentage contribution to All India,SC/ST (Prev. of Atroc.) Act - Incidence,SC/ST (Prev. of Atroc.) Act - Rate,SC/ST (Prev. of Atroc.) Act - percentage contribution to All India,Other Offences - Incidence,Other Offences - Rate,Other Offences - percentage contribution to All India,Total - Incidence,Total - Rate,Total - percentage contribution to All India
16,Mizoram,9.6,0,0,0,1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0
17,Nagaland,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,359.6,1,0,1.7,40,0.1,8.9,6,0,1.5,1,0,2.1,0,0,0,0,0,0,0,0,0,7,0,22.6,90,0.3,17.9,83,0.2,3.1,228,0.6,5.4
19,Punjab,236.2,0,0,0,1,0,0.2,2,0,0.5,2,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2,0,0,0,6,0,0.1
20,Rajasthan,538.7,9,0,15.3,39,0.1,8.7,38,0.1,9.4,2,0,4.2,0,0,0,0,0,0,10,0,31.3,0,0,0,54,0.1,10.8,978,1.8,36.8,1130,2.1,27
21,Sikkim,5.6,1,0.2,1.7,2,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9,0.2,8,1.4,0.2
22,Tamil Nadu,619.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16.1,4,0,0.8,0,0,0,9,0,0.2
23,Tripura,38.1,1,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,6.5,0,0,0,0,0,0,3,0.1,0.1
24,Uttar Pradesh,1715.4,3,0,5.1,13,0,2.9,3,0,0.7,3,0,6.3,1,0,20,0,0,0,0,0,0,0,0,0,11,0,2.2,44,0,1.7,78,0,1.9
25,West Bengal,793.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total States,Total States,9852.4,59,0,100,447,0,100,403,0,100,48,0,100,5,0,100,2,0,100,32,0,100,31,0,100,498,0.1,99.2,2660,0.3,100,4185,0.4,99.9
26,A & N Islands,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,1,0.3,0
27,Chandigarh,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.6,0.6,0,0,0,3,1.6,0.1
29,Daman & DIU,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Lakshadweep,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,0.2,0,0,0,1,1.4,0
32,Pondicherry,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.8,1,0,0,5,0,0.1
Total (All -India),Total (All -India),10021.4,59,0,100,447,0,100,403,0,100,48,0,100,5,0,100,2,0,100,32,0,100,31,0,100,502,0.1,100,2661,0.3,100,4190,0.4,100
