SI.No.,State/UT,District/Session Judge - Duration of Trial - Less than 6 month,District/Session Judge - Duration of Trial - 6-12 Months,District/Session Judge - Duration of Trial - 1-3 years,District/Session Judge - Duration of Trial - 3-5 years,District/Session Judge - Duration of Trial - 5-10 years,District/Session Judge - Duration of Trial - Over 10 years,District/Session Judge - Duration of Trial - Total (Col.3 to 8),Additional Session Judge - Duration of Trial - Less Than 6 Month,Additional Session Judge - Duration of Trial - 6-12 Month,Additional Session Judge - Duration of Trial - Less Than 1-3 Years,Additional Session Judge - Duration of Trial - 3-5 Years,Additional Session Judge - Duration of Trial - 5-10 Years,Additional Session Judge - Duration of Trial - Over 10 Years,Additional Session Judge - Duration of Trial - Total (Col. 10 To 15),Chief judicial Magistrate - Duration of Trial - Less than 6 Months,Chief judicial Magistrate - Duration of Trial - 6 -12 Months,Chief judicial Magistrate - Duration of Trial - 1-3 Years,Chief judicial Magistrate - Duration of Trial - 3-5 Years,Chief judicial Magistrate - Duration of Trial - 5-10 Years,Chief judicial Magistrate - Duration of Trial - Over 10 Years,Chief judicial Magistrate - Duration of Trial - Total (Col. 17 To 22),judicial Magistrate (I) - Duration of Trial - Less than 6 Months,judicial Magistrate (I) - Duration of Trial - 6 -12 Months,judicial Magistrate (I) - Duration of Trial - 1-3 Years,judicial Magistrate (I) - Duration of Trial - 3-5 Years,judicial Magistrate (I) - Duration of Trial - 5-10 Years,judicial Magistrate (I) - Duration of Trial - Over 10 Years,judicial Magistrate (I) - Duration of Trial - Total (Col. 24 To 29),judicial Magistrate (II) - Duration of Trial - Less than 6 Months,judicial Magistrate (II) - Duration of Trial - 6 -12 Months,judicial Magistrate (II) - Duration of Trial - 1-3 Years,judicial Magistrate (II) - Duration of Trial - 3-5 Years,judicial Magistrate (II) - Duration of Trial - 5-10 Years,judicial Magistrate (II) - Duration of Trial - Over 10 Years,judicial Magistrate (II) - Duration of Trial - Total (Col. 31 To 36),Special judicial Magistrate - Duration of Trial - Less than 6 Months,Special judicial Magistrate - Duration of Trial - 6 -12 Months,Special judicial Magistrate - Duration of Trial - 1-3 Years,Special judicial Magistrate - Duration of Trial - 3-5 Years,Special judicial Magistrate - Duration of Trial - 5-10 Years,Special judicial Magistrate - Duration of Trial - Over 10 Years,Special judicial Magistrate - Duration of Trial - Total (Col. 38 To 43),Sum of All Type of Courts - Duration of Trial - Less than 6 Months,Sum of All Type of Courts - Duration of Trial - 6-12 Months,Sum of All Type of Courts - Duration of Trial - 1-3 Years,Sum of All Type of Courts - Duration of Trial - 3-5 Years,Sum of All Type of Courts - Duration of Trial - 5-10 Years,Sum of All Type of Courts - Duration of Trial - Over 10 Years,Sum of All Type of Courts - Duration of Trial - Total (Col. 45 To 50)
12,Madhya Pradesh,791,923,1239,356,360,56,3725,506,1459,1322,547,538,193,4565,4213,4324,3623,4825,5416,1082,23483,8795,21521,10585,6751,4088,2923,54663,1932,1805,2909,2597,1723,1598,12564,759,1256,1698,977,180,12,4882,16996,31288,21376,16053,12305,5864,103882
13,Maharashtra,136,195,753,829,815,225,2953,725,1375,2431,2481,1049,279,8340,441,935,2551,2317,1868,724,8836,2063,3376,9201,11203,7281,3258,36382,392,1028,2654,2595,2348,595,9612,116,342,802,558,1445,411,3674,3873,7251,18392,19983,14806,5492,69797
14,Manipur,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,22,15,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,39
15,Meghalaya,1,1,15,13,10,5,45,2,5,14,7,16,11,55,6,12,20,14,9,14,75,6,24,28,24,19,14,115,4,11,11,17,3,9,55,9,14,21,19,10,6,79,28,67,109,94,67,59,424
16,Mizoram,1229,1322,368,24,0,0,2943,10,26,31,16,0,0,83,72,108,33,0,0,0,213,1216,1390,441,100,0,0,3147,427,785,146,12,0,0,1370,0,0,0,0,0,0,0,2954,3631,1019,152,0,0,7756
17,Nagaland,0,0,0,0,0,0,0,2,9,15,0,0,0,26,65,70,15,4,1,0,155,114,77,25,15,12,0,243,72,49,6,0,0,0,127,25,16,5,0,0,0,46,278,221,66,19,13,0,597
18,Orissa,16,98,503,381,284,640,1922,43,187,902,733,1193,454,3512,63,385,1874,1674,1717,514,6227,366,1887,5154,5032,2964,1222,16625,302,1349,3030,3705,1854,876,11116,148,770,1214,1032,468,4,3636,938,4676,12677,12557,8480,3710,43038
19,Punjab,117,454,504,188,40,6,1309,238,576,683,385,120,15,2017,770,633,488,257,38,4,2190,636,904,1050,477,94,37,3198,386,715,730,324,24,0,2179,39,11,17,1,0,0,68,2186,3293,3472,1632,316,62,10961
20,Rajasthan,1391,803,802,819,336,74,4225,1349,861,1409,1640,645,177,6081,1169,2906,4755,3617,1087,307,13841,3068,4374,11869,8673,3672,572,32228,1453,2166,5585,3240,1884,345,14673,560,806,712,590,249,94,3011,8990,11916,25132,18579,7873,1569,74059
21,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Tamil Nadu,1061,284,1620,900,245,0,4110,186,441,1843,1261,348,23,4102,1386,4734,2656,591,167,39,9573,9101,18205,15639,6383,2979,539,52846,12299,11289,9445,4566,2167,599,40365,1034,1198,1260,1122,378,210,5202,25067,36151,32463,14823,6284,1410,116198
23,Tripura,44,37,49,43,27,16,216,16,28,38,27,5,5,119,83,79,27,22,10,3,224,419,99,0,0,0,0,518,221,160,0,0,0,0,381,15,16,0,0,0,0,31,798,419,114,92,42,24,1489
24,Uttar Pradesh,7,125,1620,2413,1725,372,6262,9,220,2826,4897,3408,609,11969,10,722,5694,8208,5152,476,20262,60,854,6690,8007,4609,482,20702,40,677,5557,7657,4315,594,18840,26,238,2726,3754,2229,438,9411,152,2836,25113,34936,21438,2971,87446
25,West Bengal,14,71,589,684,425,77,1860,133,179,712,863,665,69,2621,15,153,1100,1035,589,36,2928,62,348,924,1325,962,37,3658,215,465,2512,1360,674,27,5253,0,29,170,385,168,13,765,439,1245,6007,5652,3483,259,17085
Total States,Total States,5526,5639,13178,10371,6499,2187,43400,3953,7591,20078,18805,11622,2864,64913,12542,25380,38680,35548,23177,4366,139693,45634,84719,116068,81017,40707,13190,381335,29138,33410,58828,40028,20356,6568,188328,4895,8535,13347,10730,6495,1457,45459,101688,165274,260179,196499,108856,30632,863128
26,A & N Islands,0,1,2,1,2,0,6,0,0,0,0,0,0,0,25,40,75,13,20,8,181,8,14,27,22,51,12,134,2,2,9,20,33,8,74,0,0,0,0,0,0,0,35,57,113,56,106,28,395
27,Chandigarh,0,1,3,2,0,0,6,2,4,9,11,8,0,34,64,81,22,47,39,8,261,140,233,278,397,106,12,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,319,312,457,153,20,1467
28,D & N Haveli,0,0,0,7,1,0,8,0,0,0,0,0,0,0,10,24,61,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,61,7,1,0,103
29,Daman & DIU,0,1,7,0,1,0,9,0,0,0,0,0,0,0,10,7,36,28,15,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,43,28,16,0,105
30,Delhi,0,0,0,0,0,0,0,0,0,1393,3904,503,273,6073,318,195,326,398,113,89,1439,1143,1661,23404,24475,6258,625,57566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461,1856,25123,28777,6874,987,65078
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,4
32,Pondicherry,0,1,1,1,0,0,3,4,14,15,6,7,1,47,27,1,9,6,0,0,43,398,570,361,1,0,0,1330,452,304,258,50,1,0,1065,1,2,3,0,0,0,6,882,892,647,64,8,1,2494
Total (UTs),Total (UTs),0,4,13,11,4,0,32,6,18,1417,3921,518,274,6154,454,348,529,492,187,105,2115,1689,2479,24071,24897,6415,649,60200,454,306,267,70,34,8,1139,1,2,3,0,0,0,6,2604,3157,26300,29391,7158,1036,69646
Total (All NAIndia),Total (All NAIndia),5526,5643,13191,10382,6503,2187,43432,3959,7609,21495,22726,12140,3138,71067,12996,25728,39209,36040,23364,4471,141808,47323,87198,140139,105914,47122,13839,441535,29592,33716,590095,40098,20390,6576,189467,4896,8537,13350,10730,6495,1457,45465,104292,168431,286479,225890,116014,31668,932774*
33,Ahmedabad,29,31,79,56,18,4,217,0,0,9,6,2,0,17,108,114,122,112,234,22,712,806,660,592,314,39,4,2415,75,150,230,10,0,0,465,0,0,0,0,0,0,0,1018,955,1032,498,293,30,3826
34,Bangalore,1,9,266,168,50,9,503,0,4,47,12,3,0,66,53,3842,1816,1373,366,28,7478,28,285,781,404,107,2,1607,0,17,226,178,24,6,451,0,2,8,6,28,0,44,82,4159,3144,2141,578,45,10149
35,Bhopal,0,12,121,36,2,0,171,0,94,174,106,54,0,428,209,141,88,79,9,0,526,1585,451,275,124,118,40,2593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1794,698,658,345,183,40,3718
36,Bombay,19,23,110,105,41,0,298,46,75,222,73,50,1,467,50,86,425,193,11,0,765,735,631,965,237,147,0,2715,150,278,490,82,65,0,1065,13,23,27,12,0,0,75,1013,1116,2239,702,314,1,5385
37,Calcutta,0,1,15,2,1,0,19,0,5,24,8,3,0,40,0,2,16,10,0,0,28,364,889,640,124,15,2,2034,212,888,221,82,24,5,1432,0,0,0,0,0,0,0,576,1785,916,226,43,7,3553
38,Coimbatore,0,0,0,0,0,0,0,0,0,1252,3742,441,238,5673,268,155,311,363,98,71,1266,1081,1578,21349,23926,5004,584,53522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1349,1733,22912,28031,5543,893,60461
39,Delhi,0,0,196,49,18,3,266,0,0,185,165,11,0,361,0,0,453,312,94,0,859,0,5,374,298,62,0,739,0,21,554,388,101,11,1075,0,71,555,217,51,0,894,0,97,2317,1429,337,14,4194
40,Hyderabad,0,0,27,145,72,0,244,0,0,25,49,30,0,104,298,380,494,1692,953,0,3817,279,621,982,639,0,0,2521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,1001,1528,2525,1055,0,6686
41,Indore,0,0,26,15,11,1,53,0,2,34,13,7,3,59,197,124,262,145,98,7,833,268,223,469,376,261,125,1722,112,106,210,130,380,140,1078,74,24,69,144,51,17,379,651,479,1070,823,808,293,4124
42,Jaipur,5,6,78,86,0,0,175,3,55,268,212,33,0,571,8,120,280,90,0,0,498,15,125,456,176,30,0,802,10,100,205,90,10,0,415,8,55,320,270,10,0,663,49,461,1607,924,83,0,3124
43,Kanpur,0,0,6,2,1,0,9,0,2,8,2,2,0,14,24,28,87,19,11,9,178,99,310,465,141,48,18,1081,180,361,1018,508,39,12,2118,0,0,0,0,0,0,0,303,701,1584,672,101,39,3400
44,Kochi,9,0,0,0,0,0,9,102,42,0,0,0,0,144,0,33,82,57,26,0,198,56,197,133,104,22,0,512,196,394,1907,459,156,0,3112,0,0,0,0,0,0,0,363,666,2122,620,204,0,3975
45,Lucknow,0,0,17,29,25,7,78,0,0,30,27,33,12,102,0,27,319,455,220,0,1021,0,10,125,307,183,0,625,0,15,294,330,187,0,826,0,9,315,344,137,0,805,0,61,1100,1492,785,19,3457
46,Ludhiana,0,5,19,21,15,3,63,7,30,87,100,19,2,245,23,48,57,27,8,2,165,107,107,123,39,2,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,190,286,187,44,7,851
47,Madras,3,2,6,17,13,5,46,6,9,38,35,5,3,96,28,67,22,19,13,2,151,419,358,108,125,78,2,1090,438,318,107,68,72,1,1004,12,12,0,0,0,0,24,906,766,281,264,181,13,2411
48,Madurai,61,63,225,387,429,164,1329,638,1056,1650,1337,232,103,5016,148,122,243,279,206,7,1005,605,527,318,395,297,233,2375,112,167,593,316,631,0,1819,0,1,0,0,0,0,1,1564,1936,3029,2714,1795,507,11545
49,Nagpur,0,2,16,3,3,0,24,0,2,27,14,24,2,69,3,9,104,70,26,2,214,18,63,343,406,339,74,1243,5,21,59,6,16,5,112,0,0,1,0,0,0,1,26,97,550,499,408,83,1663
50,Patna,0,0,0,0,0,0,0,0,0,28,91,55,0,174,0,0,0,0,0,0,0,0,0,283,595,81,0,959,0,0,36,82,6,0,124,0,0,0,0,0,0,0,0,0,347,768,142,0,1257
51,Pune,3,1,12,1,1,0,18,4,17,88,40,59,8,216,2,1,22,3,10,2,40,104,217,551,352,324,182,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,236,673,396,394,192,2004
52,Surat,4,18,29,56,49,4,160,0,0,1,0,0,0,1,97,92,34,26,16,0,265,88,84,9,38,0,0,219,138,16,62,18,23,0,257,58,37,54,20,0,0,169,385,247,189,158,88,4,1071
53,Vadodara,3,2,23,26,9,0,63,3,5,26,18,13,4,69,70,72,208,204,152,0,706,276,241,210,110,0,0,837,151,155,349,265,15,5,940,0,0,0,0,0,0,0,503,475,816,623,189,9,2615
54,Varanasi,0,2,17,20,37,10,86,0,0,15,27,40,13,95,0,7,65,56,47,0,175,0,8,88,48,36,0,180,0,14,73,85,55,0,227,0,10,47,72,24,0,153,0,41,305,308,239,23,916
55,Vishakhapatnam,0,39,18,2,0,0,59,0,6,40,15,6,0,67,0,18,48,16,0,0,82,342,210,539,355,251,33,1730,0,3,0,3,0,0,6,27,18,14,0,0,0,59,369,294,659,391,257,33,2003
Total (Cities),Total (Cities),137,216,1306,1226,795,210,3890,809,1404,4278,6092,1122,389,14094,1586,5488,5558,5600,2598,152,20982,7275,7800,30178,29633,7444,1299,83629,1779,3024,6634,3100,1804,185,16526,192,262,1410,1085,301,17,3267,11778,18194,49364,46736,14064,2252,142388
