SI.No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,other places - Number,other Places - Value,Total - Number,Total - Value
26,A & N Islands,42,5.4,0,0,0,0,0,0,0,0,3,0.5,26,0.9,71,6.8
27,Chandigarh,180,49.2,0,0,0,0,0,0,0,0,34,9.1,25,2.9,239,61.2
28,D & N Haveli,38,8.5,0,0,0,0,0,0,1,0,10,6.3,3,0.1,52,15
29,Daman & DIU,32,7.2,0,0,0,0,0,0,0,0,13,15.5,0,0,45,22.7
30,Delhi,2609,728.3,0,0,0,0,0,0,0,0,318,215.2,526,520,3453,1463.4
31,Lakshadweep,2,0,0,0,0,0,0,0,0,0,0,0,1,0.1,3,0.1
32,Pondicherry,32,7.3,0,0,0,0,0,0,0,0,4,2.3,38,10.7,74,20.3
Total (UTs),Total (UTs),2935,805.8,0,0,0,0,0,0,1,0,382,249,619,534.7,3937,1589.5
Total (All -India),Total (All -India),74656,13802.8,270,120.4,3,0.6,49,4.2,368,86,13162,3709.1,16883,4100.2,105391,21823.3
33,Ahmedabad,556,208.3,0,0,0,0,0,0,8,9.7,197,59.4,50,9.2,811,286.6
34,Bangalore,2028,711.9,0,0,0,0,0,0,4,0.2,369,189.4,68,47.8,2469,949.3
35,Bhopal,508,142.2,0,0,0,0,0,0,0,0,123,23.2,79,20.3,710,185.7
36,Calcutta,390,99.1,0,0,0,0,0,0,4,0.1,96,54,150,4.4,640,157.5
37,Chennai,109,40.1,0,0,0,0,0,0,0,0,35,10.4,47,1.5,191,52
38,Coimbatore,2303,662.9,0,0,0,0,0,0,0,0,318,215.2,519,502.7,3140,1380.8
39,Delhi,1021,483.9,0,0,0,0,0,0,2,0.7,149,20.8,7,1.5,1179,506.9
40,Hyderabad,687,149.9,0,0,0,0,0,0,0,0,43,9.4,76,16.6,806,175.9
41,Indore,591,99.3,0,0,0,0,0,0,0,0,147,41.6,46,25,784,165.9
42,Jaipur,294,62.6,0,0,0,0,0,0,0,0,0,0,44,15.1,338,77.7
43,Kanpur,149,58.7,0,0,1,0,0,0,1,1.4,77,18.1,93,71.6,321,149.8
44,Kochi,60,55,0,0,0,0,0,0,0,0,33,19.2,17,9.5,110,83.7
45,Lucknow,547,88.5,0,0,0,0,0,0,0,0,0,0,57,63.7,604,152.3
46,Ludhiana,57,43.4,0,0,0,0,0,0,1,0,41,35.2,14,11.9,113,90.5
47,Madurai,55,12,0,0,0,0,0,0,0,0,23,90.7,32,0.1,110,102.8
48,Mumbai,1458,833,0,0,0,0,0,0,6,5.8,762,528.5,612,1299.2,2838,2666.5
49,Nagpur,918,326.2,0,0,0,0,0,0,4,0,281,50.3,115,11.8,1318,388.3
50,Patna,201,1.7,0,0,0,0,0,0,0,0,31,0.1,106,1.1,338,2.9
51,Pune,553,188.6,0,0,0,0,0,0,8,0.1,189,92.9,115,5,865,286.6
52,Surat,230,99.7,0,0,0,0,0,0,2,0,15,24.7,64,6.5,311,130.9
53,Vadodra,278,54.3,0,0,0,0,0,0,4,0,34,19.1,15,3.4,331,76.9
54,Varanasi,66,27.1,0,0,0,0,0,0,0,0,0,0,13,8.8,79,35.8
55,Vishakhapatnam,240,30.4,0,0,0,0,0,0,1,0,30,3.8,61,4.4,332,38.7
