SI.No.,State/UT/City,By Education - Illiterate,By Education - Primary,By Education - Above Primary but below H.Sec.,By Education - Matric / H.Sec. & Above,By Education - Total,By Family Background - Living with parents,By Family Background - Living with Guardians,By Family Background - Home Less,By Family Background - Total,"By Economic setup - Annual Income (upto Rs. 25,000)","By Economic setup - Annual Income (25,001 to Rs. 50,000)","By Economic setup - Middle Income (from 50,001 to Rs. 1,00,000)","By Economic setup - Middle Income (from 1,00,001 to Rs. 2,00,000)","By Economic setup - Upper Middle Income (from 2,00,001 to Rs. 3,00,000)","By Economic setup - Upper Middle Income (above Rs. 3,00,000)",By Economic set up - Total,By Recidivism - New Delinquent,By Recidivism - Old Delinquent,By Recidivism - Total
32,Pondicherry,2,12,2,0,16,16,0,0,16,16,0,0,0,0,0,16,16,0,16
Total (UTs),Total (UTs),197,171,163,16,547,444,70,33,547,338,140,47,18,4,0,547,429,118,547
Total (All -India),Total (All -India),5265,8696,3179,842,17982,12562,2679,2741,17982,12979,3422,1124,319,108,30,17982,16171,1811,17982
33,Ahmedabad,45,124,7,0,176,168,5,3,176,176,0,0,0,0,0,176,153,23,176
34,Bangalore,59,30,12,1,102,89,1,12,102,92,7,3,0,0,0,102,95,7,102
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Calcutta,17,11,9,0,37,19,12,6,37,18,13,6,0,0,0,37,24,13,37
37,Chennai,28,161,16,0,205,187,2,16,205,205,0,0,0,0,0,205,204,1,205
38,Coimbatore,192,141,125,16,474,377,66,31,474,306,103,43,18,4,0,474,356,118,474
39,Delhi,141,14,0,23,178,76,73,29,178,44,111,23,0,0,0,178,156,22,178
40,Hyderabad,10,141,4,155,155,0,0,0,155,0,72,64,19,0,0,155,155,0,155
41,Indore,48,23,0,0,71,58,13,0,71,66,3,2,0,0,0,71,68,3,71
42,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Kanpur,0,2,1,0,3,3,0,0,3,0,0,3,0,0,0,3,3,0,3
44,Kochi,0,2,2,0,4,4,0,0,4,1,3,0,0,0,0,4,4,0,4
45,Lucknow,0,2,5,2,9,9,0,0,9,4,2,3,0,0,0,9,9,0,9
46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Madurai,10,254,32,0,296,208,75,13,296,249,15,16,9,7,0,296,290,6,296
48,Mumbai,167,247,66,196,676,192,168,316,676,312,183,181,0,0,0,676,463,213,676
49,Nagpur,13,117,48,0,178,178,0,0,178,176,2,0,0,0,0,178,164,14,178
50,Patna,31,19,0,0,50,24,11,15,50,38,12,0,0,0,0,50,47,3,50
51,Pune,40,78,37,1,156,148,7,1,156,139,16,1,0,0,0,156,156,0,156
52,Surat,51,38,23,16,128,69,48,11,128,128,0,0,0,0,0,128,30,98,128
53,Vadodra,27,85,32,1,145,132,13,0,145,125,20,0,0,0,0,145,145,0,145
54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Vishakhapatnam,36,35,24,0,95,66,8,21,95,95,0,0,0,0,0,95,93,2,95
Total Cities,Total Cities,915,1524,443,411,3138,2007,502,474,3138,2174,562,345,46,11,0,3138,2615,523,3138
