SI.No.,State/UT,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women,Kidnapping & Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Crimes under IPC
11,Kerala,43.3,17.8,16,15.3,3.6,4.9,0,23.3,100,21.7,30.9,19.4,6.5,30.7,9.6,11.2,11.4,100,9.4,9.6,57.1,9.2,15.8,6,NA,61,47.9
12,Madhya Pradesh,43.3,33.6,59.7,25.2,27.1,29.8,18.2,27.8,16.2,42.7,45.2,43.7,36.8,44.3,50.9,58.7,38,60,32.7,49.4,31.8,45,41.3,50.9,NA,64.1,54.2
13,Maharashtra,23.5,19.8,17.9,16.2,12.7,14.6,6.9,10.8,5.7,10.5,16.6,21.7,27.9,21.1,9.6,14.1,17.6,4.5,7.9,7.4,13,10.8,9.6,4.5,NA,12.7,12.6
14,Manipur,0,0,NA,0,0,NA,0,0,NA,0,87.5,33.3,NA,33.3,0,NA,NA,NA,NA,16.7,NA,NA,NA,NA,NA,23.1,30.8
15,Meghalaya,0,0,NA,0,0,0,0,14.3,NA,40,39.3,55.7,NA,55.7,0,NA,0,NA,0,30,66.7,NA,NA,NA,NA,25.7,29.5
16,Mizoram,70.8,67.6,72.7,62.1,63.9,100,62.9,72.1,NA,79.3,74.6,78.9,62.5,78.9,100,75.1,74.8,82.5,75.4,80.8,NA,77.9,NA,NA,NA,80.2,77.5
17,Nagaland,88.9,89.5,80,87.5,100,100,100,81.8,NA,71.4,53.8,88,84,89.6,100,44.2,56.4,100,100,70.6,NA,66.7,NA,NA,NA,87.7,76
18,Orissa,29.2,18.8,9.6,29.7,19.7,19.2,23.8,27.3,0,16.3,12.5,11.6,28,11.2,7.7,14.6,20.8,25,10.7,14.9,26,13.3,8.9,16.2,70,17.9,16.5
19,Punjab,41.2,32.8,30.8,29.7,22.2,23.7,18.2,25,44,29,49,51.3,53.8,49.9,0,37,36.5,37.5,22.7,34.2,45.4,35.7,0,22.7,NA,55.5,46.1
20,Rajasthan,41.9,40.8,43.6,29,27.4,26.3,31.8,24.4,71.4,36.7,45.8,50.3,46.5,50.9,50.8,37.4,40.4,20,37,61.1,36.2,41.1,53.1,31.1,NA,53.7,51.2
21,Sikkim,60,33.3,0,50,42.9,50,40,50,NA,66.7,56.5,39.2,NA,39.2,26.1,50,51.5,NA,58.3,54.3,NA,50,33.3,57.1,NA,44.2,45.2
22,Tamil Nadu,44.1,34.7,51.3,28.6,26.3,21.6,40,42.4,0,56.6,67.8,77.1,78.6,76.6,39.1,39.3,53.6,20,22.9,58,38.1,46.5,94,35.5,0,66.8,64.2
23,Tripura,21.8,35,0,24.6,9.4,8,9.7,8.2,NA,10.3,11.1,16.3,0,16.5,3.8,0,0,0,0,12,50,19.5,NA,14.9,NA,19,15
24,Uttar Pradesh,50.8,52.9,53.7,55.6,53.3,53.8,52,42.8,41.9,48.3,50.5,55.8,59.5,55.3,51.9,56.2,53.6,55.1,51.7,56.7,54.2,59.6,70.4,54.2,NA,56,55
25,West Bengal,20.9,16.6,13.4,13.5,5.4,5,6.8,17.6,27,12.3,12.5,24.5,12.2,26,3.3,38.6,24.1,14.3,7.1,18.4,29.5,18,3.1,13.4,NA,29,22.6
Total States,Total States,35.2,34.8,39.7,28.7,26,25.8,26.2,26.3,25.2,30.8,37.4,41.7,46.2,41,28.9,32.7,30.7,24.5,22.8,33.1,36.1,32.7,67.9,21.6,47.4,48.2,41.1
26,A & N Islands,50,100,0,25,NA,NA,NA,NA,NA,0,50,19.4,NA,19.4,0,0,0,NA,0,10.8,NA,8.3,100,0,NA,37.4,27.6
27,Chandigarh,58.3,0,NA,45.5,45.5,22.2,61.5,NA,NA,50,73,82.2,66.7,86.1,11.5,41.2,25.6,100,100,25.4,62.5,28.6,42.9,16.7,NA,55.9,56.3
28,D & N Haveli,57.1,50,100,100,0,0,NA,NA,NA,100,75,33.3,NA,33.3,20,NA,NA,NA,NA,83.3,NA,100,NA,0,NA,40.4,45.6
29,Daman & DIU,66.7,NA,NA,50,NA,NA,NA,NA,NA,0,80,10,0,11.1,0,0,50,NA,NA,0,NA,NA,NA,NA,NA,22.8,26.7
30,Delhi,47.3,38.5,34.8,47.4,45.3,44.3,48.6,36.5,35.6,41.3,44.3,25.4,60.8,19.3,24.9,30.1,41.4,67.6,69.2,43.2,58.8,41.6,40.1,35.5,NA,55.9,48.7
31,Lakshadeep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
32,Pondicherry,47.5,30,0,66.7,25,25,25,0,NA,NA,87.5,83.8,83.1,84.2,54.3,66.7,54.5,50,100,76.6,0,70,80,50,NA,98.5,91.9
Total (UTs),Total (UTs),47.6,37.9,34.7,47.4,45.2,44.1,48.7,35.4,35.6,41.3,46.2,28.7,62.1,22.7,24.4,30.2,40.8,67.6,68.9,44.3,58.6,41.2,42.9,33.7,0,57.5,50.2
Total (All India),Total (All India),35.6,34.9,39.3,29.8,29.5,29.5,29.5,26.6,26.5,32.1,37.9,40.4,48.1,39.2,28.8,32.3,31.4,33.2,23.2,33.5,37.1,33,67.4,21.7,47.4,49.1,41.8
