SI.No.,States/UT/City,Murder - 1999,Murder - 2000,Murder Percentage Variation,Attempt to Commit Murder - 1999,Attempt to Commit Murder - 2000,Attempt to Commit Murder Percentage Variation,C.H.Not Amounting to Murder - 1999,C.H.Not Amounting to Murder - 2000,C.H.Not Amounting to Murder Percentage Variation,Rape - 1999,Rape - 2000,Rape Percentage Variation,Kidnapping & Abduction Total - 1999,Kidnapping & Abduction Total - 2000,Kidnapping & Abduction Total Percentage Variation,Kidnapping & Abduction of Women & Girls - 1999,Kidnapping & Abduction of Women & Girls - 2000,Kidnapping & Abduction of Women & Girls Percentage Variation,Kidnapping & Abduction of Others - 1999,Kidnapping & Abduction of Others - 2000,Kidnapping & Abduction of Others Percentage Variation,Dacoity - 1999,Dacoity - 2000,Dacoity Percentage Variation,Preperation & Assembly for Dacoity - 1999,Preperation & Assembly for Dacoity - 2000,Preperation & Assembly for Dacoity Percentage Variation,Robbery - 1999,Robbery - 2000,Robbery Percentage Variation,Burglary - 1999,Burglary - 2000,Burglary Percentage Variation,Theft Total - 1999,Theft Total - 2000,Theft Total Percentage Variation,Theft Auto Theft - 1999,Theft Auto Theft - 2000,Theft Auto Theft Percentage Variation,Theft Other Theft - 1999,Theft Other Theft - 2000,Theft Other Theft Percentage Variation,Riots - 1999,Riots - 2000,Riots Percentage Variation,Criminal Breach of Trust - 1999,Criminal Breach of Trust - 2000,Criminal Breach of Trust Percentage Variation,Cheating - 1999,Cheating - 2000,Cheating Percentage Variation,Counterfeiting - 1999,Counterfeiting - 2000,Counterfeiting Percentage Variation,Arson - 1999,Arson - 2000,Arson Percentage Variation,Hurt - 1999,Hurt - 2000,Hurt Percentage Variation,Dowry Deaths - 1999,Dowry Deaths - 2000,Dowry Deaths Percentage Variation,Molestation - 1999,Molestation - 2000,Molestation Percentage Variation,Sexual Harassment - 1999,Sexual Harassment - 2000,Sexual Harassment Percentage Variation,Cruelty By Husband and Relatives - 1999,Cruelty By Husband and Relatives - 2000,Cruelty By Husband and Relatives Percentage,Importation of Girls - 1999,Importation of Girls - 2000,Importation of Girls Percentage Variation,Other IPC Crimes - 1999,Other IPC Crimes - 2000,Other IPC Crimes Percentage Variation,Total Cognizable Crimes Under IPC - 1999,Total Cognizable Crimes Under IPC - 2000,Total Cognizable Crimes Under IPC Percentage Variation
33,Ahmedabad,105,111,5.7,60,58,-3.3,3,5,66.7,14,11,-21.4,200,149,-25.5,118,72,-39,82,77,-6.1,20,22,10,1,2,100,224,226,0.9,812,811,-0.1,3870,3593,-7.2,1407,1540,9.5,2463,2053,-16.6,200,257,28.5,184,123,-33.2,287,246,-14.3,14,9,-35.7,9,6,-33.3,1495,1317,-11.9,6,3,-50,30,35,16.7,29,28,-3.4,524,357,-31.9,0,0,0,7565,6781,-10.4,15652,14150,-9.6
34,Bangalore,203,212,4.4,349,311,-10.9,2,2,0,29,27,-6.9,158,127,-19.6,65,68,4.6,93,59,-36.6,66,29,-56.1,0,18,0,451,391,-13.3,2968,2469,-16.8,7451,6635,-11,2584,2453,-5.1,4867,4182,-14.1,329,289,-12.2,215,214,-0.5,1351,1418,5,25,611,2344,7,7,0,3721,3466,-6.9,49,55,12.2,219,219,0,52,41,-21.2,198,250,26.3,0,0,0,10124,10393,2.7,27967,27184,-2.8
35,Bhopal,44,46,4.5,92,79,-14.1,0,0,0,42,54,28.6,37,55,48.6,33,38,15.2,4,17,325,1,4,300,0,1,NA,85,91,7.1,695,710,2.2,1053,1443,37,349,440,26.1,704,1003,42.5,57,70,22.8,32,21,-34.4,142,169,19,16,3,-81.3,12,9,-25,638,968,51.7,10,12,20,92,116,26.1,16,25,56.3,65,72,10.8,0,0,0,6363,7013,10.2,9492,10961,15.5
36,Calcutta,93,62,-33.3,333,169,-49.2,1,0,-100,27,24,-11.1,41,40,-2.4,12,13,8.3,29,27,-6.9,18,14,-22.2,0,0,0,104,100,-3.8,475,640,34.7,2227,2270,1.9,261,376,44.1,1966,1894,-3.7,60,86,43.3,98,80,-18.4,1067,610,-42.8,47,96,104.3,0,0,0,612,644,5.2,22,22,0,40,47,17.5,0,49,NA,55,112,103.6,0,0,0,1468,1147,-21.9,6788,6212,-8.5
37,Chennai,22,18,-18.2,28,17,-39.3,0,0,0,4,6,50,23,19,-17.4,14,11,-21.4,9,8,-11.1,0,5,NA,0,1,NA,17,30,76.5,174,191,9.8,909,954,5,199,336,68.8,710,618,-13,75,72,-4,32,37,15.6,47,77,63.8,6,15,150,8,4,-50,171,189,10.5,11,7,-36.4,25,17,-32,100,60,-40,18,35,94.4,0,0,0,2129,1914,-10.1,3799,3668,-3.4
38,Coimbatore,514,477,-7.2,509,536,5.3,61,52,-14.8,332,374,12.7,1176,1177,0.1,837,869,3.8,339,308,-9.1,42,51,21.4,30,37,23.3,649,671,3.4,3068,3140,2.3,22517,19780,-12.2,7959,7603,-4.5,14558,12177,-16.4,163,171,4.9,468,448,-4.3,1797,1866,3.8,67,48,-28.4,49,57,16.3,1928,2031,5.3,95,102,7.4,480,488,1.7,126,110,-12.7,58,76,31,0,0,0,18602,19632,5.5,52731,51324,-2.7
39,Delhi,115,115,0,97,104,7.2,1,4,300,48,50,4.2,96,76,-20.8,43,36,-16.3,53,40,-24.5,3,6,100,0,0,0,79,52,-34.2,1225,1179,-3.8,2995,3007,0.4,1111,1103,-0.7,1884,1904,1.1,148,141,-4.7,141,100,-29.1,1724,1292,-25.1,14,29,107.1,0,0,0,2995,2818,-5.9,19,32,68.4,86,98,14,10,38,280,808,754,-6.7,0,0,0,991,1697,71.2,11595,11592,0
40,Hyderabad,95,76,-20,83,114,37.3,2,3,50,29,49,69,35,56,60,29,43,48.3,6,13,116.7,0,5,NA,9,14,55.6,41,69,68.3,712,806,13.2,2204,2580,17.1,1055,1238,17.3,1149,1342,16.8,48,65,35.4,32,64,100,146,138,-5.5,6,3,-50,9,20,122.2,1038,922,-11.2,23,21,-8.7,71,91,28.2,9,28,211.1,128,136,6.3,0,0,0,3871,5439,40.5,8591,10699,24.5
41,Indore,47,37,-21.3,51,49,-3.9,2,1,-50,38,35,-7.9,191,189,-1,154,165,7.1,37,24,-35.1,8,2,-75,0,0,0,61,69,13.1,824,784,-4.9,2619,2613,-0.2,970,839,-13.5,1649,1774,7.6,1369,1420,3.7,173,184,6.4,773,767,-0.8,22,35,59.1,24,29,20.8,125,63,-49.6,26,26,0,115,156,35.7,2,0,-100,337,412,22.3,0,0,0,5616,6089,8.4,12423,12960,4.3
42,Jaipur,208,253,21.6,175,165,-5.7,43,25,-41.9,34,48,41.2,190,210,10.5,147,149,1.4,43,61,41.9,24,20,-16.7,6,2,-66.7,125,178,42.4,329,338,2.7,1204,1195,-0.7,415,517,24.6,789,678,-14.1,202,224,10.9,218,233,6.9,316,282,-10.8,45,23,-48.9,29,18,-37.9,1102,1067,-3.2,75,71,-5.3,58,77,32.8,238,260,9.2,287,319,11.1,0,0,0,1902,1708,-10.2,6810,6716,-1.4
43,Kanpur,22,14,-36.4,30,23,-23.3,3,8,166.7,9,10,11.1,9,7,-22.2,4,5,25,5,2,-60,5,9,80,0,0,0,27,40,48.1,195,321,64.6,353,350,-0.8,135,143,5.9,218,207,-5,193,187,-3.1,28,27,-3.6,191,140,-26.7,4,4,0,4,5,25,544,550,1.1,0,0,0,44,52,18.2,4,4,0,57,46,-19.3,0,0,0,3274,3709,13.3,4996,5506,10.2
