SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Thefts - Incidence (I),Thefts - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Total Cognizable Crimes - Incidence (I),Total Cognizable Crimes - Volume (V)
Total (States),State,Total (States),18388,3.2,2388,0.4,2862,0.5,9924,1.7,13650,2.4,21843,3.8,195885,33.9,413646,71.5,80001,13.8,21549,3.7,14530,2.5,658,0.1,1150099,198.8
22,UT,A & N Islands,4,3.2,1,0.8,6,4.9,7,5.7,NA,NA,4,3.2,58,47.2,157,127.6,26,21.1,7,5.7,13,10.6,NA,NA,538,437.4
23,UT,Arunachal Pradesh,8,1.6,1,0.2,2,0.4,4,0.8,NA,NA,1,0.2,31,6.2,62,12.4,1,0.2,5,1,3,0.6,NA,NA,188,37.5
24,UT,Chandigarh,10,3.6,2,0.7,6,2.2,17,6.2,NA,NA,NA,NA,115,42,794,289.8,15,5.5,38,13.9,57,20.8,NA,NA,1411,515
25,UT,D & N Haveli,2,2.5,NA,NA,NA,NA,1,1.3,NA,NA,5,6.3,40,50.6,31,39.2,44,55.7,5,6.3,3,3.8,NA,NA,131,165.8
26,UT,Delhi,174,3.7,119,2.5,64,1.4,555,11.8,32,0.7,343,7.3,2998,63.5,20398,432.3,280,5.9,522,11.1,697,14.8,56,1.2,33824,716.9
27,UT,"Goa, Daman & Diu",20,2.2,1,0.1,NA,NA,4,8.4,7,0.8,28,3,423,46.1,629,68.5,71,7.7,56,6.1,37,4,2,0.2,2112,230.1
28,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11.8,4,11.8,NA,NA,NA,NA,NA,NA,1,2.9,10,29.4
29,UT,Mizoram,35,9.6,1,0.3,13,3.6,13,3.6,7,1.9,54,14.8,60,16.4,262,71.8,3,0.8,41,11.2,12,3.3,NA,NA,501,137.3
30,UT,Pondicherry,8,1.6,1,0.2,9,1.8,18,3.6,1,0.2,8,1.6,264,52.3,935,185.2,106,21,51,10.1,28,5.5,1,0.2,3463,685.7
Total (UTs),UT,Total (UTs),261,3.5,126,1.7,100,1.3,619,8.2,47,0.6,443,5.9,3993,53.1,23272,309.6,546,7.3,725,9.6,850,11.3,60,0.8,42178,561.1
Total (All-India),Total (All-India),Total (All-India),18649,3.2,2514,0.4,2962,0.5,10543,1.8,13697,2.3,22286,3.8,199878,34.1,436918,74.6,80547,13.7,22274,3.8,15380,2.6,718,0.1,1192277,203.4
1,City,Ahmedabad,41,2.3,1,0.1,8,0.4,80,4.5,113,6.4,35,2,520,29.2,2282,128.2,1129,63.4,83,4.7,137,7.7,11,0.6,6588,370.1
2,City,Bangalore,26,1.5,NA,NA,3,0.2,35,2,2,0.1,19,1.1,1529,89.1,5845,340.6,61,3.6,183,10.7,448,26.1,49,2.9,10688,622.8
3,City,Bombay,184,2.7,8,0.1,50,0.7,183,2.7,32,0.5,409,6,2824,41.4,18550,272,512,7.5,1191,17.5,781,11.4,33,0.5,33992,498.4
4,City,Calcutta,69,2.1,4,0.1,18,0.6,121,3.8,12,0.4,63,1.9,671,20.8,6087,188.7,801,24.8,406,12.6,316,9.8,30,0.9,11874,368.1
5,City,Delhi,150,3.5,102,2.4,61,1.4,538,12.5,27,0.6,329,7.7,2846,66.3,19638,457.3,260,6,504,11.7,681,15.9,55,1.3,32307,752.4
6,City,Hyderabad,30,1.6,3,0.2,8,0.4,41,2.2,1,0.0*,29,1.6,932,50.8,2769,150.8,69,3.8,83,4.5,136,7.4,2,0.1,4999,272.3
7,City,Kanpur,71,5.6,29,2.3,26,2,83,6.5,44,3.5,256,20.1,1533,120.6,543,42.7,311,24.5,639,50.3,265,20.8,4,0.3,9003,708.3
8,City,Madras,36,1.3,NA,NA,5,0.2,27,1,1,0.0*,25,0.9,622,22.1,8083,287.3,316,11.2,316,11.2,531,18.9,2,0.1,17257,613.5
Total (Cities),City,Total (Cities),607,2.6,147,0.6,179,0.8,1108,4.7,232,1,1165,4.9,11477,48.3,63797,268.6,3459,14.6,3405,14.3,3295,13.9,186,0.8,126708,533.4
