SL. No.,Category,States/U.Ts/Cities,Murder - 1973,Murder - 1974,Murder - Percentage Variation,Kidnapping & Abduction - 1973,Kidnapping & Abduction - 1974,Kidnapping & Abduction - Percentage Variation,Dacoity - 1973,Dacoity - 1974,Dacoity - Perentage Variation,Robbery - 1973,Robbery - 1974,Robbery - Percentage Variation,Burglary - 1973,Burglary - 1974,Burglary - Percentage Variation,Thefts - 1973,Thefts - 1974,Thefts - Percentage Variation,Riots - 1973,Riots - 1974,Riots - Percentage Variation,Criminal Breach of Trust - 1973,Criminal Breach of Trust - 1974,Criminal Breach of Trust - Percentage Variation,Cheating - 1973,Cheating - 1974,Cheating - Percentage Variation,Counterfeiting - 1973,Counterfeiting - 1974,Counterfeiting - Percentage Variation,Total Cognizable Crime - 1973,Total Cognizable Crime - 1974,Total Cognizable Crime - Percentage Variation
17,State,Rajasthan,699,730,4.4,1175,1285,9.4,149,164,10.1,1146,1301,13.5,7503,8920,18.9,10728,12597,17.4,5807,6748,16.2,691,847,22.6,776,990,27.6,8,2,-75,44229,51102,15.5
18,State,Tamil Nadu,970,1030,6.2,256,275,7.4,24,30,25,100,141,41,7255,8212,13.2,23329,28304,21.3,5473,4464,-18.4,1003,1147,14.4,929,1000,7.6,58,39,-32.8,72443,79862,10.2
19,State,Tripura,13,44,238.5,17,19,11.8,48,49,2.1,44,37,-15.9,622,678,9,1088,1233,13.3,239,250,4.6,15,31,106.7,175,21,-88,1,1,0,3009,2373,-21.1
20,State,Uttar Pradesh,4063,4586,12.9,3161,3164,0.1,4932,6392,29.6,8567,10207,19.1,48695,52509,7.8,84356,97079,15.1,13635,14528,6.6,6717,7000,4.2,2455,2827,15.2,79,111,-32.8,220567,244284,10.8
21,State,West Bengal,889,816,-8.2,772,729,-5.6,1255,1270,1.2,1103,1204,9.2,9189,9761,6.2,32209,35422,10,9743,10790,10.8,1550,1367,-11.8,1188,1067,-9.6,15,62,313.3,82312,86600,5.2
Total (States),State,Total (States),16885,18388,8.9,9614,9924,3.2,10597,13650,28.8,18409,21843,18.6,177356,195885,10.4,357720,413646,15.6,72725,80001,10,21156,21549,1.9,13638,14530,6.5,497,658,32.4,1036932,1150099,10.9
22,UT,A & N Islands,4,4,0,6,7,16.7,NA,NA,NA,3,4,33.3,71,58,-18.3,126,157,24.6,15,26,73.3,12,7,-41.7,4,13,225,NA,NA,NA,484,538,11.2
23,UT,Arunachal Pradesh,NA,8,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,31,NA,NA,62,NA,NA,1,NA,NA,5,NA,NA,3,NA,NA,NA,NA,NA,188,NA
24,UT,Chandigarh,2,10,400,12,17,41.7,NA,NA,NA,1,NA,NA,112,115,2.7,752,794,5.6,10,15,50,29,38,31,30,57,90,NA,NA,NA,1334,1411,5.8
25,UT,D & N Haveli,1,2,100,NA,1,NA,NA,NA,NA,1,5,400,15,40,166.7,26,31,19.2,3,44,1366.7,6,5,-16.7,3,3,0,NA,NA,NA,84,131,56
26,UT,Delhi,152,174,14.5,570,555,-2.6,27,32,18.5,417,343,-17.8,3319,2998,-9.7,19748,20398,3.3,454,280,-38.3,555,522,-5.19,673,697,3.6,81,56,-30.9,34174,33824,-1
27,UT,"Goa, Daman & Diu",21,20,-4.8,10,4,-60,2,7,250,20,28,40,386,423,9.6,424,629,48.4,37,17,91.9,37,56,51.4,29,37,27.6,1,2,100,1595,2112,32.4
28,UT,Lakshadweep,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,300,4,4,0,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,9,10,11.1
29,UT,Mizoram,NA,35,NA,NA,13,NA,NA,7,NA,NA,54,NA,NA,60,NA,NA,262,NA,NA,3,NA,NA,41,NA,NA,12,NA,NA,NA,NA,NA,501,NA
30,UT,Pondicherry,6,8,33.3,11,18,63.6,1,1,0,6,8,33.3,173,264,52.6,612,935,52.8,142,106,-25.4,41,51,24.4,15,28,86.7,3,1,-66.7,2569,3463,34.8
Total (UTs),UT,Total (UTs),187,261,39.6,609,619,1.6,30,47,56.7,448,443,-1.1,4077,3993,-2.1,21692,23272,7.3,663,546,-17.6,681,7125,6.5,754,850,12.7,85,60,-29.4,40249,42178,4.8
Total (All-India),Total (All-India),Total (All-India),17072,18649,9.2,10223,10543,3.1,10627,13697,28.9,18857,22286,18.2,181433,199878,10.2,379412,436918,15.2,73388,80547,9.8,21837,22274,2,14392,15380,6.9,582,718,23.4,1077181,1192277,1.7
1,City,Ahmedabad,39,41,5.1,72,80,11.1,15,113,653.3,13,35,169.2,418,520,24.4,1857,2282,22.9,164,1129,588.4,97,83,-14.4,178,137,-23,4,11,175,4730,6588,39.3
2,City,Bangalore,25,26,4,18,35,94.4,NA,2,NA,17,19,11.8,1612,1529,-5.2,4792,5845,22,126,61,-51.6,128,183,43,333,448,34.5,10,49,390,9356,10688,14.2
3,City,Bombay,167,184,10.2,215,183,-14.9,89,32,-64,405,409,1,2626,2824,7.5,16806,18550,10.4,416,512,23.1,1195,1191,-0.3,768,781,1.7,57,33,-42.1,31920,33992,6.5
4,City,Calcutta,63,69,9.5,152,121,-20.4,9,12,33.3,68,63,-7.4,727,671,-7.7,5462,6087,11.4,746,801,7.4,489,406,-17,395,316,-20,5,30,500,11555,11874,2.8
5,City,Delhi,136,150,10.3,553,538,-2.7,26,27,3.8,385,329,-14.6,3060,2846,-7,19169,19638,2.4,419,260,-37.9,535,504,-5.8,660,681,3.2,81,55,-32.1,32722,32307,-1.3
6,City,Hyderabad,29,30,3.4,34,41,20.6,3,1,-66.7,26,29,11.5,877,932,6.3,2709,2769,2.2,49,69,40.8,108,83,-23.2,180,136,-24.4,8,2,-75,4855,4999,3
7,City,Kanpur,69,71,2.9,165,83,-49.7,42,44,4.8,267,256,-4.1,1635,1533,-6.2,5139,543,-89.4,310,311,0.3,739,639,-13.5,365,265,-27.4,4,4,0,10003,9003,-10
8,City,Madras,27,36,33.3,6,27,350,2,1,-50,16,25,56.2,614,622,1.3,6026,8083,34.1,223,316,41.7,328,316,-3.7,497,531,6.8,7,2,-71.4,14204,17257,21.5
Total (Cities),City,Total (Cities),555,607,9.4,1215,1108,-8.8,186,232,24.7,1197,1165,-2.7,11569,11477,-0.8,61960,63797,3,2453,3459,41,3619,3405,-5.9,3376,3295,-2.4,176,186,5.7,119345,126708,6.2
