Sr. No.,Category,States/ UTs,Estimated Mid-Year Population (In Lakhs),Murder - Incidence,Murder - Rate,Murder - Percentage Share,Rape - Incidence,Rape - Rate,Rape - Percentage Share,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Share,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage Share,Robbery - Incidence,Robbery - Rate,Robbery - Percentage Share,Arson - Incidence,Arson - Rate,Arson - Percentage Share,Hurt - Incidence,Hurt - Rate,Hurt - Percentage Share,Prot. of Civil Rights Act - Incidence,Prot. of Civil Rights Act - Rate,Prot. of Civil Rights Act - Percentage Share,SC/ ST Prev. of Atrocities Act - Incidence,SC/ ST Prev. of Atrocities Act - Rate,SC/ ST Prev. of Atrocities Act - Percentage Share,Other Offences - Incidence,Other Offences - Rate,Other Offences - Percentage Share,Total - Incidence,Total - Rate,Total - Percentage Share
11,State,Jharkhand,284.5,2,0,0.3,9,0,0.8,3,0,1.2,2,0,7.7,0,0,0,2,0,0.9,24,0.1,0.6,0,0,0,53,0.2,0.6,31,0.1,0.3,126,0.4,0.5
12,State,Karnataka,550.4,21,0,3.2,14,0,1.2,2,0,0.8,3,0,11.5,1,0,1.4,5,0,2.4,94,0.2,2.5,38,0.1,10.4,1061,1.9,11.9,404,0.7,3.5,1643,3,6.1
13,State,Kerala,329.8,2,0,0.3,49,0.1,4.2,0,0,0,0,0,0,2,0,2.8,1,0,0.5,106,0.3,2.8,3,0,0.8,162,0.5,1.8,113,0.3,1,438,1.3,1.6
14,State,Madhya Pradesh,646.7,93,0.1,14.2,335,0.5,29,34,0.1,13.4,3,0,11.5,8,0,11.1,26,0,12.3,890,1.4,23.3,1,0,0.3,357,0.6,4,2952,4.6,25.8,4699,7.3,17.5
15,State,Maharashtra,1017.5,10,0,1.5,63,0.1,5.4,9,0,3.6,6,0,23.1,6,0,8.3,11,0,5.2,53,0.1,1.4,26,0,7.1,219,0.2,2.5,312,0.3,2.7,715,0.7,2.7
16,State,Manipur,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Orissa,382.9,21,0.1,3.2,45,0.1,3.9,6,0,2.4,0,0,0,7,0,9.7,10,0,4.7,241,0.6,6.3,0,0,0,574,1.5,6.5,494,1.3,4.3,1398,3.7,5.2
21,State,Punjab,254.4,0,0,0,9,0,0.8,2,0,0.8,0,0,0,0,0,0,0,0,0,12,0,0.3,0,0,0,61,0.2,0.7,50,0.2,0.4,134,0.5,0.5
22,State,Rajasthan,605.1,45,0.1,6.9,126,0.2,10.9,26,0,10.3,0,0,0,5,0,6.9,41,0.1,19.4,636,1.1,16.6,0,0,0,579,1,6.5,2902,4.8,25.4,4360,7.2,16.2
23,State,Sikkim,5.7,3,0.5,0.5,1,0.2,0.1,1,0.2,0.4,0,0,0,0,0,0,0,0,0,10,1.8,0.3,0,0,0,0,0,0,1,0.2,0,16,2.8,0.1
24,State,Tamil Nadu,642.3,25,0,3.8,23,0,2,2,0,0.8,0,0,0,0,0,0,3,0,1.4,159,0.2,4.2,70,0.1,19.2,691,1.1,7.8,183,0.3,1.6,1156,1.8,4.3
25,State,Tripura,33.4,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,State,Uttar Pradesh,1779.4,321,0.2,49.1,258,0.1,22.3,91,0.1,36,5,0,19.2,7,0,9.7,40,0,19,336,0.2,8.8,35,0,9.6,1264,0.7,14.2,1428,0.8,12.5,3785,2.1,14.1
27,State,Uttarakhand,89.7,6,0.1,0.9,6,0.1,0.5,2,0,0.8,0,0,0,0,0,0,2,0,0.9,9,0.1,0.2,0,0,0,112,1.2,1.3,0,0,0,137,1.5,0.5
28,State,West Bengal,839.5,0,0,0,2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.1,0,0,0,2,0,0,8,0,0.1,14,0,0.1
State,State,Total (States),10674.8,654,0.1,100,1157,0.1,100,253,0,100,26,0,100,72,0,100,211,0,100,3824,0.4,100,344,0,94.5,8887,0.8,100,11432,1.1,100,26860,2.5,99.9
29,Union Territory,A & N Islands,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Union Territory,D & N Haveli,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,152.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0
34,Union Territory,Lakshadweep,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,5.5,0,0,0,3,0.3,0,23,2.3,0.1
Union Territory,Union Territory,Total (UTs),181.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.1,5.5,4,0,0,3,0,0,27,0.1,0.1
Total (All-India),Total (All-India),Total (All-India),10856,654,0.1,100,1157,0.1,100,253,0,100,26,0,100,72,0,100,211,0,100,3824,0.4,100,364,0,100,8891,0.8,100,11435,1.1,100,26887,2.5,100
