Sr. No.,Category,States/ UTs/ Cities,1999,2000,2001,2002,2003,Quinquennial Average (1999-2003) (Q.A.),2004,Percentage Change in 2004 [(+) Increase/ (-) Decrease] over - QA,Percentage Change in 2004 [(+) Increase/ (-) Decrease] over - 2003
39,City,Amritsar,NA,NA,1062,1077,1143,656,1204,83.4,5.3
40,City,Asansol,NA,NA,NA,363,1327,338,1062,214.2,-20
41,City,Bangalore,27967,27184,27254,29120,29260,28157,28526,1.3,-2.5
42,City,Bhopal,9492,10961,10780,11166,11780,10836,12268,13.2,4.1
43,City,Chennai,6788,6212,7292,8526,8580,7480,12436,66.3,44.9
44,City,Coimbatore,3799,3668,3490,3226,3187,3474,3831,10.3,20.2
45,City,Delhi (City),52731,51324,49343,44158,41961,47903,48677,1.6,16
46,City,Dhanbad,NA,NA,NA,3242,1929,1034,1726,66.9,-10.5
47,City,Faridabad,NA,NA,3275,4305,3987,2313,3148,36.1,-21
48,City,Hyderabad,11595,11592,11831,14413,20252,13937,18868,35.4,-6.8
49,City,Indore,8591,10699,10263,11678,12286,10703,11935,11.5,-2.9
50,City,Jabalpur,NA,NA,5736,6735,6990,3892,6395,64.3,-8.5
51,City,Jaipur,12423,12960,12181,11758,11579,12180,13224,8.6,14.2
52,City,Jamshedpur,NA,NA,NA,2405,2550,991,2203,122.3,-13.6
53,City,Kanpur,6810,6716,6808,5908,3618,5972,4526,-24.2,25.1
54,City,Kochi,4996,5506,6067,6524,6829,5984,6756,12.9,-1.1
55,City,Kolkata,11447,12976,11970,10663,10714,11554,10757,-6.9,0.4
56,City,Lucknow,7046,7491,7606,6954,4277,6675,6300,-5.6,47.3
57,City,Ludhiana,1880,1625,3572,5245,4256,3316,2551,-23.1,-40.1
58,City,Madurai,3698,3846,4161,3689,3253,3729,3164,-15.2,-2.7
59,City,Meerut,NA,NA,2918,2334,1641,1379,2479,79.8,51.1
60,City,Mumbai,29354,29238,28968,26276,25686,27904,29453,5.5,14.7
61,City,Nagpur,9509,9571,9912,8721,7357,9014,8518,-5.5,15.8
62,City,Nasik,NA,NA,2195,2521,2542,1452,2606,79.5,2.5
63,City,Patna,5631,5733,5617,6100,6545,5925,7597,28.2,16.1
64,City,Pune,9561,8941,8936,8504,8813,8951,10754,20.1,22
65,City,Rajkot,NA,NA,4774,4644,4802,2844,4339,52.6,-9.6
66,City,Surat,4576,3931,3995,4172,4401,4215,4131,-2,-6.1
67,City,Vadodara,5796,5657,5047,7116,5712,5866,5551,-5.4,-2.8
68,City,Varanasi,1375,1911,2302,2281,1146,1803,1557,-13.6,35.9
69,City,Vijayawada,NA,NA,6733,9083,10084,5180,7659,47.9,-24
70,City,Vishakhapatnam,3782,3384,3404,2838,3261,3334,3182,-4.6,-2.4
Total (Cities),Total (Cities),Total (Cities),254499,255276,289775,297679,291246,277695,309929,11.6,6.4
