Sr. No.,Category,States/ UTs,Area (in Sqr. Kms.),Estimated Mid-Year Population (In Thousands),Total Cases for Investigation (Including Pending Cases from Previous Year) - IPC,Total Cases for Investigation (Including Pending Cases from Previous Year) - SLL,Total Cases for Investigation (Including Pending Cases from Previous Year) - Total,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Actual Police Strength (of Ranks) - D.G. to A.S.I.,Actual Police Strength (of Ranks) - Head Constables to Constables,Actual Police Strength (of Ranks) - Teeth to Tail Ratio,Actual Police Strength of I.Os. (Insp.+ SI+ ASI of Civ. Pol.),No. of Policemen Per 100 Sqr. Kms. of Area,"No. of Policemen Per 1,000 of Population","No. of Policemen Per 1,00,000 of Population",No. of IPC Cases Per Civil Police Man,Total Police Expenditure (Rs. in Crores) @@,Unit Cost Per Policemen (Per Annum)
18,State,Mizoram,21081,936,2154,870,3024,2965,4145,7110,41.7,999,6111,'1:06,735,33.7,7.6,760,0.7,113.72,159944
19,State,Nagaland,16579,2096,3026,1063,4089,5568,6324,11892,46.8,747,11145,'1:15,461,71.7,5.7,567,0.5,278.96,234578
20,State,Orissa,155707,38294,56918,14689,71607,26959,8306,35265,76.4,5386,29879,'1:06,4606,22.6,0.9,92,2.1,378,107188
21,State,Punjab,50362,25443,38223,32990,71213,52142,18838,70980,73.5,7764,63216,'1:08,6127,140.9,2.8,279,0.7,976.61,137589
22,State,Rajasthan,342239,60511,160043,31962,192005,49026,11488,60514,81,7193,53321,'1:07,6248,17.7,1,100,3.3,750.17,123966
23,State,Sikkim,7096,568,858,170,1028,1960,1460,3420,57.3,497,2923,'1:06,348,48.2,6,602,0.4,53.22,155614
24,State,Tamil Nadu,130058,64230,202754,726501,929255,76357,12167,88524,86.3,9237,79287,'1:09,7935,68.1,1.4,138,2.7,1157.7,130778
25,State,Tripura,10486,3342,4820,192,5012,9381,8988,18369,51.1,1985,16384,'1:08,1491,175.2,5.5,550,0.5,233.31,127013
26,State,Uttar Pradesh,240928,177941,141057,861463,1002520,126249,31149,157398,80.2,14898,142500,'1:10,12679,65.3,0.9,88,1.1,2372.24,150716
27,State,Uttarakhand,53483,8973,9890,65611,75501,9475,2698,12173,77.8,721,11452,'1:16,528,22.8,1.4,136,1,274.83,225770
28,State,West Bengal,88752,83953,103103,1291918,1395021,59624,22125,81749,72.9,16440,65309,'1:04,14597,92.1,1,97,1.7,731.12,89435
State,State,Total (States),3155431,1067476,2189643,4379930,6569573,990166,282271,1272437,77.8,163217,1109220,'1:07,137052,40.3,1.2,119,2.2,16693.09,131190
29,Union Territory,A & N Islands,8249,379,988,7644,8632,2227,513,2740,81.3,378,2362,'1:06,334,33.2,7.2,723,0.4,46.44,169489
30,Union Territory,Chandigarh,114,976,3611,1175,4786,3504,419,3923,89.3,499,3424,'1:07,469,3441.2,4,402,1,64.29,163880
31,Union Territory,D & N Haveli,491,238,526,31,557,224,0,224,100,16,208,'1:13,14,45.6,0.9,94,2.3,3.62,161607
32,Union Territory,Daman & Diu,112,171,287,11,298,242,0,242,100,25,217,'1:09,21,216.1,1.4,142,1.2,3.81,157438
33,Union Territory,Delhi,1483,15279,102959,33987,136946,44616,10453,55069,81,10527,44542,'1:04,9587,3713.4,3.6,360,2.3,1137.12,206490
34,Union Territory,Lakshadweep,32,64,119,7,126,324,0,324,100,47,277,'1:06,45,1012.5,5.1,506,0.4,5.12,158025
35,Union Territory,Puducherry,492,1017,5221,1420,6641,1541,683,2224,69.3,295,1929,'1:07,251,452,2.2,219,3.4,30,134892
Union Territory,Union Territory,Total (UTs),10973,18124,113711,44275,157986,52678,12068,64746,81.4,11787,52959,'1:04,10721,590,3.6,357,2.2,1290.4,199302
Total (All-India),Total (All-India),Total (All-India),3166404,1085600,2303354,4424205,6727559,1042844,294339,1337183,78,175004,1162179,'1:07,147773,42.2,1.2,123,2.2,17983.49,134488
