Sr. No.,Crime Head,Incidence - Year - 1994,Rate of Crime - Year - 1994,Incidence - Year - 1999,Rate of Crime - Year - 1999,Incidence - Year - 2000,Rate of Crime - Year - 2000,Incidence - Year - 2001,Rate of Crime - Year - 2001,Incidence - Year - 2002,Rate of Crime - Year - 2002,Incidence - Year - 2003,Rate of Crime - Year - 2003,Incidence - Quinquennial Avg.1999-2003 (Q.A.),Rate of Crime - Quinquennial Avg.1999-2003 (Q.A.),Incidence - 2004,Rate of Crime - 2004,Percentage Change in 2004 [(+) Increase/ (-) Decrease] over - 1994,Percentage Change in 2004 [(+) Increase/ (-) Decrease] over - Q.A,Percentage Change in 2004 [(+) Increase/ (-) Decrease] over - 2003,Note of Incidence - Year - 1994,Note of Rate of Crime - Year - 1994,Note of Incidence - Year - 1999,Note of Rate of Crime - Year - 1999,Note of Incidence - Year - 2000,Note of 2000 - Rate of Crime,Note of 2003 - Incidence,Note of 2003 - Rate of Crime,Note of - Incidence - Quinquennial Avg.1999-2003 (Q.A.),Note of - Rate of Crime - Quinquennial Avg.1999-2003 (Q.A.)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47742,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58121,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,69423,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,735133,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-71.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,741031,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-68.3,,,,,,,,,,,,,,,,,,,,,,,,,,
