Category (Col. 1),States/ UTs (Col. 2),Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Indian Railways Act,Registration of Foreigners Act,P.C.R. Act - Total,P.C.R. Act - For SCs,P.C.R. Act - For STs,Indian Passport Act,Essential Commodities,TADA,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copyright Act,Sati Prevention Act,SC/ ST (P) of Atrocities Act NA Total,SC/ ST (P) of Atrocities Act NA For SCs,SC/ ST (P) of Atrocities Act NA For STs,Forest Act,Other SLL Crimes,Total Cog. Crimes under SLL
State,Tamil Nadu,33.7,71,98.9,NA,72.2,77,97.1,87,94.1,11.4,11.4,NA,84.6,75,NA,NA,46.3,0,77.8,90.7,NA,11,11,0,100,91.6,85
State,Tripura,25.7,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6
State,Uttar Pradesh,73.8,70.1,86.3,87.7,NA,58.2,55,95.9,66.7,42.6,42.6,NA,94.6,51.4,NA,100,57.1,100,NA,73.9,NA,44.5,44.5,44,84.5,93.7,92.1
State,Uttarakhand,81.7,69.2,78.6,95.6,NA,55.6,NA,100,NA,NA,NA,NA,NA,60,NA,NA,33.3,NA,NA,85.7,NA,42.7,38.6,100,76.1,99.4,98.7
State,West Bengal,39.6,20.9,86.7,62.3,0,26.8,27.7,9.1,88.1,NA,NA,NA,20,12.5,NA,0,20,NA,NA,21.7,NA,16.7,0,25,0,99.9,99.8
State,Total (States),64,59.9,85.7,74.8,43,48.9,86.3,95.5,86.2,11.9,12.2,0,60.9,19.1,4.1,18.2,25.1,46.2,90,59.7,0,23,23.4,20.2,74.6,96.7,90.6
Union Territory,A & N Islands,NA,100,100,99.9,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,99.5,99.9
Union Territory,Chandigarh,100,61.1,97.2,98.3,NA,100,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,87.8,96.6
Union Territory,D & N Haveli,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Union Territory,Daman & Diu,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Union Territory,Delhi,51.8,66.2,69.9,41.8,NA,66.7,58.1,NA,NA,100,100,NA,44,23.5,NA,NA,NA,NA,NA,40.9,NA,7.7,7.7,NA,NA,50.6,51.1
Union Territory,Lakshadweep,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
Union Territory,Puducherry,66.7,100,100,NA,NA,0,83.3,NA,NA,10,10,NA,NA,100,NA,NA,0,NA,100,33.3,NA,0,0,NA,NA,99.7,96.5
Union Territory,Total (UTs),52.2,66.1,79.6,81.8,100,66.7,58.8,0,0,30.8,30.8,0,44,35.4,0,0,0,0,100,40.9,0,7.1,7.1,0,0,77.9,71.6
Total (All-India),Total (All-India),63.2,60.1,85.6,75.1,43,49,84.8,95.5,86.2,12.3,12.6,0,59.6,19.7,4.1,18.2,25,45.3,90,58.8,0,23,23.4,20.2,74.6,96.6,90.6
