Sr. No.,Category,States/ UTs/ Cities,Murder - Incidence,Murder - Rate,Attempt to Commit Murder - Incidence,Attempt to Commit Murder - Rate,C.H. Not Amounting to Murder - Incidence,C.H. Not Amounting to Murder - Rate,Rape - Total - Incidence,Rape - Total - Rate,Rape - Custodial - Incidence,Rape - Custodial - Rate,Rape - Others - Incidence,Rape - Others - Rate,Kidnapping & Abduction - Total - Incidence,Kidnapping & Abduction - Total - Rate,Kidnapping & Abduction - of Women & Girls - Incidence,Kidnapping & Abduction - of Women & Girls - Rate,Kidnapping & Abduction - of Others - Incidence,Kidnapping & Abduction - of Others - Rate,Dacoity - Incidence,Dacoity - Rate,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate,Robbery - Incidence,Robbery - Rate,Burglary - Incidence,Burglary - Rate,Theft - Total - Incidence,Theft - Total - Rate,Theft - Auto Theft - Incidence,Theft - Auto Theft - Rate,Theft - Other Theft - Incidence,Theft - Other Theft - Rate,Riots - Incidence,Riots - Rate,Criminal Breach of Trust - Incidence,Criminal Breach of Trust - Rate,Cheating - Incidence,Cheating - Rate,Counterfeiting - Incidence,Counterfeiting - Rate,Arson - Incidence,Arson - Rate,Hurt - Incidence,Hurt - Rate,Dowry Deaths - Incidence,Dowry Deaths - Rate,Molestation - Incidence,Molestation - Rate,Sexual Harassment - Incidence,Sexual Harassment - Rate,Cruelty by Husband and Relatives - Incidence,Cruelty by Husband and Relatives - Rate,Importation of Girls - Incidence,Importation of Girls - Rate,Causing Death by Negligence - Incidence,Causing Death by Negligence - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes under IPC - Incidence,Total Cognizable Crimes under IPC - Rate
11,State,Jharkhand,1488,5.2,1143,4,115,0.4,797,2.8,0,0,797,2.8,468,1.6,178,0.6,290,1,580,2,55,0.2,780,2.7,1419,5,4374,15.4,560,2,3814,13.4,2281,8,333,1.2,441,1.6,6,0,167,0.6,2294,8.1,275,1,411,1.4,3,0,588,2.1,36,0.1,416,1.5,12969,45.6,31439,110.5
12,State,Karnataka,1519,2.8,1387,2.5,57,0.1,291,0.5,1,0,290,0.5,592,1.1,286,0.5,306,0.6,177,0.3,109,0.2,1024,1.9,6093,11.1,16093,29.2,5185,9.4,10908,19.8,6237,11.3,423,0.8,2759,5,65,0.1,248,0.5,21232,38.6,259,0.5,1435,2.6,57,0.1,1588,2.9,0,0,277,0.5,52518,95.4,114440,207.9
13,State,Kerala,417,1.3,391,1.2,473,1.4,480,1.5,0,0,480,1.5,232,0.7,142,0.4,90,0.3,129,0.4,15,0,639,1.9,4580,13.9,5240,15.9,1717,5.2,3523,10.7,6461,19.6,336,1,3755,11.4,99,0.3,374,1.1,20610,62.5,31,0.1,2260,6.9,133,0.4,3222,9.8,0,0,42,0.1,54106,164,104025,315.4
14,State,Madhya Pradesh,2379,3.7,2563,4,188,0.3,2875,4.4,0,0,2875,4.4,832,1.3,584,0.9,248,0.4,147,0.2,134,0.2,1526,2.4,12308,19,22586,34.9,6148,9.5,16438,25.4,2479,3.8,548,0.8,1287,2,36,0.1,893,1.4,33285,51.5,751,1.2,6690,10.3,804,1.2,3436,5.3,0,0,4209,6.5,96911,149.9,196867,304.4
15,State,Maharashtra,2696,2.6,1463,1.4,115,0.1,1388,1.4,0,0,1388,1.4,1045,1,787,0.8,258,0.3,629,0.6,315,0.3,2229,2.2,14659,14.4,43952,43.2,11307,11.1,32645,32.1,5980,5.9,1528,1.5,5167,5.1,218,0.2,1149,1.1,30122,29.6,314,0.3,2831,2.8,862,0.8,5646,5.5,0,0,9574,9.4,44420,43.7,176302,173.3
16,State,Manipur,159,6.3,227,9,3,0.1,31,1.2,0,0,31,1.2,128,5.1,71,2.8,57,2.3,2,0.1,2,0.1,3,0.1,66,2.6,244,9.7,108,4.3,136,5.4,115,4.6,25,1,142,5.7,4,0.2,85,3.4,233,9.3,0,0,30,1.2,0,0,2,0.1,0,0,35,1.4,999,39.8,2535,101
17,State,Meghalaya,124,5.1,42,1.7,7,0.3,54,2.2,0,0,54,2.2,54,2.2,18,0.7,36,1.5,91,3.8,2,0.1,81,3.3,142,5.9,418,17.3,138,5.7,280,11.6,2,0.1,25,1,44,1.8,2,0.1,15,0.6,123,5.1,2,0.1,34,1.4,0,0,5,0.2,0,0,51,2.1,439,18.1,1757,72.6
18,State,Mizoram,35,3.7,21,2.2,2,0.2,20,2.1,0,0,20,2.1,15,1.6,0,0,15,1.6,10,1.1,0,0,6,0.6,250,26.7,610,65.2,0,0,610,65.2,2,0.2,30,3.2,20,2.1,6,0.6,22,2.4,80,8.5,0,0,66,7.1,0,0,0,0,0,0,0,0,320,34.2,1515,161.9
19,State,Nagaland,70,3.3,33,1.6,5,0.2,18,0.9,0,0,18,0.9,23,1.1,4,0.2,19,0.9,14,0.7,0,0,117,5.6,70,3.3,255,12.2,26,1.2,229,10.9,6,0.3,11,0.5,28,1.3,0,0,5,0.2,52,2.5,0,0,3,0.1,1,0,0,0,0,0,34,1.6,239,11.4,984,46.9
20,State,Orissa,1066,2.8,1197,3.1,25,0.1,770,2,0,0,770,2,526,1.4,423,1.1,103,0.3,238,0.6,0,0,952,2.5,2992,7.8,5967,15.6,1401,3.7,4566,11.9,1433,3.7,271,0.7,805,2.1,14,0,343,0.9,4938,12.9,319,0.8,1811,4.7,170,0.4,1192,3.1,0,0,2652,6.9,21058,55,48739,127.3
21,State,Punjab,775,3,716,2.8,148,0.6,390,1.5,0,0,390,1.5,463,1.8,311,1.2,152,0.6,17,0.1,79,0.3,86,0.3,1766,6.9,2587,10.2,1132,4.4,1455,5.7,16,0.1,313,1.2,2729,10.7,60,0.2,52,0.2,4402,17.3,113,0.4,261,1,38,0.1,801,3.1,0,0,2181,8.6,7637,30,25630,100.7
22,State,Rajasthan,1279,2.1,2030,3.4,59,0.1,1038,1.7,0,0,1038,1.7,2384,3.9,1881,3.1,503,0.8,58,0.1,46,0.1,673,1.1,5911,9.8,18842,31.1,6648,11,12194,20.2,3101,5.1,885,1.5,8333,13.8,65,0.1,835,1.4,25947,42.9,379,0.6,2825,4.7,41,0.1,6781,11.2,1,0,5579,9.2,67767,112,154859,255.9
23,State,Sikkim,16,2.8,8,1.4,3,0.5,3,0.5,0,0,3,0.5,5,0.9,4,0.7,1,0.2,0,0,0,0,5,0.9,64,11.3,73,12.9,6,1.1,67,11.8,76,13.4,4,0.7,22,3.9,1,0.2,7,1.2,78,13.7,0,0,40,7,0,0,1,0.2,0,0,29,5.1,196,34.5,631,111.1
24,State,Tamil Nadu,1479,2.3,1772,2.8,26,0,618,1,0,0,618,1,870,1.4,692,1.1,178,0.3,72,0.1,54,0.1,464,0.7,4147,6.5,17530,27.3,3996,6.2,13534,21.1,3433,5.3,268,0.4,2121,3.3,40,0.1,662,1,30855,48,225,0.4,1861,2.9,1081,1.7,1437,2.2,0,0,9152,14.2,88439,137.7,166606,259.4
25,State,Tripura,189,5.7,36,1.1,0,0,160,4.8,0,0,160,4.8,99,3,54,1.6,45,1.3,27,0.8,2,0.1,46,1.4,166,5,260,7.8,49,1.5,211,6.3,148,4.4,17,0.5,34,1,12,0.4,24,0.7,452,13.5,20,0.6,134,4,0,0,302,9,0,0,85,2.5,868,26,3081,92.2
26,State,Uttar Pradesh,6126,3.4,5580,3.1,1436,0.8,1397,0.8,0,0,1397,0.8,3337,1.9,2324,1.3,1013,0.6,378,0.2,98,0.1,2606,1.5,5299,3,22524,12.7,8452,4.7,14072,7.9,3915,2.2,2377,1.3,4184,2.4,188,0.1,381,0.2,11265,6.3,1708,1,1900,1.1,2682,1.5,4950,2.8,3,0,7136,4,40711,22.9,130181,73.2
27,State,Uttarakhand,262,2.9,247,2.8,29,0.3,115,1.3,0,0,115,1.3,213,2.4,127,1.4,86,1,37,0.4,1,0,165,1.8,566,6.3,1597,17.8,500,5.6,1097,12.2,444,4.9,157,1.7,372,4.1,13,0.1,28,0.3,865,9.6,82,0.9,143,1.6,110,1.2,405,4.5,0,0,464,5.2,2319,25.8,8634,96.2
28,State,West Bengal,1425,1.7,390,0.5,468,0.6,1475,1.8,0,0,1475,1.8,1200,1.4,1018,1.2,182,0.2,212,0.3,943,1.1,535,0.6,547,0.7,14465,17.2,2668,3.2,11797,14.1,2691,3.2,425,0.5,1686,2,125,0.1,103,0.1,3867,4.6,396,0.5,1566,1.9,64,0.1,6334,7.5,12,0,2995,3.6,27426,32.7,69350,82.6
State,State,Total (States),33051,3.1,27328,2.6,3829,0.4,17641,1.7,2,0,17639,1.7,22037,2.1,14636,1.4,7401,0.7,5278,0.5,2203,0.2,17984,1.7,90217,8.5,251770,23.6,70793,6.6,180977,17,59632,5.6,13685,1.3,49408,4.6,1478,0.1,8577,0.8,273886,25.7,6888,0.6,33884,3.2,9820,0.9,56779,5.3,89,0,68770,6.4,715224,67,1769458,165.8
29,Union Territory,A & N Islands,15,4,1,0.3,2,0.5,10,2.6,0,0,10,2.6,3,0.8,3,0.8,0,0,0,0,0,0,3,0.8,69,18.2,103,27.2,9,2.4,94,24.8,9,2.4,0,0,12,3.2,0,0,9,2.4,105,27.7,0,0,6,1.6,3,0.8,5,1.3,0,0,6,1.6,387,102.1,748,197.4
30,Union Territory,Chandigarh,22,2.3,19,1.9,10,1,19,1.9,0,0,19,1.9,54,5.5,43,4.4,11,1.1,0,0,2,0.2,6,0.6,186,19.1,1459,149.5,653,66.9,806,82.6,43,4.4,23,2.4,135,13.8,4,0.4,0,0,65,6.7,6,0.6,20,2,18,1.8,73,7.5,0,0,5,0.5,720,73.8,2889,296
31,Union Territory,D & N Haveli,11,4.6,4,1.7,0,0,7,2.9,0,0,7,2.9,12,5,7,2.9,5,2.1,3,1.3,0,0,2,0.8,20,8.4,53,22.3,20,8.4,33,13.9,17,7.1,12,5,22,9.2,0,0,2,0.8,35,14.7,0,0,5,2.1,0,0,3,1.3,0,0,8,3.4,193,81.1,409,171.8
32,Union Territory,Daman & Diu,3,1.8,1,0.6,0,0,1,0.6,0,0,1,0.6,2,1.2,0,0,2,1.2,0,0,0,0,1,0.6,35,20.5,27,15.8,12,7,15,8.8,19,11.1,4,2.3,5,2.9,0,0,2,1.2,17,9.9,0,0,1,0.6,0,0,4,2.3,0,0,25,14.6,51,29.8,198,115.8
33,Union Territory,Delhi,481,3.1,519,3.4,80,0.5,551,3.6,0,0,551,3.6,1209,7.9,881,5.8,328,2.1,30,0.2,135,0.9,461,3,1875,12.3,18994,124.3,8873,58.1,10121,66.2,67,0.4,445,2.9,2322,15.2,44,0.3,38,0.2,1780,11.6,126,0.8,601,3.9,130,0.9,1254,8.2,0,0,433,2.8,22048,144.3,53623,351
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,5,7.8,0,0,5,7.8,37,57.8,0,0,0,0,1,1.6,0,0,6,9.4,0,0,0,0,0,0,1,1.6,0,0,0,0,18,28.1,70,109.4
35,Union Territory,Puducherry,25,2.5,18,1.8,14,1.4,4,0.4,0,0,4,0.4,10,1,8,0.8,2,0.2,0,0,0,0,1,0.1,86,8.5,634,62.3,322,31.7,312,30.7,147,14.5,7,0.7,35,3.4,2,0.2,9,0.9,974,95.8,6,0.6,50,4.9,30,2.9,2,0.2,0,0,176,17.3,2390,235,4620,454.3
Union Territory,Union Territory,Total (UTs),557,3.1,562,3.1,106,0.6,592,3.3,0,0,592,3.3,1290,7.1,942,5.2,348,1.9,33,0.2,137,0.8,474,2.6,2273,12.5,21275,117.4,9889,54.6,11386,62.8,339,1.9,491,2.7,2531,14,51,0.3,60,0.3,2982,16.5,138,0.8,683,3.8,181,1,1342,7.4,0,0,653,3.6,25807,142.4,62557,345.2
Total (All-India),Total (All-India),Total (All-India),33608,3.1,27890,2.6,3935,0.4,18233,1.7,2,0,18231,1.7,23327,2.1,15578,1.4,7749,0.7,5311,0.5,2340,0.2,18458,1.7,92490,8.5,273045,25.2,80682,7.4,192363,17.7,59971,5.5,14176,1.3,51939,4.8,1529,0.1,8637,0.8,276868,25.5,7026,0.6,34567,3.2,10001,0.9,58121,5.4,89,0,69423,6.4,741031,68.3,1832015,168.8
36,City,Agra,72,5.5,71,5.4,12,0.9,16,1.2,0,0,16,1.2,111,8.4,87,6.6,24,1.8,6,0.5,1,0.1,50,3.8,168,12.7,944,71.5,636,48.1,308,23.3,144,10.9,107,8.1,138,10.4,17,1.3,5,0.4,238,18,30,2.3,42,3.2,82,6.2,212,16,0,0,185,14,791,59.9,3442,260.6
37,City,Ahmedabad,92,2,62,1.4,5,0.1,40,0.9,0,0,40,0.9,215,4.8,122,2.7,93,2.1,33,0.7,4,0.1,271,6,931,20.6,5711,126.4,2153,47.6,3558,78.7,162,3.6,275,6.1,333,7.4,7,0.2,10,0.2,1594,35.3,10,0.2,63,1.4,20,0.4,768,17,0,0,165,3.7,6782,150.1,17553,388.4
38,City,Allahabad,41,3.9,50,4.8,7,0.7,2,0.2,0,0,2,0.2,27,2.6,17,1.6,10,1,0,0,1,0.1,21,2,100,9.5,365,34.8,205,19.5,160,15.2,72,6.9,44,4.2,90,8.6,3,0.3,0,0,38,3.6,11,1,4,0.4,17,1.6,65,6.2,0,0,72,6.9,521,49.6,1551,147.7
39,City,Amritsar,43,4.3,43,4.3,1,0.1,22,2.2,0,0,22,2.2,27,2.7,26,2.6,1,0.1,0,0,3,0.3,6,0.6,115,11.4,163,16.1,112,11.1,51,5,4,0.4,22,2.2,156,15.4,5,0.5,0,0,153,15.1,5,0.5,9,0.9,7,0.7,45,4.5,0,0,57,5.6,318,31.5,1204,119.1
40,City,Asansol,28,2.6,6,0.5,8,0.7,9,0.8,0,0,9,0.8,10,0.9,1,0.1,9,0.8,3,0.3,23,2.1,7,0.6,19,1.7,112,10.3,34,3.1,78,7.1,62,5.7,7,0.6,13,1.2,0,0,1,0.1,40,3.7,7,0.6,37,3.4,2,0.2,247,22.6,0,0,105,9.6,316,29,1062,97.3
41,City,Bangalore,214,3.8,285,5,2,0,32,0.6,0,0,32,0.6,175,3.1,61,1.1,114,2,37,0.7,73,1.3,455,8,1874,33,8241,144.9,3205,56.4,5036,88.6,323,5.7,145,2.5,1534,27,22,0.4,3,0.1,3542,62.3,44,0.8,151,2.7,35,0.6,227,4,0,0,104,1.8,11008,193.6,28526,501.6
42,City,Bhopal,54,3.7,72,4.9,0,0,47,3.2,0,0,47,3.2,40,2.7,35,2.4,5,0.3,0,0,4,0.3,96,6.6,882,60.6,1920,132,870,59.8,1050,72.2,100,6.9,24,1.6,103,7.1,8,0.5,12,0.8,610,41.9,16,1.1,161,11.1,21,1.4,135,9.3,0,0,136,9.3,7827,537.9,12268,843.2
43,City,Chennai,67,1,210,3.3,4,0.1,30,0.5,0,0,30,0.5,37,0.6,20,0.3,17,0.3,4,0.1,0,0,47,0.7,430,6.7,3263,50.8,784,12.2,2479,38.6,33,0.5,25,0.4,359,5.6,3,0,0,0,667,10.4,23,0.4,55,0.9,189,2.9,154,2.4,0,0,570,8.9,6266,97.5,12436,193.6
44,City,Coimbatore,17,1.2,15,1,0,0,4,0.3,0,0,4,0.3,8,0.6,4,0.3,4,0.3,3,0.2,0,0,17,1.2,148,10.2,1064,73.6,410,28.4,654,45.2,194,13.4,33,2.3,66,4.6,1,0.1,4,0.3,144,10,4,0.3,16,1.1,4,0.3,28,1.9,0,0,185,12.8,1876,129.7,3831,264.9
45,City,Delhi (City),401,3.1,439,3.4,75,0.6,457,3.6,0,0,457,3.6,1066,8.3,766,6,300,2.3,27,0.2,113,0.9,403,3.2,1586,12.4,17894,139.9,8338,65.2,9556,74.7,55,0.4,405,3.2,2209,17.3,43,0.3,36,0.3,1564,12.2,111,0.9,506,4,128,1,1235,9.7,0,0,392,3.1,19532,152.7,48677,380.6
46,City,Dhanbad,31,2.9,19,1.8,9,0.8,23,2.2,0,0,23,2.2,27,2.5,24,2.3,3,0.3,16,1.5,0,0,27,2.5,80,7.5,241,22.7,31,2.9,210,19.7,118,11.1,2,0.2,38,3.6,0,0,0,0,348,32.7,14,1.3,5,0.5,0,0,3,0.3,0,0,0,0,725,68.1,1726,162.2
47,City,Faridabad,32,3,12,1.1,4,0.4,16,1.5,0,0,16,1.5,47,4.5,38,3.6,9,0.9,2,0.2,8,0.8,8,0.8,183,17.3,585,55.5,452,42.8,133,12.6,48,4.5,72,6.8,12,1.1,2,0.2,0,0,136,12.9,13,1.2,14,1.3,434,41.1,90,8.5,0,0,10,0.9,1420,134.6,3148,298.4
48,City,Hyderabad,121,2.2,135,2.4,1,0,56,1,0,0,56,1,136,2.5,62,1.1,74,1.3,11,0.2,2,0,71,1.3,1359,24.6,5735,103.6,2078,37.5,3657,66.1,141,2.5,110,2,2160,39,19,0.3,37,0.7,4837,87.4,29,0.5,144,2.6,206,3.7,1142,20.6,2,0,482,8.7,1932,34.9,18868,340.9
49,City,Indore,69,4.2,91,5.6,6,0.4,74,4.5,0,0,74,4.5,36,2.2,24,1.5,12,0.7,4,0.2,2,0.1,100,6.1,727,44.4,2319,141.5,1277,77.9,1042,63.6,69,4.2,75,4.6,131,8,1,0.1,20,1.2,1011,61.7,23,1.4,174,10.6,56,3.4,230,14,0,0,220,13.4,6497,396.4,11935,728.2
50,City,Jabalpur,52,4.7,137,12.3,0,0,49,4.4,0,0,49,4.4,28,2.5,13,1.2,15,1.3,4,0.4,8,0.7,71,6.4,434,38.9,794,71.1,462,41.4,332,29.7,42,3.8,27,2.4,113,10.1,4,0.4,0,0,2892,258.9,10,0.9,134,12,87,7.8,54,4.8,0,0,180,16.1,1275,114.1,6395,572.5
51,City,Jaipur,47,2,84,3.6,7,0.3,56,2.4,0,0,56,2.4,161,6.9,134,5.8,27,1.2,4,0.2,3,0.1,42,1.8,695,29.9,3370,145,1735,74.7,1635,70.4,641,27.6,207,8.9,1261,54.3,15,0.6,16,0.7,935,40.2,21,0.9,133,5.7,0,0,402,17.3,0,0,386,16.6,4738,203.9,13224,569
52,City,Jamshedpur,60,5.4,54,4.9,0,0,24,2.2,0,0,24,2.2,50,4.5,40,3.6,10,0.9,8,0.7,0,0,23,2.1,131,11.9,521,47.3,6,0.5,515,46.7,82,7.4,69,6.3,104,9.4,0,0,11,1,103,9.3,3,0.3,29,2.6,0,0,47,4.3,0,0,102,9.3,782,71,2203,199.9
53,City,Kanpur,149,5.5,126,4.7,36,1.3,20,0.7,0,0,20,0.7,109,4.1,83,3.1,26,1,5,0.2,5,0.2,62,2.3,161,6,938,34.9,634,23.6,304,11.3,96,3.6,98,3.6,211,7.8,7,0.3,6,0.2,402,14.9,46,1.7,40,1.5,239,8.9,202,7.5,0,0,361,13.4,1207,44.9,4526,168.3
54,City,Kochi,13,1,21,1.5,11,0.8,7,0.5,0,0,7,0.5,18,1.3,8,0.6,10,0.7,8,0.6,0,0,56,4.1,307,22.7,486,35.9,169,12.5,317,23.4,189,13.9,15,1.1,377,27.8,0,0,4,0.3,555,41,1,0.1,64,4.7,5,0.4,79,5.8,0,0,1,0.1,4539,335,6756,498.6
55,City,Kolkata,37,0.3,78,0.6,16,0.1,27,0.2,0,0,27,0.2,119,0.9,95,0.7,24,0.2,19,0.1,53,0.4,117,0.9,140,1.1,3695,28,763,5.8,2932,22.2,227,1.7,225,1.7,922,7,12,0.1,0,0,1228,9.3,10,0.1,174,1.3,34,0.3,252,1.9,1,0,431,3.3,2940,22.2,10757,81.4
56,City,Lucknow,106,4.7,111,4.9,17,0.7,29,1.3,0,0,29,1.3,128,5.6,104,4.6,24,1.1,8,0.4,3,0.1,89,3.9,432,19.1,2143,94.5,1017,44.9,1126,49.7,123,5.4,181,8,311,13.7,18,0.8,5,0.2,20,0.9,22,1,41,1.8,136,6,255,11.2,0,0,221,9.7,1901,83.9,6300,277.9
57,City,Ludhiana,51,3.7,53,3.8,10,0.7,44,3.2,0,0,44,3.2,66,4.7,46,3.3,20,1.4,0,0,18,1.3,8,0.6,140,10,355,25.4,204,14.6,151,10.8,0,0,30,2.2,319,22.9,2,0.1,2,0.1,212,15.2,5,0.4,31,2.2,22,1.6,95,6.8,0,0,181,13,907,65,2551,182.9
58,City,Madurai,16,1.3,32,2.7,0,0,8,0.7,0,0,8,0.7,27,2.3,23,1.9,4,0.3,2,0.2,0,0,18,1.5,79,6.6,529,44.3,185,15.5,344,28.8,71,5.9,10,0.8,143,12,1,0.1,7,0.6,143,12,5,0.4,34,2.8,40,3.3,38,3.2,0,0,103,8.6,1858,155.5,3164,264.8
59,City,Meerut,82,7,78,6.7,8,0.7,13,1.1,0,0,13,1.1,62,5.3,35,3,27,2.3,12,1,3,0.3,64,5.5,104,8.9,855,73.3,525,45,330,28.3,58,5,59,5.1,96,8.2,7,0.6,2,0.2,35,3,7,0.6,27,2.3,115,9.9,153,13.1,0,0,85,7.3,554,47.5,2479,212.4
60,City,Mumbai,253,1.5,127,0.8,4,0,187,1.1,0,0,187,1.1,178,1.1,113,0.7,65,0.4,42,0.3,68,0.4,302,1.8,2978,18.2,11510,70.3,3247,19.8,8263,50.5,213,1.3,510,3.1,1427,8.7,96,0.6,10,0.1,3702,22.6,13,0.1,321,2,78,0.5,248,1.5,0,0,735,4.5,6451,39.4,29453,179.9
61,City,Nagpur,112,5.3,56,2.6,2,0.1,41,1.9,0,0,41,1.9,49,2.3,38,1.8,11,0.5,21,1,33,1.6,178,8.4,1107,52.1,2447,115.3,919,43.3,1528,72,199,9.4,37,1.7,194,9.1,6,0.3,22,1,915,43.1,9,0.4,41,1.9,52,2.4,156,7.3,0,0,228,10.7,2613,123.1,8518,401.2
62,City,Nasik,19,1.6,13,1.1,4,0.3,15,1.3,0,0,15,1.3,17,1.5,12,1,5,0.4,6,0.5,2,0.2,17,1.5,350,30.4,808,70.1,295,25.6,513,44.5,80,6.9,15,1.3,148,12.8,0,0,6,0.5,228,19.8,4,0.3,26,2.3,15,1.3,126,10.9,0,0,144,12.5,563,48.9,2606,226.2
