Sr. No.,Category,States/ UTs/ Cities,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs & Psychotropic Substances Act - Incidence,Narcotic Drugs & Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosive & Explosive Substances Act - Incidence,Explosive & Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,Protection of Civil Rights Act (Total) - Incidence,Protection of Civil Rights Act (Total) - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for STs - Incidence,PCR Act for STs - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Copyrights Act - Incidence,Copyrights Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ ST (Prevention of Atrocities) Act (Total) - Incidence,SC/ ST (Prevention of Atrocities) Act (Total) - Rate,SC/ ST (Prevention of Atrocities ) Act for SCs - Incidence,SC/ ST (Prevention of Atrocities ) Act for SCs - Rate,SC/ ST (Prevention of Atrocities) Act for STs - Incidence,SC/ ST (Prevention of Atrocities) Act for STs - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes under SLL - Incidence,Total Cognizable Crimes under SLL - Rate
11,State,Jharkhand,511,1.8,48,0.2,112,0.4,216,0.8,0,0,52,0.2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,40,0.1,65,0.2,0,0,199,0.7,0,0,0,0,5,0,0,0,93,0.3,53,0.2,40,0.1,47,0.2,335,1.2,1729,6.1
12,State,Karnataka,109,0.2,242,0.4,6708,12.2,1576,2.9,0,0,69,0.1,1170,2.1,8,0,20,0,39,0.1,38,0.1,1,0,21,0,238,0.4,0,0,4,0,337,0.6,1,0,0,0,250,0.5,0,0,1179,2.1,1061,1.9,118,0.2,164,0.3,3243,5.9,15378,27.9
13,State,Kerala,534,1.6,451,1.4,2167,6.6,0,0,7169,21.7,356,1.1,168,0.5,9,0,5,0,3,0,3,0,0,0,210,0.6,122,0.4,0,0,0,0,2,0,1,0,45,0.1,285,0.9,0,0,173,0.5,162,0.5,11,0,66,0.2,40344,122.3,52110,158
14,State,Madhya Pradesh,13372,20.7,900,1.4,31239,48.3,21358,33,0,0,257,0.4,23,0,5692,8.8,2,0,1,0,1,0,0,0,0,0,284,0.4,0,0,0,0,40,0.1,2,0,0,0,197,0.3,0,0,569,0.9,357,0.6,212,0.3,34,0.1,127148,196.6,201118,311
15,State,Maharashtra,1609,1.6,804,0.8,21331,21,0,0,121028,119,66,0.1,309,0.3,681,0.7,5,0,26,0,26,0,0,0,27,0,1351,1.3,0,0,2,0,21,0,14,0,11,0,958,0.9,0,0,259,0.3,219,0.2,40,0,67,0.1,20748,20.4,169317,166.4
16,State,Manipur,2,0.1,75,3,10,0.4,0,0,0,0,10,0.4,0,0,0,0,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,14,452,18
17,State,Meghalaya,43,1.8,14,0.6,6,0.2,0,0,0,0,7,0.3,0,0,0,0,17,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.8,0,0,0,0,0,0,0,0,0,0,19,0.8,125,5.2
18,State,Mizoram,12,1.3,212,22.6,5,0.5,0,0,0,0,3,0.3,5,0.5,0,0,2,0.2,0,0,0,0,0,0,12,1.3,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,55.6,776,82.9
19,State,Nagaland,28,1.3,142,6.8,0,0,140,6.7,22,1,2,0.1,4,0.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,141,6.7,482,23
20,State,Orissa,273,0.7,123,0.3,762,2,10993,28.7,0,0,107,0.3,22,0.1,0,0,0,0,0,0,0,0,0,0,0,0,109,0.3,0,0,0,0,532,1.4,1,0,0,0,18,0,0,0,733,1.9,574,1.5,159,0.4,0,0,102,0.3,13775,36
21,State,Punjab,771,3,3226,12.7,4137,16.3,15003,59,8,0,17,0.1,32,0.1,87,0.3,8,0,0,0,0,0,0,0,88,0.3,82,0.3,0,0,0,0,7,0,2,0,2,0,244,1,0,0,61,0.2,61,0.2,0,0,1,0,518,2,24294,95.5
22,State,Rajasthan,2571,4.2,856,1.4,10458,17.3,8612,14.2,0,0,282,0.5,79,0.1,1031,1.7,1,0,0,0,0,0,0,0,14,0,294,0.5,0,0,1,0,13,0,2,0,89,0.1,533,0.9,0,0,726,1.2,579,1,147,0.2,1358,2.2,4382,7.2,31302,51.7
23,State,Sikkim,6,1.1,3,0.5,0,0,131,23.1,0,0,3,0.5,1,0.2,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.9,156,27.5
24,State,Tamil Nadu,158,0.2,5916,9.2,34982,54.5,0,0,128730,200.4,397,0.6,3022,4.7,40,0.1,21,0,71,0.1,70,0.1,1,0,193,0.3,31,0,0,0,0,0,294,0.5,5,0,102,0.2,1604,2.5,0,0,698,1.1,691,1.1,7,0,3,0,459944,716.1,636211,990.5
25,State,Tripura,27,0.8,23,0.7,4,0.1,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,110,3.3
26,State,Uttar Pradesh,37505,21.1,9330,5.2,8708,4.9,37304,21,0,0,1053,0.6,44,0,7292,4.1,5,0,35,0,35,0,0,0,53,0,452,0.3,1,0,7,0,477,0.3,1,0,0,0,189,0.1,0,0,1264,0.7,1264,0.7,0,0,1604,0.9,752262,422.8,857586,481.9
27,State,Uttarakhand,1079,12,258,2.9,466,5.2,2818,31.4,0,0,10,0.1,4,0,37,0.4,2,0,0,0,0,0,0,0,0,0,6,0.1,0,0,0,0,2,0,0,0,0,0,38,0.4,0,0,115,1.3,112,1.2,3,0,69,0.8,60486,674.1,65390,728.7
28,State,West Bengal,1549,1.8,399,0.5,897,1.1,912,1.1,1,0,112,0.1,121,0.1,5,0,1015,1.2,0,0,0,0,0,0,47,0.1,164,0.2,0,0,59,0.1,36,0,8,0,25,0,303,0.4,0,0,6,0,2,0,4,0,0,0,1272639,1515.9,1278298,1522.6
State,State,Total (States),66811,6.3,26275,2.5,189061,17.7,127713,12,378854,35.5,4185,0.4,5611,0.5,21439,2,1177,0.1,355,0,344,0,11,0,769,0.1,4784,0.4,66,0,84,0,3575,0.3,93,0,1378,0.1,6095,0.6,0,0,10062,0.9,8887,0.8,1175,0.1,3817,0.4,3309958,310.1,4162162,389.9
29,Union Territory,A & N Islands,0,0,2,0.5,20,5.3,6517,1719.5,62,16.4,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,425,112.1,7028,1854.4
30,Union Territory,Chandigarh,14,1.4,89,9.1,257,26.3,556,57,0,0,2,0.2,9,0.9,0,0,1,0.1,0,0,0,0,0,0,0,0,8,0.8,0,0,0,0,0,0,0,0,0,0,8,0.8,0,0,0,0,0,0,0,0,0,0,86,8.8,1030,105.5
31,Union Territory,D & N Haveli,0,0,1,0.4,0,0,22,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,25,10.5
32,Union Territory,Daman & Diu,2,1.2,3,1.8,2,1.2,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,10,5.8
33,Union Territory,Delhi,7545,49.4,1237,8.1,1306,8.5,13046,85.4,0,0,56,0.4,123,0.8,5,0,16,0.1,0,0,0,0,0,0,38,0.2,53,0.3,0,0,1,0,11,0.1,0,0,0,0,178,1.2,0,0,4,0,4,0,0,0,0,0,1517,9.9,25136,164.5
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,3,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,5,7.8
35,Union Territory,Puducherry,110,10.8,1,0.1,36,3.5,0,0,0,0,4,0.4,4,0.4,0,0,0,0,20,2,20,2,0,0,0,0,24,2.4,0,0,0,0,6,0.6,0,0,0,0,9,0.9,0,0,0,0,0,0,0,0,0,0,1156,113.7,1370,134.7
Union Territory,Union Territory,Total (UTs),7671,42.3,1333,7.4,1621,8.9,20141,111.1,65,0.4,63,0.3,137,0.8,5,0,17,0.1,20,0.1,20,0.1,0,0,38,0.2,87,0.5,0,0,1,0,17,0.1,0,0,0,0,195,1.1,0,0,4,0,4,0,0,0,1,0,3188,17.6,34604,190.9
Total (All-India),Total (All-India),Total (All-India),74482,6.9,27608,2.5,190682,17.6,147854,13.6,378919,34.9,4248,0.4,5748,0.5,21444,2,1194,0.1,375,0,364,0,11,0,807,0.1,4871,0.4,66,0,85,0,3592,0.3,93,0,1378,0.1,6290,0.6,0,0,10066,0.9,8891,0.8,1175,0.1,3818,0.4,3313146,305.2,4196766,386.6
36,City,Agra,418,31.6,141,10.7,503,38.1,74,5.6,0,0,5,0.4,5,0.4,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,0,0,0,0,0,0,23,1.7,0,0,22,1.7,22,1.7,0,0,2,0.2,26382,1997.1,27581,2087.9
37,City,Ahmedabad,57,1.3,22,0.5,1015,22.5,0,0,6750,149.4,21,0.5,5,0.1,0,0,0,0,2,0,2,0,0,0,0,0,131,2.9,0,0,0,0,0,0,0,0,0,0,145,3.2,0,0,16,0.4,16,0.4,0,0,0,0,3294,72.9,11458,253.6
38,City,Allahabad,244,23.2,102,9.7,65,6.2,122,11.6,0,0,221,21,1,0.1,1,0.1,0,0,0,0,0,0,0,0,1,0.1,1,0.1,0,0,0,0,2,0.2,0,0,0,0,5,0.5,0,0,8,0.8,8,0.8,0,0,7,0.7,8506,810.1,9286,884.4
39,City,Amritsar,25,2.5,193,19.1,118,11.7,853,84.4,0,0,3,0.3,2,0.2,0,0,0,0,0,0,0,0,0,0,8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,21,2.1,0,0,1,0.1,1,0.1,0,0,0,0,11,1.1,1235,122.2
40,City,Asansol,18,1.6,2,0.2,9,0.8,0,0,0,0,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.7,0,0,0,0,0,0,0,0,0,0,46,4.2,88,8.1
41,City,Bangalore,8,0.1,37,0.7,211,3.7,227,4,0,0,2,0,422,7.4,0,0,15,0.3,11,0.2,11,0.2,0,0,16,0.3,14,0.2,0,0,0,0,247,4.3,0,0,0,0,160,2.8,0,0,80,1.4,80,1.4,0,0,3,0.1,1007,17.7,2460,43.3
42,City,Bhopal,968,66.5,34,2.3,1514,104.1,358,24.6,0,0,2,0.1,8,0.5,0,0,1,0.1,0,0,0,0,0,0,0,0,11,0.8,0,0,0,0,4,0.3,0,0,0,0,13,0.9,0,0,6,0.4,4,0.3,2,0.1,0,0,66,4.5,2985,205.2
43,City,Chennai,0,0,162,2.5,2677,41.7,0,0,582,9.1,1,0,392,6.1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,4,0.1,246,3.8,0,0,4,0.1,4,0.1,0,0,0,0,79884,1243.3,83957,1306.7
44,City,Coimbatore,1,0.1,196,13.6,444,30.7,0,0,108,7.5,3,0.2,255,17.6,0,0,0,0,0,0,0,0,0,0,6,0.4,0,0,0,0,0,0,1,0.1,0,0,23,1.6,83,5.7,0,0,8,0.6,8,0.6,0,0,0,0,4932,341.1,6060,419.1
45,City,Delhi (City),7247,56.7,1202,9.4,1297,10.1,11955,93.5,0,0,53,0.4,120,0.9,5,0,16,0.1,0,0,0,0,0,0,38,0.3,49,0.4,0,0,1,0,11,0.1,0,0,0,0,164,1.3,0,0,4,0,4,0,0,0,0,0,1449,11.3,23611,184.6
46,City,Dhanbad,18,1.7,4,0.4,28,2.6,40,3.8,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2.3,0,0,0,0,0,0,0,0,6,0.6,6,0.6,0,0,0,0,24,2.3,147,13.8
47,City,Faridabad,111,10.5,20,1.9,1087,103,1712,162.3,0,0,0,0,2,0.2,0,0,3,0.3,0,0,0,0,0,0,0,0,4,0.4,0,0,0,0,2,0.2,0,0,0,0,9,0.9,0,0,5,0.5,5,0.5,0,0,0,0,78,7.4,3033,287.5
48,City,Hyderabad,71,1.3,26,0.5,333,6,25,0.5,195,3.5,9,0.2,39,0.7,0,0,1,0,1,0,1,0,0,0,55,1,0,0,0,0,2,0,1,0,0,0,297,5.4,101,1.8,0,0,69,1.2,67,1.2,2,0,0,0,50303,909,51528,931.1
49,City,Indore,1350,82.4,26,1.6,1142,69.7,951,58,0,0,2,0.1,5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,5,0.3,0,0,0,0,1,0.1,0,0,0,0,40,2.4,0,0,2,0.1,2,0.1,0,0,0,0,57,3.5,3581,218.5
50,City,Jabalpur,1024,91.7,63,5.6,2098,187.8,953,85.3,0,0,97,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,9,0.8,0,0,29,2.6,23,2.1,6,0.5,0,0,3058,273.8,7332,656.4
51,City,Jaipur,380,16.4,27,1.2,889,38.3,809,34.8,0,0,4,0.2,29,1.2,15,0.6,1,0,0,0,0,0,0,0,4,0.2,30,1.3,0,0,0,0,0,0,0,0,43,1.9,122,5.2,0,0,162,7,118,5.1,44,1.9,1,0,421,18.1,2937,126.4
52,City,Jamshedpur,36,3.3,6,0.5,16,1.5,80,7.3,0,0,4,0.4,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,1,0.1,2,0.2,1,0.1,2,0.2,152,13.8
53,City,Kanpur,1506,56,945,35.1,442,16.4,821,30.5,0,0,272,10.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.1,0,0,0,0,20,0.7,0,0,55,2,55,2,0,0,20,0.7,98800,3672.9,102886,3824.8
54,City,Kochi,11,0.8,36,2.7,21,1.5,0,0,131,9.7,0,0,17,1.3,1,0.1,1,0.1,0,0,0,0,0,0,1,0.1,2,0.1,0,0,0,0,0,0,0,0,1,0.1,23,1.7,0,0,4,0.3,4,0.3,0,0,0,0,2929,216.2,3178,234.5
55,City,Kolkata,184,1.4,90,0.7,482,3.6,672,5.1,0,0,29,0.2,76,0.6,1,0,0,0,0,0,0,0,0,0,0,0,34,0.3,0,0,0,0,0,0,0,0,0,0,135,1,0,0,0,0,0,0,0,0,0,0,1270310,9611.2,1272013,9624.1
56,City,Lucknow,975,43,130,5.7,109,4.8,179,7.9,0,0,15,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0.8,0,0,8,0.4,8,0.4,0,0,20,0.9,43772,1930.8,45228,1995.1
57,City,Ludhiana,188,13.5,116,8.3,195,14,337,24.2,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,6,0.4,0,0,0,0,0,0,0,0,2,0.1,36,2.6,0,0,3,0.2,3,0.2,0,0,0,0,108,7.7,992,71.1
58,City,Madurai,0,0,224,18.7,653,54.6,0,0,254,21.3,2,0.2,178,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,4.8,0,0,9,0.8,9,0.8,0,0,0,0,30267,2532.8,31644,2648
59,City,Meerut,913,78.2,107,9.2,312,26.7,94,8.1,0,0,3,0.3,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,0,0,0,0,0,0,0,0,0,0,21,1.8,0,0,8,0.7,8,0.7,0,0,2,0.2,14132,1211,15601,1336.8
60,City,Mumbai,380,2.3,397,2.4,275,1.7,0,0,2047,12.5,2,0,231,1.4,9,0.1,2,0,1,0,1,0,0,0,2,0,22,0.1,0,0,0,0,0,0,0,0,0,0,246,1.5,0,0,12,0.1,12,0.1,0,0,6,0,2713,16.6,6345,38.8
61,City,Nagpur,527,24.8,81,3.8,901,42.4,0,0,2976,140.2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,49,2.3,0,0,0,0,5,0.2,0,0,0,0,28,1.3,0,0,3,0.1,3,0.1,0,0,0,0,1017,47.9,5590,263.3
62,City,Nasik,5,0.4,0,0,129,11.2,0,0,958,83.2,0,0,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,17,1.5,0,0,0,0,0,0,0,0,0,0,19,1.6,0,0,5,0.4,4,0.3,1,0.1,0,0,456,39.6,1595,138.5
63,City,Patna,255,14.9,1,0.1,29,1.7,60,3.5,0,0,22,1.3,11,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.5,1,0.1,0,0,3,0.2,0,0,8,0.5,8,0.5,0,0,0,0,166,9.7,564,33
64,City,Pune,44,1.2,45,1.2,308,8.2,0,0,4477,119.2,0,0,30,0.8,0,0,3,0.1,1,0,1,0,0,0,0,0,18,0.5,0,0,0,0,0,0,0,0,0,0,113,3,0,0,6,0.2,6,0.2,0,0,1,0,2239,59.6,7285,194
65,City,Rajkot,0,0,7,0.7,361,36,0,0,1742,173.9,2,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,8,0.8,0,0,0,0,0,0,0,0,0,0,25,2.5,0,0,13,1.3,13,1.3,0,0,0,0,314,31.3,2474,246.9
66,City,Surat,39,1.4,15,0.5,663,23.6,0,0,14916,530.6,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,8,0.3,0,0,0,0,0,0,0,0,0,0,90,3.2,0,0,2,0.1,2,0.1,0,0,0,0,7865,279.8,23601,839.6
67,City,Vadodara,12,0.8,3,0.2,659,44.2,0,0,6524,437.3,2,0.1,10,0.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,46,3.1,0,0,10,0.7,8,0.5,2,0.1,0,0,726,48.7,7995,535.9
68,City,Varanasi,696,57.4,459,37.9,60,5,172,14.2,0,0,19,1.6,0,0,0,0,0,0,7,0.6,7,0.6,0,0,0,0,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.6,7,0.6,0,0,4,0.3,18244,1505.3,19674,1623.3
69,City,Vijayawada,1,0.1,3,0.3,2201,217.7,147,14.5,24,2.4,4,0.4,29,2.9,0,0,0,0,21,2.1,21,2.1,0,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,14,1.4,0,0,17,1.7,17,1.7,0,0,0,0,89174,8820.4,91637,9064
70,City,Vishakhapatnam,1,0.1,1,0.1,908,68.3,8,0.6,0,0,0,0,20,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,8,0.6,0,0,8,0.6,8,0.6,0,0,0,0,4236,318.7,5191,390.6
Total (Cities),Total (Cities),Total (Cities),17713,16.4,4923,4.6,22154,20.5,20649,19.1,41684,38.6,807,0.7,1907,1.8,33,0,46,0,45,0,45,0,0,0,133,0.1,428,0.4,1,0,8,0,311,0.3,2,0,370,0.3,2052,1.9,0,0,603,0.6,544,0.5,59,0.1,67,0.1,1766988,1637.9,1880924,1743.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
