Sr. No.,Category,States/ UTs/ Cities,"No. of Vehicles - Motor Cycles, Scooters - S","No. of Vehicles - Motor Cycles, Scooters - R","No. of Vehicles - Motor Cycles, Scooters - C",No. of Vehicles - Motor Car/ Taxi/ Jeep - S,No. of Vehicles - Motor Car/ Taxi/ Jeep - R,No. of Vehicles - Motor Car/ Taxi/ Jeep - C,No. of Vehicles - Buses - S,No. of Vehicles - Buses - R,No. of Vehicles - Buses - C,No. of Vehicles - Goods Carrying Vehicles (Trucks/ Tempos Etc.) - S,No. of Vehicles - Goods Carrying Vehicles (Trucks/ Tempos Etc.) - R,No. of Vehicles - Goods Carrying Vehicles (Trucks/ Tempos Etc.) - C,No. of Vehicles - Other Motor Vehicles - S,No. of Vehicles - Other Motor Vehicles - R,No. of Vehicles - Other Motor Vehicles - C,No. of Vehicles - Total Motor Vehicles - S,No. of Vehicles - Total Motor Vehicles - R,No. of Vehicles - Total Motor Vehicles - C
51,City,Jaipur,1455,397,0,227,63,0,5,4,0,19,13,0,15,7,0,1721,484,0
52,City,Jamshedpur,62,16,0,14,3,0,0,0,0,0,0,0,0,0,0,76,19,0
53,City,Kanpur,396,91,0,134,23,0,0,0,0,5,0,0,9,17,0,544,131,0
54,City,Kochi,141,41,0,28,7,0,0,0,0,0,0,0,0,0,0,169,48,0
55,City,Kolkata,580,42,0,172,91,0,0,0,0,0,0,0,11,2,0,763,135,0
56,City,Lucknow,697,123,0,246,47,0,0,0,0,0,0,0,2,2,0,945,172,0
57,City,Ludhiana,85,39,39,100,33,33,0,0,0,12,10,10,7,1,1,204,83,83
58,City,Madurai,176,75,0,3,3,0,0,0,0,0,0,0,6,5,0,185,83,0
59,City,Meerut,348,70,0,118,14,0,0,0,0,4,4,0,13,0,0,483,88,0
60,City,Mumbai,1910,473,10,1253,309,10,16,7,0,68,63,2,0,0,0,3247,852,22
61,City,Nagpur,822,248,0,87,12,0,0,0,0,3,2,0,12,5,0,924,267,0
62,City,Nasik,234,72,0,53,7,0,0,0,0,8,6,0,0,0,0,295,85,0
63,City,Patna,908,16,0,132,8,0,0,0,0,2,1,0,9,3,0,1051,28,0
64,City,Pune,1814,736,16,195,81,1,2,1,0,11,5,0,54,31,3,2076,854,20
65,City,Rajkot,577,181,27,29,16,1,7,3,0,0,0,0,0,0,0,613,200,28
66,City,Surat,966,480,0,35,16,0,0,0,0,0,0,0,62,36,0,1063,532,0
67,City,Vadodara,614,201,201,53,23,23,3,1,1,22,10,10,17,5,5,709,240,240
68,City,Varanasi,304,25,0,27,5,0,0,0,0,0,0,0,0,0,0,331,30,0
69,City,Vijayawada,288,57,0,34,14,0,0,0,0,0,0,0,3,2,0,325,73,0
70,City,Vishakhapatnam,159,80,0,16,7,0,0,0,0,0,0,0,1,0,0,176,87,0
Total (Cities),Total (Cities),Total (Cities),27655,7276,903,8055,1874,310,107,49,5,493,259,62,1111,388,30,37421,9846,1310
