Category (Col. 1),States/ UTs (Col. 2),District / Session Judge - Duration of Trial - Less than 6 Months (Col. 3),District / Session Judge - Duration of Trial - 6-12 Months (Col. 4),District / Session Judge - Duration of Trial - 1-3 Years (Col. 5),District / Session Judge - Duration of Trial - 3-5 Years (Col. 6),District / Session Judge - Duration of Trial - 5-10 Years (Col. 7),District / Session Judge - Duration of Trial - Over 10 Years (Col. 8),District / Session Judge - Duration of Trial - Total (Col. 3 to Col. 8) = (Col. 9),Additional Session Judge - Duration of Trial. - Less than 6 Months (Col. 10),Additional Session Judge - Duration of Trial. - 6-12 Months (Col. 11),Additional Session Judge - Duration of Trial. - 1-3 Years (Col. 12),Additional Session Judge - Duration of Trial. - 3-5 Years (Col. 13),Additional Session Judge - Duration of Trial. - 5-10 Years (Col. 14),Additional Session Judge - Duration of Trial. - Over 10 Years (Col. 15),Additional Session Judge - Duration of Trial. - Total (Col. 10) to (Col. 15) = (Col. 16),Chief Judicial Magistrate - Duration of Trial. - Less than 6 Months (Col. 17),Chief Judicial Magistrate - Duration of Trial. - 6-12 Months (Col. 18),Chief Judicial Magistrate - Duration of Trial. - 1-3 Years (Col. 19),Chief Judicial Magistrate - Duration of Trial. - 3-5 Years (Col. 20),Chief Judicial Magistrate - Duration of Trial. - 5-10 Years (Col. 21),Chief Judicial Magistrate - Duration of Trial. - Over 10 Years (Col. 22),Chief Judicial Magistrate - Duration of Trial. - Total {(Col. 17) to (Col. 22)} = (Col. 23),Judicial Magistrate (I) - Duration of Trial. - Less than 6 Months (Col. 24),Judicial Magistrate (I) - Duration of Trial. - 6-12 Months (Col. 25),Judicial Magistrate (I) - Duration of Trial. - 1-3 Years (Col. 26),Judicial Magistrate (I) - Duration of Trial. - 3-5 Years (Col. 27),Judicial Magistrate (I) - Duration of Trial. - 5-10 Years (Col. 28),Judicial Magistrate (I) - Duration of Trial. - Over 10 Years (Col. 29),Judicial Magistrate (I) - Duration of Trial. - Total (Col. 24) to (Col. 29) = (Col. 30),Judicial Magistrate (II) - Duration of Trial. - Less than 6 Months (Col. 31),Judicial Magistrate (II) - Duration of Trial. - 6-12 Months (Col. 32),Judicial Magistrate (II) - Duration of Trial. - 1-3 Years (Col. 33),Judicial Magistrate (II) - Duration of Trial. - 3-5 Years (Col. 34),Judicial Magistrate (II) - Duration of Trial. - 5-10 Years (Col. 35),Judicial Magistrate (II) - Duration of Trial. - Over 10 Years (Col. 36),Judicial Magistrate (II) - Duration of Trial. - Total (Col. 31) to (Col. 36) = (Col. 37),Special Judicial Magistrate - Duration of Trial. - Less than 6 Months (Col. 38),Special Judicial Magistrate - Duration of Trial. - 6-12 Months (Col. 39),Special Judicial Magistrate - Duration of Trial. - 1-3 Years (Col. 40),Special Judicial Magistrate - Duration of Trial. - 3-5 Years (Col. 41),Special Judicial Magistrate - Duration of Trial. - 5-10 Years (Col. 42),Special Judicial Magistrate - Duration of Trial. - Over 10 Years (Col. 43),Special Judicial Magistrate - Duration of Trial. - Total (Col. 38) to (Col. 43) = (Col. 44),Other Type of Courts - Duration of Trial. - Less than 6 Months (Col. 45),Other Type of Courts - Duration of Trial. - 6-12 Months (Col. 46),Other Type of Courts - Duration of Trial. - 1-3 Years (Col. 47),Other Type of Courts - Duration of Trial. - 3-5 Years (Col. 48),Other Type of Courts - Duration of Trial. - 5-10 Years (Col. 49),Other Type of Courts - Duration of Trial. - Over 10 Years (Col. 50),Other Type of Courts - Duration of Trial. - Total (Col. 45) to (Col. 50) = (Col. 51),Sum of All Type of Courts - Duration of Trial. - Less than 6 Months (Col. 52),Sum of All Type of Courts - Duration of Trial. - 6-12 Months (Col. 53),Sum of All Type of Courts - Duration of Trial. - 1-3 Years (Col. 54),Sum of All Type of Courts - Duration of Trial. - 3-5 Years (Col. 55),Sum of All Type of Courts - Duration of Trial. - 5-10 Years (Col. 56),Sum of All Type of Courts - Duration of Trial. - Over 10 Years (Col. 57),Sum of All Type of Courts - Duration of Trial. - Total (Col. 52) to (Col. 57) = (Col. 58)
State,Maharashtra,34,160,797,687,484,227,2389,39,367,1448,1666,1098,439,5057,317,832,2680,2825,2379,894,9927,1895,4726,11226,11082,6574,2284,37787,296,875,2628,2541,1581,565,8486,74,113,349,214,154,82,986,26,142,268,109,776,383,1704,2681,7215,19396,19124,13046,4874,66336
State,Manipur,0,0,0,0,1,8,9,0,1,0,0,0,3,4,0,1,0,1,3,3,8,30,0,0,0,2,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,2,2,59,85,2,0,1,8,18,114
State,Meghalaya,0,0,0,0,0,0,0,0,0,8,27,8,2,45,0,0,5,3,2,0,10,4,13,57,24,15,23,136,0,9,15,30,1,0,55,0,0,0,3,1,0,4,0,30,86,25,3,6,150,4,52,171,112,30,31,400
State,Mizoram,46,57,18,90,0,0,211,126,90,128,39,39,12,434,0,0,0,0,0,0,0,659,101,39,12,0,0,811,169,226,36,0,0,0,431,0,0,0,0,0,0,0,726,456,0,0,0,0,1182,1726,930,221,141,39,12,3069
State,Nagaland,165,42,36,0,0,0,243,45,5,8,7,10,3,78,49,4,0,0,0,0,53,626,98,156,25,4,0,909,294,195,96,0,0,0,585,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1179,345,296,32,14,3,1869
State,Orissa,1,328,476,549,391,39,1784,18,301,1762,941,524,67,3613,51,348,1063,675,228,86,2451,685,1905,3737,2790,854,146,10117,311,675,2404,1531,786,188,5895,49,111,895,526,353,178,2112,119,434,1925,1012,924,178,4592,1234,4102,12262,8024,4060,882,30564
State,Punjab,15,201,405,233,51,3,908,23,227,1064,517,135,13,1979,214,454,799,329,80,4,1880,702,1143,1564,1333,151,4,4897,63,381,697,302,78,5,1526,20,20,100,15,2,0,157,585,75,131,50,8,0,849,1622,2501,4760,2779,505,29,12196
State,Rajasthan,185,303,759,597,275,59,2178,396,986,2456,1971,721,157,6687,789,1217,3127,1834,741,138,7846,2603,4236,9671,8220,3072,324,28126,858,1778,4660,3273,1952,229,12750,382,939,2151,1604,276,70,5422,630,1024,1907,2029,1031,139,6760,5843,10483,24731,19528,8068,1116,69769
State,Sikkim,0,0,20,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,9,0,28,63,1,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,88,7,0,0,126
State,Tamil Nadu,162,296,895,666,303,32,2354,244,354,1188,877,435,54,3152,218,224,476,268,162,21,1369,17928,19307,22302,9571,2608,288,72004,9669,11003,10259,6991,2489,264,40675,2286,2183,1411,1118,408,20,7426,3230,5590,5302,1516,212,4,15854,33737,38957,41833,21007,6617,683,142834
State,Tripura,44,2,45,41,36,4,172,29,29,122,50,35,7,272,38,36,126,90,19,1,310,76,84,249,251,113,15,788,28,52,53,33,10,0,176,12,52,26,20,0,0,110,1,1,0,0,0,0,2,228,256,621,485,213,27,1830
State,Uttar Pradesh,29,254,1838,2754,1289,592,6756,44,656,3352,4043,2625,1983,12703,26,103,3402,5741,4347,809,14428,95,608,3485,3653,2815,383,11039,109,582,3264,4850,2801,466,12072,27,498,1993,1894,1121,215,5748,25,108,6411,8716,3819,120,19199,355,2809,23745,31651,18817,4568,81945
State,Uttarakhand,0,36,180,198,105,10,529,0,13,190,125,62,19,409,43,149,555,352,153,24,1276,27,122,269,164,104,21,707,7,41,81,48,25,2,204,3,18,180,63,18,4,286,5,26,101,41,9,4,186,85,405,1556,991,476,84,3597
State,West Bengal,89,189,345,194,141,71,1029,275,591,1130,748,385,101,3230,97,170,551,154,156,37,1165,1023,882,1540,981,664,130,5220,249,458,1109,704,277,58,2855,126,149,319,161,157,9,921,167,205,440,449,196,56,1513,2026,2644,5434,3391,1976,462,15933
State,Total (States),3635,5136,14422,11954,6180,1821,43148,4966,9119,28725,21989,13082,5667,83548,14987,17507,39188,31020,16814,4225,123741,56324,68775,124042,79291,36006,10894,375332,23631,33175,52171,37443,16677,3386,166483,6690,8217,14726,9550,3830,988,44001,17445,17645,28082,25413,13422,2468,104475,127678,159574,301356,216660,106011,29449,940728
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,1,5,5,3,1,15,7,11,28,12,2,0,60,28,33,29,10,2,0,102,31,35,28,13,1,0,108,0,0,0,0,0,0,0,0,2,6,1,0,0,9,66,82,96,41,8,1,294
Union Territory,Chandigarh,0,0,0,0,0,0,0,5,3,44,42,11,1,106,101,33,37,39,9,4,223,127,79,245,123,78,10,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,22,28,21,3,0,126,285,137,354,225,101,15,1117
Union Territory,D & N Haveli,1,6,2,4,1,1,15,0,0,0,6,0,0,6,5,16,77,73,7,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,79,83,8,1,199
Union Territory,Daman & Diu,0,0,3,0,2,0,5,0,0,0,0,0,0,0,9,14,51,9,8,2,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,54,9,10,2,98
Union Territory,Delhi,0,18,150,30,22,4,224,60,150,515,412,150,35,1322,25,14,80,120,80,19,338,1580,1976,2003,800,494,468,7321,364,255,278,13,13,0,923,1,0,58,60,10,7,136,525,274,116,70,42,4,1031,2555,2687,3200,1505,811,537,11295
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3
Union Territory,Puducherry,0,0,0,0,0,0,0,0,9,12,25,2,0,48,0,0,0,0,0,0,0,1702,358,83,34,21,0,2198,961,262,64,29,15,0,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2663,629,159,88,38,0,3577
Union Territory,Total (UTs),1,24,155,34,25,5,244,65,163,576,490,166,37,1497,147,90,274,253,106,25,895,3437,2446,2360,967,595,478,10283,1356,552,370,55,29,0,2362,1,0,58,60,10,7,136,577,298,150,92,45,4,1166,5584,3573,3943,1951,976,556,16583
Total (All-India),Total (All-India),3636,5160,14577,11988,6205,1826,43392,5031,9282,29301,22479,13248,5704,85045,15134,17597,39462,31273,16920,4250,124636,59761,71221,126402,80258,36601,11372,385615,24987,33727,52541,37498,16706,3386,168845,6691,8217,14784,9610,3840,995,44137,18022,17943,28232,25505,13467,2472,105641,133262,163147,305299,218611,106987,30005,957311
