Sr. No.,Category,States/ UTs/ Cities,Murder - 2003,Murder - 2004,Murder - % Variation,Attempt to Commit Murder - 2003,Attempt to Commit Murder - 2004,Attempt to Commit Murder - % Variation,C.H. Not Amounting - 2003,C.H. Not Amounting - 2004,C.H. Not Amounting - % Variation,Rape - Total - 2003,Rape - Total - 2004,Rape - Total - % Variation,Rape - Custodial - 2003,Rape - Custodial - 2004,Rape - Custodial - % Variation,Rape - Other - 2003,Rape - Other - 2004,Rape - Other - % Variation,Kidnapping & Abduction - Total - 2003,Kidnapping & Abduction - Total - 2004,Kidnapping & Abduction - Total - % Variation,Kidnapping & Abduction of Women & Girls - 2003,Kidnapping & Abduction of Women & Girls - 2004,Kidnapping & Abduction of Women & Girls - % Variation,Kidnapping & Abduction - of Others - 2003,Kidnapping & Abduction - of Others - 2004,Kidnapping & Abduction - of Others - % Variation,Dacoity - 2003,Dacoity - 2004,Dacoity - % Variation,Preparation & Assembly for Dacoity - 2003,Preparation & Assembly for Dacoity - 2004,Preparation & Assembly for Dacoity - % Variation,Robbery - 2003,Robbery - 2004,Robbery - % Variation,Burglary - 2003,Burglary - 2004,Burglary - % Variation,Theft - Total - 2003,Theft - Total - 2004,Theft - Total - % Variation,Theft - Auto Theft - 2003,Theft - Auto Theft - 2004,Theft - Auto Theft - % Variation,Theft - Other Theft - 2003,Theft - Other Theft - 2004,Theft - Other Theft - % Variation,Riots - 2003,Riots - 2004,Riots - % Variation,Criminal Breach of Trust - 2003,Criminal Breach of Trust - 2004,Criminal Breach of Trust - % Variation,Cheating - 2003,Cheating - 2004,Cheating - % Variation,Counterfeiting - 2003,Counterfeiting - 2004,Counterfeiting - % Variation,Arson - 2003,Arson - 2004,Arson - % Variation,Hurt - 2003,Hurt - 2004,Hurt - % Variation,Dowry Deaths - 2003,Dowry Deaths - 2004,Dowry Deaths - % Variation,Molestation - 2003,Molestation - 2004,Molestation - % Variation,Sexual Harassment - 2003,Sexual Harassment - 2004,Sexual Harassment - % Variation,Cruelty by Husband and Relatives - 2003,Cruelty by Husband and Relatives - 2004,Cruelty by Husband and Relatives - % Variation,Importation of Girls - 2003,Importation of Girls - 2004,Importation of Girls - % Variation,Causing Death by Negligence - 2003,Causing Death by Negligence - 2004,Causing Death by Negligence - % Variation,Other IPC Crimes - 2003,Other IPC Crimes - 2004,Other IPC Crimes - % Variation,Total Cognizable Crimes under IPC - 2003,Total Cognizable Crimes under IPC - 2004,Total Cognizable Crimes under IPC - % Variation,Note of C.H. Not Amounting - % Variation,Note of Rape - Custodial - % Variation,Note of Kidnapping & Abduction - Total - % Variation,Note of Kidnapping & Abduction of Women & Girls - % Variation,Note of Kidnapping & Abduction - of Others - % Variation,Note of Preparation & Assembly for Dacoity - % Variation,Note of Riots - % Variation,Note of Counterfeiting - % Variation,Note of Arson - % Variation,Note of Dowry Deaths - % Variation,Note of Cruelty by Husband and Relatives - % Variation,Note of Importation of Girls - % Variation,Note of Causing Death by Negligence - % Variation
12,State,Karnataka,1506,1519,0.9,1241,1387,11.8,58,57,-1.7,321,291,-9.3,0,1,NA,321,290,-9.7,531,592,11.5,244,286,17.2,287,306,6.6,220,177,-19.5,65,109,67.7,861,1024,18.9,6055,6093,0.6,14180,16093,13.5,4296,5185,20.7,9884,10908,10.4,5784,6237,7.8,495,423,-14.5,2752,2759,0.3,126,65,-48.4,415,248,-40.2,21913,21232,-3.1,194,259,33.5,1585,1435,-9.5,84,57,-32.1,1704,1588,-6.8,0,0,0,172,277,61,52143,52518,0.7,112405,114440,1.8,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,State,Kerala,435,417,-4.1,448,391,-12.7,343,473,37.9,394,480,21.8,0,0,0,394,480,21.8,189,232,22.8,102,142,39.2,87,90,3.4,142,129,-9.2,19,15,-21.1,634,639,0.8,4409,4580,3.9,4891,5240,7.1,1668,1717,2.9,3223,3523,9.3,6798,6461,-5,323,336,4,3061,3755,22.7,129,99,-23.3,413,374,-9.4,17696,20610,16.5,33,31,-6.1,1947,2260,16.1,68,133,95.6,2930,3222,10,0,0,0,35,42,20,53487,54106,1.2,98824,104025,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,State,Madhya Pradesh,2227,2379,6.8,2413,2563,6.2,203,188,-7.4,2738,2875,5,0,0,0,2738,2875,5,887,832,-6.2,608,584,-3.9,279,248,-11.1,153,147,-3.9,141,134,-5,1578,1526,-3.3,12884,12308,-4.5,20422,22586,10.6,5262,6148,16.8,15160,16438,8.4,2729,2479,-9.2,549,548,-0.2,1222,1287,5.3,38,36,-5.3,868,893,2.9,29358,33285,13.4,648,751,15.9,6848,6690,-2.3,705,804,14,2938,3436,17,0,0,0,3778,4209,11.4,97751,96911,-0.9,191078,196867,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,State,Maharashtra,2772,2696,-2.7,1412,1463,3.6,113,115,1.8,1268,1388,9.5,0,0,0,1268,1388,9.5,926,1045,12.9,626,787,25.7,300,258,-14,514,629,22.4,249,315,26.5,2096,2229,6.3,13892,14659,5.5,37098,43952,18.5,9271,11307,22,27827,32645,17.3,5714,5980,4.7,1561,1528,-2.1,5005,5167,3.2,261,218,-16.5,1188,1149,-3.3,29205,30122,3.1,368,314,-14.7,2661,2831,6.4,682,862,26.4,5452,5646,3.6,0,0,0,9378,9574,2.1,42491,44420,4.5,164306,176302,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,State,Manipur,150,159,6,199,227,14.1,6,3,-50,18,31,72.2,0,0,0,18,31,72.2,120,128,6.7,71,71,0,49,57,16.3,3,2,-33.3,0,2,NA,6,3,-50,68,66,-2.9,252,244,-3.2,124,108,-12.9,128,136,6.3,73,115,57.5,16,25,56.3,76,142,86.8,7,4,-42.9,47,85,80.9,324,233,-28.1,0,0,0,44,30,-31.8,0,0,0,4,2,-50,0,0,0,4,35,775,1120,999,-10.8,2537,2535,-0.1,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
17,State,Meghalaya,175,124,-29.1,60,42,-30,17,7,-58.8,40,54,35,0,0,0,40,54,35,49,54,10.2,10,18,80,39,36,-7.7,83,91,9.6,1,2,100,133,81,-39.1,160,142,-11.3,360,418,16.1,108,138,27.8,252,280,11.1,5,2,-60,12,25,108.3,34,44,29.4,4,2,-50,16,15,-6.3,106,123,16,0,2,NA,13,34,161.5,1,0,-100,4,5,25,0,0,0,41,51,24.4,355,439,23.7,1669,1757,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA
18,State,Mizoram,46,35,-23.9,36,21,-41.7,3,2,-33.3,54,20,-63,0,0,0,54,20,-63,8,15,87.5,2,0,-100,6,15,150,5,10,100,0,0,0,21,6,-71.4,487,250,-48.7,1303,610,-53.2,57,0,-100,1246,610,-51,3,2,-33.3,19,30,57.9,60,20,-66.7,12,6,-50,23,22,-4.3,142,80,-43.7,0,0,0,88,66,-25,0,0,0,3,0,-100,0,0,0,11,0,-100,1132,320,-71.7,3456,1515,-56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,State,Nagaland,91,70,-23.1,34,33,-2.9,8,5,-37.5,14,18,28.6,0,0,0,14,18,28.6,38,23,-39.5,3,4,33.3,35,19,-45.7,19,14,-26.3,0,0,0,92,117,27.2,95,70,-26.3,221,255,15.4,37,26,-29.7,184,229,24.5,8,6,-25,3,11,266.7,11,28,154.5,7,0,-100,5,5,0,48,52,8.3,0,0,0,4,3,-25,2,1,-50,0,0,0,1,0,-100,41,34,-17.1,234,239,2.1,976,984,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,State,Orissa,1044,1066,2.1,1214,1197,-1.4,188,25,-86.7,725,770,6.2,0,0,0,725,770,6.2,477,526,10.3,373,423,13.4,104,103,-1,178,238,33.7,30,0,-100,875,952,8.8,2961,2992,1,5359,5967,11.3,1076,1401,30.2,4283,4566,6.6,1408,1433,1.8,254,271,6.7,937,805,-14.1,11,14,27.3,337,343,1.8,4759,4938,3.8,279,319,14.3,1669,1811,8.5,188,170,-9.6,1289,1192,-7.5,0,0,0,2497,2652,6.2,20602,21058,2.2,47281,48739,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,State,Punjab,731,775,6,644,716,11.2,89,148,66.3,380,390,2.6,0,0,0,380,390,2.6,464,463,-0.2,295,311,5.4,169,152,-10.1,30,17,-43.3,117,79,-32.5,108,86,-20.4,2094,1766,-15.7,3198,2587,-19.1,1375,1132,-17.7,1823,1455,-20.2,0,16,NA,343,313,-8.7,3123,2729,-12.6,56,60,7.1,71,52,-26.8,4124,4402,6.7,110,113,2.7,346,261,-24.6,199,38,-80.9,987,801,-18.8,0,0,0,2226,2181,-2,9316,7637,-18,28756,25630,-10.9,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA
22,State,Rajasthan,1262,1279,1.3,1977,2030,2.7,61,59,-3.3,1050,1038,-1.1,0,0,0,1050,1038,-1.1,2238,2384,6.5,1750,1881,7.5,488,503,3.1,36,58,61.1,41,46,12.2,655,673,2.7,6072,5911,-2.7,16456,18842,14.5,5491,6648,21.1,10965,12194,11.2,4052,3101,-23.5,902,885,-1.9,7225,8333,15.3,58,65,12.1,784,835,6.5,26173,25947,-0.9,389,379,-2.6,2715,2825,4.1,33,41,24.2,5733,6781,18.3,1,1,0,5074,5579,10,62592,67767,8.3,145579,154859,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,State,Sikkim,14,16,14.3,7,8,14.3,3,3,0,10,3,-70,0,0,0,10,3,-70,0,5,NA,0,4,NA,0,1,NA,2,0,-100,0,0,0,3,5,66.7,48,64,33.3,65,73,12.3,3,6,100,62,67,8.1,10,76,660,7,4,-42.9,12,22,83.3,3,1,-66.7,2,7,250,56,78,39.3,0,0,0,25,40,60,0,0,0,1,1,0,0,0,0,18,29,61.1,157,196,24.8,443,631,42.4,NA,NA,@,@,@,NA,NA,NA,NA,NA,NA,NA,NA
24,State,Tamil Nadu,1591,1479,-7,1843,1772,-3.9,28,26,-7.1,557,618,11,0,0,0,557,618,11,879,870,-1,632,692,9.5,247,178,-27.9,95,72,-24.2,43,54,25.6,514,464,-9.7,4849,4147,-14.5,18213,17530,-3.8,4581,3996,-12.8,13632,13534,-0.7,3706,3433,-7.4,307,268,-12.7,1904,2121,11.4,63,40,-36.5,791,662,-16.3,30228,30855,2.1,220,225,2.3,2022,1861,-8,881,1081,22.7,1555,1437,-7.6,1,0,-100,9112,9152,0.4,77784,88439,13.7,157186,166606,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,State,Tripura,254,189,-25.6,87,36,-58.6,0,0,0,114,160,40.4,0,0,0,114,160,40.4,146,99,-32.2,29,54,86.2,117,45,-61.5,36,27,-25,0,2,NA,69,46,-33.3,167,166,-0.6,276,260,-5.8,10,49,390,266,211,-20.7,274,148,-46,3,17,466.7,25,34,36,3,12,300,83,24,-71.1,534,452,-15.4,20,20,0,127,134,5.5,0,0,0,247,302,22.3,0,0,0,109,85,-22,940,868,-7.7,3514,3081,-12.3,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
26,State,Uttar Pradesh,5284,6126,15.9,3793,5580,47.1,1525,1436,-5.8,911,1397,53.3,0,0,0,911,1397,53.3,2208,3337,51.1,1499,2324,55,709,1013,42.9,317,378,19.2,196,98,-50,1988,2606,31.1,4016,5299,31.9,15751,22524,43,5605,8452,50.8,10146,14072,38.7,2251,3915,73.9,1746,2377,36.1,2911,4184,43.7,226,188,-16.8,297,381,28.3,7760,11265,45.2,1322,1708,29.2,1098,1900,73,4970,2682,-46,2626,4950,88.5,0,3,NA,4428,7136,61.2,29449,40711,38.2,95073,130181,36.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
27,State,Uttarakhand,268,262,-2.2,236,247,4.7,31,29,-6.5,107,115,7.5,0,0,0,107,115,7.5,171,213,24.6,134,127,-5.2,37,86,132.4,26,37,42.3,3,1,-66.7,160,165,3.1,557,566,1.6,1368,1597,16.7,400,500,25,968,1097,13.3,392,444,13.3,138,157,13.8,379,372,-1.8,8,13,62.5,33,28,-15.2,687,865,25.9,93,82,-11.8,136,143,5.1,98,110,12.2,317,405,27.8,0,0,0,362,464,28.2,2353,2319,-1.4,7923,8634,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,State,West Bengal,1425,1425,0,400,390,-2.5,484,468,-3.3,1002,1475,47.2,0,0,0,1002,1475,47.2,902,1200,33,801,1018,27.1,101,182,80.2,217,212,-2.3,883,943,6.8,598,535,-10.5,342,547,59.9,12613,14465,14.7,2581,2668,3.4,10032,11797,17.6,2596,2691,3.7,378,425,12.4,1534,1686,9.9,153,125,-18.3,87,103,18.4,4172,3867,-7.3,329,396,20.4,1186,1566,32,71,64,-9.9,4948,6334,28,1,12,1100,2300,2995,30.2,24553,27426,11.7,61174,69350,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,State,Total (States),32143,33051,2.8,25476,27328,7.3,3961,3829,-3.3,15327,17641,15.1,0,2,0,15327,17639,15.1,18776,22037,17.4,12451,14636,17.5,6325,7401,17,5260,5278,0.3,2194,2203,0.4,17034,17984,5.6,90455,90217,-0.3,227713,251770,10.6,60971,70793,16.1,166742,180977,8.5,56978,59632,4.7,12938,13685,5.8,45124,49408,9.5,2001,1478,-26.1,9268,8577,-7.5,258465,273886,6,6075,6888,13.4,32366,33884,4.7,12187,9820,-19.4,49385,56779,15,46,89,93.5,60073,68770,14.5,676866,715224,5.7,1660111,1769458,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Union Territory,A & N Islands,21,15,-28.6,4,1,-75,1,2,100,2,10,400,0,0,0,2,10,400,2,3,50,2,3,50,0,0,0,2,0,-100,0,0,0,7,3,-57.1,56,69,23.2,60,103,71.7,3,9,200,57,94,64.9,19,9,-52.6,3,0,-100,13,12,-7.7,0,0,0,8,9,12.5,110,105,-4.5,0,0,0,9,6,-33.3,2,3,50,7,5,-28.6,0,0,0,0,6,NA,318,387,21.7,644,748,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@
30,Union Territory,Chandigarh,21,22,4.8,15,19,26.7,2,10,400,18,19,5.6,0,0,0,18,19,5.6,32,54,68.8,28,43,53.6,4,11,175,3,0,-100,1,2,100,12,6,-50,204,186,-8.8,1238,1459,17.9,552,653,18.3,686,806,17.5,46,43,-6.5,32,23,-28.1,209,135,-35.4,2,4,100,4,0,-100,71,65,-8.5,1,6,500,11,20,81.8,4,18,350,93,73,-21.5,0,0,0,8,5,-37.5,779,720,-7.6,2806,2889,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Union Territory,D & N Haveli,11,11,0,5,4,-20,0,0,0,1,7,600,0,0,0,1,7,600,7,12,71.4,4,7,75,3,5,66.7,4,3,-25,0,0,0,6,2,-66.7,41,20,-51.2,61,53,-13.1,15,20,33.3,46,33,-28.3,17,17,0,8,12,50,13,22,69.2,2,0,-100,4,2,-50,22,35,59.1,0,0,0,4,5,25,0,0,0,2,3,50,0,0,0,1,8,700,129,193,49.6,338,409,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Union Territory,Daman & Diu,6,3,-50,3,1,-66.7,0,0,0,5,1,-80,0,0,0,5,1,-80,1,2,100,1,0,-100,0,2,NA,4,0,-100,0,0,0,1,1,0,41,35,-14.6,46,27,-41.3,25,12,-52,21,15,-28.6,31,19,-38.7,8,4,-50,8,5,-37.5,6,0,-100,1,2,100,14,17,21.4,1,0,-100,3,1,-66.7,0,0,0,0,4,NA,0,0,0,6,25,316.7,84,51,-39.3,269,198,-26.4,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA,NA
33,Union Territory,Delhi,485,481,-0.8,407,519,27.5,65,80,23.1,490,551,12.4,0,0,0,490,551,12.4,1156,1209,4.6,797,881,10.5,359,328,-8.6,28,30,7.1,107,135,26.2,441,461,4.5,1898,1875,-1.2,15544,18994,22.2,7445,8873,19.2,8099,10121,25,80,67,-16.3,431,445,3.2,2079,2322,11.7,43,44,2.3,60,38,-36.7,1708,1780,4.2,130,126,-3.1,489,601,22.9,105,130,23.8,1211,1254,3.6,0,0,0,402,433,7.7,20045,22048,10,47404,53623,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,2,0,-100,0,0,0,2,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,-66.7,8,5,-37.5,1,0,-100,7,5,-28.6,4,37,825,0,0,0,0,0,0,0,1,NA,2,0,-100,1,6,500,0,0,0,1,0,-100,0,0,0,1,1,0,0,0,0,0,0,0,6,18,200,31,70,125.8,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA
35,Union Territory,Puducherry,29,25,-13.8,32,18,-43.8,0,14,NA,2,4,100,0,0,0,2,4,100,18,10,-44.4,13,8,-38.5,5,2,-60,2,0,-100,0,0,0,11,1,-90.9,126,86,-31.7,567,634,11.8,295,322,9.2,272,312,14.7,159,147,-7.5,12,7,-41.7,32,35,9.4,1,2,100,18,9,-50,1053,974,-7.5,1,6,500,56,50,-10.7,27,30,11.1,4,2,-50,0,0,0,182,176,-3.3,2185,2390,9.4,4517,4620,2.3,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
