Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Trains - Number,Railways - Running Trains - Value,Railways - Other Railways - Number,Railways - Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
28,State,West Bengal,7044,1415,65,58.1,0,0,394,36.7,184,7.5,210,29.2,0,0,865,490,6097,1918.8,14465,3918.6
State,State,Total (States),71131,14575.6,7499,3038.8,164,15.3,12689,1629.6,7965,1111.5,4724,518.1,345,166.4,21920,7478.8,138022,36033.9,251770,62938.4
29,Union Territory,A & N Islands,20,2.2,0,0,6,1.9,0,0,0,0,0,0,0,0,9,1.8,68,12.3,103,18.1
30,Union Territory,Chandigarh,385,139.7,0,0,0,0,0,0,0,0,0,0,0,0,135,43,939,333.6,1459,516.3
31,Union Territory,D & N Haveli,24,20.5,0,0,0,0,0,0,0,0,0,0,0,0,13,5,16,2,53,27.5
32,Union Territory,Daman & Diu,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,6,2.6,20,10.4,27,13
33,Union Territory,Delhi,4877,4181.4,318,4.6,0,0,1063,180.1,0,0,1063,180.1,0,0,2981,78.5,9755,7039.5,18994,11484.1
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.1,5,0.1
35,Union Territory,Puducherry,83,17,0,0,0,0,0,0,0,0,0,0,0,0,68,9.9,483,72.7,634,99.7
Union Territory,Union Territory,Total (UTs),5389,4360.8,318,4.6,7,2,1063,180.1,0,0,1063,180.1,0,0,3212,140.8,11286,7470.5,21275,12158.8
Total (All-India),Total (All-India),Total (All-India),76520,18936.4,7817,3043.4,171,17.3,13752,1809.8,7965,1111.5,5787,698.3,345,166.4,25132,7619.6,149308,43504.4,273045,75097.2
36,City,Agra,636,179.3,33,1.6,0,0,0,0,0,0,0,0,0,0,0,0,275,94.2,944,275.1
37,City,Ahmedabad,1349,298.3,0,0,0,0,0,0,0,0,0,0,7,9,1243,272.4,3112,614.5,5711,1194.2
38,City,Allahabad,42,2,144,72.2,0,0,0,0,0,0,0,0,0,0,15,0.7,164,15.8,365,90.7
39,City,Amritsar,12,9.8,2,0,0,0,0,0,0,0,0,0,0,0,81,123.9,68,67.6,163,201.3
40,City,Asansol,20,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1.7,112,2.5
41,City,Bangalore,2190,401.8,9,0.5,0,0,0,0,0,0,0,0,4,7.7,708,233.1,5330,1124.2,8241,1767.3
42,City,Bhopal,368,20,0,0,0,0,0,0,0,0,0,0,0,0,68,1.8,1484,360.3,1920,382.2
43,City,Chennai,662,95.3,0,0,0,0,0,0,0,0,0,0,0,0,319,41.4,2282,275,3263,411.7
44,City,Coimbatore,364,45.4,0,0,0,0,0,0,0,0,0,0,0,0,636,73.6,64,17.4,1064,136.4
45,City,Delhi (City),4286,3674.7,318,4.6,0,0,1063,180.1,0,0,1063,180.1,0,0,2954,77.8,9273,6881.9,17894,10819
46,City,Dhanbad,201,50.8,3,0.8,0,0,0,0,0,0,0,0,0,0,6,3.1,31,16.7,241,71.4
47,City,Faridabad,229,236.4,0,0,0,0,0,0,0,0,0,0,0,0,137,24.9,219,7.4,585,268.8
48,City,Hyderabad,996,128.8,0,0,0,0,0,0,0,0,0,0,0,0,282,103.5,4457,900.6,5735,1132.8
49,City,Indore,1416,447.9,0,0,0,0,0,0,0,0,0,0,0,0,198,21.7,705,41.5,2319,511.2
50,City,Jabalpur,615,95.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,20,794,115.9
51,City,Jaipur,398,103,0,0,0,0,0,0,0,0,0,0,0,0,217,29.4,2755,758.3,3370,890.6
52,City,Jamshedpur,521,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,34
53,City,Kanpur,102,15.3,0,0,0,0,0,0,0,0,0,0,0,0,7,2,829,170.7,938,188.1
54,City,Kochi,93,106.5,0,0,0,0,0,0,0,0,0,0,0,0,43,32.8,350,99.5,486,238.7
55,City,Kolkata,856,522.2,0,0,0,0,0,0,0,0,0,0,0,0,719,434,2120,1298.7,3695,2254.8
56,City,Lucknow,1160,79.3,842,262.1,0,0,0,0,0,0,0,0,0,0,0,0,141,1.1,2143,342.5
57,City,Ludhiana,82,63.1,0,0,0,0,0,0,0,0,0,0,1,0.6,106,93.1,166,145.8,355,302.7
58,City,Madurai,16,11,0,0,0,0,0,0,0,0,0,0,0,0,71,6,442,54.8,529,71.8
59,City,Meerut,420,47.8,5,26.6,0,0,0,0,0,0,0,0,0,0,8,2.2,422,91.9,855,168.5
60,City,Mumbai,1564,882.6,609,862.8,0,0,0,0,0,0,0,0,35,19,1099,746.7,8203,5744.3,11510,8255.4
61,City,Nagpur,292,43.1,0,0,0,0,0,0,0,0,0,0,1,0.1,122,29.5,2032,563.2,2447,635.9
62,City,Nasik,186,62.5,3,1.5,0,0,0,0,0,0,0,0,10,10.9,83,32.3,526,204.9,808,312.1
63,City,Patna,1035,125.7,61,7.3,0,0,0,0,0,0,0,0,0,0,12,12.2,58,57.4,1166,202.6
64,City,Pune,346,120.7,0,0,0,0,0,0,0,0,0,0,21,15.8,298,89.1,3240,1083,3905,1308.6
65,City,Rajkot,67,7.7,0,0,0,0,0,0,0,0,0,0,0,0,41,2.7,1108,171.2,1216,181.7
66,City,Surat,278,68.7,0,0,0,0,0,0,0,0,0,0,0,0,64,17.3,278,68.7,1543,498.8
67,City,Vadodara,330,106.6,13,23.1,0,0,0,0,0,0,0,0,0,0,160,60,911,251.4,1414,441.1
68,City,Varanasi,84,14.2,285,44.4,0,0,0,0,0,0,0,0,0,0,0,0,119,12.2,488,70.8
69,City,Vijayawada,593,83.9,13,1.2,71,1.6,0,0,0,0,0,0,74,4,656,77.5,865,106.4,2272,274.6
70,City,Vishakhapatnam,271,31.5,0,0,0,0,0,0,0,0,0,0,0,0,185,21.5,277,20,733,73
