Category (Col. 1),States/UTs (Col. 2),District/Session Judge - Duration of Trial - Less than 6 Months (Col. 3),District/Session Judge - Duration of Trial - 6-12 Months (Col. 4),District/Session Judge - Duration of Trial - 1-3 Years (Col. 5),District/Session Judge - Duration of Trial - 3-5 Years (Col. 6),District/Session Judge - Duration of Trial - 5-10 Years (Col. 7),District/Session Judge - Duration of Trial - Over 10 Years (Col. 8),District/Session Judge - Duration of Trial - Total (Col.3 to Col.8) = (Col. 9),Additional Session Judge - Duration of Trial - Less than 6 Months (Col. 10),Additional Session Judge - Duration of Trial - 6-12 Months (Col. 11),Additional Session Judge - Duration of Trial - 1-3 Years (Col. 12),Additional Session Judge - Duration of Trial - 3-5 Years (Col. 13),Additional Session Judge - Duration of Trial - 5-10 Years (Col. 14),Additional Session Judge - Duration of Trial - Over 10 Years (Col. 15),Additional Session Judge - Duration of Trial - Total (Col.10 to Col.15) = (Col. 16),Chief Judicial Magistrate - Duration of Trial - Less than 6 Months (Col. 17),Chief Judicial Magistrate - Duration of Trial - 6-12 Months (Col. 18),Chief Judicial Magistrate - Duration of Trial - 1-3 Years (Col. 19),Chief Judicial Magistrate - Duration of Trial - 3-5 Years (Col. 20),Chief Judicial Magistrate - Duration of Trial - 5-10 Years (Col. 21),Chief Judicial Magistrate - Duration of Trial - Over 10 Years (Col. 22),Chief Judicial Magistrate - Duration of Trial - Total (Col.17 to Col.22) = (Col. 23),Judicial Magistrate (I) - Duration of Trial - Less than 6 Months (Col. 24),Judicial Magistrate (I) - Duration of Trial - 6-12 Months (Col. 25),Judicial Magistrate (I) - Duration of Trial - 1-3 Years (Col. 26),Judicial Magistrate (I) - Duration of Trial - 3-5 Years (Col. 27),Judicial Magistrate (I) - Duration of Trial - 5-10 Years (Col. 28),Judicial Magistrate (I) - Duration of Trial - Over 10 Years (Col. 29),Judicial Magistrate (I) - Duration of Trial - Total (Col.24 to Col.29) = (Col. 30),Judicial Magistrate (II) - Duration of Trial - Less than 6 Months (Col. 31),Judicial Magistrate (II) - Duration of Trial - 6-12 Months (Col. 32),Judicial Magistrate (II) - Duration of Trial - 1-3 Years (Col. 33),Judicial Magistrate (II) - Duration of Trial - 3-5 Years (Col. 34),Judicial Magistrate (II) - Duration of Trial - 5-10 Years (Col. 35),Judicial Magistrate (II) - Duration of Trial - Over 10 Years (Col. 36),Judicial Magistrate (II) - Duration of Trial - Total (Col.31 to Col.36) = (Col. 37),Special Judicial Magistrate - Duration of Trial - Less than 6 Months (Col. 38),Special Judicial Magistrate - Duration of Trial - 6-12 Months (Col. 39),Special Judicial Magistrate - Duration of Trial - 1-3 Years (Col. 40),Special Judicial Magistrate - Duration of Trial - 3-5 Years (Col. 41),Special Judicial Magistrate - Duration of Trial - 5-10 Years (Col. 42),Special Judicial Magistrate - Duration of Trial - Over 10 Years (Col. 43),Special Judicial Magistrate - Duration of Trial - Total (Col.38 to Col.43) = (Col. 44),Other Type of Courts - Duration of Trial - Less than 6 Months (Col. 45),Other Type of Courts - Duration of Trial - 6-12 Months (Col. 46),Other Type of Courts - Duration of Trial - 1-3 Years (Col. 47),Other Type of Courts - Duration of Trial - 3-5 Years (Col. 48),Other Type of Courts - Duration of Trial - 5-10 Years (Col. 49),Other Type of Courts - Duration of Trial - Over 10 Years (Col. 50),Other Type of Courts - Duration of Trial - Total (Col.45 to Col.50) = (Col. 51),Sum of All Type of Courts - Duration of Trial - Less than 6 Months (Col. 52),Sum of All Type of Courts - Duration of Trial - 6-12 Months (Col. 53),Sum of All Type of Courts - Duration of Trial - 1-3 Years (Col. 54),Sum of All Type of Courts - Duration of Trial - 3-5 Years (Col. 55),Sum of All Type of Courts - Duration of Trial - 5-10 Years (Col. 56),Sum of All Type of Courts - Duration of Trial - Over 10 Years (Col. 57),Sum of All Type of Courts - Duration of Trial - Total (Col.52 to Col.57) = (Col. 58)
State,Madhya Pradesh,481,471,819,558,214,33,2576,1647,2364,3084,1779,1948,125,10947,8533,8722,9402,4863,2814,331,34665,2686,5617,5524,3398,1761,63,19049,2457,2780,4002,2724,2327,604,14894,657,1030,1334,695,145,34,3895,373,564,738,142,1496,1045,4358,16834,21548,24903,14159,10705,2235,90384
State,Maharashtra,42,88,491,563,348,215,1747,92,194,1200,1234,1038,357,4115,329,1036,3456,2728,3034,923,11506,1911,4429,15339,13848,7121,2022,44670,346,817,2276,3002,844,495,7780,60,96,320,312,195,187,1170,105,90,136,62,32,25,450,2885,6750,23218,21749,12612,4224,71438
State,Manipur,6,10,7,11,13,5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,7,11,13,5,52
State,Meghalaya,1,6,23,21,12,5,68,7,18,24,22,27,14,112,7,12,19,7,6,6,57,15,35,41,32,16,14,153,11,22,16,18,9,9,85,4,5,7,6,8,6,36,9,17,29,24,10,5,94,54,115,159,130,88,59,605
State,Mizoram,316,274,77,8,2,0,677,0,0,0,0,0,0,0,0,2,3,6,0,0,11,471,192,92,10,0,0,765,190,57,14,0,0,0,261,0,0,0,0,0,0,0,307,48,14,2,1,0,372,1284,573,200,26,3,0,2086
State,Nagaland,2,0,0,0,0,0,2,20,15,4,0,0,0,39,13,10,9,1,0,0,33,33,18,23,11,13,0,98,10,7,10,0,0,0,27,0,0,0,0,3,0,3,0,0,0,0,0,0,0,78,50,46,12,16,0,202
State,Orissa,40,250,427,326,110,6,1159,46,575,852,668,232,21,2394,13,337,906,840,309,11,2416,688,2864,6269,5068,1968,380,17237,246,814,1847,1829,772,46,5554,333,727,612,286,20,0,1978,244,587,1622,400,227,16,3096,1610,6154,12535,9417,3638,480,33834
State,Punjab,15,182,332,231,53,7,820,82,460,964,451,163,44,2164,177,478,829,299,47,8,1838,864,1132,1834,967,307,25,5129,210,362,563,286,45,5,1471,34,91,181,57,16,3,382,147,258,53,11,11,15,495,1529,2963,4756,2302,642,107,12299
State,Rajasthan,646,949,1321,1230,670,133,4949,533,664,1695,1594,921,140,5547,1755,2026,4101,3688,1572,336,13478,3636,5495,9872,8854,3554,693,32104,1569,2039,5147,4865,2448,492,16560,342,570,988,929,624,157,3610,39,182,459,224,150,32,1086,8520,11925,23583,21384,9939,1983,77334
State,Sikkim,0,2,7,0,0,0,9,0,0,0,0,0,0,0,6,22,15,2,0,0,45,0,18,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,15,1,0,0,45,10,67,41,3,0,0,121
State,Tamil Nadu,205,356,1599,871,260,42,3333,338,625,2297,1088,713,89,5150,1027,5210,2608,552,136,41,9574,10653,13598,13643,6771,3958,626,49249,12697,10292,8679,6333,3075,508,41584,965,1028,1140,60,70,18,3281,0,0,0,0,0,0,0,25885,31109,29966,15675,8212,1324,112171
State,Tripura,68,67,44,42,54,15,290,26,37,46,20,3,2,134,100,90,30,25,15,5,265,120,100,20,0,0,0,240,100,150,50,0,0,0,300,16,15,8,0,0,0,39,0,0,0,0,0,0,0,430,459,198,87,72,22,1268
State,Uttar Pradesh,12,153,1729,2640,1845,361,6740,15,237,2901,4930,2766,598,11447,18,745,5843,8150,5397,471,20624,69,931,6934,7719,4811,467,20931,46,689,5892,7860,4627,503,19617,29,271,2815,3849,2315,443,9722,24,255,1070,2504,1230,290,5373,213,3281,27184,37652,22991,3133,94454
State,Uttaranchal,14,40,289,296,136,4,779,24,19,245,117,97,12,514,17,115,689,795,237,10,1863,17,63,203,194,78,9,564,11,43,133,103,70,12,372,3,20,11,0,0,0,34,0,0,0,1,4,1,6,86,300,1570,1506,622,48,4132
State,West Bengal,103,152,874,637,456,42,2264,292,348,817,929,622,117,3125,205,400,723,613,273,40,2254,196,589,1554,1230,938,147,4654,291,819,2923,1233,429,42,5737,4,156,274,261,130,11,836,65,280,694,338,115,11,1503,1156,2744,7859,5241,2963,410,20373
State,Total (States),2894,4733,13449,11810,7205,1680,41771,4429,7813,22645,21021,13736,2929,72573,18659,30097,48716,35899,21139,3972,158482,38711,66553,123849,84143,37858,8371,359485,26033,33442,60150,49941,19669,4300,193535,4231,6899,12282,9070,4619,1172,38273,3473,5085,9979,6443,3815,1511,30306,98430,154622,291070,218327,108041,23935,894425
Union Territory,A & N Islands,0,0,3,10,9,0,22,0,0,0,0,0,0,0,0,8,45,8,3,3,67,0,7,62,27,5,0,101,0,4,60,24,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,170,69,17,3,278
Union Territory,Chandigarh,0,0,3,2,1,0,6,0,3,16,23,12,0,54,40,31,62,45,14,4,196,171,80,587,123,58,6,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,51,48,5,2,124,223,120,719,241,90,12,1405
Union Territory,D & N Haveli,0,0,0,18,2,0,20,0,0,0,0,0,0,0,25,60,153,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,60,153,18,2,0,258
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,0,0,0,0,0,0,0,652,1235,146,317,850,1602,4802,152,168,163,198,216,115,1012,1572,11286,274,376,12475,625,26608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2376,12689,583,891,13541,2342,32422
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,8
Union Territory,Pondicherry,0,1,6,12,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,910,412,273,112,0,1729,403,621,192,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,1532,610,285,112,0,2964
Union Territory,Total (UTs),0,1,12,42,12,0,67,652,1238,162,340,862,1602,4856,218,268,426,251,233,122,1518,1765,12283,1338,799,12650,631,29466,403,625,252,24,0,0,1304,0,0,0,0,0,0,0,12,6,51,48,5,2,124,3050,14421,2241,1504,13762,2357,37335
Total (All-India),Total (All-India),2894,4734,13461,11852,7217,1680,41838,5081,9051,22807,21361,14598,4531,77429,18877,30365,49142,36150,21372,4094,160000,40476,78836,125187,84942,50508,9002,388951,26436,34067,60402,49965,19669,4300,194839,4231,6899,12282,9070,4619,1172,38273,3485,5091,10030,6491,3820,1513,30430,101480,169043,293311,219831,121803,26292,931760
