Category,States/UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes under IPC
State,Jharkhand,73.1,90.2,79.7,89.2,NA,89.2,77.2,79.2,74,51.4,78.2,45.9,30.9,42.4,22.9,46.3,88,72.9,80.3,85,64.4,91.3,93.7,91.5,100,92.6,100,65.8,87.3,74.9
State,Karnataka,83.9,94.3,100,94.1,NA,94.1,77.3,79.1,75.1,59.2,97.1,58.9,33.1,32.6,24.3,36.1,92.9,70.1,47.4,64.2,77.3,94.7,96,93,98.4,95.8,NA,82.5,93.2,81.3
State,Kerala,93,94.7,97.8,97.9,NA,97.9,85.1,84.7,85.7,78.4,100,75.5,31.8,51,32.6,59.6,94.3,88.8,86.5,82.4,48.5,98.4,96.4,98.7,97.4,98.8,NA,NA,97.1,91.2
State,Madhya Pradesh,91.9,95.3,98.5,93.3,NA,93.3,77.4,75.2,81.6,79.2,99.3,66.2,31.7,32.3,24.6,34.7,96.8,88.8,81,73.7,82.1,98.5,98.5,99.8,91.9,99.6,NA,87.8,95.2,83.9
State,Maharashtra,85.6,91,93.1,98.4,NA,98.4,81.1,82.7,77.8,72.3,97.3,57.5,33.7,37.8,26.8,40.8,96.6,77.1,70.3,50.9,70.2,96.5,99.1,98,98.3,98.3,100,80.1,88.5,72.2
State,Manipur,4.6,1.8,33.3,16.7,NA,16.7,1.9,1.1,3.3,0,0,2.8,2.6,8.1,5.6,8.9,0.8,2.9,6.3,55,0,3.6,NA,2.9,NA,0,NA,0,4,4.3
State,Meghalaya,35.7,51,75,72.4,NA,72.4,34.3,54.5,25,52,NA,42,20.6,47.3,31.3,48.1,50,68.8,52.8,28.6,20.7,74.6,NA,78.3,0,75,NA,NA,67.3,51.6
State,Mizoram,80.8,72.2,100,100,100,100,100,100,100,50,NA,73.3,65.2,76.9,52.9,77.4,100,86.7,81.5,100,75,81.2,NA,98.1,NA,0,NA,42.9,91.1,79.6
State,Nagaland,33.3,61.3,33.3,72.7,NA,72.7,75,100,71.4,40,50,42.9,51.6,53.4,35.9,57.5,33.3,87.5,81.3,100,0,83.3,NA,83.3,NA,NA,NA,66.7,80,62.4
State,Orissa,93.5,95,90.2,97.2,NA,97.2,93.6,92.3,98.9,84.6,96.3,76.3,55.2,59.9,32.7,64.2,95.8,88.4,82.1,66.7,75.3,96.3,94.1,97.2,95,95.3,100,91.8,88.4,84.3
State,Punjab,85.5,86.7,80.3,89.2,NA,89.2,68.2,65.5,72.7,74.3,93.2,76.1,47.2,52.3,43.2,58.7,NA,90.3,70.7,86.2,66.7,86.4,95.2,64.8,84.6,63.9,NA,72.1,86,76.1
State,Rajasthan,86,96.6,95.7,99.1,NA,99.1,74.1,72.1,79.8,76.9,100,65.9,27.7,27.7,23,29.5,98.2,76.4,74.8,28.4,68.7,98.5,98.7,99.7,98.1,99.9,100,86,94.7,82.9
State,Sikkim,92.9,88.9,40,100,NA,100,66.7,NA,66.7,NA,NA,37.5,19.4,35.7,NA,35.7,66.7,0,14.3,NA,0,44.4,NA,NA,53.8,NA,NA,50,26.6,33
State,Tamil Nadu,93.9,91.1,94.7,95.7,NA,95.7,82.9,80.6,87.3,86.1,100,80.8,74.3,85.6,79.3,87.6,95.8,76.1,67.3,45.7,63.8,96.7,96.7,98.2,99.7,97.7,81.8,93.6,93.1,91.8
State,Tripura,66.5,70,NA,92.6,NA,92.6,80.6,76.5,81.3,50,NA,50.8,35.9,41.1,20,41.6,72.1,54.5,81.8,100,33.3,62.8,86.7,84.4,NA,90.2,NA,68.8,81.6,69.3
State,Uttar Pradesh,86,84.2,87.2,91.4,NA,91.4,73.9,72.9,76.1,78.7,97.5,61.3,33.4,35.4,22,39.4,83.2,58.9,65.8,96,67.1,84.8,87.1,94.4,99,75.4,NA,75.5,86.2,73.7
State,Uttaranchal,76.7,79.6,86.8,95.1,NA,95.1,69.8,72.6,63.3,71.4,100,66.9,30.4,35.9,27.5,38.8,79.6,59.8,66.9,88.9,66.7,88,94.7,84.4,94.5,75.9,NA,82.5,77.2,68.2
State,West Bengal,73,80.4,60.3,84.4,NA,84.4,78,79.7,67.1,56.5,87.3,47.3,24.5,17.3,17,17.4,73.3,49.4,44.8,50.5,75.8,83.7,98.2,88.3,76.7,92.5,100,72.1,69.8,59.4
State,Total (States),80.6,85.9,82,93.3,100,93.3,76.1,76.6,75.1,65.1,92.2,62.1,38.3,42.3,33.2,45.1,90.3,72,71.7,62.9,65.9,94.4,92.7,96.5,97.9,91.7,92.3,83,90,79.5
Union Territory,A & N Islands,100,100,NA,60,NA,60,75,75,NA,0,NA,33.3,41.4,40.2,0,42.9,82.1,82.4,65,50,33.3,80.4,NA,100,100,62.5,NA,NA,57.3,63.4
Union Territory,Chandigarh,89.5,75,90,100,NA,100,76.9,82.6,33.3,60,NA,68.4,24.1,21.5,7.8,28.2,79.2,31.8,49.3,100,0,96.3,100,92,92.9,52.8,NA,50,73.1,43.7
Union Territory,D & N Haveli,87.5,100,NA,100,NA,100,42.9,40,50,0,NA,50,34.8,40.8,37.5,41.5,100,0,83.3,NA,50,91.3,NA,100,NA,100,NA,NA,94.7,79.4
Union Territory,Daman & Diu,33.3,83.3,NA,100,NA,100,33.3,0,100,66.7,NA,NA,17.9,26.8,20.8,35.3,88.9,100,83.3,0,50,84.2,NA,NA,NA,100,NA,NA,88.8,63
Union Territory,Delhi,75.9,85.7,97.5,84.7,NA,84.7,42.2,38.7,49.6,80.4,97.1,72.8,20.6,19.9,20.4,19.5,80.3,53.6,70.5,62.2,45.6,92.7,92.3,89.4,87.2,73.1,NA,69.8,78.1,53.5
Union Territory,Lakshadweep,100,NA,NA,100,NA,100,NA,NA,NA,NA,NA,NA,50,16.7,0,18.2,NA,100,NA,NA,0,75,NA,NA,NA,NA,NA,NA,100,57.6
Union Territory,Pondicherry,91.7,100,NA,100,NA,100,100,100,NA,NA,NA,75,45.6,51.4,47.9,55,100,100,92.3,50,37.5,99.2,100,100,96.4,100,NA,92.7,99,90.5
Union Territory,Total (UTs),78.1,86.5,96.7,85.6,0,85.6,43,40,49.6,74.2,97.1,72.3,22.1,20.9,20.5,21.2,84.7,54.3,69.2,60.4,40,93.7,92.6,90.6,89.5,70.6,0,76.5,79.6,55.4
Total (All-India),Total (All-India),80.5,85.9,82.4,93.1,100,93.1,73.8,73.9,73.5,65.2,92.4,62.5,37.6,40.4,31.2,43.4,90.3,71.3,71.5,62.8,65.6,94.3,92.7,96.4,97.8,91.6,92.3,82.9,89.6,78.6
