Category,States/UTs/Cities,No. of Cases Reported (Incest Rape Cases),No. of Victims (Incest Rape Cases) upto 10 Years,No. of Victims (Incest Rape Cases) - 10 - 14 Years,No. of Victims (Incest Rape Cases) - 14 - 18 Years,No. of Victims (Incest Rape Cases) - 18 - 30 Years,No. of Victims (Incest Rape Cases) - 30 - 50 Years,No. of Victims (Incest Rape Cases) above 50 Years,No. of Victims (Incest Rape Cases) - Total Victims,No. of Cases Reported (Other Rape Cases),No. of Victims (Other Rape Cases) upto 10 Years,No. of Victims (Other Rape Cases) - 10 - 14 Years,No. of Victims (Other Rape Cases) - 14 - 18 Years,No. of Victims (Other Rape Cases) - 18 - 30 Years,No. of Victims (Other Rape Cases) - 30 - 50 Years,No. of Victims (Other Rape Cases) above 50 Years,No. of Victims (Other Rape Cases) - Total Victims,No. of Cases Reported (Total Rape Cases),No. of Victims (Total Rape Cases) upto 10 Years,No. of Victims (Total Rape Cases) - 10-14 Years,No. of Victims (Total Rape Cases) - 14 - 18 Years,No. of Victims (Total Rape Cases) - 18 - 30 Years,No. of Victims (Total Rape Cases) - 30 - 50 Years,No. of Victims (Total Rape Cases) above 50 Years,No. of Victims (Total Rape Cases) - Total Victims
State,Karnataka,5,3,0,1,1,0,0,5,288,21,63,61,122,21,0,288,293,24,63,62,123,21,0,293
State,Kerala,4,1,0,1,1,0,1,4,558,18,46,125,305,64,0,558,562,19,46,126,306,64,1,562
State,Madhya Pradesh,301,10,39,66,130,56,0,301,2550,76,265,491,1120,571,27,2550,2851,86,304,557,1250,627,27,2851
State,Maharashtra,20,1,5,6,4,4,0,20,1282,88,147,413,499,131,4,1282,1302,89,152,419,503,135,4,1302
State,Manipur,2,2,0,0,0,0,0,2,18,1,1,4,9,2,1,18,20,3,1,4,9,2,1,20
State,Meghalaya,5,1,0,1,1,2,0,5,21,2,2,3,13,1,0,21,26,3,2,4,14,3,0,26
State,Mizoram,0,0,0,0,0,0,0,0,52,0,0,30,14,8,0,52,52,0,0,30,14,8,0,52
State,Nagaland,1,0,0,0,0,1,0,1,16,0,0,8,6,2,0,16,17,0,0,8,6,3,0,17
State,Orissa,4,0,0,3,1,0,0,4,786,8,9,294,401,74,0,786,790,8,9,297,402,74,0,790
State,Punjab,0,0,0,0,0,0,0,0,298,8,30,137,98,24,1,298,298,8,30,137,98,24,1,298
State,Rajasthan,18,1,1,7,8,1,0,18,1031,15,43,222,598,146,7,1031,1049,16,44,229,606,147,7,1049
State,Sikkim,1,1,0,0,0,0,0,1,7,0,0,4,2,1,0,7,8,1,0,4,2,1,0,8
State,Tamil Nadu,21,0,2,4,13,2,0,21,402,6,13,170,179,32,2,402,423,6,15,174,192,34,2,423
State,Tripura,0,0,0,0,0,0,0,0,102,0,0,50,47,5,0,102,102,0,0,50,47,5,0,102
State,Uttar Pradesh,3,0,2,0,1,0,0,3,1955,34,120,406,1081,314,0,1955,1958,34,122,406,1082,314,0,1958
State,Uttaranchal,0,0,0,0,0,0,0,0,74,6,7,16,38,7,0,74,74,6,7,16,38,7,0,74
State,West Bengal,0,0,0,0,0,0,0,0,709,4,3,5,594,103,0,709,709,4,3,5,594,103,0,709
State,Total (States),427,21,60,109,167,69,1,427,15231,458,1289,3636,7647,2134,67,15231,15658,479,1349,3745,7814,2203,68,15658
Union Territory,A & N Islands,1,0,0,1,0,0,0,1,2,0,0,2,0,0,0,2,3,0,0,3,0,0,0,3
Union Territory,Chandigarh,2,0,0,0,2,0,0,2,16,0,8,4,2,3,0,17,18,0,8,4,4,3,0,19
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,6,0,0,3,3,0,0,6,6,0,0,3,3,0,0,6
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,9,3,3,2,1,0,0,9,372,45,78,152,58,41,0,374,381,48,81,154,59,41,0,383
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,9,3,2,2,1,1,0,9,9,3,2,2,1,1,0,9
Union Territory,Total (UTs),12,3,3,3,3,0,0,12,405,48,88,163,64,45,0,408,417,51,91,166,67,45,0,420
Total (All-India),Total (All-India),439,24,63,112,170,69,1,439,15636,506,1377,3799,7711,2179,67,15639,16075,530,1440,3911,7881,2248,68,16078
City,Agra,2,0,0,1,1,0,0,2,64,5,5,30,19,5,0,64,66,5,5,31,20,5,0,66
City,Ahmedabad,0,0,0,0,0,0,0,0,39,2,5,3,22,7,0,39,39,2,5,3,22,7,0,39
City,Allahabad,1,1,0,0,0,0,0,1,6,0,0,2,4,0,0,6,7,1,0,2,4,0,0,7
City,Amritsar,0,0,0,0,0,0,0,0,7,0,3,2,2,0,0,7,7,0,3,2,2,0,0,7
City,Asansol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
