Category,States/UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband & Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes under IPC
State,Jharkhand,31.2,26.2,19.5,29.6,NA,29.6,31.5,28.7,36.4,25.6,34.8,24.5,37.9,36.1,16.9,37,36.2,17.9,13.6,54.5,19.7,25.6,28.4,16.4,30.8,20.1,66.7,27.4,23.2,27.1
State,Karnataka,15.4,7.7,2.5,21,NA,21,3.6,4.8,1.8,10.5,0,10.5,11.8,8.4,12.9,7.5,2.9,16.9,8.3,10,1.1,5.6,10.7,5.6,36.7,5.2,NA,0,47.7,29.8
State,Kerala,43.9,19.2,14.7,22.4,NA,22.4,11.3,5.7,44.4,15.8,50,26.1,30.5,31.4,31.3,31.4,11,21.6,20.3,61.1,11.7,9.9,42.9,12.9,11.3,9,NA,NA,62.9,50
State,Madhya Pradesh,39.1,30.7,24,22.3,NA,22.3,32.1,38.3,25.5,23.5,7.2,27.4,20,31.4,56.2,30,35.1,27.1,25,0,22.8,45.6,26.7,34.2,49.6,45.7,NA,65.1,59,47.1
State,Maharashtra,26.3,15.7,11.8,14.7,0,14.7,7.5,7.8,6.4,15.9,6.8,12.3,19.5,24.7,27.8,24.4,8.9,14.3,19.6,11.6,6.9,7,9.4,11,6.5,5,NA,12.3,12.6,13.1
State,Manipur,33.3,0,NA,0,NA,0,0,0,NA,0,NA,NA,0,100,100,100,NA,NA,0,0,NA,0,NA,100,NA,NA,NA,NA,76.7,59.6
State,Meghalaya,16.7,0,100,0,NA,0,0,0,NA,18.8,NA,20,55.6,33.6,50,33,37.5,0,6.3,NA,0,22.4,NA,20,NA,NA,NA,NA,38.2,30.2
State,Mizoram,69.2,69.2,100,76.2,NA,76.2,100,100,100,100,NA,73.3,73.6,87.2,95.3,86.8,100,71.8,85.9,100,84.6,73.2,NA,84.7,NA,NA,NA,100,94.7,84.9
State,Nagaland,81.8,87.5,NA,50,NA,50,66.7,100,50,60,NA,71.4,82.1,84.4,100,83.9,100,87.5,100,100,NA,66.7,NA,NA,NA,NA,NA,100,83.1,81.2
State,Orissa,31.9,15.2,19.5,22.3,NA,22.3,14.2,13.6,18.6,16,16.7,8.5,12.1,11.6,12.4,11.6,12.4,12.4,10.7,0,17.4,16.1,18.7,9.7,29.5,15,NA,44.2,13.3,14.2
State,Punjab,43.6,29.4,40,32.1,NA,32.1,27.6,19.6,41.8,27.3,27.8,30.8,53.3,37.2,38.7,36.4,NA,32.2,26.8,50,44.4,23.1,38.8,25.3,33.3,27.3,NA,35.9,51.6,39.6
State,Rajasthan,41.4,47.5,36.9,27.5,NA,27.5,28.5,26.8,35.3,33.3,34.8,39.9,47.8,51.4,50.9,51.5,51.2,35.2,41.3,44.4,39.1,67.9,38.4,51.2,74.5,34.7,NA,48.6,56.5,53.5
State,Sikkim,50,0,50,33.3,NA,33.3,33.3,NA,33.3,100,NA,100,40,84.6,NA,84.6,8.3,NA,100,NA,NA,53.3,NA,NA,50,0,NA,33.3,65.7,56.2
State,Tamil Nadu,41.6,43.3,44.4,34.4,NA,34.4,28.9,24,41.4,23.1,53.8,51.8,70.2,73.5,77.2,72.8,32.7,52.4,59.9,10,28.7,58.4,31,44,88.7,40.7,0,77,65,62.8
State,Tripura,24.1,33.3,NA,25.5,NA,25.5,11,14.3,10.4,12.5,NA,14.8,13.8,10.8,0,10.9,14.8,20,14.3,0,5.9,22.5,22.2,12.5,NA,22,NA,0,18.7,18.5
State,Uttar Pradesh,49.2,53.1,51.2,52.8,NA,52.8,51.1,52.6,47.8,42.9,41.7,51.1,47.7,56,59.1,55.5,54.9,51.2,54.7,71.2,50.3,56.2,47.6,60.6,75.8,52.8,NA,61.9,55.5,54.9
State,Uttaranchal,38.5,45.7,37.3,46.9,NA,46.9,47.9,46.3,51.4,54.5,60,47,58.2,66,71.9,64.9,58.3,58.8,60,NA,58.3,57.1,40,63.3,66.7,71.6,22.2,47.7,48.8,52.9
State,West Bengal,18.9,11.2,8.1,8,NA,8,7.4,7.9,6.3,9.4,25.8,4.8,16.2,21.7,10.9,22.6,3.9,41.4,22,0,5,16.2,15.2,16.7,3.2,11.9,NA,48.8,19.6,17.4
State,Total (States),35.5,34.2,32.9,26.1,0,26.1,27.3,26.8,28.2,25.4,24.7,29.3,34.1,40,45.6,39.2,27.2,29.3,30,34.3,21.8,33.4,31.8,30.7,67.2,22,21.7,44.3,47.8,40.3
Union Territory,A & N Islands,63.6,100,100,0,NA,0,0,0,NA,NA,NA,NA,63.6,42.9,NA,42.9,20,20,0,NA,NA,13.8,NA,0,NA,0,NA,NA,63.3,51.1
Union Territory,Chandigarh,44.4,27.8,0,18.2,NA,18.2,13.3,8.3,33.3,100,NA,50,78.6,70.3,54.2,74.3,16.7,21.4,17.3,0,66.7,21.1,100,57.1,62.5,16.7,NA,20,37.7,45.7
Union Territory,D & N Haveli,14.3,100,NA,100,NA,100,0,NA,0,NA,NA,0,20,19,100,15,9.5,100,NA,NA,0,22.2,100,0,NA,NA,NA,NA,23.2,22.1
Union Territory,Daman & Diu,0,16.7,NA,0,NA,0,0,0,0,NA,NA,NA,78.6,60,0,75,0,66.7,0,NA,NA,10,NA,NA,NA,0,NA,NA,20.3,23.5
Union Territory,Delhi,30.9,27.6,30.8,26.6,NA,26.6,36.4,36.4,36.6,20,12.5,27.3,36.6,39.8,43,37.9,37.8,33.6,46.4,60.7,0,31.9,64.4,40.2,46.1,59.8,NA,55.1,63.4,50.4
Union Territory,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,50,25
Union Territory,Pondicherry,56.3,0,0,NA,NA,NA,100,100,NA,NA,NA,NA,81.3,79.4,65,90.8,22.2,NA,75,NA,100,72,33.3,46.2,80,0,NA,98.9,91.7,85.8
Union Territory,Total (UTs),36.2,28.3,28.1,24.8,0,24.8,36.1,36,36.4,33.3,12.5,28,38.6,42,43.9,40.8,19.5,33.5,43,60.3,3,46.5,63.6,41.1,53.8,51.1,0,87.9,64.8,52.8
Total (All-India),Total (All-India),35.5,34.1,32.8,26.1,0,26.1,28.7,28.4,29.2,25.4,24.6,29.2,34.5,40.3,45.2,39.3,27.1,29.8,30.5,41.3,21.5,33.6,32.5,31,67,22.2,21.7,44.7,48.6,40.8
