Category,States/UTs,Population (in Lakhs),Murder - Incidence,Murder - Rate,Murder - Percentage Contribution,Rape - Incidence,Rape - Rate,Rape - Percentage Contribution,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Contribution,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage Contribution,Robbery - Incidence,Robbery - Rate,Robbery - Percentage Contribution,Arson - Incidence,Arson - Rate,Arson - Percentage Contribution,Hurt - Incidence,Hurt - Rate,Hurt - Percentage Contribution,Prot. of Civil Rights Act - Incidence,Prot. of Civil Rights Act - Rate,Prot. of Civil Rights Act - Percentage Contribution,SC/ST Prev. of Atrocities Act - Incidence,SC/ST Prev. of Atrocities Act - Rate,SC/ST Prev. of Atrocities Act - Percentage Contribution,Other Offences - Incidence,Other Offences - Rate,Other Offences - Percentage Contribution,Total - Incidence,Total - Rate,Total - Percentage Contribution,Prot. of Civil Rights Act - Incidence,Prot. of Civil Rights Act - Rate,Prot. of Civil Rights Act - Percentage Contribution,Prev. of Atrocities Act for SCs - Incidence,Prev. of Atrocities Act for SCs - Rate,Prev. of Atrocities Act for SCs - Percentage Contribution,Other Offences - Incidence,Other Offences - Rate,Other Offences - Percentage Contribution,Total - Incidence,Total - Rate,Total - Percentage Contribution
State,Jharkhand,269.1,6,0,0.8,11,0,0.8,4,0,1,1,0,2.4,0,0,0,2,0,0.6,37,0.1,0.8,0,0,0,35,0.1,0.3,62,0.2,0.5,158,0.6,0.5,0,0,0,35,0.1,0.3,62,0.2,0.5,158,0.6,0
State,Karnataka,527.3,22,0,2.9,20,0,1.5,1,0,0.3,1,0,2.4,3,0,2.3,0,0,0,181,0.3,4,94,0.2,14.8,983,1.9,7.5,316,0.6,2.6,1621,3.1,4.8,94,0.2,14.8,983,1.9,7.5,316,0.6,2.6,1621,3.1,0
State,Kerala,318.4,5,0,0.7,75,0.2,5.7,0,0,0,0,0,0,0,0,0,2,0,0.6,169,0.5,3.7,0,0,0,121,0.4,0.9,127,0.4,1,499,1.6,1.5,0,0,0,121,0.4,0.9,127,0.4,1,499,1.6,0
State,Madhya Pradesh,603.9,72,0.1,9.4,305,0.5,23.2,31,0.1,7.8,1,0,2.4,9,0,6.8,50,0.1,14.1,663,1.1,14.6,1,0,0.2,435,0.7,3.3,2645,4.4,21.7,4212,7,12.6,1,0,0.2,435,0.7,3.3,2645,4.4,21.7,4212,7,0
State,Maharashtra,967.5,14,0,1.8,51,0.1,3.9,5,0,1.3,4,0,9.8,3,0,2.3,5,0,1.4,48,0,1.1,61,0.1,9.6,146,0.2,1.1,288,0.3,2.4,625,0.6,1.9,61,0.1,9.6,146,0.2,1.1,288,0.3,2.4,625,0.6,0
State,Manipur,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,8.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1,0
State,Nagaland,19.9,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1,0
State,Orissa,367.1,9,0,1.2,44,0.1,3.3,7,0,1.8,0,0,0,4,0,3,13,0,3.7,380,1,8.4,12,0,1.9,645,1.8,4.9,620,1.7,5.1,1734,4.7,5.2,12,0,1.9,645,1.8,4.9,620,1.7,5.1,1734,4.7,0
State,Punjab,242.9,5,0,0.7,10,0,0.8,4,0,1,0,0,0,0,0,0,0,0,0,14,0.1,0.3,1,0,0.2,49,0.2,0.4,51,0.2,0.4,134,0.6,0.4,1,0,0.2,49,0.2,0.4,51,0.2,0.4,134,0.6,0
State,Rajasthan,564.7,51,0.1,6.7,151,0.3,11.5,35,0.1,8.8,0,0,0,5,0,3.8,47,0.1,13.3,419,0.7,9.2,0,0,0,2965,5.3,22.6,1219,2.2,10,4892,8.7,14.6,0,0,0,2965,5.3,22.6,1219,2.2,10,4892,8.7,0
State,Sikkim,5.4,0,0,0,0,0,0,2,0.4,0.5,0,0,0,2,0.4,1.5,0,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,6,1.1,0,0,0,0,0,0,0,0,0,0,6,1.1,0
State,Tamil Nadu,621.1,38,0.1,5,27,0,2.1,16,0,4,5,0,12.2,1,0,0.8,18,0,5.1,422,0.7,9.3,22,0,3.5,682,1.1,5.2,1105,1.8,9.1,2336,3.8,7,22,0,3.5,682,1.1,5.2,1105,1.8,9.1,2336,3.8,0
State,Tripura,31.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0.1,0,0,0,0,1,0,0,1,0,0,2,0.1,0
State,Uttar Pradesh,1660.5,423,0.3,55.4,412,0.2,31.3,219,0.1,54.8,16,0,39,83,0,62.4,178,0.1,50.3,821,0.5,18.1,12,0,1.9,4885,2.9,37.3,3683,2.2,30.2,10732,6.5,32,12,0,1.9,4885,2.9,37.3,3683,2.2,30.2,10732,6.5,0
State,Uttaranchal,84.8,10,0.1,1.3,2,0,0.2,3,0,0.8,0,0,0,0,0,0,1,0,0.3,23,0.3,0.5,0,0,0,84,1,0.6,45,0.5,0.4,168,2,0.5,0,0,0,84,1,0.6,45,0.5,0.4,168,2,0
State,West Bengal,802.2,0,0,0,3,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,10,0,0,0,0,0,5,0,0,1,0,0,10,0,0
State,Total (States),10105.6,763,0.1,100,1315,0.1,99.9,400,0,100,41,0,100,133,0,100,354,0,100,4547,0.4,100,618,0.1,97.6,13094,1.3,99.9,12201,1.2,100,33466,3.3,99.9,618,0.1,97.6,13094,1.3,99.9,12201,1.2,100,33466,3.3,0
Union Territory,A & N Islands,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Union Territory,Chandigarh,9,0,0,0,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,3,0.3,0,0,0,0,2,0.2,0,0,0,0,3,0.3,0
Union Territory,D & N Haveli,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Union Territory,Daman & Diu,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,137.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.3,17,0.1,0.1,0,0,0,19,0.1,0.1,2,0,0.3,17,0.1,0.1,NA,NA,NA,NA,NA,NA
Union Territory,Lakshadweep,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.3,2.1,0,0,0,0,0,0,13,1.3,0,13,1.3,2.1,0,0,0,0,0,0,13,1.3,0
Union Territory,Total (UTs),164.5,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.1,2.4,19,0.1,0.1,0,0,0,35,0.2,0.1,15,0.1,2.4,19,0.1,0.1,1,0,0,35,0.2,0
Total (All-India),Total (All-India),10270.2,763,0.1,100,1316,0.1,100,400,0,100,41,0,100,133,0,100,354,0,100,4547,0.4,100,633,0.1,100,13113,1.3,100,12201,1.2,100,33501,3.3,100,633,0.1,100,13113,1.3,100,12202,1.2,100,33501,3.3,0
