States/UTs,District,Murder for SCs,Murder for STs,Rape for SCs,Rape for STs,Kid for SCs,Kid for STs,Dacoity for SCs,Dacoity for STs,Robbery for SCs,Robbery for STs,Arson for SCs,Arson for STs,Hurt for SCs,Hurt for STs,Protection of Civil Rights Act for SCs,Protection of Civil Rights Act for STs,SC/ ST(P) of Atrocities Act for SCs,SC/ ST(P) of Atrocities Act for STs,Other Crimes Committed against - for SCs,Other Crimes Committed against - for STs,Total Crimes Committed against - for SCs,Total Crimes Committed against - for STs
Chhattisgarh,Balrampur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Bilaspur,2,3,4,7,0,1,0,0,0,1,0,0,8,8,0,0,16,6,29,26,59,52
Chhattisgarh,Bizapur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Dantewara,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,12
Chhattisgarh,Dhamtari,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,7,8,8
Chhattisgarh,Durg,3,0,12,12,2,0,0,0,0,0,0,0,8,5,0,0,5,0,77,42,107,59
Chhattisgarh,GRP Raipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Jagdalpur,0,1,1,11,0,0,0,0,0,0,0,1,1,1,1,2,0,0,6,39,9,55
Chhattisgarh,Janjgir,0,3,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,16,4,21,8
Chhattisgarh,Jashpur,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,10,6,15
Chhattisgarh,Kanker,0,6,1,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,9,3,24
Chhattisgarh,Korba,0,4,6,3,2,0,0,0,0,0,0,0,19,15,0,0,38,0,0,41,65,63
Chhattisgarh,Koriya,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,5
Chhattisgarh,Mahasamund,0,0,5,3,1,1,0,0,1,1,0,0,0,1,0,0,18,0,0,17,25,23
Chhattisgarh,Raigarh,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,13,16
Chhattisgarh,Raipur,3,0,9,7,3,1,0,1,0,4,0,0,56,22,0,0,87,0,0,46,158,81
Chhattisgarh,Rajnandgaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Sarguja,0,1,5,20,0,0,0,0,0,1,0,0,6,7,0,0,0,0,9,36,20,65
Chhattisgarh,Total,8,18,52,87,8,5,0,1,1,7,0,1,101,63,1,2,164,6,166,296,501,486
Goa,North Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Goa,South Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Gujarat,Ahmedabad Commr.,2,0,1,0,4,0,0,0,0,0,0,0,33,0,3,0,0,0,3,0,46,0
Gujarat,Ahmedabad Rural,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,24,0,45,0,73,0
Gujarat,Ahwa-Dang,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gujarat,Amreli,2,0,0,0,1,0,0,0,0,0,1,0,19,2,0,0,28,0,44,2,95,4
Gujarat,Anand,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,4,0,10,0,32,0
Gujarat,Bharuch,0,0,0,2,0,0,0,0,0,0,0,0,6,8,0,0,10,13,0,0,16,23
Gujarat,Bhavnagar,3,0,1,0,1,0,0,0,2,0,1,0,10,0,0,0,17,0,24,2,59,2
Gujarat,Dahod,0,0,0,0,0,0,6,12,8,32,0,0,1,2,0,0,6,0,8,6,29,52
Gujarat,Gandhinagar,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,25,4,35,4
Gujarat,Himatnagar,0,0,1,1,0,3,0,0,0,1,0,1,7,1,0,0,21,8,21,8,50,23
Gujarat,Jamnagar,0,0,2,1,0,0,0,0,1,0,0,0,14,0,0,0,6,0,30,1,53,2
Gujarat,Junagadh,1,0,0,0,3,0,0,0,2,0,0,0,7,0,0,0,13,2,0,0,26,2
Gujarat,Kheda North,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,37,0,8,0,49,1
Gujarat,Kutch,0,0,2,0,2,0,0,0,1,0,0,0,42,17,0,0,6,1,9,0,62,18
Gujarat,Mehsana,2,0,0,0,3,0,1,0,0,0,1,0,8,0,0,0,44,0,29,0,88,0
Gujarat,Narmada,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
Gujarat,Navsari,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12
Gujarat,Palanpur,1,1,2,1,0,0,0,0,0,0,2,1,2,1,0,0,58,7,94,14,159,25
Gujarat,Panchmahal,0,2,0,2,0,0,0,0,0,0,0,1,1,2,0,3,8,24,20,6,29,40
Gujarat,Patan,0,0,1,1,1,0,0,0,1,0,0,0,12,0,0,0,0,0,44,1,59,2
Gujarat,Porbandar,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,0,6,1,13,1
Gujarat,Rajkot Commr.,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,18,2,14,1,36,4
Gujarat,Rajkot Rural,1,0,2,0,0,0,0,0,1,0,1,0,39,3,0,0,6,1,8,1,58,5
Gujarat,Surat Commr.,0,0,1,2,1,0,0,0,0,0,0,0,6,1,0,0,13,4,4,2,25,9
Gujarat,Surat Rural,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,6,12
Gujarat,Surendranagar,1,0,0,1,0,1,0,0,0,0,2,0,53,0,0,0,10,0,22,1,88,3
Gujarat,Vadodara Commr.,2,1,0,1,2,0,0,0,0,0,0,0,1,2,0,0,6,1,8,3,19,8
Gujarat,Vadodara Rural,0,2,1,4,1,1,0,0,0,0,0,1,0,7,0,0,6,7,11,14,19,36
Gujarat,Valsad,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,6,12,14
Gujarat,W. Rly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,5,3
Gujarat,Total,17,7,15,23,20,6,8,12,17,33,9,5,284,47,16,3,356,90,500,83,1242,309
Haryana,Ambala,2,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,14,0
Haryana,Bhiwani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
Haryana,Faridabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,10,0
Haryana,Fatehabad,1,0,3,0,3,0,0,0,0,0,0,0,6,0,0,0,1,0,7,0,21,0
Haryana,GRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Haryana,Gurgaon,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,5,0
Haryana,Hisar,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,9,0
Haryana,Jhajjar,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,8,0
Haryana,Jind,1,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,10,0
Haryana,Kaithal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0
Haryana,Karnal,1,0,2,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,17,0
Haryana,Kurukshetra,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,18,0
Haryana,Mahendergarh,0,0,1,0,3,0,0,0,0,0,1,0,5,0,0,0,5,0,8,0,23,0
Haryana,Panchkula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0
Haryana,Panipat,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,4,0,14,0
Haryana,Rewari,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0
Haryana,Rohtak,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,14,0
Haryana,Sirsa,0,0,3,0,2,0,0,0,0,0,1,0,11,0,0,0,1,0,3,0,21,0
Haryana,Sonipat,1,0,2,0,0,0,0,0,0,0,1,0,9,0,0,0,1,0,4,0,18,0
Haryana,Yamunanagar,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0,3,0,9,0
Haryana,Total,7,0,25,0,15,0,0,0,0,0,5,0,76,0,1,0,33,0,67,0,229,0
Himachal Pradesh,Bilaspur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,1,13,1
Himachal Pradesh,Chamba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,4,2
Himachal Pradesh,G.R.P.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,Hamirpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0
Himachal Pradesh,Kangra,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,17,0
Himachal Pradesh,Kinnaur,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Himachal Pradesh,Kullu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Himachal Pradesh,Lahaul-Spiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,Mandi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,5,1
Himachal Pradesh,Shimla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,23,0,44,0
Himachal Pradesh,Sirmaur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,6,0
Himachal Pradesh,Solan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
Himachal Pradesh,Una,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,8,0,13,0
Himachal Pradesh,Total,1,0,7,0,0,0,0,0,0,0,0,0,1,0,4,0,41,2,56,2,110,4
Jammu & Kashmir,Anantnag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Awantipora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Baramulla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Border,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Budgam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Crime Jammu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Crime Srinagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Doda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Ganderbal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Jammu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Kargil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Kathua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Kulgam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Kupwara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Leh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Poonch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Pulwama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Railways,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Rajouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Ramban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Reasi,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Jammu & Kashmir,Srinagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Udhampur,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,8,0
Jammu & Kashmir,Total,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,10,0
Jharkhand,Bokaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
Jharkhand,Chaibasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,Chatra,1,1,1,4,0,2,0,0,0,0,0,32,0,2,0,0,0,0,0,13,2,54
Jharkhand,Deoghar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,Dhanbad,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
Jharkhand,Dhanbad Rly.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
