Category,States/UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Indian Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - For SCs,Protection of Civil Rights Act - For SCs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act - For SCs,SC/ST (Prev.) of Atrocities Act - For STs,Forest Act,Other SLL Crimes,Total Cog. Crimes under SLL
State,Madhya Pradesh,97.8,98.3,97,97.9,NA,96.6,100,99.9,100,100,100,100,NA,95,NA,NA,93.1,75,NA,100,NA,97.1,98.1,95.3,99.2,100,99.1
State,Maharashtra,98.1,97.2,100,NA,99.7,88.3,100,99.6,100,94,94,NA,100,98.1,NA,NA,100,100,100,99.8,NA,96,95.7,97.4,95.3,99.2,99.6
State,Manipur,13.6,82.5,100,NA,NA,14.3,100,NA,50,NA,NA,NA,100,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,14.8
State,Meghalaya,78,92.9,100,0,NA,87.5,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,80,76.7
State,Mizoram,100,100,100,NA,100,NA,100,NA,100,NA,NA,NA,94.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99.9
State,Nagaland,75,98.8,NA,100,96.7,100,100,100,80,NA,NA,NA,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.8,94.8
State,Orissa,92.8,97.4,100,99.8,NA,89,100,80,66.7,100,100,100,NA,94.6,NA,NA,93.4,NA,NA,100,NA,95.9,95.7,97.7,100,98.3,98.9
State,Punjab,98.9,98.5,96.6,99.4,NA,59.1,81.8,94.5,100,NA,NA,NA,64.6,92.8,NA,NA,100,100,100,87.5,NA,55,55,NA,NA,94.2,98.5
State,Rajasthan,99.4,96.7,100,99.3,NA,97.5,100,97.8,100,NA,NA,NA,89.2,96.7,NA,100,100,100,100,99.1,NA,98.6,98.7,98.1,99.9,96,98.9
State,Sikkim,100,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.1,83.7
State,Tamil Nadu,95.1,99.5,100,NA,91.4,98.9,100,37.1,100,54.8,54.8,NA,100,93.5,NA,NA,100,NA,100,99.4,NA,92.3,92.2,100,NA,73.7,85.4
State,Tripura,95,100,100,NA,NA,66.7,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,100,100,NA,NA,0,91.7
State,Uttar Pradesh,98.3,98.9,100,99.6,NA,88.9,100,97.5,100,91.7,91.7,NA,83.3,59.4,NA,100,86.9,100,100,98.1,NA,87,86.9,93.9,94.6,99.6,99.2
State,Uttaranchal,98,99.6,99.6,99.7,100,83.3,NA,90.5,100,NA,NA,NA,100,60,NA,NA,75,NA,NA,100,NA,64.4,63.3,75,90.9,99.9,99.6
State,West Bengal,92.5,84.2,84.8,97.8,NA,70.8,100,99.9,94.8,NA,NA,NA,100,84.1,NA,66.7,80,NA,100,86.5,NA,100,100,NA,NA,99.7,99.6
State,Total (States),96.4,98,99.3,98.6,95.5,83.5,99.8,98.9,95.4,91.8,91.3,100,86.5,90.7,37.5,84.2,89.7,96.1,99.5,98.2,0,91.3,90.8,95.9,94.7,98,97.7
Union Territory,A & N Islands,NA,100,100,99.9,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,98.7,99.7
Union Territory,Chandigarh,50,87.8,100,99,NA,100,100,NA,66.7,NA,NA,NA,NA,100,NA,NA,NA,100,NA,100,NA,50,50,NA,NA,96.9,97.4
Union Territory,D & N Haveli,75,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,100,NA,100,NA,70.6,78.6
Union Territory,Daman & Diu,33.3,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,100,83.3
Union Territory,Delhi,98.9,98.5,100,97.3,NA,88.9,100,100,100,100,100,NA,72.2,93.9,NA,NA,100,NA,NA,95.8,NA,81.3,81.3,NA,NA,97.6,97.9
Union Territory,Lakshadweep,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
Union Territory,Pondicherry,100,100,100,NA,NA,100,100,NA,NA,100,100,NA,100,100,NA,NA,100,NA,NA,0,NA,100,100,NA,NA,99.1,99.1
Union Territory,Total (UTs),98.8,97.8,100,98.1,100,91.7,100,100,95.7,100,100,0,73.7,95.8,0,0,100,100,0,95.1,0,81,0,80,100,98.1,98.3
Total (All-India),Total (All-India),96.6,98,99.3,98.6,95.5,83.6,99.8,98.9,95.4,92,91.5,100,85.7,90.8,37.5,84.2,89.7,96.2,99.5,98.1,0,91.3,90.8,95.9,94.7,98,97.7
