Category,States/UTs/Cities,Murder - 2000,Murder - 2001,Murder - % Variation,Attempt to Commit Murder - 2000,Attempt to Commit Murder - 2001,Attempt to Commit Murder - % Variation,C.H. not Amounting to Murder - 2000,C.H. not Amounting to Murder - 2001,C.H. not Amounting to Murder - % Variation,Rape Total - 2000,Rape Total - 2001,Rape Total - % Variation,Rape Custodial - 2000,Rape Custodial - 2001,Rape Custodial - % Variation,Rape Other - 2000,Rape Other - 2001,Rape Other - % Variation,Kidnapping & Abduction Total - 2000,Kidnapping & Abduction Total - 2001,Kidnapping & Abduction Total - % Variation,Kidnapping & Abduction of Women & Girls - 2000,Kidnapping & Abduction of Women & Girls - 2001,Kidnapping & Abduction of Women & Girls - % Variation,Kidnapping & Abduction of Others - 2000,Kidnapping & Abduction of Others - 2001,Kidnapping & Abduction of Others - % Variation,Dacoity - 2000,Dacoity - 2001,Dacoity - % Variation,Preparation & Assembly for Dacoity - 2000,Preparation & Assembly for Dacoity - 2001,Preparation & Assembly for Dacoity - % Variation,Robbery - 2000,Robbery - 2001,Robbery - % Variation,Burglary - 2000,Burglary - 2001,Burglary - % Variation,Theft Total - 2000,Theft Total - 2001,Theft Total - % Variation,Theft Auto Theft - 2000,Theft Auto Theft - 2001,Theft Auto Theft - % Variation,Theft Other Theft - 2000,Theft Other Theft - 2001,Theft Other Theft - % Variation,Riots - 2000,Riots - 2001,Riots - % Variation,Criminal Breach of Trust - 2000,Criminal Breach of Trust - 2001,Criminal Breach of Trust - % Variation,Cheating - 2000,Cheating - 2001,Cheating - % Variation,Counterfeiting - 2000,Counterfeiting - 2001,Counterfeiting - % Variation,Arson - 2000,Arson - 2001,Arson - % Variation,Hurt - 2000,Hurt - 2001,Hurt - % Variation,Dowry Deaths - 2000,Dowry Deaths - 2001,Dowry Deaths - % Variation,Molestation - 2000,Molestation - 2001,Molestation - % Variation,Sexual Harassment - 2000,Sexual Harassment - 2001,Sexual Harassment - % Variation,Cruelty by Husband and Relatives - 2000,Cruelty by Husband and Relatives - 2001,Cruelty by Husband and Relatives - % Variation,Importation of Girls - 2000,Importation of Girls - 2001,Importation of Girls - % Variation,Causing Death by Negligence - 2000,Causing Death by Negligence - 2001,Causing Death by Negligence - % Variation,Other IPC Crimes - 2000,Other IPC Crimes - 2001,Other IPC Crimes - % Variation,Total Cognizable Crimes under IPC - 2000,Total Cognizable Crimes under IPC - 2001,Total Cognizable Crimes under IPC - % Variation,Note of Murder - % Variation,Note of C.H. not Amounting to Murder - % Variation,Note of Preparation & Assembly for Dacoity - % Variation,Note of Dacoity - % Variation,Note of Preparation & Assembly for Dacoity - % Variation,Note of Theft Auto Theft - % Variation,Note of Riots - % Variation,Note of Counterfeiting - % Variation,Note of Sexual Harassment - % Variation,Note of Cruelty by Husband and Relatives - % Variation,Note of Importation of Girls - % Variation
Union Territory,Total (All-India),37399,36202,-3.2,30743,31523,2.5,3773,3367,-10.8,16496,16075,-2.6,0,0,NA,0,16075,NA,22871,22487,-1.7,15023,14645,-2.5,7848,7842,-0.1,6825,6154,-9.8,1505,1614,7.2,20926,19901,-4.9,105391,101182,-4,258588,252803,-2.2,58415,63713,9.1,200173,189090,-5.5,80456,76222,-5.3,14581,14798,1.5,41701,44727,7.3,2299,1683,-26.8,10392,10534,1.4,240580,271487,12.8,6995,6851,-2.1,32940,34124,3.6,11024,9746,-11.6,45778,49170,7.4,64,114,78.1,0,57182,NA,779757,701362,-10.1,1771084,1769308,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Agra,NA,153,NA,NA,162,NA,NA,18,NA,NA,66,NA,NA,0,NA,NA,66,NA,NA,203,NA,NA,131,NA,NA,72,NA,NR,50,NA,NR,3,NA,NA,171,NA,NA,432,NA,NA,1181,NA,NA,509,NA,NA,672,NA,NA,377,0,NA,148,NA,NA,229,NA,NA,4,NA,NA,14,NA,NA,451,NA,NA,62,NA,NA,110,NA,NA,114,NA,NA,327,NA,NA,0,NA,NA,0,NA,NA,2386,NA,NA,6661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Ahmedabad,111,90,-18.9,58,58,0,5,60,1100,11,39,254.5,NA,0,NA,NA,39,NA,149,143,-4,72,117,62.5,77,26,-66.2,22,18,-18.2,2,4,100,226,192,-15,811,695,-14.3,3593,3588,-0.1,1540,1740,13,2053,1848,-10,257,191,-25.7,123,140,13.8,246,205,-16.7,9,13,44.4,6,2,-66.7,1317,1311,-0.5,3,7,133.3,35,54,54.3,28,27,-3.6,357,530,48.5,0,0,0,NA,0,NA,6781,6129,-9.6,14150,13496,-4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Allahabad,NA,60,NA,NA,57,NA,NA,5,NA,NA,7,NA,NA,0,NA,NA,7,NA,NA,41,NA,NA,39,NA,NA,2,NA,NR,4,NA,NR,0,NA,NA,37,NA,NA,96,NA,NA,496,NA,NA,106,NA,NA,390,NA,NA,47,NA,NA,82,NA,NA,163,NA,NA,1,NA,NA,5,NA,NA,296,NA,NA,7,NA,NA,20,NA,NA,88,NA,NA,64,NA,NA,0,NA,NA,55,NA,NA,495,NA,NA,2126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Amritsar,NA,26,NA,NA,32,NA,NA,6,NA,NA,7,NA,NA,0,NA,NA,7,NA,NA,31,NA,NA,23,NA,NA,8,NA,NR,0,NA,NR,3,NA,NA,6,NA,NA,145,NA,NA,131,NA,NA,68,NA,NA,63,NA,NA,1,NA,NA,21,NA,NA,85,NA,NA,2,NA,NA,6,NA,NA,147,NA,NA,7,NA,NA,9,NA,NA,0,NA,NA,72,NA,NA,0,NA,NA,61,NA,NA,264,NA,NA,1062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Asansol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NR,NR,NA,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99.6,NA,NA,-82.9,NA,NA,-65.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Bangalore,212,221,4.2,311,327,5.1,2,5,150,27,40,48.1,NA,0,NA,NA,40,NA,127,152,19.7,68,56,-17.6,59,96,62.7,29,31,6.9,18,25,38.9,391,284,-27.4,2469,2108,-14.6,6635,6293,-5.2,2453,2401,-2.1,4182,3892,-6.9,289,298,3.1,214,258,20.6,1418,1708,20.5,611,79,-87.1,7,3,-57.1,3466,3735,7.8,55,40,-27.3,219,223,1.8,41,51,24.4,250,229,-8.4,0,0,0,NA,38,NA,10393,11106,6.9,27184,27254,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Bhopal,46,49,6.5,79,86,8.9,0,0,0,54,75,38.9,NA,0,NA,NA,75,NA,55,49,-10.9,38,45,18.4,17,4,-76.5,4,7,75,1,6,500,91,92,1.1,710,798,12.4,1443,1267,-12.2,440,419,-4.8,1003,848,-15.5,70,62,-11.4,21,33,57.1,169,187,10.7,3,0,-100,9,6,-33.3,968,570,-41.1,12,12,0,116,200,72.4,25,52,108,72,123,70.8,0,0,0,NA,234,NA,7013,6872,-2,10961,10780,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Chennai,62,91,46.8,169,298,76.3,0,0,0,24,28,16.7,NA,0,NA,NA,28,NA,40,40,0,13,0,-100,27,40,48.1,14,12,-14.3,0,0,0,100,127,27,640,668,4.4,2270,2167,-4.5,376,433,15.2,1894,1734,-8.4,86,105,22.1,80,26,-67.5,610,600,-1.6,96,0,-100,0,0,0,644,813,26.2,22,13,-40.9,47,70,48.9,49,209,326.5,112,111,-0.9,0,0,0,NA,675,NA,1147,1239,8,6212,7292,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Coimbatore,18,16,-11.1,17,20,17.6,0,0,0,6,4,-33.3,NA,0,NA,NA,4,NA,19,14,-26.3,11,10,-9.1,8,4,-50,5,4,-20,1,0,-100,30,15,-50,191,179,-6.3,954,952,-0.2,336,348,3.6,618,604,-2.3,72,79,9.7,37,20,-45.9,77,110,42.9,15,4,-73.3,4,1,-75,189,152,-19.6,7,5,-28.6,17,19,11.8,60,38,-36.7,35,28,-20,0,0,0,NA,187,NA,1914,1643,-14.2,3668,3490,-4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Delhi (city),477,450,-5.7,536,442,-17.5,52,58,11.5,374,326,-12.8,NA,0,NA,NA,326,NA,1177,1349,14.6,869,820,-5.6,308,529,71.8,51,35,-31.4,37,69,86.5,671,545,-18.8,3140,2754,-12.3,19780,18067,-8.7,7603,7507,-1.3,12177,10560,-13.3,171,119,-30.4,448,450,0.4,1866,2103,12.7,48,42,-12.5,57,46,-19.3,2031,1790,-11.9,102,84,-17.6,488,392,-19.7,110,78,-29.1,76,108,42.1,0,0,0,NA,323,NA,19632,19713,0.4,51324,49343,-3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Dhanbad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NR,NR,NA,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Faridabad,NA,35,-92.7,NA,14,-97.4,NA,5,-90.4,NA,11,NA,NA,0,NA,NA,11,NA,NA,53,NA,NA,37,NA,NA,16,NA,NR,4,NA,NR,13,NA,NA,25,NA,NA,176,NA,NA,528,NA,NA,377,NA,NA,151,NA,NA,61,NA,NA,66,NA,NA,32,NA,NA,4,NA,NA,2,NA,NA,102,NA,NA,9,NA,NA,16,NA,NA,184,NA,NA,53,NA,NA,0,NA,NA,12,NA,NA,1870,NA,NA,3275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Hyderabad,115,111,-3.5,104,113,8.7,4,7,75,50,37,-26,NA,0,NA,NA,37,NA,76,80,5.3,36,39,8.3,40,41,2.5,6,13,116.7,0,0,0,52,67,28.8,1179,1155,-2,3007,2792,-7.1,1103,1128,2.3,1904,1664,-12.6,141,65,-53.9,100,101,1,1292,1293,0.1,29,24,-17.2,0,0,0,2818,3137,11.3,32,24,-25,98,118,20.4,38,27,-28.9,754,746,-1.1,0,0,0,NA,409,NA,1697,1512,-10.9,11592,11831,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Indore,76,78,2.6,114,94,-17.5,3,0,-100,49,50,2,NA,0,NA,NA,50,NA,56,47,-16.1,43,33,-23.3,13,14,7.7,5,2,-60,14,8,-42.9,69,88,27.5,806,758,-6,2580,2401,-6.9,1238,1298,4.8,1342,1103,-17.8,65,89,36.9,64,38,-40.6,138,131,-5.1,3,1,-66.7,20,20,0,922,972,5.4,21,21,0,91,141,54.9,28,45,60.7,136,100,-26.5,0,0,0,NA,157,NA,5439,5022,-7.7,10699,10263,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Jabalpur,NA,56,NA,NA,124,NA,NA,28,NA,NA,64,NA,NA,0,NA,NA,64,NA,NA,22,NA,NA,15,NA,NA,7,NA,NR,0,NA,NR,2,NA,NA,108,NA,NA,439,NA,NA,685,NA,NA,215,NA,NA,470,NA,NA,60,NA,NA,5,NA,NA,40,NA,NA,0,NA,NA,11,NA,NA,1595,NA,NA,12,NA,NA,33,-63.7,NA,37,32.1,NA,39,NA,NA,0,NA,NA,73,NA,NA,2303,NA,NA,5736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Jaipur,37,35,-5.4,49,71,44.9,1,3,200,35,28,-20,NA,0,NA,NA,28,NA,189,176,-6.9,165,155,-6.1,24,21,-12.5,2,1,-50,0,1,NA,69,58,-15.9,784,737,-6,2613,2506,-4.1,839,945,12.6,1774,1561,-12,1420,1343,-5.4,184,177,-3.8,767,869,13.3,35,24,-31.4,29,20,-31,63,953,1412.7,26,16,-38.5,156,105,-32.7,0,0,0,412,338,-18,0,0,0,NA,314,NA,6089,4406,-27.6,12960,12181,-6,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA
City,Jamshedpur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NR,NR,NA,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Kanpur,253,210,-17,165,198,20,25,28,12,48,47,-2.1,NA,0,NA,NA,47,NA,210,210,0,149,176,18.1,61,34,-44.3,20,30,50,2,1,-50,178,128,-28.1,338,361,6.8,1195,1309,9.5,517,636,23,678,673,-0.7,224,240,7.1,233,178,-23.6,282,301,6.7,23,3,-87,18,27,50,1067,1040,-2.5,71,64,-9.9,77,106,37.7,260,213,-18.1,319,356,11.6,0,0,0,NA,385,NA,1708,1373,-19.6,6716,6808,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Kochi,14,20,42.9,23,32,39.1,8,3,-62.5,10,10,0,NA,0,NA,NA,10,NA,7,9,28.6,5,1,-80,2,8,300,9,17,88.9,0,0,0,40,52,30,321,295,-8.1,350,496,41.7,143,167,16.8,207,329,58.9,187,174,-7,27,12,-55.6,140,174,24.3,4,3,-25,5,4,-20,550,555,0.9,0,0,0,52,44,-15.4,4,3,-25,46,62,34.8,0,0,0,NA,2,NA,3709,4100,10.5,5506,6067,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Kolkata,49,65,32.7,138,152,10.1,13,8,-38.5,35,19,-45.7,NA,0,NA,NA,19,NA,105,121,15.2,71,78,9.9,34,43,26.5,27,26,-3.7,52,60,15.4,151,149,-1.3,110,148,34.5,4016,4040,0.6,1034,1061,2.6,2982,2979,-0.1,316,275,-13,315,271,-14,826,863,4.5,57,54,-5.3,0,0,0,1279,1346,5.2,15,6,-60,152,165,8.6,46,37,-19.6,196,207,5.6,0,2,NA,NA,445,NA,5078,3511,-30.9,12976,11970,-7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@
City,Lucknow,161,112,-30.4,128,154,20.3,27,20,-25.9,29,39,34.5,NA,0,NA,NA,39,NA,146,144,-1.4,125,107,-14.4,21,37,76.2,20,24,20,3,1,-66.7,115,111,-3.5,604,600,-0.7,2070,2024,-2.2,624,687,10.1,1446,1337,-7.5,250,270,8,215,246,14.4,574,401,-30.1,5,3,-40,7,3,-57.1,65,55,-15.4,22,27,22.7,57,75,31.6,147,148,0.7,291,304,4.5,0,0,0,NA,220,NA,2555,2625,2.7,7491,7606,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Ludhiana,58,66,13.8,46,66,43.5,4,6,50,35,34,-2.9,NA,0,NA,NA,34,NA,36,79,119.4,19,42,121.1,17,37,117.6,0,5,NA,15,25,66.7,8,23,187.5,113,245,116.8,307,603,96.4,211,377,78.7,96,226,135.4,0,0,0,17,34,100,215,421,95.8,3,5,66.7,4,3,-25,105,241,129.5,12,9,-25,8,45,462.5,0,13,NA,204,233,14.2,0,0,0,NA,180,NA,435,1236,184.1,1625,3572,119.8,NA,NA,NA,@,NA,NA,NA,NA,@,NA,NA
City,Madurai,27,34,25.9,69,53,-23.2,0,0,0,8,2,-75,NA,0,NA,NA,2,NA,22,26,18.2,11,18,63.6,11,8,-27.3,7,5,-28.6,0,4,NA,23,33,43.5,110,198,80,453,803,77.3,132,248,87.9,321,555,72.9,100,90,-10,14,11,-21.4,303,296,-2.3,18,11,-38.9,4,4,0,186,308,65.6,5,12,140,22,20,-9.1,94,52,-44.7,41,24,-41.5,0,0,0,NA,109,NA,2340,2066,-11.7,3846,4161,8.2,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA
City,Meerut,NA,85,NA,NA,89,NA,NA,5,NA,NA,6,NA,NA,0,NA,NA,6,NA,NA,90,NA,NA,51,NA,NA,39,NA,NR,17,NA,NR,0,NA,NA,86,NA,NA,187,NA,NA,795,NA,NA,394,NA,NA,401,NA,NA,93,NA,NA,69,NA,NA,145,NA,NA,5,NA,NA,0,NA,NA,48,NA,NA,9,NA,NA,18,NA,NA,98,NA,NA,151,NA,NA,0,0,NA,198,NA,NA,724,NA,NA,2918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Mumbai,311,295,-5.1,201,200,-0.5,5,6,20,124,127,2.4,NA,0,NA,NA,127,NA,145,148,2.1,16,12,-25,129,136,5.4,78,61,-21.8,83,80,-3.6,569,406,-28.6,2838,2863,0.9,11690,11564,-1.1,3215,3095,-3.7,8475,8469,-0.1,261,196,-24.9,491,393,-20,1186,1270,7.1,154,170,10.4,2,6,200,3710,3845,3.6,13,18,38.5,206,274,33,131,44,-66.4,137,198,44.5,0,0,0,NA,709,NA,6903,6095,-11.7,29238,28968,-0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Nagpur,98,112,14.3,87,70,-19.5,2,2,0,36,39,8.3,NA,0,NA,NA,39,NA,57,64,12.3,45,51,13.3,12,13,8.3,16,14,-12.5,79,55,-30.4,224,171,-23.7,1318,1388,5.3,2619,2666,1.8,818,797,-2.6,1801,1869,3.8,226,235,4,60,74,23.3,224,263,17.4,13,11,-15.4,22,15,-31.8,1056,1078,2.1,9,7,-22.2,83,75,-9.6,64,56,-12.5,198,218,10.1,0,0,0,NA,223,NA,3080,3076,-0.1,9571,9912,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Nasik,NA,25,NA,NA,14,NA,NA,2,NA,NA,9,NA,NA,0,NA,NA,9,NA,NA,14,NA,NA,9,NA,NA,5,NA,NR,7,NA,NR,1,NA,NA,16,NA,NA,263,NA,NA,529,NA,NA,188,NA,NA,341,NA,NA,139,NA,NA,18,NA,NA,61,NA,NA,0,NA,NA,19,NA,NA,245,NA,NA,3,NA,NA,19,NA,NA,2,NA,NA,99,NA,NA,0,NA,NA,138,NA,NA,572,NA,NA,2195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Patna,227,194,-14.5,269,279,3.7,31,26,-16.1,26,17,-34.6,NA,0,NA,NA,17,NA,117,120,2.6,6,7,16.7,111,113,1.8,82,52,-36.6,18,19,5.6,331,340,2.7,338,324,-4.1,1454,1344,-7.6,415,391,-5.8,1039,953,-8.3,124,138,11.3,156,155,-0.6,285,273,-4.2,5,10,100,20,21,5,144,146,1.4,34,40,17.6,21,21,0,0,0,0,68,97,42.6,33,28,-15.2,NA,109,NA,1950,1864,-4.4,5733,5617,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Pune,77,71,-7.8,36,44,22.2,3,3,0,49,56,14.3,NA,0,NA,NA,56,NA,40,46,15,20,28,40,20,18,-10,13,14,7.7,4,13,225,83,98,18.1,865,840,-2.9,2613,2508,-4,1314,1277,-2.8,1299,1231,-5.2,894,903,1,94,84,-10.6,231,347,50.2,4,5,25,12,16,33.3,933,1004,7.6,1,2,100,57,54,-5.3,98,105,7.1,121,147,21.5,0,1,NA,NA,300,NA,2713,2275,-16.1,8941,8936,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@
City,Rajkot,NA,29,NA,NA,33,NA,NA,1,NA,NA,5,NA,NA,0,NA,NA,5,NA,NA,46,NA,NA,38,NA,NA,8,NA,NR,5,NA,NR,0,NA,NA,31,NA,NA,306,NA,NA,1245,NA,NA,530,NA,NA,715,NA,NA,110,NA,NA,56,NA,NA,71,NA,NA,1,NA,NA,9,NA,NA,628,NA,NA,3,NA,NA,19,NA,NA,12,NA,NA,199,NA,NA,0,NA,NA,82,NA,NA,1883,NA,NA,4774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Surat,83,98,18.1,22,19,-13.6,0,2,NA,16,11,-31.3,NA,0,NA,NA,11,NA,67,57,-14.9,40,37,-7.5,27,20,-25.9,35,26,-25.7,0,5,NA,54,59,9.3,311,353,13.5,1400,1422,1.6,856,958,11.9,544,464,-14.7,139,127,-8.6,72,66,-8.3,168,228,35.7,6,6,0,10,10,0,334,353,5.7,33,20,-39.4,9,10,11.1,6,1,-83.3,103,132,28.2,0,0,0,NA,167,NA,1063,823,-22.6,3931,3995,1.6,NA,@,NA,NA,@,NA,NA,NA,NA,NA,NA
City,Vadodara,45,34,-24.4,18,14,-22.2,0,0,0,6,3,-50,NA,0,NA,NA,3,NA,53,35,-34,42,32,-23.8,11,3,-72.7,8,4,-50,0,0,0,39,39,0,331,244,-26.3,1059,997,-5.9,447,449,0.4,612,548,-10.5,154,151,-1.9,139,104,-25.2,129,182,41.1,5,3,-40,5,7,40,442,365,-17.4,2,0,-100,8,11,37.5,9,10,11.1,173,90,-48,0,0,0,NA,153,NA,3032,2601,-14.2,5657,5047,-10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Varanasi,47,48,2.1,77,56,-27.3,11,5,-54.5,12,17,41.7,NA,0,NA,NA,17,NA,29,46,58.6,23,17,-26.1,6,29,383.3,3,7,133.3,1,0,-100,56,62,10.7,79,125,58.2,402,442,10,186,225,21,216,217,0.5,51,43,-15.7,90,68,-24.4,95,83,-12.6,2,9,350,3,0,-100,86,103,19.8,12,15,25,6,5,-16.7,86,81,-5.8,60,58,-3.3,0,0,0,NA,78,NA,703,951,35.3,1911,2302,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Vijayawada,NA,53,NA,NA,44,NA,NA,5,NA,NA,25,NA,NA,0,NA,NA,25,NA,NA,70,NA,NA,48,NA,NA,22,NA,NR,3,NA,NR,0,NA,NA,27,NA,NA,491,NA,NA,2057,NA,NA,264,NA,NA,1793,NA,NA,19,NA,NA,34,NA,NA,614,NA,NA,10,NA,NA,17,NA,NA,1578,NA,NA,2,NA,NA,84,NA,NA,122,NA,NA,520,NA,NA,0,NA,NA,234,NA,NA,724,NA,NA,6733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Vishakhapatnam,16,22,37.5,27,10,-63,0,1,NA,14,13,-7.1,NA,0,NA,NA,13,NA,13,13,0,8,6,-25,5,7,40,1,1,0,0,0,0,9,5,-44.4,332,323,-2.7,865,630,-27.2,196,172,-12.2,669,458,-31.5,10,9,-10,37,37,0,181,192,6.1,2,3,50,7,15,114.3,448,325,-27.5,3,0,-100,41,33,-19.5,4,462,11450,192,204,6.3,0,0,0,NA,196,NA,1182,910,-23,3384,3404,0.6,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Total (Cities),2620,3044,16.2,2743,3425,24.9,196,318,62.2,1078,1261,17,0,0,NA,0,1261,NA,2935,3738,27.4,1895,2278,20.2,1040,1460,40.4,457,499,9.2,330,398,20.6,3579,3651,2,18738,20694,10.4,73368,78528,7,26036,29410,13,47332,49118,3.8,5507,6109,10.9,3231,3475,7.6,11422,13940,22,1150,510,-55.7,251,312,24.3,22823,29287,28.3,512,556,8.6,2066,2588,25.3,1328,2409,81.4,4353,6167,41.7,33,31,-6.1,0,6466,NA,96556,102369,6,255276,289775,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
