Category,States/UTs/Cities,Arms Act - 2000,Arms Act - 2001,Arms Act - PVR,Narcotic Drugs & Psychoropic Substances Act - 2000,Narcotic Drugs & Psychoropic Substances Act - 2001,Narcotic Drugs & Psychoropic Substances Act - PVR,Gambling Act - 2000,Gambling Act - 2001,Gambling Act - PVR,Excise Act - 2000,Excise Act - 2001,Excise Act - PVR,Prohibition Act - 2000,Prohibition Act - 2001,Prohibition Act - PVR,Explosive & Explosive Substances Act - 2000,Explosive & Explosive Substances Act - 2001,Explosive & Explosive Substances Act - PVR,Immoral Traffic (P) Act - 2000,Immoral Traffic (P) Act - 2001,Immoral Traffic (P) Act - PVR,Indian Railways Act - 2000,Indian Railways Act - 2001,Indian Railways Act - PVR,Registration of Foreigners Act - 2000,Registration of Foreigners Act - 2001,Registration of Foreigners Act - PVR,Protection of Civil Rights Act (Total) - 2000,Protection of Civil Rights Act (Total) - 2001,Protection of Civil Rights Act (Total) - PVR,PCR Act for SCs - 2000,PCR Act for SCs - 2001,PCR Act for SCs - PVR,PCR Act for STs - 2000,PCR Act for STs - 2001,PCR Act for STs - PVR,Indian Passport Act - 2000,Indian Passport Act - 2001,Indian Passport Act - PVR,Essential Commodities Act - 2000,Essential Commodities Act - 2001,Essential Commodities Act - PVR,Terrorist & Disruptive Activities Act - 2000,Terrorist & Disruptive Activities Act - 2001,Terrorist & Disruptive Activities Act - PVR,Antiquity & Art Treasure Act - 2000,Antiquity & Art Treasure Act - 2001,Antiquity & Art Treasure Act - PVR,Dowry Prohibition Act - 2000,Dowry Prohibition Act - 2001,Dowry Prohibition Act - PVR,Child Marriage Restraint Act - 2000,Child Marriage Restraint Act - 2001,Child Marriage Restraint Act - PVR,Indecent Representation of Women (P) Act - 2000,Indecent Representation of Women (P) Act - 2001,Indecent Representation of Women (P) Act - PVR,Copy Right Act - 2000,Copy Right Act - 2001,Copy Right Act - PVR,Sati Prevention Act - 2000,Sati Prevention Act - 2001,Sati Prevention Act - PVR,SC/ST (Prevention of Atrocities) Act (Total) - 2000,SC/ST (Prevention of Atrocities) Act (Total) - 2001,SC/ST (Prevention of Atrocities) Act (Total) - PVR,SC/ST (Prev.) of Atrocities Act for SCs - 2000,SC/ST (Prev.) of Atrocities Act for SCs - 2001,SC/ST (Prev.) of Atrocities Act for SCs - PVR,SC/ST (Prev.) of Atrocities Act for STs - 2000,SC/ST (Prev.) of Atrocities Act for STs - 2001,SC/ST (Prev.) of Atrocities Act for STs - PVR,Forest Act - 2000,Forest Act - 2001,Forest Act - PVR,Other SLL Crimes - 2000,Other SLL Crimes - 2001,Other SLL Crimes - PVR,Total Cognizable Crimes under SLL - 2000,Total Cognizable Crimes under SLL - 2001,Total Cognizable Crimes under SLL - PVR,Note of Arms Act - PVR,Note of Narcotic Drugs & Psychoropic Substances Act - PVR,Note of Gambling Act - PVR,Note of Excise Act - PVR,Note of Prohibition Act - PVR,Note of Explosive & Explosive Substances Act - PVR,Note of Immoral Traffic (P) Act - PVR,Note of Registration of Foreigners Act - PVR,Note of Protection of Civil Rights Act (Total) - PVR,Note of Indian Passport Act - PVR,Note of Essential Commodities Act - PVR,Note of Antiquity & Art Treasure Act - PVR,Note of Dowry Prohibition Act - PVR,Note of Child Marriage Restraint Act - PVR,Note of Indecent Representation of Women (P) Act - PVR,Note of Copy Right Act - PVR,Note of SC/ST (Prevention of Atrocities) Act (Total) - PVR,Note of Forest Act - PVR,Note of Other SLL Crimes - PVR
State,Jharkhand,NA,462,NA,NA,39,NA,NA,75,NA,NA,309,NA,NA,0,NA,NA,67,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,44,NA,NA,0,NA,NA,0,NA,NA,375,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,55,NA,NA,35,NA,NA,20,NA,NA,38,NA,NA,271,NA,NA,1742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Karnataka,87,101,16.1,223,309,38.6,5937,6180,4.1,2821,4308,52.7,0,0,0,98,64,-34.7,1308,1356,3.7,16,25,56.3,29,23,-20.7,100,107,7,NA,94,NA,NA,13,NA,20,24,20,224,522,133,0,0,0,7,4,-42.9,392,361,-7.9,2,3,50,0,0,0,82,149,81.7,0,0,0,1226,1187,-3.2,NA,983,NA,NA,204,NA,305,382,25.2,6369,4214,-33.8,19246,19319,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Kerala,249,387,55.4,512,514,0.4,1927,2052,6.5,347,322,-7.2,6396,7042,10.1,254,377,48.4,92,132,43.5,18,11,-38.9,4,9,125,0,0,0,NA,0,NA,NA,0,NA,23,34,47.8,63,123,95.2,0,0,0,1,0,-100,7,6,-14.3,1,3,200,35,42,20,121,107,-11.6,0,0,0,257,135,-47.5,NA,121,NA,NA,14,NA,52,74,42.3,13170,20228,53.6,23529,31598,34.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Madhya Pradesh,7710,7143,-7.4,1159,808,-30.3,25728,23037,-10.5,33273,19511,-41.4,0,0,0,437,331,-24.3,23,15,-34.8,15005,14419,-3.9,3,1,-66.7,32,3,-90.6,NA,1,NA,NA,2,NA,2,1,-50,206,116,-43.7,0,0,0,2,0,-100,136,30,-77.9,3,4,33.3,0,0,0,146,107,-26.7,0,0,0,1365,678,-50.3,NA,435,NA,NA,243,NA,50,122,144,168539,85060,-49.5,253819,151386,-40.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Maharashtra,1215,1521,25.2,494,463,-6.3,19871,23897,20.3,0,0,0,125721,132228,5.2,62,61,-1.6,160,233,45.6,6319,18667,195.4,37,18,-51.4,128,61,-52.3,NA,61,NA,NA,0,NA,14,28,100,865,955,10.4,0,0,0,1,0,-100,22,27,22.7,33,43,30.3,149,9,-94,608,643,5.8,0,0,0,196,187,-4.6,NA,146,NA,NA,41,NA,24,43,79.2,19368,23076,19.1,175287,202160,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Manipur,47,29,-38.3,114,130,14,1,8,700,0,0,0,0,0,0,17,15,-11.8,0,4,NA,0,0,0,6,0,-100,0,0,0,NA,0,NA,NA,0,NA,0,2,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,689,990,43.7,875,1179,34.7,NA,NA,NA,NA,NA,NA,@,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Meghalaya,40,48,20,20,16,-20,16,30,87.5,18,11,-38.9,1,0,-100,16,6,-62.5,0,0,0,0,0,0,4,5,25,0,0,0,NA,0,NA,NA,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,100,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,53,30,-43.4,170,149,-12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Mizoram,13,28,115.4,45,43,-4.4,1,2,100,0,0,0,0,228,NA,1,7,600,2,2,0,0,0,0,189,159,-15.9,0,0,0,NA,0,NA,NA,0,NA,12,15,25,1,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,917,649,-29.2,1181,1133,-4.1,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Nagaland,24,22,-8.3,432,217,-49.8,1,0,-100,6,2,-66.7,30,40,33.3,6,3,-50,1,1,0,9,2,-77.8,2,14,600,0,0,0,NA,0,NA,NA,0,NA,0,2,NA,2,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,211,196,-7.1,724,499,-31.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Orissa,278,226,-18.7,144,116,-19.4,599,755,26,2218,8033,262.2,5,0,-100,95,99,4.2,17,24,41.2,8,16,100,1,2,100,0,16,NA,NA,12,NA,NA,4,NA,0,0,0,83,114,37.3,0,0,0,0,0,0,424,436,2.8,0,0,0,0,0,0,8,14,75,0,0,0,667,798,19.6,NA,645,NA,NA,153,NA,0,2,NA,185,540,191.9,4732,11191,136.5,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
State,Punjab,1063,1011,-4.9,2192,2231,1.8,2948,3391,15,16736,14922,-10.8,4,4,0,24,15,-37.5,26,32,23.1,124,144,16.1,12,8,-33.3,2,1,-50,NA,1,NA,NA,0,NA,48,62,29.2,133,92,-30.8,0,0,0,0,0,0,3,0,-100,2,0,-100,5,1,-80,33,53,60.6,0,0,0,27,49,81.5,NA,49,NA,NA,0,NA,0,0,0,484,867,79.1,23866,22883,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Rajasthan,1650,2482,50.4,665,705,6,7040,9461,34.4,6529,7003,7.3,0,0,0,367,389,6,110,68,-38.2,1474,1390,-5.7,5,3,-40,0,0,0,NA,0,NA,NA,0,NA,26,48,84.6,294,274,-6.8,0,0,0,0,4,NA,3,4,33.3,4,10,150,29,46,58.6,214,333,55.6,0,0,0,4413,3630,-17.7,NA,2965,NA,NA,665,NA,1317,1733,31.6,4244,4328,2,28384,31911,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
State,Sikkim,3,6,100,4,7,75,0,0,0,96,0,-100,0,0,0,0,3,NA,0,0,0,0,0,0,3,0,-100,0,0,0,NA,0,NA,NA,0,NA,0,0,0,1,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,279,35,-87.5,386,51,-86.8,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Tamil Nadu,227,118,-48,3222,4237,31.5,18409,17348,-5.8,1,0,-100,295789,255576,-13.6,376,360,-4.3,6950,5232,-24.7,80,42,-47.5,20,7,-65,211,22,-89.6,NA,22,NA,NA,0,NA,34,27,-20.6,139,32,-77,0,0,0,6,0,-100,287,33,-88.5,0,0,0,2,11,450,353,322,-8.8,0,0,0,799,684,-14.4,NA,682,NA,NA,2,NA,17,0,-100,250045,226899,-9.3,576967,510950,-11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Tripura,50,40,-20,13,9,-30.8,3,5,66.7,0,0,0,0,0,0,14,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,23,13,-43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,NA,NA,0,NA,0,0,0,3,1,-66.7,106,69,-34.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA
State,Uttar Pradesh,36640,32634,-10.9,9700,9916,2.2,5149,6576,27.7,26890,19277,-28.3,0,0,0,1293,960,-25.8,30,26,-13.3,13037,15096,15.8,7,55,685.7,0,12,NA,NA,12,NA,NA,0,NA,9,5,-44.4,1005,96,-90.4,0,0,0,1,2,100,256,340,32.8,0,1,NA,4,3,-25,136,154,13.2,0,0,0,4199,4960,18.1,NA,4885,NA,NA,75,NA,2677,2553,-4.6,353827,385571,9,454860,478237,5.1,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA
State,Uttaranchal,NA,1416,NA,NA,297,NA,NA,238,NA,NA,2760,NA,NA,3,NA,NA,10,NA,NA,0,NA,NA,45,NA,NA,3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3,NA,NA,4,NA,NA,0,NA,NA,0,NA,NA,5,NA,NA,0,NA,NA,0,NA,NA,10,NA,NA,0,NA,NA,93,NA,NA,84,NA,NA,9,NA,NA,196,NA,NA,34465,NA,NA,39548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,West Bengal,1633,1806,10.6,487,506,3.9,731,604,-17.4,1078,794,-26.3,1,13,1200,204,134,-34.3,49,31,-36.7,4895,4145,-15.3,1030,1049,1.8,0,0,0,NA,0,NA,NA,0,NA,10,1,-90,491,537,9.4,0,0,0,3,21,600,5,6,20,0,0,0,5,0,-100,96,168,75,0,0,0,0,6,NA,NA,5,NA,NA,1,NA,1,0,-100,1040859,1183213,13.7,1051578,1193034,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA
State,Total (States),57341,56509,-1.5,22109,23711,7.2,139786,150171,7.4,109570,105983,-3.3,537412,508937,-5.3,4707,4493,-4.5,9367,8656,-7.6,44380,64358,45,1405,1422,1.2,793,676,-14.8,0,618,NA,0,58,NA,276,356,29,4808,4187,-12.9,12,0,-100,37,39,5.4,2862,3213,12.3,90,83,-7.8,661,1050,58.9,2220,2659,19.8,0,0,0,15134,14758,-2.5,0,13094,NA,0,1664,NA,4916,5548,12.9,2422448,2599117,7.3,3380334,3555926,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,A & N Islands,0,0,0,5,0,-100,9,17,88.9,2279,2959,29.8,119,130,9.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-100,2,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,490,470,-4.1,2907,3578,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Chandigarh,9,9,0,37,39,5.4,137,107,-21.9,483,393,-18.6,0,0,0,2,2,0,6,3,-50,0,0,0,3,3,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,3,2,-33.3,0,0,0,0,0,0,0,0,0,0,2,NA,0,1,NA,5,12,140,0,0,0,1,2,100,NA,2,NA,NA,0,NA,0,0,0,88,203,130.7,774,778,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,@,NA,NA,NA,NA
Union Territory,D & N Haveli,5,3,-40,0,2,NA,2,2,0,4,8,100,0,0,0,0,2,NA,0,0,0,1,0,-100,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,3,5,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,200,NA,0,NA,NA,3,NA,0,0,0,19,17,-10.5,35,42,20,NA,@,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Daman & Diu,3,4,33.3,0,0,0,0,5,NA,0,0,0,0,0,0,0,0,0,0,3,NA,0,0,0,1,0,-100,0,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,0,1,NA,4,14,250,NA,NA,@,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,@
Union Territory,Delhi,2985,3415,14.4,584,622,6.5,1011,1177,16.4,6474,6881,6.3,0,0,0,46,28,-39.1,94,95,1.1,24,15,-37.5,25,13,-48,0,2,NA,NA,2,NA,NA,0,NA,33,32,-3,43,70,62.8,0,0,0,1,0,-100,9,7,-22.2,0,0,0,0,1,NA,139,194,39.6,0,0,0,17,17,0,NA,17,NA,NA,0,NA,0,0,0,341,1180,246,11826,13749,16.3,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA,NA,NA,NA
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,5,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-100,NA,0,NA,NA,0,NA,0,0,0,0,0,0,6,10,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Pondicherry,4,20,400,4,3,-25,14,18,28.6,1,23,2200,0,0,0,2,2,0,48,39,-18.8,1,0,-100,0,0,0,17,13,-23.5,NA,13,NA,NA,0,NA,0,2,NA,15,15,0,0,0,0,0,1,NA,4,2,-50,0,0,0,1,0,-100,0,2,NA,0,0,0,3,0,-100,NA,0,NA,NA,0,NA,0,0,0,666,993,49.1,780,1133,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,@,NA,NA,NA,@,NA,NA,NA
Union Territory,Total (UTs),3006,3451,14.8,630,666,5.7,1173,1326,13,9241,10264,11.1,124,140,12.9,52,36,-30.8,148,140,-5.4,26,15,-42.3,29,16,-44.8,17,15,-11.8,0,15,NA,0,0,NA,33,34,3,64,92,43.8,0,0,0,1,1,0,14,9,-35.7,2,2,0,1,2,100,144,209,45.1,0,0,0,23,22,-4.3,0,19,NA,0,3,NA,0,0,0,1604,2864,78.6,16332,19304,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total (All-India),Total (All-India),60347,59960,-0.6,22739,24377,7.2,140959,151497,7.5,118811,116247,-2.2,537536,509077,-5.3,4759,4529,-4.8,9515,8796,-7.6,44406,64373,45,1434,1438,0.3,810,691,-14.7,0,633,NA,0,58,NA,309,390,26.2,4872,4279,-12.2,12,0,-100,38,40,5.3,2876,3222,12,92,85,-7.6,662,1052,58.9,2364,2868,21.3,0,0,0,15157,14780,-2.5,0,13113,NA,0,1667,NA,4916,5548,12.9,2424052,2601981,7.3,3396666,3575230,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
