Category,States/UTs,Area (in Sqr. kms.),Estimated Mid-Year Population (in 000),Total Cases for Investigation (including Pending Cases from Previous Year) - IPC,Total Cases for Investigation (including Pending Cases from Previous Year) - SLL,Total Cases for Investigation (including Pending Cases from Previous Year) - Total,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total - Police,Actual Police Strength (of Ranks) - D.G. to A.S.I.,Actual Police Strength (of Ranks) - Head Constables to Constables,Actual Police Strength (of Ranks) - Teeth to Tail Ratio,Actual Police Strength of I.Os. (Insp.+ SI+ ASI of CIV. POL.),No. of Policemen Per 100 Sqr. Kms. of Area,No. of Policemen Per 1000 of Population,No. of Policemen Per 100000 of Population,No. of IPC Cases Per Civil Policeman,Work Load of I.Os - IPC,Work Load of I.Os - SLL,Work Load of I.Os - Total,Total Police Expenditure (Rs. in Crores) @@,Unit Cost Per Policemen (Per Annum)
State,Karnataka,191791,52734,138471,23745,162216,49354,1020,50374,98,5005,45369,'1:09,4698,26.3,1,96,2.8,29.5,5.1,34.5,796.34,158086
State,Kerala,38863,31839,125003,36858,161861,35666,7846,43512,82,4242,39270,'1:09,3487,112,1.4,137,3.5,35.8,10.6,46.4,430.07,98839
State,Madhya Pradesh,308245,60385,189255,152182,341437,69246,28057,97303,71.2,15015,82288,'1:05,11292,31.6,1.6,161,2.7,16.8,13.5,30.2,721.73,74173
State,Maharashtra,307713,96752,216019,238277,454296,118076,13385,131461,89.8,21192,110269,'1:05,19044,42.7,1.4,136,1.8,11.3,12.5,23.9,1146.31,87198
State,Manipur,22327,2389,7790,2833,10623,5075,9472,14547,34.9,1431,13116,'1:09,918,65.2,6.1,609,1.5,8.5,3.1,11.6,136.6,93903
State,Meghalaya,22429,2306,4075,412,4487,5745,2699,8444,68,1108,7336,'1:07,927,37.6,3.7,366,0.7,4.4,0.4,4.8,95.77,113418
State,Mizoram,21081,891,2705,1144,3849,2686,3690,6376,42.1,836,5540,'1:07,610,30.2,7.2,716,1,4.4,1.9,6.3,89.85,140919
State,Nagaland,16579,1989,2432,861,3293,4987,6596,11583,43.1,709,10874,'1:15,432,69.9,5.8,582,0.5,5.6,2,7.6,141.91,122516
State,Orissa,155707,36707,61242,12078,73320,26601,8285,34886,76.3,5787,29099,'1:05,4946,22.4,1,95,2.3,12.4,2.4,14.8,367.15,105243
State,Punjab,50362,24289,38685,31815,70500,51715,16527,68242,75.8,6935,61307,'1:09,5391,135.5,2.8,281,0.7,7.2,5.9,13.1,834.26,122250
State,Rajasthan,342239,56473,160267,32858,193125,51805,11582,63387,81.7,7229,56158,'1:08,6306,18.5,1.1,112,3.1,25.4,5.2,30.6,665.1,104927
State,Sikkim,7096,540,673,53,726,2776,1274,4050,68.5,379,3671,'1:10,269,57.1,7.5,750,0.2,2.5,0.2,2.7,41.68,102914
State,Tamil Nadu,130058,62111,186635,562626,749261,69517,10728,80245,86.6,8837,71408,'1:08,7529,61.7,1.3,129,2.7,24.8,74.7,99.5,1057.29,131758
State,Tripura,10486,3191,4409,124,4533,8130,6761,14891,54.6,1507,13384,'1:09,1100,142,4.7,467,0.5,4,0.1,4.1,205.92,138285
State,Uttar Pradesh,240928,166053,201897,487129,689026,123050,33183,156233,78.8,14690,141543,'1:10,12291,64.8,0.9,94,1.6,16.4,39.6,56.1,2120.39,135720
State,Uttaranchal,53483,8480,9275,39839,49114,9531,2666,12197,78.1,725,11472,'1:16,561,22.8,1.4,144,1,16.5,71,87.5,156.2,128064
State,West Bengal,88752,80221,104126,1205748,1309874,61579,21887,83466,73.8,15382,68084,'1:04,13559,94,1,104,1.7,7.7,88.9,96.6,797.59,95559
State,Total (States),3155431,1010562,2121644,3743640,5865284,977306,265065,1242371,78.7,158421,1083950,'1:07,133143,39.4,1.3,132,2.1,15.7,28.1,43.8,15625.97,120070
Union Territory,A & N Islands,8249,356,1072,3935,5007,2026,766,2792,72.6,379,2413,'1:06,331,33.8,7.8,784,0.5,3.2,11.9,15.1,32.45,116225
Union Territory,Chandigarh,114,901,3871,859,4730,4002,0,4002,100,506,3496,'1:07,489,3510.5,4.4,444,1,7.9,1.8,9.7,57.23,143003
Union Territory,D & N Haveli,491,220,488,57,545,138,94,232,59.5,18,214,'1:12,14,47.3,1.1,105,3.5,34.9,4.1,38.9,1.53,65948
Union Territory,Daman & Diu,112,158,317,21,338,235,0,235,100,22,213,'1:10,19,209.8,1.5,149,1.3,16.7,1.1,17.8,2.69,114468
Union Territory,Delhi,1483,13783,106761,21921,128682,46017,10433,56450,81.5,10672,45778,'1:04,9796,3806.5,4.1,410,2.3,10.9,2.2,13.1,867.42,153662
Union Territory,Lakshadweep,32,61,59,13,72,324,0,324,100,50,274,'1:05,48,1012.5,5.3,531,0.2,1.2,0.3,1.5,5.82,179630
Union Territory,Pondicherry,492,974,4167,1147,5314,921,683,1604,57.4,144,1460,'1:10,100,326,1.6,165,4.5,41.7,11.5,53.1,24.8,154613
Union Territory,Total (UTs),10973,16453,116735,27953,144688,53663,11976,65639,81.8,11791,53848,'1:05,10797,598.2,4,399,2.2,10.8,2.6,13.4,991.94,151121
Total (All-India),Total (All-India),3166404,1027015,2238379,3771593,6009972,1030969,277041,1308010,78.8,170212,1137798,'1:07,143940,41.3,1.4,137,2.1,15.3,26.2,41.5,16617.91,121561
