Category,States/UTs,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs & Psychotropic Substances Act - Male,Narcotic Drugs & Psychotropic Substances Act - Female,Narcotic Drugs & Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosive & Explosive Substances Act - Male,Explosive & Explosive Substances Act - Female,Explosive & Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act Total - Male,Protection of Civil Rights Act Total - Female,Protection of Civil Rights Act Total - Total,Protection of Civil Rights Act for SCs - Male,Protection of Civil Rights Act for SCs - Female,Protection of Civil Rights Act for SCs - Total,Protection of Civil Rights Act for STs - Male,Protection of Civil Rights Act for STs - Female,Protection of Civil Rights Act for STs - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activities Act - Male,Terrorist & Disruptive Activities Act - Female,Terrorist & Disruptive Activities Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Child Marriage Restraint Act - Male,Child Marriage Restraint Act - Female,Child Marriage Restraint Act - Total,Indecent Representation of Women (P) Act - Male,Indecent Representation of Women (P) Act - Female,Indecent Representation of Women (P) Act - Total,Copyright Act - Male,Copyright Act - Female,Copyright Act - Total,Sati Prevention Act - Male,Sati Prevention Act - Female,Sati Prevention Act - Total,SC/ST (Prev.) of Atrocities Act Total - Male,SC/ST (Prev.) of Atrocities Act Total - Female,SC/ST (Prev.) of Atrocities Act Total - Total,SC/ST (Prev.) of Atrocities Act for SCs - Male,SC/ST (Prev.) of Atrocities Act for SCs - Female,SC/ST (Prev.) of Atrocities Act for SCs - Total,SC/ST (Prev.) of Atrocities Act for STs - Male,SC/ST (Prev.) of Atrocities Act for STs - Female,SC/ST (Prev.) of Atrocities Act for STs - Total,Forest Act - Male,Forest Act - Female,Forest Act - Total,Other SLL Crimes - Male,Other SLL Crimes - Female,Other SLL Crimes - Total,Total Cognizable Crimes Under SLL - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total,Percentage of Female to Total
State,Madhya Pradesh,7093,104,7197,939,28,967,56699,18,56717,19462,761,20223,0,0,0,396,0,396,41,64,105,14418,115,14533,0,0,0,8,0,8,8,0,8,0,0,0,0,0,0,189,0,189,0,0,0,0,0,0,79,18,97,17,0,17,0,0,0,123,0,123,0,0,0,1103,14,1117,674,8,682,429,6,435,674,8,682,71474,33,71507,172273,1155,173428,0.7
State,Maharashtra,1835,4,1839,592,46,638,50029,57,50086,0,0,0,127123,16856,143979,113,0,113,127,849,976,18264,843,19107,17,1,18,91,15,106,91,15,106,0,0,0,96,68,164,1452,10,1462,0,0,0,0,0,0,33,6,39,108,31,139,18,0,18,840,5,845,0,0,0,311,22,333,236,18,254,75,4,79,236,18,254,43999,2463,46462,245145,21277,266422,8
State,Manipur,51,0,51,145,19,164,95,0,95,0,0,0,0,0,0,7,2,9,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,61,1012,1263,88,1351,6.5
State,Meghalaya,68,0,68,16,4,20,31,0,31,14,0,14,0,0,0,4,0,4,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,30,170,5,175,2.9
State,Mizoram,38,1,39,52,7,59,4,0,4,0,0,0,197,52,249,77,0,77,0,11,11,0,0,0,895,94,989,0,0,0,0,0,0,0,0,0,12,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,64,1081,2292,230,2522,9.1
State,Nagaland,24,0,24,256,40,296,0,0,0,4,0,4,106,0,106,5,0,5,1,0,1,2,0,2,88,0,88,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,13,225,700,53,753,7
State,Orissa,328,1,329,144,6,150,2528,0,2528,8085,591,8676,0,0,0,237,1,238,55,40,95,50,0,50,3,0,3,18,1,19,14,1,15,4,0,4,0,0,0,129,0,129,0,0,0,0,0,0,456,70,526,0,0,0,0,0,0,9,0,9,0,0,0,1000,38,1038,797,36,833,203,2,205,797,36,833,696,5,701,13739,753,14492,5.2
State,Punjab,1024,0,1024,2270,217,2487,5283,3,5286,14569,658,15227,2,0,2,20,0,20,70,50,120,265,0,265,8,0,8,1,0,1,1,0,1,0,0,0,97,3,100,130,0,130,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,87,0,87,0,0,0,85,5,90,85,5,90,0,0,0,85,5,90,1516,9,1525,25428,945,26373,3.6
State,Rajasthan,2622,0,2622,929,26,955,18581,31,18612,7417,150,7567,0,0,0,481,0,481,92,126,218,1542,3,1545,4,0,4,0,0,0,0,0,0,0,0,0,31,0,31,343,2,345,0,0,0,1,0,1,6,1,7,35,4,39,52,0,52,404,0,404,0,0,0,3756,182,3938,3018,150,3168,738,32,770,3018,150,3168,4814,136,4950,43451,677,44128,1.5
State,Sikkim,6,0,6,8,0,8,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34,54,0,54,0
State,Tamil Nadu,160,0,160,3715,592,4307,23215,0,23215,0,0,0,199555,53061,252616,454,6,460,97,5234,5331,14,0,14,7,0,7,45,2,47,45,2,47,0,0,0,34,1,35,22,0,22,0,0,0,0,0,0,41,25,66,0,0,0,1,10,11,321,0,321,0,0,0,1561,43,1604,1555,43,1598,6,0,6,1555,43,1598,300198,21919,322117,529440,80893,610333,13.3
State,Tripura,47,0,47,6,0,6,49,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,7,0,7,117,0,117,0
State,Uttar Pradesh,33087,2,33089,9931,61,9992,23023,32,23055,20226,468,20694,0,0,0,1108,1,1109,47,78,125,15780,60,15840,120,29,149,15,0,15,15,0,15,0,0,0,22,0,22,146,0,146,0,0,0,5,0,5,831,288,1119,3,0,3,4,2,6,251,8,259,0,0,0,10751,45,10796,10523,45,10568,228,0,228,10523,45,10568,399669,824,400493,520914,1898,522812,0.4
State,Uttaranchal,1422,0,1422,298,3,301,711,0,711,2903,28,2931,3,0,3,8,2,10,0,0,0,50,0,50,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,6,1,7,0,0,0,0,0,0,10,0,10,0,0,0,142,10,152,124,9,133,18,1,19,124,9,133,35135,180,35315,41135,225,41360,0.5
State,West Bengal,2638,1,2639,697,38,735,1956,0,1956,775,68,843,15,0,15,205,0,205,26,131,157,11167,1999,13166,1161,164,1325,0,0,0,0,0,0,0,0,0,2,0,2,995,2,997,0,0,0,23,0,23,8,0,8,0,0,0,0,0,0,269,0,269,0,0,0,17,0,17,17,0,17,0,0,0,17,0,17,1396072,3644,1399716,1416026,6047,1422073,0.4
State,Total (States),61168,124,61292,24863,1267,26130,306692,718,307410,109330,5333,114663,419715,107407,527122,5935,24,5959,2481,10081,12562,66981,3169,70150,2441,293,2734,1045,97,1142,989,89,1078,56,8,64,509,109,618,6282,37,6319,15,0,15,41,0,41,5679,1356,7035,217,58,275,238,452,690,3556,23,3579,0,0,0,27473,899,28372,24974,801,25775,2499,98,2597,24974,801,25775,2881587,40065,2921652,3936664,171546,4108210,4.2
Union Territory,A & N Islands,0,0,0,0,0,0,62,0,62,2560,475,3035,338,0,338,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,526,3488,475,3963,12
Union Territory,Chandigarh,10,0,10,35,3,38,239,0,239,396,38,434,0,0,0,2,0,2,2,7,9,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,22,0,22,0,0,0,1,1,2,1,1,2,0,0,0,1,1,2,197,8,205,916,59,975,6.1
Union Territory,D & N Haveli,4,0,4,3,1,4,9,0,9,12,0,12,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,28,0,28,74,1,75,1.3
Union Territory,Daman & Diu,6,0,6,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,6,21,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,31,21,52,40.4
Union Territory,Delhi,3431,3,3434,611,36,647,3341,17,3358,5685,1724,7409,0,0,0,53,0,53,44,92,136,17,0,17,16,1,17,1,0,1,1,0,1,0,0,0,35,0,35,72,0,72,0,0,0,0,0,0,14,5,19,0,0,0,2,2,4,228,0,228,0,0,0,15,16,31,15,16,31,0,0,0,15,16,31,1299,111,1410,14864,2007,16871,11.9
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0
Union Territory,Pondicherry,26,0,26,5,1,6,91,0,91,0,0,0,0,0,0,4,0,4,27,62,89,0,0,0,0,0,0,21,1,22,21,1,22,0,0,0,3,0,3,11,4,15,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298,11,1309,1491,79,1570,5
Union Territory,Total (UTs),3477,3,3480,654,41,695,3759,17,3776,8653,2237,10890,353,0,353,66,0,66,79,182,261,17,0,17,20,1,21,22,1,23,22,1,23,0,0,0,38,0,38,97,4,101,0,0,0,0,0,0,16,5,21,4,2,6,2,2,4,254,0,254,0,0,0,19,17,36,16,17,33,3,0,3,16,17,33,3349,130,3479,20879,2642,23521,11.2
Total (All-India),Total (All-India),64645,127,64772,25517,1308,26825,310451,735,311186,117983,7570,125553,420068,107407,527475,6001,24,6025,2560,10263,12823,66998,3169,70167,2461,294,2755,1067,98,1165,1011,90,1101,56,8,64,547,109,656,6379,41,6420,15,0,15,41,0,41,5695,1361,7056,221,60,281,240,454,694,3810,23,3833,0,0,0,27492,916,28408,24990,818,25808,2502,98,2600,24990,818,25808,2884936,40195,2925131,3957543,174188,4131731,4.2
