Category,States/UTs/ Cities,Estimated Mid-Year Population#,Infanticide - I,Infanticide - R,Infanticide - P,Murder - I,Murder - R,Murder - P,Rape - I,Rape - R,Rape - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Foeticide - I,Foeticide - R,Foeticide - P,Abetment to Suicide - I,Abetment to Suicide - R,Abetment to Suicide - P,Exposure and Abandonment - I,Exposure and Abandonment - R,Exposure and Abandonment - P,Procuration of Minor Girl - I,Procuration of Minor Girl - R,Procuration of Minor Girl - P,Buying of Girls for Prostitution - I,Buying of Girls for Prostitution - R,Buying of Girls for Prostitution - P,Selling of Girls for Prostitution - I,Selling of Girls for Prostitution - R,Selling of Girls for Prostitution - P,Child Marriage Restraint Act - I,Child Marriage Restraint Act - R,Child Marriage Restraint Act - P,Other Crimes - I,Other Crimes - R,Other Crimes - P,Total - I,Total - R,Total - P
State,Jharkhand,288.85,0,0,0,33,0.1,2.7,22,0.1,0.5,11,0,0.3,0,0,0,0,0,0,0,0,0,4,0,2.8,0,0,0,0,0,0,0,0,0,27,0.1,0.6,97,0.3,0.6
State,Karnataka,557.02,5,0,4.6,42,0.1,3.4,48,0.1,1.2,35,0.1,1,7,0,8.1,1,0,2.3,18,0,1.9,7,0,4.8,0,0,0,0,0,0,3,0,2.5,25,0,0.5,191,0.3,1.3
State,Kerala,333.38,0,0,0,45,0.1,3.7,140,0.4,3.5,45,0.1,1.3,1,0,1.2,1,0,2.3,3,0,0.3,21,0.1,14.5,0,0,0,0,0,0,3,0,2.5,127,0.4,2.7,386,1.2,2.6
State,Madhya Pradesh,659.52,28,0,25.9,122,0.2,10,870,1.3,21.6,240,0.4,6.8,12,0,14,7,0,16.3,95,0.1,10.2,4,0,2.8,1,0,3.6,0,0,0,18,0,14.8,2324,3.5,49.5,3721,5.6,24.8
State,Maharashtra,1031.59,3,0,2.8,189,0.2,15.5,634,0.6,15.7,420,0.4,11.9,4,0,4.7,11,0,25.6,321,0.3,34.4,5,0,3.4,6,0,21.4,1,0,2,22,0,18,689,0.7,14.7,2305,2.2,15.4
State,Manipur,25.39,0,0,0,3,0.1,0.2,4,0.2,0.1,13,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.8,0.1
State,Meghalaya,24.52,1,0,0.9,8,0.3,0.7,51,2.1,1.3,11,0.4,0.3,0,0,0,0,0,0,0,0,0,4,0.2,2.8,0,0,0,0,0,0,0,0,0,6,0.2,0.1,81,3.3,0.5
State,Mizoram,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,21.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,387.53,1,0,0.9,9,0,0.7,28,0.1,0.7,16,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.1,0.7,86,0.2,0.6
State,Punjab,257.64,9,0,8.3,17,0.1,1.4,51,0.2,1.3,59,0.2,1.7,12,0,14,0,0,0,13,0.1,1.4,2,0,1.4,1,0,3.6,0,0,0,11,0,9,36,0.1,0.8,211,0.8,1.4
State,Rajasthan,616.68,1,0,0.9,56,0.1,4.6,246,0.4,6.1,132,0.2,3.8,10,0,11.6,0,0,0,123,0.2,13.2,1,0,0.7,0,0,0,1,0,2,3,0,2.5,7,0,0.1,580,0.9,3.9
State,Sikkim,5.75,1,0.2,0.9,0,0,0,14,2.4,0.3,2,0.3,0.1,1,0.2,1.2,1,0.2,2.3,5,0.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,25,4.3,0.2
State,Tamil Nadu,648.56,1,0,0.9,53,0.1,4.3,115,0.2,2.9,69,0.1,2,0,0,0,1,0,2.3,6,0,0.6,0,0,0,0,0,0,0,0,0,4,0,3.3,39,0.1,0.8,288,0.4,1.9
State,Tripura,33.9,0,0,0,1,0,0.1,20,0.6,0.5,6,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,0,0,0,28,0.8,0.2
State,Uttar Pradesh,1814.88,44,0,40.7,346,0.2,28.4,394,0.2,9.8,749,0.4,21.3,0,0,0,2,0,4.7,0,0,0,3,0,2.1,0,0,0,0,0,0,4,0,3.3,259,0.1,5.5,1801,1,12
State,Uttaranchal,91.19,0,0,0,6,0.1,0.5,18,0.2,0.4,41,0.4,1.2,0,0,0,0,0,0,0,0,0,9,0.1,6.2,0,0,0,0,0,0,0,0,0,2,0,0,76,0.8,0.5
