Category,States/Uts/Cities,Estimated Mid-Year Population (In Lakhs)#,Rape - I,Rape - R,Rape - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Dowry Deaths - I,Dowry Deaths - R,Dowry Deaths - P,Cruelty by Husband and Relatives - I,Cruelty by Husband and Relatives - R,Cruelty by Husband and Relatives - P,Molestation - I,Molestation - R,Molestation - P,Eveteasing (Sexual Harassment) - I,Eveteasing (Sexual Harassment) - R,Eveteasing (Sexual Harassment) - P,Importation of Girls - I,Importation of Girls - R,Importation of Girls - P,Sati PreventionAct - I,Sati PreventionAct - R,Sati PreventionAct - P,Immoral Traffic (P) Act - I,Immoral Traffic (P) Act - R,Immoral Traffic (P) Act - P,Indecent Representation of Women (P) Act - I,Indecent Representation of Women (P) Act - R,Indecent Representation of Women (P) Act - P,Dowry Prohibition Act - I,Dowry Prohibition Act - R,Dowry Prohibition Act - P,Total - I,Total - R,Total - P
State,Meghalaya,24.52,63,2.6,0.3,19,0.8,0.1,1,0,0,3,0.1,0,44,1.8,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,131,5.3,0.1
State,Mizoram,9.47,37,3.9,0.2,0,0,0,4,0.4,0.1,0,0,0,49,5.2,0.1,4,0.4,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,95,10,0.1
State,Nagaland,21.17,17,0.8,0.1,9,0.4,0.1,0,0,0,0,0,0,7,0.3,0,0,0,0,0,0,0,0,0,0,4,0.2,0.1,0,0,0,0,0,0,37,1.7,0
State,Orissa,387.53,799,2.1,4.4,547,1.4,3.5,334,0.9,4.9,1671,4.3,2.9,2238,5.8,6.5,184,0.5,1.8,0,0,0,0,0,0,29,0.1,0.5,1,0,0,446,1.2,13.9,6249,16.1,4
State,Punjab,257.64,398,1.5,2.2,329,1.3,2.1,99,0.4,1.5,729,2.8,1.3,308,1.2,0.9,43,0.2,0.4,0,0,0,0,0,0,58,0.2,1,0,0,0,5,0,0.2,1969,7.6,1.3
State,Rajasthan,616.68,993,1.6,5.4,1549,2.5,9.8,361,0.6,5.3,5997,9.7,10.3,2503,4.1,7.3,28,0,0.3,0,0,0,1,0,100,115,0.2,1.9,109,0.2,3.7,1,0,0,11657,18.9,7.5
State,Sikkim,5.75,18,3.1,0.1,2,0.3,0,0,0,0,4,0.7,0,38,6.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,10.8,0
State,Tamil Nadu,648.56,571,0.9,3.1,783,1.2,5,215,0.3,3.2,1650,2.5,2.8,1764,2.7,5.2,665,1,6.7,0,0,0,0,0,0,2777,4.3,47,30,0,1,193,0.3,6,8648,13.3,5.6
State,Tripura,33.9,162,4.8,0.9,43,1.3,0.3,34,1,0.5,439,12.9,0.8,161,4.7,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,24.8,0.5
State,Uttar Pradesh,1814.88,1217,0.7,6.6,2256,1.2,14.3,1564,0.9,23,4505,2.5,7.7,1835,1,5.4,2881,1.6,28.9,0,0,0,0,0,0,31,0,0.5,0,0,0,586,0.3,18.3,14875,8.2,9.6
State,Uttaranchal,91.19,133,1.5,0.7,125,1.4,0.8,63,0.7,0.9,272,3,0.5,100,1.1,0.3,89,1,0.9,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0.1,786,8.6,0.5
State,West Bengal,850.55,1686,2,9.2,1039,1.2,6.6,446,0.5,6.6,6936,8.2,11.9,1572,1.8,4.6,54,0.1,0.5,61,0.1,40.9,0,0,0,74,0.1,1.3,1,0,0,18,0,0.6,11887,14,7.6
State,Total (States),10841.46,17651,1.6,96.1,14584,1.3,92.6,6665,0.6,98.2,56901,5.2,97.6,33305,3.1,97.5,9723,0.9,97.4,148,0,99.3,1,0,100,5742,0.5,97.2,2916,0.3,100,3178,0.3,99.2,150814,13.9,97
Union Territory,A & N Islands,3.88,4,1,0,1,0.3,0,0,0,0,5,1.3,0,11,2.8,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5.7,0
Union Territory,Chandigarh,9.98,33,3.3,0.2,45,4.5,0.3,3,0.3,0,75,7.5,0.1,31,3.1,0.1,9,0.9,0.1,0,0,0,0,0,0,9,0.9,0.2,0,0,0,0,0,0,205,20.5,0.1
Union Territory,D & N Haveli,2.44,5,2,0,9,3.7,0.1,0,0,0,5,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9.8,0
Union Territory,Daman & Diu,1.75,2,1.1,0,2,1.1,0,1,0.6,0,3,1.7,0,1,0.6,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,10,5.7,0
Union Territory,Delhi,157.43,658,4.2,3.6,1106,7,7,114,0.7,1.7,1324,8.4,2.3,762,4.8,2.2,225,1.4,2.3,1,0,0.7,0,0,0,151,1,2.6,1,0,0,9,0.1,0.3,4351,27.6,2.8
Union Territory,Lakshadweep,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,10.32,6,0.6,0,3,0.3,0,4,0.4,0.1,6,0.6,0,60,5.8,0.2,26,2.5,0.3,0,0,0,0,0,0,5,0.5,0.1,0,0,0,17,1.6,0.5,127,12.3,0.1
Union Territory,Total (UTs),186.45,708,3.8,3.9,1166,6.3,7.4,122,0.7,1.8,1418,7.6,2.4,870,4.7,2.5,261,1.4,2.6,1,0,0.7,0,0,0,166,0.9,2.8,1,0.9,0,26,0.1,0.8,4739,25.4,3
Total (All-India),Total (All-India),11027.91,18359,1.7,100,15750,1.4,100,6787,0.6,100,58319,5.3,100,34175,3.1,100,9984,0.9,100,149,0,100,1,0,100,5908,0.5,100,2917,0.3,100,3204,0.3,100,155553,14.1,100
City,Agra,13.21,20,1.5,1.2,66,5,2.7,15,1.1,3,190,14.4,2.2,46,3.5,1.6,146,11.1,6.3,0,0,0,0,0,0,6,0.5,0.3,0,0,0,0,0,0,489,37,2.3
City,Ahmedabad,45.19,35,0.8,2.1,136,3,5.6,1,0,0.2,745,16.5,8.6,54,1.2,1.9,26,0.6,1.1,0,0,0,0,0,0,7,0.2,0.3,0,0,0,0,0,0,1004,22.2,4.8
City,Allahabad,10.5,5,0.5,0.3,15,1.4,0.6,8,0.8,1.6,38,3.6,0.4,4,0.4,0.1,19,1.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,13,1.2,3.7,102,9.7,0.5
City,Amritsar,10.11,4,0.4,0.2,12,1.2,0.5,2,0.2,0.4,34,3.4,0.4,6,0.6,0.2,3,0.3,0.1,0,0,0,0,0,0,5,0.5,0.2,0,0,0,0,0,0,66,6.5,0.3
City,Asansol,10.91,9,0.8,0.5,14,1.3,0.6,4,0.4,0.8,340,31.2,3.9,10,0.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,34.6,1.8
City,Bangalore,56.87,38,0.7,2.2,25,0.4,1,39,0.7,7.9,287,5,3.3,167,2.9,5.9,39,0.7,1.7,0,0,0,0,0,0,654,11.5,31.1,0,0,0,239,4.2,68.9,1488,26.2,7.1
City,Bhopal,14.55,54,3.7,3.2,21,1.4,0.9,7,0.5,1.4,119,8.2,1.4,120,8.2,4.2,41,2.8,1.8,0,0,0,0,0,0,2,0.1,0.1,0,0,0,0,0,0,364,25,1.7
City,Chennai,64.25,43,0.7,2.5,31,0.5,1.3,30,0.5,6.1,236,3.7,2.7,82,1.3,2.9,102,1.6,4.4,0,0,0,0,0,0,284,4.4,13.5,2,0,1.9,5,0.1,1.4,815,12.7,3.9
City,Coimbatore,14.46,6,0.4,0.4,3,0.2,0.1,3,0.2,0.6,31,2.1,0.4,21,1.5,0.7,5,0.3,0.2,0,0,0,0,0,0,260,18,12.3,2,0.1,1.9,0,0,0,331,22.9,1.6
City,Delhi (city),127.91,562,4.4,33.2,900,7,37.4,94,0.7,19.1,1287,10.1,14.8,654,5.1,23.1,197,1.5,8.4,1,0,100,0,0,0,147,1.1,7,1,0,0.9,7,0.1,2,3850,30.1,18.3
City,Dhanbad,10.64,24,2.3,1.4,24,2.3,1,18,1.7,3.7,7,0.7,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.7,5.2,92,8.6,0.4
City,Faridabad,10.55,18,1.7,1.1,44,4.2,1.8,7,0.7,1.4,119,11.3,1.4,16,1.5,0.6,199,18.9,8.5,0,0,0,0,0,0,5,0.5,0.2,0,0,0,2,0.2,0.6,410,38.9,2
City,Hyderabad,55.34,67,1.2,4,70,1.3,2.9,27,0.5,5.5,1309,23.7,15.1,119,2.2,4.2,348,6.3,14.9,0,0,0,0,0,0,56,1,2.7,61,1.1,57,0,0,0,2057,37.2,9.8
City,Indore,16.39,71,4.3,4.2,30,1.8,1.2,19,1.2,3.9,213,13,2.5,133,8.1,4.7,49,3,2.1,0,0,0,0,0,0,6,0.4,0.3,0,0,0,1,0.1,0.3,522,31.8,2.5
City,Jabalpur,11.17,49,4.4,2.9,15,1.3,0.6,19,1.7,3.9,97,8.7,1.1,133,11.9,4.7,94,8.4,4,0,0,0,0,0,0,3,0.3,0.1,0,0,0,5,0.4,1.4,415,37.2,2
City,Jaipur,23.24,57,2.5,3.4,123,5.3,5.1,16,0.7,3.3,392,16.9,4.5,121,5.2,4.3,1,0,0,0,0,0,0,0,0,33,1.4,1.6,39,1.7,36.4,0,0,0,782,33.6,3.7
City,Jamshedpur,11.02,28,2.5,1.7,32,2.9,1.3,8,0.7,1.6,36,3.3,0.4,21,1.9,0.7,0,0,0,0,0,0,0,0,0,5,0.5,0.2,0,0,0,38,3.4,11,168,15.2,0.8
City,Kanpur,26.9,18,0.7,1.1,90,3.3,3.7,51,1.9,10.4,205,7.6,2.4,43,1.6,1.5,227,8.4,9.7,0,0,0,0,0,0,1,0,0,0,0,0,9,0.3,2.6,644,23.9,3.1
City,Kochi,13.55,7,0.5,0.4,1,0.1,0,2,0.1,0.4,66,4.9,0.8,33,2.4,1.2,12,0.9,0.5,0,0,0,0,0,0,6,0.4,0.3,2,0.1,1.9,0,0,0,129,9.5,0.6
City,Kolkata,132.17,13,0.1,0.8,66,0.5,2.7,6,0,1.2,236,1.8,2.7,148,1.1,5.2,35,0.3,1.5,0,0,0,0,0,0,40,0.3,1.9,0,0,0,0,0,0,544,4.1,2.6
City,Lucknow,22.67,28,1.2,1.7,103,4.5,4.3,22,1,4.5,247,10.9,2.8,36,1.6,1.3,144,6.4,6.2,0,0,0,0,0,0,2,0.1,0.1,0,0,0,0,0,0,582,25.7,2.8
City,Ludhiana,13.95,39,2.8,2.3,36,2.6,1.5,5,0.4,1,84,6,1,25,1.8,0.9,25,1.8,1.1,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,215,15.4,1
City,Madurai,11.95,5,0.4,0.3,23,1.9,1,3,0.3,0.6,43,3.6,0.5,28,2.3,1,29,2.4,1.2,0,0,0,0,0,0,130,10.9,6.2,0,0,0,0,0,0,261,21.8,1.2
City,Meerut,11.67,12,1,0.7,35,3,1.5,11,0.9,2.2,191,16.4,2.2,28,2.4,1,76,6.5,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,30.2,1.7
City,Mumbai,163.68,201,1.2,11.9,122,0.7,5.1,9,0.1,1.8,336,2.1,3.9,385,2.4,13.6,99,0.6,4.2,0,0,0,0,0,0,136,0.8,6.5,0,0,0,0,0,0,1288,7.9,6.1
City,Nagpur,21.23,52,2.4,3.1,48,2.3,2,4,0.2,0.8,185,8.7,2.1,76,3.6,2.7,52,2.4,2.2,0,0,0,0,0,0,15,0.7,0.7,0,0,0,8,0.4,2.3,440,20.7,2.1
City,Nasik,11.52,21,1.8,1.2,13,1.1,0.5,0,0,0,121,10.5,1.4,35,3,1.2,13,1.1,0.6,0,0,0,0,0,0,4,0.3,0.2,0,0,0,0,0,0,207,18,1
City,Patna,17.07,27,1.6,1.6,32,1.9,1.3,32,1.9,6.5,121,7.1,1.4,4,0.2,0.1,2,0.1,0.1,0,0,0,0,0,0,6,0.4,0.3,0,0,0,2,0.1,0.6,226,13.2,1.1
City,Pune,37.56,79,2.1,4.7,72,1.9,3,1,0,0.2,201,5.4,2.3,107,2.8,3.8,95,2.5,4.1,0,0,0,0,0,0,10,0.3,0.5,0,0,0,0,0,0,565,15,2.7
City,Rajkot,10.02,7,0.7,0.4,33,3.3,1.4,0,0,0,153,15.3,1.8,7,0.7,0.2,7,0.7,0.3,0,0,0,0,0,0,4,0.4,0.2,0,0,0,0,0,0,211,21.1,1
City,Surat,28.11,23,0.8,1.4,72,2.6,3,12,0.4,2.4,190,6.8,2.2,50,1.8,1.8,4,0.1,0.2,0,0,0,0,0,0,28,1,1.3,0,0,0,0,0,0,379,13.5,1.8
City,Vadodara,14.92,5,0.3,0.3,26,1.7,1.1,0,0,0,136,9.1,1.6,13,0.9,0.5,2,0.1,0.1,0,0,0,0,0,0,7,0.5,0.3,0,0,0,0,0,0,189,12.7,0.9
City,Varanasi,12.12,6,0.5,0.4,12,1,0.5,7,0.6,1.4,21,1.7,0.2,1,0.1,0,34,2.8,1.5,0,0,0,0,0,0,5,0.4,0.2,0,0,0,0,0,0,86,7.1,0.4
City,Vijayawada,10.11,32,3.2,1.9,49,4.8,2,8,0.8,1.6,296,29.3,3.4,64,6.3,2.3,122,12.1,5.2,0,0,0,0,0,0,42,4.2,2,0,0,0,0,0,0,613,60.6,2.9
City,Vishakhapatnam,13.29,28,2.1,1.7,15,1.1,0.6,2,0.2,0.4,361,27.2,4.2,45,3.4,1.6,86,6.5,3.7,0,0,0,0,0,0,196,14.7,9.3,0,0,0,0,0,0,733,55.2,3.5
City,Total (cities),1078.8,1693,1.6,100,2409,2.2,100,492,0.5,100,8673,8,100,2836,2.6,100,2333,2.2,100,1,0,100,0,0,0,2106,2,100,107,0.1,100,347,0.3,100,20997,19.5,100
