Category,States/ UTs/ Cities,Murder - Incidence,Murder - Rate of Crime,Attempt to Commit Murder - Incidence,Attempt to Commit Murder - Rate of Crime,C.H. Not Amounting to Murder - Incidence,C.H. Not Amounting to Murder - Rate of Crime,Rape Total - Incidence,Rape Total - Rate of Crime,Rape Custodial - Incidence,Rape Custodial - Rate of Crime,Rape Others - Incidence,Rape Others - Rate of Crime,Kidnapping & Abduction Total - Incidence,Kidnapping & Abduction Total - Rate of Crime,Kidnapping & Abduction of Women & Girls - Incidence,Kidnapping & Abduction of Women & Girls - Rate of Crime,Kidnapping & Abduction of Others - Incidence,Kidnapping & Abduction of Others - Rate of Crime,Dacoity - Incidence,Dacoity - Rate of Crime,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate of Crime,Robbery - Incidence,Robbery - Rate of Crime,Burglary - Incidence,Burglary - Rate of Crime,Theft Total - Incidence,Theft Total - Rate of Crime,Auto Theft - Incidence,Auto Theft - Rate of Crime,Other Theft - Incidence,Other Theft - Rate of Crime,Riots - Incidence,Riots - Rate of Crime,Criminal Breach of Trust - Incidence,Criminal Breach of Trust - Rate of Crime,Cheating - Incidence,Cheating - Rate of Crime,Counterfeiting - Incidence,Counterfeiting - Rate of Crime,Arson - Incidence,Arson - Rate of Crime,Hurt - Incidence,Hurt - Rate of Crime,Dowry Deaths - Incidence,Dowry Deaths - Rate of Crime,Molestation - Incidence,Molestation - Rate of Crime,Sexual Harassment - Incidence,Sexual Harassment - Rate of Crime,Cruelty by Husband and Relatives - Incidence,Cruelty by Husband and Relatives - Rate of Crime,Importaton of Girls - Incidence,Importaton of Girls - Rate of Crime,Causing Death by Negligence - Incidence,Causing Death by Negligence - Rate of Crime,Other IPC Crimes - Incidence,Other IPC Crimes - Rate of Crime,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate of Crime
State,Mizoram,24,2.5,24,2.5,5,0.5,37,3.9,0,0,37,3.9,13,1.4,0,0,13,1.4,3,0.3,0,0,6,0.6,442,46.7,777,82,0,0,777,82,35,3.7,11,1.2,58,6.1,5,0.5,20,2.1,77,8.1,4,0.4,49,5.2,4,0.4,0,0,0,0,4,0.4,558,58.9,2156,227.7
State,Nagaland,87,4.1,26,1.2,8,0.4,17,0.8,0,0,17,0.8,26,1.2,9,0.4,17,0.8,12,0.6,0,0,80,3.8,93,4.4,294,13.9,97,4.6,197,9.3,8,0.4,17,0.8,41,1.9,5,0.2,4,0.2,35,1.7,0,0,7,0.3,0,0,0,0,0,0,37,1.7,252,11.9,1049,49.6
State,Orissa,1079,2.8,1279,3.3,48,0.1,799,2.1,0,0,799,2.1,641,1.7,547,1.4,94,0.2,184,0.5,50,0.1,998,2.6,3029,7.8,6743,17.4,1626,4.2,5117,13.2,1515,3.9,301,0.8,1040,2.7,31,0.1,386,1,5919,15.3,334,0.9,2238,5.8,184,0.5,1671,4.3,0,0,3034,7.8,20182,52.1,51685,133.4
State,Punjab,713,2.8,723,2.8,216,0.8,398,1.5,0,0,398,1.5,478,1.9,329,1.3,149,0.6,27,0.1,103,0.4,85,0.3,1933,7.5,2924,11.3,1151,4.5,1773,6.9,1,0,306,1.2,2934,11.4,73,0.3,55,0.2,4267,16.6,99,0.4,308,1.2,43,0.2,729,2.8,0,0,2283,8.9,8438,32.8,27136,105.3
State,Rajasthan,1221,2,1920,3.1,59,0.1,993,1.6,0,0,993,1.6,1993,3.2,1549,2.5,444,0.7,41,0.1,79,0.1,590,1,5227,8.5,17898,29,6723,10.9,11175,18.1,2290,3.7,613,1,8341,13.5,88,0.1,648,1.1,22606,36.7,361,0.6,2503,4.1,28,0,5997,9.7,0,0,5872,9.5,61549,99.8,140917,228.5
State,Sikkim,8,1.4,16,2.8,2,0.3,18,3.1,0,0,18,3.1,3,0.5,2,0.3,1,0.2,2,0.3,0,0,4,0.7,85,14.8,81,14.1,5,0.9,76,13.2,19,3.3,4,0.7,44,7.7,2,0.3,3,0.5,99,17.2,0,0,38,6.6,0,0,4,0.7,0,0,53,9.2,67,11.7,552,96
State,Tamil Nadu,1440,2.2,1759,2.7,28,0,571,0.9,1,0,570,0.9,1029,1.6,783,1.2,246,0.4,73,0.1,0,0,437,0.7,3738,5.8,15851,24.4,3583,5.5,12268,18.9,2551,3.9,239,0.4,2694,4.2,40,0.1,495,0.8,31725,48.9,215,0.3,1764,2.7,665,1,1650,2.5,0,0,8902,13.7,86494,133.4,162360,250.3
State,Tripura,121,3.6,56,1.7,1,0,162,4.8,0,0,162,4.8,85,2.5,43,1.3,42,1.2,22,0.6,0,0,61,1.8,170,5,325,9.6,62,1.8,263,7.8,148,4.4,32,0.9,59,1.7,16,0.5,35,1,429,12.7,34,1,161,4.7,1,0,439,12.9,0,0,188,5.5,811,23.9,3356,99
State,Uttar Pradesh,5711,3.1,5637,3.1,1520,0.8,1217,0.7,0,0,1217,0.7,2955,1.6,2256,1.2,699,0.4,286,0.2,89,0,2049,1.1,4556,2.5,20695,11.4,8647,4.8,12048,6.6,3926,2.2,2524,1.4,4556,2.5,261,0.1,398,0.2,10379,5.7,1564,0.9,1835,1,2881,1.6,4505,2.5,0,0,7406,4.1,37158,20.5,122108,67.3
State,Uttaranchal,279,3.1,202,2.2,30,0.3,133,1.5,0,0,133,1.5,203,2.2,125,1.4,78,0.9,48,0.5,0,0,159,1.7,521,5.7,1630,17.9,533,5.8,1097,12,433,4.7,144,1.6,396,4.3,22,0.2,24,0.3,745,8.2,63,0.7,100,1.1,89,1,272,3,0,0,462,5.1,2078,22.8,8033,88.1
State,West Bengal,1453,1.7,434,0.5,408,0.5,1686,2,0,0,1686,2,1207,1.4,1039,1.2,168,0.2,211,0.2,1221,1.4,426,0.5,739,0.9,12124,14.3,2435,2.9,9689,11.4,2635,3.1,528,0.6,1760,2.1,107,0.1,92,0.1,4125,4.8,446,0.5,1572,1.8,54,0.1,6936,8.2,61,0.1,2737,3.2,25444,29.9,66406,78.1
State,Total (States),32200,3,27515,2.5,3499,0.3,17651,1.6,7,0,17644,1.6,21163,2,14584,1.3,6579,0.6,5106,0.5,2675,0.2,17140,1.6,87593,8.1,253094,23.3,75983,7,177111,16.3,55925,5.2,13103,1.2,51019,4.7,2336,0.2,8386,0.8,268001,24.7,6665,0.6,33305,3.1,9723,0.9,56901,5.2,148,0,70787,6.5,713493,65.8,1757428,162.1
Union Territory,A & N Islands,14,3.6,3,0.8,3,0.8,4,1,0,0,4,1,2,0.5,1,0.3,1,0.3,0,0,0,0,4,1,68,17.5,92,23.7,6,1.5,86,22.2,4,1,8,2.1,13,3.4,0,0,6,1.5,79,20.4,0,0,11,2.8,1,0.3,5,1.3,0,0,3,0.8,362,93.3,682,175.8
Union Territory,Chandigarh,18,1.8,15,1.5,4,0.4,33,3.3,0,0,33,3.3,54,5.4,45,4.5,9,0.9,0,0,2,0.2,12,1.2,223,22.3,1373,137.6,579,58,794,79.6,43,4.3,41,4.1,161,16.1,0,0,1,0.1,57,5.7,3,0.3,31,3.1,9,0.9,75,7.5,0,0,9,0.9,969,97.1,3133,313.9
Union Territory,D & N Haveli,7,2.9,5,2,0,0,5,2,0,0,5,2,13,5.3,9,3.7,4,1.6,3,1.2,0,0,2,0.8,25,10.2,74,30.3,17,7,57,23.4,18,7.4,12,4.9,10,4.1,4,1.6,1,0.4,33,13.5,0,0,5,2,0,0,5,2,0,0,17,7,195,79.9,434,177.9
Union Territory,Daman & Diu,5,2.9,2,1.1,0,0,2,1.1,0,0,2,1.1,4,2.3,2,1.1,2,1.1,4,2.3,0,0,0,0,37,21.1,50,28.6,27,15.4,23,13.1,19,10.9,6,3.4,3,1.7,7,4,1,0.6,16,9.1,1,0.6,1,0.6,0,0,3,1.7,0,0,24,13.7,58,33.1,243,138.9
Union Territory,Delhi,455,2.9,467,3,64,0.4,658,4.2,0,0,658,4.2,1590,10.1,1106,7,484,3.1,27,0.2,157,1,510,3.2,2093,13.3,17955,114.1,8862,56.3,9093,57.8,61,0.4,394,2.5,2378,15.1,36,0.2,47,0.3,1814,11.5,114,0.7,762,4.8,225,1.4,1324,8.4,1,0,634,4,24299,154.3,56065,356.1
Union Territory,Lakshadweep,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,7,10.8,0,0,7,10.8,6,9.2,0,0,0,0,0,0,0,0,4,6.2,0,0,0,0,0,0,0,0,0,0,0,0,22,33.8,42,64.6
Union Territory,Pondicherry,19,1.8,24,2.3,8,0.8,6,0.6,0,0,6,0.6,6,0.6,3,0.3,3,0.3,1,0.1,0,0,5,0.5,67,6.5,466,45.2,235,22.8,231,22.4,159,15.4,8,0.8,41,4,0,0,9,0.9,857,83,4,0.4,60,5.8,26,2.5,6,0.6,0,0,224,21.7,2579,249.9,4575,443.3
Union Territory,Total (UTs),519,2.8,516,2.8,79,0.4,708,3.8,0,0,708,3.8,1669,9,1166,6.3,503,2.7,35,0.2,159,0.9,533,2.9,2515,13.5,20017,107.4,9726,52.2,10291,55.2,310,1.7,469,2.5,2606,14,47,0.3,65,0.3,2860,15.3,122,0.7,870,4.7,261,1.4,1418,7.6,1,0,911,4.9,28484,152.8,65174,349.6
Total (All-India),Total (All-India),32719,3,28031,2.5,3578,0.3,18359,1.7,7,0,18352,1.7,22832,2.1,15750,1.4,7082,0.6,5141,0.5,2834,0.3,17673,1.6,90108,8.2,273111,24.8,85709,7.8,187402,17,56235,5.1,13572,1.2,53625,4.9,2383,0.2,8451,0.8,270861,24.6,6787,0.6,34175,3.1,9984,0.9,58319,5.3,149,0,71698,6.5,741977,67.3,1822602,165.3
City,Agra,59,4.5,49,3.7,14,1.1,20,1.5,0,0,20,1.5,88,6.7,66,5,22,1.7,11,0.8,2,0.2,45,3.4,127,9.6,994,75.2,699,52.9,295,22.3,109,8.3,71,5.4,126,9.5,4,0.3,5,0.4,223,16.9,15,1.1,46,3.5,146,11.1,190,14.4,0,0,171,12.9,733,55.5,3248,245.9
City,Ahmedabad,76,1.7,49,1.1,4,0.1,35,0.8,0,0,35,0.8,219,4.8,136,3,83,1.8,23,0.5,3,0.1,159,3.5,825,18.3,5359,118.6,2264,50.1,3095,68.5,150,3.3,267,5.9,344,7.6,9,0.2,6,0.1,1361,30.1,1,0,54,1.2,26,0.6,745,16.5,0,0,188,4.2,7565,167.4,17468,386.5
City,Allahabad,60,5.7,47,4.5,11,1,5,0.5,0,0,5,0.5,22,2.1,15,1.4,7,0.7,2,0.2,0,0,15,1.4,100,9.5,311,29.6,195,18.6,116,11,49,4.7,26,2.5,78,7.4,6,0.6,12,1.1,34,3.2,8,0.8,4,0.4,19,1.8,38,3.6,0,0,73,7,644,61.3,1564,149
City,Amritsar,34,3.4,26,2.6,3,0.3,4,0.4,0,0,4,0.4,18,1.8,12,1.2,6,0.6,0,0,7,0.7,2,0.2,72,7.1,101,10,46,4.5,55,5.4,0,0,15,1.5,120,11.9,5,0.5,0,0,96,9.5,2,0.2,6,0.6,3,0.3,34,3.4,0,0,58,5.7,325,32.1,931,92.1
City,Asansol,27,2.5,2,0.2,2,0.2,9,0.8,0,0,9,0.8,14,1.3,14,1.3,0,0,3,0.3,23,2.1,7,0.6,15,1.4,158,14.5,93,8.5,65,6,69,6.3,14,1.3,13,1.2,3,0.3,1,0.1,40,3.7,4,0.4,10,0.9,0,0,340,31.2,0,0,105,9.6,358,32.8,1217,111.5
City,Bangalore,242,4.3,282,5,5,0.1,38,0.7,0,0,38,0.7,131,2.3,25,0.4,106,1.9,35,0.6,82,1.4,594,10.4,1771,31.1,9617,169.1,3753,66,5864,103.1,377,6.6,172,3,1633,28.7,90,1.6,5,0.1,3474,61.1,39,0.7,167,2.9,39,0.7,287,5,0,0,93,1.6,9869,173.5,29042,510.7
City,Bhopal,54,3.7,52,3.6,0,0,54,3.7,0,0,54,3.7,27,1.9,21,1.4,6,0.4,3,0.2,1,0.1,93,6.4,646,44.4,1309,90,672,46.2,637,43.8,32,2.2,16,1.1,99,6.8,3,0.2,14,1,404,27.8,7,0.5,120,8.2,41,2.8,119,8.2,0,0,137,9.4,4861,334.1,8092,556.2
City,Chennai,123,1.9,175,2.7,4,0.1,43,0.7,0,0,43,0.7,55,0.9,31,0.5,24,0.4,5,0.1,0,0,59,0.9,597,9.3,3063,47.7,594,9.2,2469,38.4,78,1.2,8,0.1,530,8.2,6,0.1,0,0,1124,17.5,30,0.5,82,1.3,102,1.6,236,3.7,0,0,1041,16.2,12766,198.7,20127,313.3
City,Coimbatore,19,1.3,20,1.4,1,0.1,6,0.4,0,0,6,0.4,4,0.3,3,0.2,1,0.1,2,0.1,0,0,31,2.1,153,10.6,896,62,263,18.2,633,43.8,194,13.4,32,2.2,109,7.5,1,0.1,1,0.1,120,8.3,3,0.2,21,1.5,5,0.3,31,2.1,0,0,184,12.7,2012,139.1,3845,265.9
City,Delhi (city),369,2.9,387,3,58,0.5,562,4.4,0,0,562,4.4,1302,10.2,900,7,402,3.1,23,0.2,144,1.1,451,3.5,1826,14.3,16897,132.1,8376,65.5,8521,66.6,52,0.4,357,2.8,2273,17.8,36,0.3,42,0.3,1640,12.8,94,0.7,654,5.1,197,1.5,1287,10.1,1,0,568,4.4,21790,170.4,51010,398.8
City,Dhanbad,30,2.8,18,1.7,7,0.7,24,2.3,0,0,24,2.3,32,3,24,2.3,8,0.8,19,1.8,1,0.1,27,2.5,83,7.8,269,25.3,84,7.9,185,17.4,113,10.6,14,1.3,39,3.7,0,0,0,0,369,34.7,18,1.7,1,0.1,0,0,7,0.7,0,0,0,0,687,64.6,1758,165.2
City,Faridabad,40,3.8,17,1.6,3,0.3,18,1.7,0,0,18,1.7,60,5.7,44,4.2,16,1.5,2,0.2,26,2.5,12,1.1,237,22.5,844,80,716,67.9,128,12.1,77,7.3,82,7.8,32,3,3,0.3,1,0.1,159,15.1,7,0.7,16,1.5,199,18.9,119,11.3,0,0,14,1.3,1185,112.3,3153,298.9
City,Hyderabad,108,2,130,2.3,4,0.1,67,1.2,0,0,67,1.2,137,2.5,70,1.3,67,1.2,8,0.1,3,0.1,125,2.3,1161,21,5022,90.7,2012,36.4,3010,54.4,96,1.7,94,1.7,1880,34,17,0.3,40,0.7,4227,76.4,27,0.5,119,2.2,348,6.3,1309,23.7,0,0,514,9.3,1840,33.2,17276,312.2
City,Indore,71,4.3,94,5.7,6,0.4,71,4.3,0,0,71,4.3,43,2.6,30,1.8,13,0.8,4,0.2,3,0.2,80,4.9,848,51.7,2404,146.7,1436,87.6,968,59.1,76,4.6,72,4.4,127,7.7,5,0.3,24,1.5,986,60.2,19,1.2,133,8.1,49,3,213,13,0,0,227,13.8,7001,427.2,12556,766.1
City,Jabalpur,40,3.6,92,8.2,0,0,49,4.4,0,0,49,4.4,25,2.2,15,1.3,10,0.9,1,0.1,3,0.3,59,5.3,243,21.8,571,51.1,375,33.6,196,17.5,61,5.5,26,2.3,94,8.4,4,0.4,4,0.4,2762,247.3,19,1.7,133,11.9,94,8.4,97,8.7,0,0,205,18.4,1500,134.3,6082,544.5
City,Jaipur,46,2,76,3.3,5,0.2,57,2.5,0,0,57,2.5,149,6.4,123,5.3,26,1.1,0,0,3,0.1,30,1.3,634,27.3,3319,142.8,1743,75,1576,67.8,354,15.2,176,7.6,1460,62.8,19,0.8,9,0.4,871,37.5,16,0.7,121,5.2,1,0,392,16.9,0,0,464,20,3588,154.4,11790,507.3
City,Jamshedpur,55,5,91,8.3,6,0.5,28,2.5,0,0,28,2.5,34,3.1,32,2.9,2,0.2,10,0.9,5,0.5,41,3.7,144,13.1,633,57.4,82,7.4,551,50,65,5.9,58,5.3,109,9.9,3,0.3,9,0.8,60,5.4,8,0.7,21,1.9,0,0,36,3.3,0,0,137,12.4,985,89.4,2538,230.3
City,Kanpur,150,5.6,91,3.4,40,1.5,18,0.7,0,0,18,0.7,107,4,90,3.3,17,0.6,11,0.4,2,0.1,45,1.7,137,5.1,803,29.9,526,19.6,277,10.3,94,3.5,141,5.2,218,8.1,8,0.3,5,0.2,261,9.7,51,1.9,43,1.6,227,8.4,205,7.6,0,0,328,12.2,733,27.2,3718,138.2
City,Kochi,15,1.1,12,0.9,11,0.8,7,0.5,0,0,7,0.5,6,0.4,1,0.1,5,0.4,10,0.7,0,0,40,3,214,15.8,447,33,155,11.4,292,21.5,169,12.5,12,0.9,248,18.3,1,0.1,5,0.4,521,38.5,2,0.1,33,2.4,12,0.9,66,4.9,0,0,0,0,4099,302.5,5930,437.6
City,Kolkata,43,0.3,73,0.6,16,0.1,13,0.1,0,0,13,0.1,82,0.6,66,0.5,16,0.1,17,0.1,59,0.4,55,0.4,130,1,2639,20,548,4.1,2091,15.8,183,1.4,215,1.6,935,7.1,11,0.1,0,0,1032,7.8,6,0,148,1.1,35,0.3,236,1.8,0,0,486,3.7,2977,22.5,9391,71.1
City,Lucknow,129,5.7,114,5,24,1.1,28,1.2,0,0,28,1.2,111,4.9,103,4.5,8,0.4,3,0.1,3,0.1,58,2.6,350,15.4,1815,80.1,973,42.9,842,37.1,196,8.6,199,8.8,389,17.2,43,1.9,0,0,48,2.1,22,1,36,1.6,144,6.4,247,10.9,0,0,180,7.9,2008,88.6,6147,271.2
City,Ludhiana,56,4,52,3.7,14,1,39,2.8,0,0,39,2.8,49,3.5,36,2.6,13,0.9,0,0,15,1.1,5,0.4,192,13.8,358,25.7,191,13.7,167,12,0,0,30,2.2,316,22.7,6,0.4,5,0.4,196,14.1,5,0.4,25,1.8,25,1.8,84,6,0,0,216,15.5,853,61.1,2541,182.2
City,Madurai,21,1.8,40,3.3,0,0,5,0.4,0,0,5,0.4,30,2.5,23,1.9,7,0.6,1,0.1,0,0,24,2,101,8.5,430,36,97,8.1,333,27.9,126,10.5,5,0.4,222,18.6,5,0.4,1,0.1,92,7.7,3,0.3,28,2.3,29,2.4,43,3.6,0,0,112,9.4,2066,172.9,3384,283.2
City,Meerut,81,6.9,84,7.2,9,0.8,12,1,0,0,12,1,60,5.1,35,3,25,2.1,9,0.8,1,0.1,44,3.8,136,11.7,718,61.5,444,38,274,23.5,64,5.5,66,5.7,111,9.5,6,0.5,0,0,19,1.6,11,0.9,28,2.4,76,6.5,191,16.4,0,0,121,10.4,592,50.7,2439,209
City,Mumbai,212,1.3,136,0.8,8,0,201,1.2,0,0,201,1.2,198,1.2,122,0.7,76,0.5,47,0.3,57,0.3,362,2.2,3175,19.4,11903,72.7,3494,21.3,8409,51.4,261,1.6,536,3.3,1664,10.2,169,1,10,0.1,3731,22.8,9,0.1,385,2.4,99,0.6,336,2.1,0,0,658,4,7275,44.4,31432,192
City,Nagpur,106,5,68,3.2,3,0.1,52,2.4,0,0,52,2.4,57,2.7,48,2.3,9,0.4,16,0.8,32,1.5,184,8.7,1236,58.2,2733,128.7,939,44.2,1794,84.5,246,11.6,59,2.8,272,12.8,15,0.7,26,1.2,973,45.8,4,0.2,76,3.6,52,2.4,185,8.7,0,0,249,11.7,2961,139.5,9605,452.4
City,Nasik,28,2.4,17,1.5,2,0.2,21,1.8,0,0,21,1.8,16,1.4,13,1.1,3,0.3,4,0.3,6,0.5,19,1.6,387,33.6,836,72.6,365,31.7,471,40.9,97,8.4,15,1.3,168,14.6,9,0.8,5,0.4,231,20.1,0,0,35,3,13,1.1,121,10.5,0,0,160,13.9,586,50.9,2776,241
