Category,States/ UTs/ Cities,"No. of Vehicles Motor Cycles, Scooters - Stolen","No. of Vehicles Motor Cycles, Scooters - Recovered","No. of Vehicles Motor Cycles, Scooters - Coordinated",No. of Vehicles Motor Car / Taxi / Jeep - Stolen,No. of Vehicles Motor Car / Taxi / Jeep - Recovered,No. of Vehicles Motor Car / Taxi / Jeep - Coordinated,No. of Vehicles Buses - Stolen,No. of Vehicles Buses - Recovered,No. of Vehicles Buses - Coordinated,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - Stolen,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - Recovered,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - Coordinated,No. of Vehicles Other Motor Vehicles - Stolen,No. of Vehicles Other Motor Vehicles - Recovered,No. of Vehicles Other Motor Vehicles - Coordinated,No. of Vehicles Total Motor Vehicles - Stolen,No. of Vehicles Total Motor Vehicles - Recovered,No. of Vehicles Total Motor Vehicles - Coordinated
City,Kolkata,398,37,25,138,39,34,0,0,0,12,5,4,0,0,0,548,81,63
City,Lucknow,775,118,0,192,28,0,0,0,0,0,0,0,0,0,0,967,146,0
City,Ludhiana,117,44,44,91,22,22,1,1,1,8,5,5,12,8,8,229,80,80
City,Madurai,91,33,11,4,3,0,0,0,0,0,0,0,2,1,0,97,37,11
City,Meerut,319,49,13,98,9,7,0,0,0,6,2,0,21,6,0,444,66,20
City,Mumbai,2207,378,21,1226,189,17,7,5,2,17,7,2,66,6,14,3523,585,56
City,Nagpur,849,276,0,56,10,0,0,0,0,13,6,0,25,14,0,943,306,0
City,Nasik,316,73,0,39,5,0,0,0,0,4,0,0,6,2,0,365,80,0
City,Patna,889,23,0,12,3,0,0,0,0,0,0,0,14,1,0,915,27,0
City,Pune,1918,389,38,166,21,7,2,2,0,10,3,2,69,22,1,2165,437,48
City,Rajkot,516,149,55,13,7,3,0,0,0,0,0,0,0,0,0,529,156,58
City,Surat,1004,324,0,48,13,0,0,0,0,0,0,0,88,29,0,1140,366,0
City,Vadodara,607,108,108,42,6,6,0,0,0,9,5,5,31,5,5,689,124,124
City,Varanasi,153,16,0,12,1,0,0,0,0,0,0,0,0,0,0,165,17,0
City,Vijayawada,350,119,0,59,12,0,0,0,0,0,0,0,10,8,0,419,139,0
City,Vishakhapatnam,267,91,0,3,1,0,0,0,0,0,0,0,28,19,0,298,111,0
City,Total (cities),28459,6396,1005,7330,1656,226,89,51,3,361,116,39,1463,751,75,37702,8970,1348
