Category,States/ UTs,Pending Investigation from Previous Year,Cases Regd. during the Year,Total Cases for Investigation,Cases Investigated,Cases not Investigated or Investigation Dropped,Cases Transferred to Local Police,Cases Declared False Etc. during Year,Cases Chargesheeted,Cases Pending for Dept. Sanction for Prosecution,Cases Sent Up for Trial and also Reported for Dept. Action,Cases Reported for Regular Departmental Action,Cases Reported for Suitable Action,Cases in which Chargesheets not Laid but Final Report Submitted,Cases Pending Investigation at the end of Year,Cases Resulted in Recovery or Seizure,Value of Property Recovered / Seized (in Rs.'000),Percentage of Cases Charge Sheeted to Total Cases Investigated,Cases Pending Trial from the Previous Year,Cases Sent Up for Trial during the Year,Total Cases for Trial,Cases Withdrawn/ Discharged or other wise Disposed of,Trials Completed during the Year,Cases Convicted,Cases Acquitted or Discharged,Pending Trial at the end of the Year,Percentage of Cases Convicted to Trials Completed,Total Amt. of Fine Imposed during the Year (in Rs.'000)
State,Orissa,410,291,701,701,0,1,0,182,48,91,69,6,53,342,114,14469.4,26,2152,182,2334,4,67,19,48,2263,28.4,20
State,Punjab,476,449,925,444,102,2,8,340,166,176,0,21,68,522,346,1317.2,76.6,994,340,1334,32,189,80,109,1113,42.3,739
State,Rajasthan,1051,311,1362,1362,0,0,0,242,247,0,103,0,114,1006,197,603.4,17.8,1031,242,1273,0,116,39,77,1157,33.6,892.5
State,Sikkim,29,16,45,45,0,0,0,7,1,0,2,0,5,33,0,0,15.6,22,7,29,1,3,3,0,25,100,7
State,Tamil Nadu,264,128,392,392,0,0,0,19,54,53,21,3,54,262,0,2005.4,4.8,134,19,153,0,5,5,0,148,100,28
State,Tripura,4,1,5,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,2,0,0
State,Uttar Pradesh,56,41,97,97,0,0,0,34,34,8,4,0,6,74,0,0,35.1,296,37,333,0,13,4,9,320,30.8,0
State,Uttaranchal,12,8,20,2,0,0,0,2,0,0,0,0,0,18,1,116.8,100,13,2,15,0,0,0,0,15,0,0
State,West Bengal,25,0,25,25,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,25,0,0,0,0,25,0,0
State,Total (States),4911,2935,7846,6666,110,7,39,2101,1111,533,254,58,653,4846,1344,83923.9,31.5,12285,2111,14396,74,2005,633,1372,12317,31.6,8022.3
Union Territory,A & N Islands,10,2,12,3,0,0,2,1,3,1,0,0,2,9,0,0,33.3,3,1,4,0,0,0,0,4,0,0
Union Territory,Chandigarh,15,7,22,22,0,0,0,4,0,0,0,0,0,18,0,0,18.2,15,4,19,0,1,0,1,18,0,0
Union Territory,D & N Haveli,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,100,2,1,3,0,0,0,0,3,0,0
Union Territory,Daman & Diu,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,144,61,205,53,2,0,1,50,21,17,64,0,3,155,46,156.5,94.3,347,50,397,5,42,18,24,350,42.9,198.5
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,8,3,11,11,1,0,1,5,0,0,0,0,1,5,0,0,45.5,6,5,11,0,0,0,0,11,0,0
Union Territory,Total (UTs),179,73,252,90,3,0,4,61,24,18,64,0,6,188,46,156.5,67.8,373,61,434,5,43,18,25,386,41.9,198.5
Total (All-India),Total (All-India),5090,3008,8098,6756,113,7,43,2162,1135,551,318,58,659,5034,1390,84080.4,32,12658,2172,14830,79,2048,651,1397,12703,31.8,8220.8
