Category,States/UTs,Estimated Mid Year Population (In Lakhs)#,Murder - I,Murder - R,Murder - P,Rape - I,Rape - R,Rape - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Dacoity - I,Dacoity - R,Dacoity - P,Robbery - I,Robbery - R,Robbery - P,Arson - I,Arson - R,Arson - P,Hurt - I,Hurt - R,Hurt - P,Prot.of Civil Rights Act - I,Prot.of Civil Rights Act - R,Prot.of Civil Rights Act - P,SC/ST Prev.of Attrocities Act - I,SC/ST Prev.of Attrocities Act - R,SC/ST Prev.of Attrocities Act - P,Other Offences - I,Other Offences - R,Other Offences - P,Total - I,Total - R,Total - P
State,Total (States),10841.46,164,0,100,639,0.1,99.8,72,0,100,27,0,100,49,0,100,38,0,100,767,0.1,100,162,0,100,1282,0.1,99.9,2508,0.2,99.9,5708,0.5,99.9
Union Territory,A & N Islands,3.9,0,0,0,1,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,2,0.5,0
Union Territory,Chandigarh,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8,0.1,2,0.8,0
Union Territory,Daman & Diu,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,157.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,1,0,0
Union Territory,Lakshadweep,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),186.45,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,3,0,0.1,5,0,0.1
Total (All-India),Total (All-India),11027.91,164,0,100,640,0.1,100,72,0,100,27,0,100,49,0,100,38,0,100,767,0.1,100,162,0,100,1283,0.1,100,2511,0.2,100,5713,0.5,100
