Category,States/UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Train - Number,Railways Running Train - Value,Others in Railways - Number,Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
City,Bangalore,6,9.9,5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,24,134.8,35,151.2
City,Bhopal,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.9,3,4.3
City,Chennai,3,18.8,1,111.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,130.4
City,Coimbatore,2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.8
City,Delhi (city),12,111.8,0,0,0,0,0,0,0,0,0,0,1,5.3,6,10.6,4,5.2,23,132.8
City,Dhanbad,12,5.6,3,2.2,0,0,0,0,0,0,0,0,1,1,0,0,3,4.3,19,13.1
City,Faridabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,1,0.1,2,55.1
City,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9,7,49.9,8,51.9
City,Indore,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5
City,Jabalpur,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2
City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Jamshedpur,3,1.1,3,1,0,0,0,0,0,0,0,0,0,0,1,0.1,3,1,10,3.2
City,Kanpur,7,5.2,3,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,90.2
City,Kochi,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3,6,11.5,10,12
City,Kolkata,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,4,18.1,12,27.1,17,45.4
City,Lucknow,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
City,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
City,Meerut,8,10,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,9,15
City,Mumbai,1,29.7,2,0.7,0,0,0,0,0,0,0,0,2,11.9,6,151.4,36,53.1,47,246.8
City,Nagpur,8,7.9,0,0,0,0,0,0,0,0,0,0,0,0,3,3.2,5,5,16,16.1
City,Nasik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.5,4,2.5
City,Patna,24,71.3,8,2.1,0,0,0,0,0,0,0,0,0,0,6,1.7,36,66.5,74,141.6
City,Pune,2,0.1,1,1.1,0,0,0,0,0,0,0,0,2,5.4,2,0.6,20,15,27,22.3
City,Rajkot,2,0.7,1,0.1,0,0,0,0,0,0,0,0,0,0,1,4,3,9.8,7,14.5
City,Surat,9,12.6,1,1.2,0,0,0,0,0,0,0,0,0,0,2,15.4,10,54.5,22,83.7
City,Vadodara,4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,1,0.2,6,1
City,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Vijayawada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,3,0.3
City,Vishakhapatnam,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,6,3.1
