Category,States/UTs/Cities,Incest (Rape)--No. of Cases Reported,Incest (Rape)- - No. of Victims Upto 10 Years,Incest (Rape)- No. of Victims 10 - 14 Years,Incest (Rape)- No. of Victims 14 - 18 Years,Incest (Rape)- No. of Victims 18 - 30 Years,Incest (Rape)- No. of Victims 30 - 50 Years,Incest (Rape)- No. of Victims Above 50 Years,Incest (Rape)- No. of Victims - Total,Other (Rape)- No. of Cases Reported,Other (Rape)- No. of Victims Upto 10 Years,Other (Rape)- No. of Victims 10 - 14 Years,Other (Rape)- No. of Victims 14 - 18 Years,Other (Rape)- No. of Victims 18 - 30 Years,Other (Rape)- No. of Victims 30 - 50 Years,Other (Rape)- No. of Victims Above 50 Years,Other (Rape)- No. of Victims - Total,Total Rape - - No. of Cases Reported,Total Rape - No. of Victims Upto 10 Years,Total Rape - No. of Victims 10 - 14 Years,Total Rape - No. of Victims 14 - 18 Years,Total Rape - No. of Victims 18 - 30 Years,Total Rape - No. of Victims 30 - 50 Years,Total Rape - No. of Victims Above 50 Years,Total Rape - No. of Victims - Grand Total
State,Sikkim,1,0,1,0,0,0,0,1,17,4,4,7,2,2,0,19,18,4,5,7,2,2,0,20
State,Tamil Nadu,11,1,0,0,8,2,0,11,560,28,28,58,388,58,0,560,571,29,28,58,396,60,0,571
State,Tripura,0,0,0,0,0,0,0,0,162,3,13,4,129,13,0,162,162,3,13,4,129,13,0,162
State,Uttar Pradesh,70,0,0,18,52,0,0,70,1147,44,103,229,604,162,5,1147,1217,44,103,247,656,162,5,1217
State,Uttaranchal,3,0,0,0,2,1,0,3,130,3,3,12,93,19,0,130,133,3,3,12,95,20,0,133
State,West Bengal,36,0,0,0,31,5,0,36,1650,3,0,3,1420,223,1,1650,1686,3,0,3,1451,228,1,1686
State,Total (States),717,25,55,153,355,126,3,717,16934,464,994,2122,10035,3222,106,16943,17651,489,1049,2275,10390,3348,109,17660
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,4,4,0,0,2,2,0,0,4
Union Territory,Chandigarh,1,0,0,1,0,0,0,1,32,7,4,9,5,7,0,32,33,7,4,10,5,7,0,33
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,5
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,2,2,0,1,0,0,1,0,2
Union Territory,Delhi,32,11,9,10,2,0,0,32,626,49,111,45,402,25,2,634,658,60,120,55,404,25,2,666
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,6,1,0,2,3,0,0,6,6,1,0,2,3,0,0,6
Union Territory,Total (UTs),33,11,9,11,2,0,0,33,675,57,116,58,417,33,2,683,708,68,125,69,419,33,2,716
Total (All-India),Total (All-India),750,36,64,164,357,126,3,750,17609,521,1110,2180,10452,3255,108,17626,18359,557,1174,2344,10809,3381,111,18376
City,Agra,0,0,0,0,0,0,0,0,20,0,0,4,12,4,0,20,20,0,0,4,12,4,0,20
City,Ahmedabad,8,2,2,2,2,0,0,8,27,2,4,2,17,2,0,27,35,4,6,4,19,2,0,35
City,Allahabad,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,5
City,Amritsar,1,0,0,0,1,0,0,1,3,0,1,1,1,0,0,3,4,0,1,1,2,0,0,4
City,Asansol,0,0,0,0,0,0,0,0,9,0,0,0,6,3,0,9,9,0,0,0,6,3,0,9
City,Bangalore,5,0,0,0,3,2,0,5,33,0,0,0,7,26,0,33,38,0,0,0,10,28,0,38
City,Bhopal,3,1,0,1,1,0,0,3,51,6,4,20,15,6,0,51,54,7,4,21,16,6,0,54
City,Chennai,2,1,0,0,1,0,0,2,41,8,4,14,14,1,0,41,43,9,4,14,15,1,0,43
City,Coimbatore,0,0,0,0,0,0,0,0,6,1,1,3,1,0,0,6,6,1,1,3,1,0,0,6
City,Delhi (city),29,9,9,10,1,0,0,29,533,39,101,32,343,20,2,537,562,48,110,42,344,20,2,566
City,Dhanbad,1,0,0,0,1,0,0,1,23,1,2,5,13,2,0,23,24,1,2,5,14,2,0,24
City,Faridabad,1,0,0,1,0,0,0,1,17,2,2,3,7,3,0,17,18,2,2,4,7,3,0,18
City,Hyderabad,6,2,4,0,0,0,0,6,61,0,0,0,38,20,3,61,67,2,4,0,38,20,3,67
City,Indore,0,0,0,0,0,0,0,0,71,0,2,6,39,24,0,71,71,0,2,6,39,24,0,71
City,Jabalpur,0,0,0,0,0,0,0,0,49,0,0,0,37,12,0,49,49,0,0,0,37,12,0,49
City,Jaipur,2,0,1,1,0,0,0,2,55,2,4,9,24,16,0,55,57,2,5,10,24,16,0,57
City,Jamshedpur,1,0,0,0,1,0,0,1,27,0,0,0,24,3,0,27,28,0,0,0,25,3,0,28
City,Kanpur,1,0,0,1,0,0,0,1,17,0,2,3,10,2,0,17,18,0,2,4,10,2,0,18
City,Kochi,0,0,0,0,0,0,0,0,7,0,1,1,3,2,0,7,7,0,1,1,3,2,0,7
City,Kolkata,0,0,0,0,0,0,0,0,13,3,0,3,6,1,0,13,13,3,0,3,6,1,0,13
City,Lucknow,6,0,0,1,4,1,0,6,22,0,0,2,16,4,0,22,28,0,0,3,20,5,0,28
City,Ludhiana,0,0,0,0,0,0,0,0,39,7,5,16,11,0,0,39,39,7,5,16,11,0,0,39
City,Madurai,0,0,0,0,0,0,0,0,5,1,0,2,1,1,0,5,5,1,0,2,1,1,0,5
City,Meerut,0,0,0,0,0,0,0,0,12,1,2,0,9,0,0,12,12,1,2,0,9,0,0,12
City,Mumbai,5,0,0,3,1,1,0,5,196,9,11,55,109,12,0,196,201,9,11,58,110,13,0,201
City,Nagpur,4,0,1,3,0,0,0,4,48,8,6,16,12,6,0,48,52,8,7,19,12,6,0,52
City,Nasik,2,0,1,0,1,0,0,2,19,0,2,0,13,4,0,19,21,0,3,0,14,4,0,21
City,Patna,0,0,0,0,0,0,0,0,27,0,0,0,27,0,0,27,27,0,0,0,27,0,0,27
City,Pune,2,0,1,1,0,0,0,2,77,8,12,25,28,4,0,77,79,8,13,26,28,4,0,79
City,Rajkot,1,0,0,0,1,0,0,1,6,1,2,1,2,0,0,6,7,1,2,1,3,0,0,7
City,Surat,0,0,0,0,0,0,0,0,23,2,4,3,13,1,0,23,23,2,4,3,13,1,0,23
City,Vadodara,1,0,0,0,1,0,0,1,4,1,1,0,0,2,0,4,5,1,1,0,1,2,0,5
City,Varanasi,0,0,0,0,0,0,0,0,6,0,0,2,4,0,0,6,6,0,0,2,4,0,0,6
City,Vijayawada,0,0,0,0,0,0,0,0,32,0,1,1,17,13,0,32,32,0,1,1,17,13,0,32
City,Vishakhapatnam,0,0,0,0,0,0,0,0,28,2,4,4,16,1,1,28,28,2,4,4,16,1,1,28
City,Total (Cities),81,15,19,24,19,4,0,81,1612,104,178,233,900,195,6,1616,1693,119,197,257,919,199,6,1697
