Category,States/ UTs/ Cities,Arms Act - Incidence,Arms Act - Rate of Crime,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate of Crime,Gambling Act - Incidence,Gambling Act - Rate of Crime,Excise Act - Incidence,Excise Act - Rate of Crime,Prohibition Act - Incidence,Prohibition Act - Rate of Crime,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate of Crime,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate of Crime,Railways Act - Incidence,Railways Act - Rate of Crime,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate of Crime,Protection of Civil Rights Act (Total) - Incidence,Protection of Civil Rights Act (Total) - Rate of Crime,PCR Act for SCs - Incidence,PCR Act for SCs - Rate of Crime,PCR Act for STs - Incidence,PCR Act for STs - Rate of Crime,Indian Passport Act - Incidence,Indian Passport Act - Rate of Crime,Essential Commodities Act - Incidence,Essential Commodities Act - Rate of Crime,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate of Crime,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate of Crime,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate of Crime,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate of Crime,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate of Crime,Copyright Act - Incidence,Copyright Act - Rate of Crime,Sati Prevention Act - Incidence,Sati Prevention Act - Rate of Crime,SC/ST (Prev.) of Atrocities) Act (Total) - Incidence,SC/ST (Prev.) of Atrocities) Act (Total) - Rate of Crime,SC/ST (Prev) of Attrocities Act for SCs - Incidence,SC/ST (Prev) of Attrocities Act for SCs - Rate of Crime,SC/ST (Prev) of Attrocities Act for STs - Incidence,SC/ST (Prev) of Attrocities Act for STs - Rate of Crime,Forest Act - Incidence,Forest Act - Rate of Crime,Other SLL Crimes - Incidence,Other SLL Crimes - Rate of Crime,Total Cognizable Crimes under SLL - Incidence,Total Cognizable Crimes under SLL - Rate of Crime
Union Territory,A & N Islands,0,0,3,0.8,13,3.4,6530,1683,30,7.7,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,138.4,7114,1833.5
Union Territory,Chandigarh,21,2.1,164,16.4,313,31.4,224,22.4,0,0,4,0.4,9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,8,0.8,0,0,0,0,0,0,0,0,0,0,13,1.3,0,0,0,0,0,0,0,0,0,0,47,4.7,803,80.5
Union Territory,D & N Haveli,1,0.4,0,0,3,1.2,16,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,25,10.2
Union Territory,Daman & Diu,1,0.6,2,1.1,1,0.6,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.9
Union Territory,Delhi,8172,51.9,1410,9,1481,9.4,14584,92.6,0,0,60,0.4,151,1,1,0,8,0.1,1,0,1,0,0,0,34,0.2,51,0.3,0,0,0,0,9,0.1,0,0,1,0,202,1.3,0,0,21,0.1,20,0.1,1,0,8,0.1,379,2.4,26573,168.8
Union Territory,Lakshadweep,0,0,2,3.1,0,0,0,0,4,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,7,10.8
Union Territory,Pondicherry,93,9,2,0.2,41,4,0,0,0,0,0,0,5,0.5,0,0,0,0,12,1.2,12,1.2,0,0,0,0,32,3.1,0,0,0,0,17,1.6,0,0,0,0,22,2.1,0,0,2,0.2,2,0.2,0,0,0,0,993,96.2,1219,118.1
Union Territory,Total (UTs),8288,44.5,1583,8.5,1852,9.9,21354,114.5,34,0.2,65,0.3,166,0.9,1,0,8,0,13,0.1,13,0.1,0,0,34,0.2,91,0.5,0,0,0,0,26,0.1,0,0,1,0,242,1.3,0,0,23,0.1,22,0.1,1,0,8,0,1957,10.5,35746,191.7
Total (All-India),Total (All-India),74270,6.7,29421,2.7,189523,17.2,150604,13.7,326190,29.6,4254,0.4,5908,0.5,224,0,1951,0.2,453,0,291,0,162,0,1120,0.1,7216,0.7,54,0,68,0,3204,0.3,122,0,2917,0.3,6846,0.6,1,0,9780,0.9,8497,0.8,1283,0.1,4168,0.4,2385441,216.3,3203735,290.5
City,Agra,397,30.1,340,25.7,117,8.9,52,3.9,0,0,1,0.1,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,16,1.2,0,0,15,1.1,15,1.1,0,0,5,0.4,18517,1401.7,19468,1473.7
City,Ahmedabad,54,1.2,17,0.4,1100,24.3,0,0,6512,144.1,33,0.7,7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,49,1.1,0,0,0,0,0,0,2,0,0,0,106,2.3,0,0,42,0.9,41,0.9,1,0,0,0,3039,67.2,10961,242.6
City,Allahabad,352,33.5,135,12.9,52,5,179,17,0,0,224,21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,0,0,0,0,13,1.2,0,0,0,0,15,1.4,0,0,7,0.7,7,0.7,0,0,3,0.3,15275,1454.8,16259,1548.5
City,Amritsar,27,2.7,135,13.4,131,13,662,65.5,0,0,0,0,5,0.5,0,0,0,0,1,0.1,1,0.1,0,0,2,0.2,5,0.5,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,19,1.9,1007,99.6
City,Asansol,10,0.9,0,0,4,0.4,1,0.1,0,0,1,0.1,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,4,0.4,0,0,0,0,0,0,0,0,0,0,8,0.7,0,0,0,0,0,0,0,0,0,0,39,3.6,69,6.3
City,Bangalore,10,0.2,46,0.8,306,5.4,525,9.2,0,0,12,0.2,654,11.5,0,0,6,0.1,11,0.2,11,0.2,0,0,9,0.2,40,0.7,0,0,0,0,239,4.2,1,0,0,0,232,4.1,0,0,110,1.9,110,1.9,0,0,3,0.1,936,16.5,3140,55.2
City,Bhopal,1301,89.4,38,2.6,2328,160,898,61.7,0,0,3,0.2,2,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,7,0.5,0,0,0,0,0,0,1,0.1,0,0,16,1.1,0,0,31,2.1,30,2.1,1,0.1,0,0,43,3,4669,320.9
City,Chennai,7,0.1,210,3.3,2663,41.4,2,0,1550,24.1,3,0,284,4.4,0,0,2,0,0,0,0,0,0,0,218,3.4,8,0.1,0,0,2,0,5,0.1,0,0,2,0,172,2.7,0,0,8,0.1,8,0.1,0,0,0,0,100164,1559,105300,1638.9
City,Coimbatore,2,0.1,198,13.7,594,41.1,0,0,66,4.6,0,0,260,18,0,0,3,0.2,0,0,0,0,0,0,5,0.3,10,0.7,0,0,0,0,0,0,0,0,2,0.1,53,3.7,0,0,9,0.6,9,0.6,0,0,0,0,2694,186.3,3896,269.4
City,Delhi (city),7796,60.9,1387,10.8,1453,11.4,13301,104,0,0,59,0.5,147,1.1,1,0,7,0.1,1,0,1,0,0,0,34,0.3,42,0.3,0,0,0,0,7,0.1,0,0,1,0,191,1.5,0,0,18,0.1,18,0.1,0,0,8,0.1,358,2.8,24811,194
City,Dhanbad,13,1.2,9,0.8,24,2.3,41,3.9,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,18,1.7,0,0,0,0,0,0,0,0,2,0.2,2,0.2,0,0,0,0,31,2.9,141,13.3
City,Faridabad,133,12.6,11,1,505,47.9,849,80.5,0,0,0,0,5,0.5,0,0,6,0.6,0,0,0,0,0,0,0,0,21,2,0,0,0,0,2,0.2,0,0,0,0,6,0.6,0,0,12,1.1,12,1.1,0,0,0,0,71,6.7,1621,153.6
City,Hyderabad,81,1.5,15,0.3,325,5.9,25,0.5,211,3.8,7,0.1,56,1,0,0,1,0,0,0,0,0,0,0,149,2.7,1,0,0,0,7,0.1,0,0,1,0,61,1.1,109,2,0,0,78,1.4,75,1.4,3,0.1,0,0,114569,2070.3,115696,2090.6
City,Indore,869,53,20,1.2,1472,89.8,785,47.9,0,0,2,0.1,6,0.4,0,0,1,0.1,0,0,0,0,0,0,0,0,13,0.8,0,0,0,0,1,0.1,0,0,0,0,21,1.3,0,0,0,0,0,0,0,0,0,0,53,3.2,3243,197.9
City,Jabalpur,1024,91.7,51,4.6,2083,186.5,1164,104.2,0,0,43,3.8,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,5,0.4,0,0,0,0,8,0.7,0,0,45,4,28,2.5,17,1.5,0,0,40000,3581,44427,3977.4
City,Jaipur,471,20.3,46,2,944,40.6,724,31.2,0,0,3,0.1,33,1.4,0,0,1,0,0,0,0,0,0,0,1,0,26,1.1,0,0,0,0,0,0,0,0,39,1.7,106,4.6,0,0,134,5.8,100,4.3,34,1.5,0,0,400,17.2,2928,126
City,Jamshedpur,25,2.3,14,1.3,37,3.4,89,8.1,0,0,17,1.5,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,8,0.7,0,0,0,0,38,3.4,0,0,0,0,0,0,0,0,8,0.7,5,0.5,3,0.3,1,0.1,1,0.1,243,22.1
City,Kanpur,1604,59.6,1223,45.5,494,18.4,916,34.1,0,0,319,11.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1.4,0,0,0,0,9,0.3,0,0,0,0,26,1,0,0,57,2.1,57,2.1,0,0,19,0.7,108924,4049.2,113630,4224.2
City,Kochi,16,1.2,27,2,29,2.1,0,0,227,16.8,2,0.1,6,0.4,0,0,0,0,0,0,0,0,0,0,2,0.1,1,0.1,0,0,0,0,0,0,0,0,2,0.1,14,1,0,0,0,0,0,0,0,0,0,0,5941,438.5,6267,462.5
City,Kolkata,177,1.3,88,0.7,9,0.1,425,3.2,0,0,26,0.2,40,0.3,3,0,0,0,0,0,0,0,0,0,0,0,16,0.1,0,0,0,0,0,0,0,0,0,0,134,1,0,0,0,0,0,0,0,0,0,0,499,3.8,1417,10.7
City,Lucknow,704,31.1,194,8.6,113,5,122,5.4,0,0,11,0.5,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,66,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.4,10,0.4,0,0,25,1.1,43389,1913.9,44636,1968.9
