Category,States/UTs,Estimated Mid Year Population (In Lakhs)#,Murder - Incidence,Murder - Rate,Murder - Percentage Share,Rape - Incidence,Rape - Rate,Rape - Percentage Share,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Share,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage Share,Robbery - Incidence,Robbery - Rate,Robbery - Percentage Share,Arson - Incidence,Arson - Rate,Arson - Percentage Share,Hurt - Incidence,Hurt - Rate,Hurt - Percentage Share,Prot. of Civil Rights Act - Incidence,Prot. of Civil Rights Act - Rate,Prot. of Civil Rights Act - Percentage Share,SC/ST Prev.of Attrocities Act - Incidence,SC/ST Prev.of Attrocities Act - Rate,SC/ST Prev.of Attrocities Act - Percentage Share,Other Offences - Incidence,Other Offences - Rate,Other Offences - Percentage Share,Total - Incidence,Total - Rate,Total - Percentage Share
State,Uttar Pradesh,1814.9,323,0.2,48.3,224,0.1,19.1,99,0.1,38.4,5,0,19.2,22,0,27.5,57,0,27.1,427,0.2,11.1,28,0,9.6,1623,0.9,19.1,1589,0.9,14.3,4397,2.4,16.8
State,Uttaranchal,91.2,5,0.1,0.7,12,0.1,1,9,0.1,3.5,0,0,0,0,0,0,0,0,0,23,0.3,0.6,0,0,0,50,0.5,0.6,0,0,0,99,1.1,0.4
State,West Bengal,850.6,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.1,0,0,0,5,0,0.1,4,0,0,12,0,0
State,Total (States),10841.5,669,0.1,100,1172,0.1,100,258,0,100,26,0,100,80,0,100,210,0,100,3847,0.4,100,278,0,95.5,8475,0.8,99.7,11073,1,100,26088,2.4,99.9
Union Territory,A & N Islands,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8,0,2,0.8,0
Union Territory,Daman & Diu,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.1,0,2,1.1,0
Union Territory,Delhi,157.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3,20,0.1,0.2,0,0,0,21,0.1,0.1
Union Territory,Lakshadweep,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.2,4.1,2,0.2,0,0,0,0,14,1.4,0.1
Union Territory,Total (UTs),186.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.1,4.5,22,0.1,0.3,4,0,0,39,0.2,0.1
Total (All-India),Total (All-India),11027.9,669,0.1,100,1172,0.1,100,258,0,100,26,0,100,80,0,100,210,0,100,3847,0.3,100,291,0,100,8497,0.8,100,11077,1,100,26127,2.4,100
