Category,States/UTs/Cities,Murder - 2004,Murder - 2005,Murder - % Variation,Attempt to Commit Murder - 2004,Attempt to Commit Murder - 2005,Attempt to Commit Murder - % Variation,C.H. Not Amounting to Murder - 2004,C.H. Not Amounting to Murder - 2005,C.H. Not Amounting to Murder - % Variation,Rape Total - 2004,Rape Total - 2005,Rape Total - % Variation,Rape Custodial - 2004,Rape Custodial - 2005,Rape Custodial - % Variation,Rape Other - 2004,Rape Other - 2005,Rape Other - % Variation,Kidnapping & Abduction Total - 2004,Kidnapping & Abduction Total - 2005,Kidnapping & Abduction Total - % Variation,Kidnapping & Abduction of Women & Girls - 2004,Kidnapping & Abduction of Women & Girls - 2005,Kidnapping & Abduction of Women & Girls - % Variation,Kidnapping & Abduction of Others - 2004,Kidnapping & Abduction of Others - 2005,Kidnapping & Abduction of Others - % Variation,Dacoity - 2004,Dacoity - 2005,Dacoity - % Variation,Preparation & Assembly for Dacoity - 2004,Preparation & Assembly for Dacoity - 2005,Preparation & Assembly for Dacoity - % Variation,Robbery - 2004,Robbery - 2005,Robbery - % Variation,Burglary - 2004,Burglary - 2005,Burglary - % Variation,Theft Total - 2004,Theft Total - 2005,Theft Total - % Variation,Auto Theft - 2004,Auto Theft - 2005,Auto Theft - % Variation,Other Theft - 2004,Other Theft - 2005,Other Theft - % Variation,Riots - 2004,Riots - 2005,Riots - % Variation,Criminal Breach of Trust - 2004,Criminal Breach of Trust - 2005,Criminal Breach of Trust - % Variation,Cheating - 2004,Cheating - 2005,Cheating - % Variation,Counterfeiting - 2004,Counterfeiting - 2005,Counterfeiting - % Variation,Arson - 2004,Arson - 2005,Arson - % Variation,Hurt - 2004,Hurt - 2005,Hurt - % Variation,Dowry Deaths - 2004,Dowry Deaths - 2005,Dowry Deaths - % Variation,Molestation - 2004,Molestation - 2005,Molestation - % Variation,Sexual Harassment - 2004,Sexual Harassment - 2005,Sexual Harassment - % Variation,Cruelty by Husband and Relatives - 2004,Cruelty by Husband and Relatives - 2005,Cruelty by Husband and Relatives - % Variation,Importation of Girls - 2004,Importation of Girls - 2005,Importation of Girls - % Variation,Causing Death by Negligence - 2004,Causing Death by Negligence - 2005,Causing Death by Negligence - % Variation,Other IPC Crimes - 2004,Other IPC Crimes - 2005,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2004,Total Cognizable Crimes Under IPC - 2005,Total Cognizable Crimes Under IPC - % Variation
City,Nasik,19,28,47.4,13,17,30.8,4,2,-50,15,21,40,0,0,0,15,21,40,17,16,-5.9,12,13,8.3,5,3,-40,6,4,-33.3,2,6,200,17,19,11.8,350,387,10.6,808,836,3.5,295,365,23.7,513,471,-8.2,80,97,21.3,15,15,0,148,168,13.5,0,9,NA,6,5,-16.7,228,231,1.3,4,0,-100,26,35,34.6,15,13,-13.3,126,121,-4,0,0,0,144,160,11.1,563,586,4.1,2606,2776,6.5
City,Patna,282,239,-15.2,102,40,-60.8,24,12,-50,26,27,3.8,0,0,0,26,27,3.8,206,195,-5.3,31,32,3.2,175,163,-6.9,63,74,17.5,23,21,-8.7,641,537,-16.2,510,415,-18.6,1166,1002,-14.1,1051,915,-12.9,115,87,-24.3,162,179,10.5,141,34,-75.9,288,172,-40.3,47,2,-95.7,23,12,-47.8,147,201,36.7,22,32,45.5,18,4,-77.8,0,2,NA,91,121,33,0,0,0,169,155,-8.3,3446,4412,28,7597,7888,3.8
City,Pune,100,106,6,76,85,11.8,3,7,133.3,63,79,25.4,0,0,0,63,79,25.4,70,102,45.7,51,72,41.2,19,30,57.9,24,27,12.5,13,18,38.5,130,190,46.2,843,1201,42.5,3905,4322,10.7,2076,2165,4.3,1829,2157,17.9,524,474,-9.5,67,72,7.5,433,609,40.6,2,22,1000,9,16,77.8,1153,1258,9.1,0,1,NA,67,107,59.7,98,95,-3.1,174,201,15.5,0,0,0,427,407,-4.7,2573,2418,-6,10754,11817,9.9
City,Rajkot,37,24,-35.1,16,12,-25,0,0,0,9,7,-22.2,0,0,0,9,7,-22.2,39,37,-5.1,32,33,3.1,7,4,-42.9,6,7,16.7,2,0,-100,24,31,29.2,332,265,-20.2,1216,989,-18.7,613,529,-13.7,603,460,-23.7,72,64,-11.1,29,39,34.5,69,47,-31.9,6,43,616.7,8,5,-37.5,341,333,-2.3,4,0,-100,10,7,-30,10,7,-30,184,153,-16.8,0,0,0,93,93,0,1832,1771,-3.3,4339,3934,-9.3
City,Surat,74,86,16.2,8,23,187.5,5,3,-40,24,23,-4.2,0,0,0,24,23,-4.2,72,114,58.3,47,72,53.2,25,42,68,31,22,-29,1,4,300,61,56,-8.2,317,429,35.3,1543,1797,16.5,1063,1140,7.2,480,657,36.9,62,118,90.3,46,65,41.3,140,202,44.3,10,31,210,9,8,-11.1,467,637,36.4,17,12,-29.4,21,50,138.1,6,4,-33.3,102,190,86.3,0,0,0,383,404,5.5,732,995,35.9,4131,5273,27.6
City,Vadodara,28,26,-7.1,33,24,-27.3,0,1,NA,6,5,-16.7,0,0,0,6,5,-16.7,44,39,-11.4,34,26,-23.5,10,13,30,14,6,-57.1,0,2,NA,40,20,-50,488,392,-19.7,1414,1341,-5.2,709,689,-2.8,705,652,-7.5,164,174,6.1,88,34,-61.4,268,192,-28.4,3,16,433.3,16,6,-62.5,305,300,-1.6,0,0,0,10,13,30,8,2,-75,140,136,-2.9,0,0,0,125,122,-2.4,2357,2425,2.9,5551,5276,-5
City,Varanasi,48,54,12.5,38,36,-5.3,16,14,-12.5,3,6,100,0,0,0,3,6,100,29,22,-24.1,18,12,-33.3,11,10,-9.1,2,0,-100,2,1,-50,30,17,-43.3,88,74,-15.9,488,304,-37.7,353,170,-51.8,135,134,-0.7,35,37,5.7,36,35,-2.8,39,50,28.2,3,13,333.3,0,0,0,75,33,-56,10,7,-30,3,1,-66.7,49,34,-30.6,33,21,-36.4,0,0,0,1,61,6000,529,394,-25.5,1557,1214,-22
City,Vijayawada,46,41,-10.9,43,40,-7,1,4,300,19,32,68.4,0,0,0,19,32,68.4,76,87,14.5,43,49,14,33,38,15.2,4,3,-25,0,0,0,29,31,6.9,555,456,-17.8,2272,1724,-24.1,356,419,17.7,1916,1305,-31.9,12,9,-25,27,23,-14.8,531,443,-16.6,6,8,33.3,17,22,29.4,2218,1513,-31.8,10,8,-20,132,64,-51.5,196,122,-37.8,678,296,-56.3,0,0,0,240,242,0.8,547,623,13.9,7659,5791,-24.4
City,Vishakhapatnam,27,27,0,27,48,77.8,3,0,-100,12,28,133.3,0,0,0,12,28,133.3,27,37,37,16,15,-6.3,11,22,100,1,6,500,0,1,NA,12,19,58.3,333,393,18,733,987,34.7,176,298,69.3,557,689,23.7,3,31,933.3,62,58,-6.5,280,279,-0.4,2,24,1100,8,8,0,374,495,32.4,1,2,100,24,45,87.5,43,86,100,243,361,48.6,0,0,0,183,184,0.5,784,1336,70.4,3182,4455,40
City,Total (cities),2921,2897,-0.8,2823,2602,-7.8,301,301,0,1510,1693,12.1,0,0,0,1510,1693,12.1,3537,3709,4.9,2303,2409,4.6,1234,1300,5.3,430,414,-3.7,471,528,12.1,3593,3567,-0.7,19126,19165,0.2,89745,86915,-3.2,37143,37460,0.9,52602,49455,-6,4580,4474,-2.3,3325,3138,-5.6,15016,15603,3.9,378,646,70.9,309,307,-0.6,31372,29824,-4.9,560,492,-12.1,2761,2836,2.7,2434,2333,-4.1,8333,8673,4.1,3,1,-66.7,7462,8357,12,108939,116233,6.7,309929,314708,1.5
