Category,States/ UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act Total,Protection of Civil Rights Act for SCs,Protection of Civil Rights Act for STs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act for SCs,SC/ST (Prev.) of Atrocities Act for STs,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
State,JHARKHAND,89.8,96.8,95.8,96.3,NA,82,70,100,NA,83.3,87.5,81.3,78.7,97.9,72.2,100,90.8,NA,100,100,NA,59.6,54,62.4,74.4,58.3,79.6
State,KARNATAKA,95.9,99.3,100,83.3,NA,97.3,100,20,100,91.3,91.3,NA,100,95.4,NA,0,96.5,0,NA,99,NA,94.4,94.1,97.2,93.2,98,96.9
State,KERALA,93,98.5,100,NA,97.4,80.5,99.5,50,100,100,100,NA,99.5,95.2,NA,NA,100,0,91.4,100,NA,89.9,88.3,100,0,79.1,82.7
State,MADHYA PRADESH,100,99.4,100,100,100,96.3,100,40,100,100,100,NA,NA,95.8,NA,NA,94.1,94.1,NA,98.8,NA,98.4,98.5,98.3,100,99.9,99.9
State,MAHARASHTRA,98.8,98.5,100,100,99.9,90,99.2,31.3,100,100,100,NA,100,99.4,NA,100,100,100,100,99.5,NA,95.7,95.8,95.1,94.4,98.4,99.6
State,MANIPUR,22.2,74.3,100,NA,NA,11.1,NA,NA,75,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,24.9
State,MEGHALAYA,81,92.3,100,100,NA,50,NA,NA,93.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,81,84.5
State,MIZORAM,100,98,100,NA,100,93.3,100,NA,97.2,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.7,98.9
State,NAGALAND,51.6,66.8,100,100,62.7,50,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.9,62
State,ORISSA,91.9,100,99.6,99.9,100,96.8,100,100,NA,NA,NA,NA,NA,98.1,NA,NA,98.5,NA,NA,100,NA,92.5,93.2,90.2,100,100,99.4
State,PUNJAB,97.5,99,96,99,100,73.9,100,85.7,100,NA,NA,NA,96.5,88.2,NA,NA,100,100,0,91.9,NA,85.3,85.3,NA,100,81.4,98
State,RAJASTHAN,99.4,96.1,100,99.4,NA,99.5,100,33.3,62.5,100,100,NA,100,98.4,NA,NA,NA,100,99,99.6,100,98.4,98.5,97.7,99.5,97.5,99.2
State,SIKKIM,100,100,100,100,NA,100,NA,NA,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,98.7
State,TAMIL NADU,89.9,97.2,100,NA,83.7,99.3,100,59.4,100,100,100,NA,97.8,77.1,NA,NA,97.5,66.7,100,99.8,NA,94.4,94.3,100,100,52.8,64.5
State,TRIPURA,92.1,93.7,100,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,90.4,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,60,90.6
State,UTTAR PRADESH,99,99.8,100,99.9,NA,97,100,52.8,100,89.3,89.3,NA,95.7,83,NA,66.7,78.5,100,NA,98.2,NA,88.7,88.7,NA,98.3,99.8,99.7
State,UTTARANCHAL,99.5,99.7,100,100,NA,88.9,100,89.7,100,NA,NA,NA,NA,100,NA,NA,50,NA,NA,96.9,NA,65,64.4,100,93.7,100,99.9
State,WEST BENGAL,98.5,97,72.4,93.3,81.3,75,96.2,85.7,99.6,NA,NA,NA,77.4,81.7,NA,100,100,100,100,84.6,NA,100,100,NA,0,87.4,89.6
State,TOTAL (STATES),98.3,98.1,99.8,99.4,95.3,89.4,99.6,54.8,99.1,93.8,95.1,80,95.8,95.1,54.7,89.1,92.1,95.7,99.6,98.4,100,92.8,92.8,92.8,95.7,93.4,94.4
Union Territory,A & N ISLANDS,NA,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100
Union Territory,CHANDIGARH,100,99.2,100,100,NA,100,100,NA,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,95.1,99.4
Union Territory,D & N HAVELI,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,100,100
Union Territory,DAMAN & DIU,100,100,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
Union Territory,DELHI,99.8,99.9,100,100,NA,100,100,0,100,100,100,NA,100,98.5,NA,NA,77.8,NA,NA,99.5,NA,55.6,50,100,NA,91.1,99.7
Union Territory,LAKSHADWEEP,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,66.7
Union Territory,PONDICHERRY,100,100,100,NA,NA,0,100,NA,NA,100,100,NA,NA,100,NA,NA,100,NA,NA,100,NA,100,100,NA,NA,99.6,99.6
Union Territory,TOTAL (UTs),99.8,99.9,100,100,100,98.5,100,0,100,100,100,0,100,98.8,0,0,87.5,0,0,99.6,0,60,55.6,100,0,96.9,99.8
TOTAL (ALL-INDIA),TOTAL (ALL-INDIA),98.5,98.2,99.8,99.4,95.3,89.5,99.6,54.6,99.1,94,95.3,80,96,95.2,54.7,89.1,92.1,95.7,99.6,98.5,100,92.8,92.7,92.9,95.7,93.4,94.5
