SL.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Others IPC Crimes,Total Cognizable Crimes Under IPC
1,Assam,Barpeta,58,12,0,20,81,44,37,68,0,78,181,320,486,20,41,0,839,2204
2,Assam,Bongaigaon,43,21,3,21,31,31,0,76,2,42,126,207,150,15,22,0,479,1238
3,Assam,Cachar,53,8,0,40,73,73,0,12,1,32,271,519,537,30,42,0,1444,3062
4,Assam,Darrang,51,4,2,14,24,18,6,33,2,54,131,201,174,8,11,0,378,1087
5,Assam,Dheonaji,19,16,0,13,30,22,8,14,0,31,51,94,26,4,8,6,220,532
6,Assam,Dhubri,27,10,0,27,45,45,0,12,1,8,155,280,336,8,34,1,593,1537
7,Assam,Dibrugarh,59,29,23,12,39,36,3,17,0,181,70,360,167,0,2,0,831,1790
8,Assam,Goalpara,16,3,0,8,13,12,1,14,0,163,6,186,122,6,18,1,266,822
9,Assam,Golaghat,39,19,2,26,80,78,2,54,1,149,165,307,98,13,22,0,686,1661
10,Assam,Hailakandi,26,8,0,5,25,25,0,11,0,17,149,386,500,10,9,1,591,1738
11,Assam,Jorhat,41,4,1,24,50,50,0,12,1,69,131,403,97,13,24,0,737,1607
12,Assam,Karbi Anglang,21,11,3,10,26,20,6,35,2,41,100,229,119,8,10,1,461,1077
13,Assam,Kamrup,58,19,4,57,134,125,9,83,2,145,580,1566,414,103,135,4,2309,5613
14,Assam,Karimaganj,27,14,0,9,40,38,2,6,0,8,133,270,346,15,11,0,491,1370
15,Assam,Kokrajhar,39,6,0,12,19,19,0,28,0,24,78,176,109,4,9,1,324,829
16,Assam,Lakhimpur,37,7,0,23,83,76,7,39,0,180,117,275,142,9,12,0,587,1511
17,Assam,Morigaon,23,9,3,16,22,22,0,9,0,8,85,139,114,17,22,0,273,740
18,Assam,N.C. Hills,7,13,0,1,2,2,0,1,0,9,18,43,6,5,1,0,87,193
19,Assam,Nagaon,68,16,4,24,84,83,1,24,2,32,203,365,399,43,38,0,1023,2325
20,Assam,Nalbari,36,16,4,14,29,28,1,50,1,54,141,174,125,17,12,0,404,1077
21,Assam,Sibsagar,43,14,0,30,73,71,2,76,3,89,116,520,105,16,23,0,1174,2282
22,Assam,Sonitpur,87,31,0,29,67,59,8,53,4,72,201,470,211,18,22,0,823,2088
23,Assam,Tinsukia,83,5,1,23,39,33,6,44,0,89,112,227,21,17,9,0,450,1120
24,Assam,Total,961,295,50,458,1109,1010,99,771,22,1575,3320,7717,4804,399,537,15,15470,37503
1,Bihar,Araria,41,50,11,31,19,19,0,61,0,24,72,562,224,24,26,0,836,1981
2,Bihar,Aurangabad,49,49,7,6,23,23,0,41,1,34,123,214,221,25,15,0,1044,1852
3,Bihar,Begusarai,109,152,22,12,74,0,74,53,5,82,200,371,376,6,26,0,1305,2793
4,Bihar,Bhagalpur,147,262,100,34,68,48,20,83,0,50,75,701,1732,25,15,0,1608,4900
5,Bihar,Bhojpur,148,140,6,26,53,53,0,184,3,84,271,774,453,83,35,0,2164,4424
6,Bihar,Bokaro,16,26,1,4,18,15,3,11,0,41,125,250,88,13,16,0,554,1163
7,Bihar,Champaran East,85,106,8,28,72,0,72,86,6,48,296,506,776,60,42,0,1433,3552
8,Bihar,Champaran West,35,68,8,32,56,0,56,44,0,26,182,383,291,22,39,0,1333,2519
9,Bihar,Darbhanga,37,6,4,16,45,35,10,60,3,32,144,278,503,16,23,0,1719,2886
10,Bihar,Deoghar,48,25,5,15,18,18,0,30,0,35,155,241,261,12,21,0,603,1469
11,Bihar,Dhanbad,112,117,14,46,59,20,39,102,13,136,407,1063,354,49,62,0,2062,4596
12,Bihar,Dumka,70,50,9,41,15,15,0,17,0,23,126,224,137,14,21,0,666,1413
13,Bihar,Gaya,128,135,16,16,41,41,0,99,9,136,194,490,590,55,50,0,1359,3318
14,Bihar,Giridih,65,63,12,39,51,24,27,83,7,78,348,612,579,31,52,0,1447,3467
15,Bihar,Godda,68,36,8,20,20,13,7,36,2,21,85,116,148,8,7,0,529,1104
16,Bihar,Gopalganj,71,147,27,9,45,45,0,97,4,35,134,297,296,21,17,0,975,2175
17,Bihar,Gumla,130,86,5,29,28,28,0,26,5,56,80,217,55,2,5,0,553,1277
18,Bihar,Hazaribagh,138,54,39,22,27,0,27,87,8,112,312,550,364,14,24,0,1790,3541
19,Bihar,Jamshedpur,73,236,8,27,47,47,0,25,10,40,174,694,282,26,4,0,1147,2793
20,Bihar,Jehanabad,78,139,4,7,39,8,31,68,0,32,121,152,208,7,20,9,599,1483
21,Bihar,Katihar,63,55,7,58,50,50,0,61,0,44,205,598,299,15,59,0,975,2489
22,Bihar,Khagaria,48,103,0,5,26,17,9,32,1,33,21,306,456,2,2,0,299,1334
23,Bihar,Kishanganj,21,8,9,23,25,18,7,48,3,9,77,160,163,25,10,0,335,916
24,Bihar,Loharadagga,36,10,2,14,13,13,0,16,2,26,24,104,13,3,5,0,182,450
25,Bihar,Medhepura,29,26,2,8,21,5,16,54,9,38,153,136,280,25,16,0,456,1253
26,Bihar,Madhubani,69,51,6,24,39,9,30,55,11,36,435,307,793,43,66,0,1701,3636
27,Bihar,Munger,172,185,9,30,100,85,15,120,0,76,172,796,717,22,43,0,1672,4114
28,Bihar,Muzaffarpur,105,180,0,24,83,83,0,137,20,97,283,418,443,162,188,0,1417,3557
29,Bihar,Nalanda,111,77,25,9,60,60,0,45,2,70,80,456,230,22,22,0,2539,3748
30,Bihar,Nawadah,64,104,7,11,39,3,36,28,2,20,74,177,300,16,21,0,571,1434
31,Bihar,Palamau,164,109,11,14,29,29,0,152,0,82,172,323,314,13,21,0,1569,2973
32,Bihar,Patna,376,666,56,31,243,27,216,162,0,425,663,3137,978,195,200,0,4421,11553
33,Bihar,Purnia,54,40,4,36,43,17,26,83,1,68,189,471,513,51,25,0,775,2353
34,Bihar,Ranchi,316,122,13,39,79,17,62,65,7,315,289,1143,191,59,53,0,2454,5145
35,Bihar,Rohtas,174,131,17,20,102,21,81,220,17,79,345,757,400,29,39,0,1576,3906
36,Bihar,Saharsa,37,92,11,25,55,55,0,45,0,44,200,347,676,28,34,0,1338,2932
37,Bihar,Sahebganj,78,68,5,27,42,42,0,34,2,34,75,290,188,20,14,0,530,1407
38,Bihar,Samastipur,83,75,35,32,55,0,55,116,10,75,191,285,275,34,29,0,1439,2734
39,Bihar,Saran,94,222,9,22,44,44,0,126,7,58,282,344,372,15,26,0,1826,3447
40,Bihar,Singhbhum,197,103,9,31,35,35,0,12,1,34,131,335,53,30,35,0,985,1991
41,Bihar,Sitamarhi,57,35,5,35,29,29,0,42,14,14,257,264,523,43,24,0,964,2306
42,Bihar,Siwan,77,26,8,11,35,35,0,88,8,49,261,289,312,38,16,0,1261,2479
43,Bihar,Vaishali,45,72,0,9,58,58,0,50,0,78,207,255,320,12,72,0,1488,2666
44,Bihar,Dhanbad Rly.,9,0,0,0,2,2,0,10,0,13,12,188,31,0,0,0,90,355
45,Bihar,Jamalpur Rly.,5,0,0,0,3,3,0,12,0,7,1,232,39,0,7,0,101,407
46,Bihar,Jamshedpur Rly.,2,4,0,3,1,1,0,9,2,4,11,148,11,0,1,0,88,284
47,Bihar,Katihar Rly.,12,0,0,2,3,3,0,22,2,26,17,234,21,0,10,0,131,480
48,Bihar,Muzaffarpur Rly.,8,0,0,2,6,6,0,9,1,19,24,205,30,0,11,0,193,508
49,Bihar,Patna Rly.,12,20,0,0,0,0,0,18,2,27,11,581,49,9,23,0,99,851
50,Bihar,Total,4166,4531,564,1005,2138,1219,919,3164,200,3025,8486,21981,16928,1424,1592,9,55201,124414
1,Goa,North Goa,18,3,2,7,17,11,6,1,0,10,312,521,110,38,51,5,912,2007
2,Goa,South Goa,12,3,7,3,10,6,4,0,0,8,202,526,46,40,17,10,847,1731
3,Goa,Total,30,6,9,10,27,17,10,1,0,18,514,1047,156,78,68,15,1759,3738
1,Gujarat,Ahmedabad,187,202,3,29,183,135,48,34,0,119,1080,4917,594,234,160,21,10705,18468
2,Gujarat,Amreli,23,12,0,4,17,17,0,0,0,28,141,331,27,16,4,2,1266,1871
3,Gujarat,Anand,53,74,3,14,26,21,5,21,0,30,296,941,94,149,49,2,3668,5420
4,Gujarat,Banaskantha,76,38,0,11,21,21,0,12,2,82,381,808,137,36,20,2,3252,4878
5,Gujarat,Bharuch,84,39,0,18,48,45,3,71,0,37,426,820,183,48,26,3,4272,6075
6,Gujarat,Bhavnagar,60,43,0,15,32,23,9,2,0,38,172,553,89,44,22,4,2252,3326
7,Gujarat,Gandhinagar,9,7,0,5,12,7,5,4,0,17,103,444,34,8,12,1,1100,1756
8,Gujarat,Jamnagar,38,38,0,14,30,18,12,6,0,35,208,521,38,54,30,2,2021,3035
9,Gujarat,Junagadh,53,38,1,11,33,26,7,0,0,41,314,783,72,37,25,2,2765,4175
10,Gujarat,Kheda,47,19,0,18,23,23,0,18,0,24,183,637,40,160,18,2,2289,3478
11,Gujarat,Kutch,27,23,0,4,13,11,2,4,0,12,135,343,40,34,25,1,2004,2665
12,Gujarat,Meshana,51,29,0,2,33,29,4,18,0,42,303,1089,184,125,46,2,3307,5231
13,Gujarat,Panchmahal,120,24,0,8,23,22,1,54,0,93,361,671,162,43,18,4,3434,5015
14,Gujarat,Patan,33,36,0,2,8,8,0,11,0,30,130,599,83,27,10,1,1856,2826
15,Gujarat,Porbandar,18,4,0,4,9,4,5,0,0,14,57,147,12,4,10,1,835,1115
16,Gujarat,Rajkot,74,55,0,14,50,36,14,4,0,32,337,1246,99,53,57,4,4538,6563
17,Gujarat,Sabarkantha,36,18,0,10,17,17,0,12,0,18,246,519,58,198,13,4,2971,4120
18,Gujarat,Surat,147,42,0,16,69,59,10,35,1,59,402,1323,207,79,63,7,5124,7574
19,Gujarat,Surendranagar,28,27,0,12,19,13,6,3,0,23,148,447,64,14,12,4,1947,2748
20,Gujarat,Vadodara,152,98,0,11,77,74,3,63,0,63,550,2670,469,158,55,13,6775,11154
21,Gujarat,Valsad,52,11,0,11,13,13,0,12,0,14,14,411,56,36,21,5,2761,3417
22,Gujarat,W.Rly,24,8,1,3,5,4,1,14,0,30,26,1700,26,28,10,0,477,2352
23,Gujarat,Total,1392,885,8,236,761,626,135,398,3,881,6013,21920,2768,1585,706,87,69619,107262
1,Haryana,Ambala,13,19,3,9,20,19,1,1,2,24,232,373,2,13,21,0,1046,1808
2,Haryana,Bhiwani,30,13,9,11,8,3,5,1,1,7,106,180,52,18,39,0,1243,1718
3,Haryana,Faridabad,48,25,12,16,27,18,9,7,0,10,236,458,230,40,55,0,2898,4062
4,Haryana,Gurgaon,37,32,12,16,23,21,2,6,0,10,188,941,155,13,27,1,2366,3827
5,Haryana,Hissar,66,36,12,22,11,4,7,3,0,5,184,254,33,25,58,0,1525,2234
6,Haryana,Jind,32,11,11,2,3,2,1,0,0,4,96,171,14,7,26,0,713,1090
7,Haryana,Kaithal,31,8,6,10,10,8,2,1,0,15,101,131,3,24,24,0,512,876
8,Haryana,Karnal,14,10,9,7,9,7,2,2,1,3,186,228,34,15,46,0,853,1417
9,Haryana,Kurukshetra,19,11,2,14,7,4,3,0,0,2,133,206,13,9,21,0,551,988
10,Haryana,Mahendragarh,16,4,3,6,7,3,4,3,0,0,62,90,33,5,9,0,1028,1266
11,Haryana,Panipat,33,12,2,6,8,8,0,2,0,2,175,195,34,3,23,0,1019,1514
12,Haryana,Rewari,14,6,8,6,6,3,3,0,0,0,69,109,33,9,3,0,1077,1340
13,Haryana,Rohtak,75,32,21,13,26,21,5,3,0,20,254,509,68,18,78,0,1720,2837
14,Haryana,Sirsa,29,20,4,4,17,7,10,2,2,3,112,130,12,7,25,0,1057,1424
15,Haryana,Sonepat,32,13,7,12,9,5,4,2,2,11,92,175,22,9,23,1,846,1256
16,Haryana,Yamunanagar,23,4,1,14,17,16,1,2,0,4,136,210,8,10,23,0,604,1056
17,Haryana,Total,542,256,122,168,208,149,59,35,8,120,2362,4360,746,225,501,2,19058,28713
1,Himachal Pradesh,Bilaspur,11,1,0,0,3,3,0,0,0,4,33,37,38,6,9,0,260,402
2,Himachal Pradesh,Chamba,9,3,4,5,11,8,3,1,0,4,103,55,17,12,3,0,215,442
3,Himachal Pradesh,Hamirpur,3,3,1,1,5,4,1,0,0,2,38,17,11,7,7,0,238,333
4,Himachal Pradesh,Kangra,24,12,4,5,24,18,6,0,0,0,155,146,87,14,11,1,889,1372
5,Himachal Pradesh,Kinnaur,4,0,2,6,4,3,1,0,0,1,24,24,17,2,3,0,105,192
6,Himachal Pradesh,Kullu,9,4,1,4,10,10,0,0,0,5,78,70,15,4,11,0,255,466
7,Himachal Pradesh,Lahaul-Spiti,1,0,0,1,2,2,0,0,0,0,3,6,2,1,0,0,31,47
8,Himachal Pradesh,Mandi,4,6,1,16,22,20,2,0,0,0,123,164,51,15,14,0,752,1168
9,Himachal Pradesh,Shimla,11,13,2,9,26,19,7,16,0,3,139,282,190,32,25,0,1309,2057
10,Himachal Pradesh,Sirmur,8,8,1,7,12,10,2,0,0,0,33,79,56,1,13,0,314,532
11,Himachal Pradesh,Solan,6,4,0,4,11,11,0,1,0,8,98,93,58,12,10,0,519,824
12,Himachal Pradesh,UNA,6,1,1,5,8,5,3,1,0,1,78,53,27,6,10,0,272,469
13,Himachal Pradesh,Rly. & Traffic,2,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,4,12
14,Himachal Pradesh,Total,98,55,17,63,138,113,25,19,0,28,906,1030,570,112,116,1,5163,8316
1,Jammu Kashmir,Anantnag,92,10,0,0,23,23,0,6,0,12,100,116,77,6,2,0,414,858
2,Jammu Kashmir,Badgam,43,27,0,5,7,7,0,0,0,2,29,79,74,2,1,0,169,438
3,Jammu Kashmir,Baramulla,75,36,1,6,34,34,0,2,0,9,154,255,98,13,4,0,613,1300
4,Jammu Kashmir,Doda,11,17,1,7,43,43,0,3,0,4,92,107,76,5,4,0,630,1000
5,Jammu Kashmir,Jammu,43,187,4,27,59,55,4,2,0,10,320,761,202,48,76,0,2646,4385
6,Jammu Kashmir,Kargil,1,0,0,0,2,2,0,0,0,1,7,15,8,3,0,0,37,74
7,Jammu Kashmir,Kathua,9,17,0,8,27,24,3,0,0,1,85,153,61,3,8,0,702,1074
8,Jammu Kashmir,Kupwara,70,17,1,1,4,4,0,3,0,5,45,81,67,1,0,0,322,617
9,Jammu Kashmir,Leh,1,4,0,0,3,3,0,0,0,1,30,22,8,3,1,0,121,194
10,Jammu Kashmir,Pulwama,27,28,1,5,18,16,2,1,0,7,38,95,52,2,1,0,262,537
11,Jammu Kashmir,Punch,7,20,3,11,12,12,0,0,0,0,23,156,54,4,5,0,349,644
12,Jammu Kashmir,Rajouri,9,17,0,22,36,36,0,0,0,0,41,111,42,5,12,0,691,986
13,Jammu Kashmir,Srinagar,148,41,1,4,49,33,16,3,0,21,330,229,117,16,1,0,664,1624
14,Jammu Kashmir,Udhampur,10,33,0,25,30,30,0,1,0,2,154,189,96,8,18,0,725,1291
15,Jammu Kashmir,Railways,0,0,0,0,0,0,0,0,0,0,2,15,0,0,1,0,7,25
16,Jammu Kashmir,Total,546,454,12,121,347,322,25,21,0,75,1450,2384,1032,119,134,0,8352,15047
1,Karnataka,Bangalore Commr.,121,51,3,21,103,46,57,21,0,138,1780,7117,305,273,725,766,11701,23125
2,Karnataka,Bangalore Rural,93,35,1,14,27,17,10,28,0,22,567,846,630,16,34,0,3967,6280
3,Karnataka,Belgaum,125,32,2,12,59,26,33,8,0,24,366,720,559,62,163,8,3606,5746
4,Karnataka,Bellary,49,14,3,10,24,24,0,13,1,13,295,424,297,14,34,1,1728,2920
5,Karnataka,Bidar,29,19,2,4,15,6,9,5,0,13,153,320,207,1,22,0,1259,2049
6,Karnataka,Bijapur,107,43,2,9,51,51,0,34,0,25,223,506,778,34,90,7,2876,4785
7,Karnataka,Chickmagalur,39,7,0,5,7,0,7,0,0,8,279,295,147,17,22,3,1445,2274
8,Karnataka,ChitraDurga,59,22,3,19,29,27,2,19,0,21,441,517,780,31,70,3,2742,4756
9,Karnataka,Dharwad Commr.,0,15,0,3,2,2,0,1,0,19,182,322,148,19,50,2,795,1558
10,Karnataka,Dharwad Rural,102,23,2,9,19,13,6,18,0,15,301,530,587,29,69,2,2441,4147
11,Karnataka,Gulbarga,78,34,5,5,19,15,4,11,0,24,271,413,524,11,55,2,1741,3193
12,Karnataka,Hassan,58,4,0,3,12,2,10,8,0,28,521,656,492,8,21,22,1661,3494
13,Karnataka,K.G.F.,16,15,0,3,12,12,0,0,0,3,183,326,124,5,10,2,566,1265
14,Karnataka,Kannada North,25,6,2,3,1,1,0,4,0,8,159,243,113,17,15,5,1263,1864
15,Karnataka,Kannada South,59,35,2,3,10,4,6,2,0,11,427,314,315,18,46,11,2825,4078
16,Karnataka,Kodagu,35,21,6,2,5,0,5,35,0,3,178,1396,116,7,11,2,1142,1702
17,Karnataka,Kolar,50,38,1,3,27,10,17,22,0,12,311,554,469,27,57,5,3192,4768
18,Karnataka,Mandya,49,13,6,4,7,7,0,8,0,9,258,395,183,13,17,8,2105,3075
19,Karnataka,Mysore Commr.,1,10,0,5,8,6,2,6,0,33,299,841,33,29,40,11,1311,2627
20,Karnataka,Mysore Rural,65,19,1,4,10,2,8,8,0,14,502,647,312,12,14,10,2190,3808
21,Karnataka,Raichur,70,24,3,6,20,0,20,20,0,20,221,338,400,18,56,6,2059,3261
22,Karnataka,Shimoga,48,20,0,13,26,23,3,7,0,18,341,512,253,21,58,6,2657,3980
23,Karnataka,Tumkur,68,3,5,4,12,2,10,17,0,25,568,719,273,18,32,14,3664,5422
24,Karnataka,Railways,8,3,0,0,0,0,0,7,0,9,7,356,13,1,3,0,156,563
25,Karnataka,Total,1354,506,49,164,505,296,209,302,1,515,8833,18050,8058,701,1714,896,59092,100740
1,Kerala,Alappuzha,24,36,3,10,11,11,0,4,0,7,325,299,425,46,92,7,4625,5914
2,Kerala,Calicut,24,6,2,19,8,8,0,1,0,10,336,314,563,26,81,10,4469,5869
3,Kerala,Cannanore,28,19,3,10,9,8,1,3,0,4,275,192,558,20,67,0,3551,4739
4,Kerala,CB CID,24,4,1,1,1,0,1,3,0,2,20,15,0,8,51,165,49,344
5,Kerala,Ernakulam,62,25,0,9,8,5,3,9,0,25,720,743,612,49,149,41,5586,8038
6,Kerala,Idukki,46,10,1,13,5,2,3,6,0,19,252,220,207,12,25,0,2177,2993
7,Kerala,Kasargod,20,5,1,4,5,4,1,1,0,5,100,102,343,6,77,0,1270,1939
8,Kerala,Kollam,47,31,1,22,9,8,1,13,0,22,349,264,482,33,73,0,4177,5523
9,Kerala,Kottayam,33,16,1,11,15,12,3,3,0,27,381,318,318,15,65,0,4481,5684
10,Kerala,Malappuram,24,12,2,20,4,3,1,1,0,8,358,221,359,16,59,4,3411,4499
11,Kerala,Palakkad,43,12,0,26,10,9,1,5,0,21,381,372,539,33,74,9,3603,5128
12,Kerala,Pathanamthitta,30,10,1,3,7,5,2,0,0,6,220,123,248,19,48,0,2696,3411
13,Kerala,Trichur,64,28,3,18,17,11,6,3,0,30,396,509,477,39,1747,2,3299,5059
14,Kerala,Trivandrum,68,66,9,16,25,12,13,14,0,37,528,655,724,48,141,33,5136,7500
15,Kerala,Wyanad,16,0,3,14,3,3,0,2,0,6,155,98,191,8,34,0,1340,1870
16,Kerala,Railways,1,0,0,1,0,0,0,0,0,2,4,112,19,0,0,0,49,188
17,Kerala,Total,554,280,31,197,137,101,36,68,0,231,4800,4557,6065,378,1210,271,49919,68698
1,Madhya Pradesh,Baitul,62,22,1,60,14,14,0,8,0,25,235,295,55,6,18,0,1392,2193
2,Madhya Pradesh,Balaghat,61,24,1,53,13,13,0,9,0,18,554,604,32,6,16,0,1842,3233
3,Madhya Pradesh,Bastar,59,37,0,49,32,32,0,5,1,44,581,591,91,13,29,0,1814,3346
4,Madhya Pradesh,Bhind,73,109,1,13,15,10,5,19,5,83,359,481,211,9,25,0,2112,3515
5,Madhya Pradesh,Bhopal,82,115,20,60,44,44,0,5,7,181,947,2597,104,24,104,1,7654,11945
6,Madhya Pradesh,Bilaspur,123,74,7,83,53,53,0,6,1,101,1681,2368,358,27,172,5,5021,10080
7,Madhya Pradesh,Chhatarpur,69,59,2,24,24,17,7,10,9,72,431,451,96,4,19,0,1356,2626
8,Madhya Pradesh,Chhindwara,62,32,0,67,10,10,0,5,0,28,245,476,26,15,13,0,2477,3456
9,Madhya Pradesh,Damoh,36,32,1,23,13,13,0,0,2,16,194,250,66,8,6,0,1521,2168
10,Madhya Pradesh,Dantewada,111,48,0,18,9,9,0,17,0,14,148,148,65,4,6,0,839,1427
11,Madhya Pradesh,Datiya,28,10,0,6,8,6,20,2,2,19,143,165,42,5,7,0,743,1180
12,Madhya Pradesh,Dewas,54,39,3,26,16,15,1,7,3,33,491,989,105,18,23,0,1987,3794
13,Madhya Pradesh,Dhar,93,116,7,78,87,84,3,19,2,146,530,1646,192,35,23,0,3963,6937
14,Madhya Pradesh,Durg,60,57,10,129,47,39,8,7,0,117,1059,2074,134,30,91,13,5727,9555
15,Madhya Pradesh,Gwalior,92,141,9,45,44,31,13,6,3,128,876,1346,263,26,59,1,4342,7381
16,Madhya Pradesh,Guna,65,63,20,90,21,21,0,7,7,47,512,659,168,25,33,0,2378,4095
17,Madhya Pradesh,Hoshangabad,58,33,1,53,25,25,0,8,2,33,259,499,70,10,13,1,1851,2916
18,Madhya Pradesh,Indore,94,459,1,56,58,58,0,21,0,128,1345,4001,168,74,118,0,8765,15288
19,Madhya Pradesh,Jabalpur,105,162,4,71,40,40,0,5,0,149,1368,2337,209,30,131,2,8979,13592
20,Madhya Pradesh,Jhabua,179,201,6,33,134,134,0,10,2,98,327,786,63,17,25,0,1874,3755
21,Madhya Pradesh,Khandwa,60,26,8,40,37,35,2,12,1,32,440,931,55,32,28,0,2447,4149
22,Madhya Pradesh,Khargon,77,65,16,61,31,31,0,11,4,65,520,1461,183,67,41,0,4344,6946
23,Madhya Pradesh,Mandla,47,14,1,46,23,23,0,2,0,26,340,297,20,16,54,2,1668,2556
24,Madhya Pradesh,Mandsaur,51,59,2,58,44,35,9,1,0,50,953,1462,136,42,38,0,2003,4899
25,Madhya Pradesh,Muraina,71,100,3,41,32,25,7,6,4,80,362,823,165,36,30,0,3085,4838
26,Madhya Pradesh,Narasingpur,31,32,7,43,14,14,0,2,0,34,264,484,38,6,12,0,1614,2581
27,Madhya Pradesh,Panna,34,12,0,13,8,8,0,4,3,13,183,147,26,4,10,0,830,1286
28,Madhya Pradesh,Raigarh,64,18,1,27,17,17,0,6,0,20,295,509,65,11,18,0,1264,2315
29,Madhya Pradesh,Raipur,100,73,5,138,46,39,7,7,0,69,1226,2245,197,63,102,31,5308,9610
