SL. No.,Category,State/UT/City,Murder - Incidence (I),Murder - Volume (V),Attempt to Commit Murder - Incidence (I),Attempt to Commit Murder - Volume (V),C.H. Not Amounting to Murder - Incidence (I),C.H. Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Total - Incidence (I),Kidnapping & Abduction - Total - Volume (V),Kidnapping & Abduction - Of Women & Girls - Incidence (I),Kidnapping & Abduction - Of Women & Girls - Volume (V),Kidnapping & Abduction - Of Others - Incidence (I),Kidnapping & Abduction - Of Others - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Preparation & Assembly for Dacoity - Incidence (I),Preparation & Assembly for Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Other IPC Crimes - Incidence (I),Other IPC Crimes - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
11,State,Kerala,554,1.9,280,0.9,31,0.1,197,0.7,137,0.5,101,0.3,36,0.1,68,0.2,0,0,231,0.8,4800,16.1,4557,15.3,6065,20.3,378,1.3,1210,4.1,271,0.9,49919,167.5,68698,230.5
12,State,Madhya Pradesh,2904,4.6,2979,4.7,189,0.3,2302,3.6,1307,2.1,1202,1.9,105,0.2,333,0.5,94,0.1,2576,4.1,24044,37.9,43311,68.3,4809,7.6,925,1.5,1667,2.6,59,0.1,122047,192.3,209556,330.3
13,State,Maharashtra,2795,3.7,1193,1.6,49,0.1,875,1.2,1181,1.6,793,1.1,388,0.5,754,1,45,0.1,3426,4.6,16177,21.7,57152,76.7,5223,7,2197,2.9,2930,3.9,216,0.3,91439,122.6,185652,249
14,State,Manipur,100,5.6,46,2.6,8,0.5,21,1.2,99,5.6,85,4.8,14,0.8,8,0.5,0,0,41,2.3,151,8.5,289,16.3,147,8.3,37,2.7,67,3.8,13,0.7,1233,69.5,2260,127.4
15,State,Meghalaya,118,6.9,16,0.9,5,0.3,37,2.2,21,1.2,21,1.2,0,0,33,1.9,0,0,47,2.8,179,10.5,500,29.3,49,2.9,21,1.2,38,2.2,3,0.2,649,38,1716,100.6
16,State,Mizoram,27,3.9,19,2.7,0,0,56,8,12,1.7,0,0,12,1.7,11,1.6,0,0,45,6.5,224,32.2,510,73.3,0,0,49,7,75,10.8,4,0.6,580,83.3,1612,231.6
17,State,Nagaland,71,6.4,26,2.3,8,0.7,13,1.2,22,2,6,0.5,16,1.4,32,2.9,0,0,142,12.8,352,31.7,438,39.4,24,2.2,35,3.2,67,6,0,0,597,53.7,1827,164.4
18,State,Orissa,668,2.1,775,2.5,74,0.2,249,0.8,319,1,319,1,0,0,248,0.8,0,0,659,2.1,5198,16.7,10694,34.4,1914,6.2,435,1.4,379,1.2,13,0,26322,84.6,47947,154.2
19,State,Punjab,2813,14.3,1567,8,129,0.7,55,0.3,370,1.9,118,0.6,252,1.3,96,0.5,44,0.2,567,2.9,1433,7.3,2901,14.8,35,0.2,224,1.1,293,1.5,4,0,5600,28.5,16131,82.1
20,State,Rajasthan,1203,2.7,1210,2.8,61,0.1,740,1.7,2107,4.8,2018,4.6,89,0.2,86,0.2,5,0,1070,2.4,7527,17.2,13922,31.8,16389,37.4,915,2.1,3473,7.9,39,0.1,54481,124.3,103228,235.4
21,State,Sikkim,9,2,2,0.5,0,0,6,1.4,2,0.5,2,0.5,0,0,0,0,1,0.2,10,2.3,53,12,81,18.4,0,0,12,2.7,18,4.1,0,0,179,40.7,373,84.8
22,State,Tamil Nadu,1649,2.9,1120,2,27,0,290,0.5,789,1.4,674,1.2,115,0.2,148,0.3,1,0,546,1,8259,14.8,27718,49.6,8138,14.6,662,1.2,1448,2.6,533,1,77201,138.1,128529,229.8
23,State,Tripura,159,6.2,58,2.3,2,0.1,76,3,82,3.2,74,2.9,8,0.3,93,3.7,1,0,176,6.9,739,29,1061,41.7,538,21.1,19,0.7,20,0.8,1,0,2627,103.1,5652,221.9
24,State,Uttar Pradesh,8151,6.1,8284,6.2,2213,1.6,1541,1.1,3878,2.9,3099,2.3,779,0.6,2864,2.1,680,0.5,7368,5.5,18626,13.8,46949,34.9,11696,8.7,3692,2.7,3169,2.4,95,0.1,74779,55.6,193985,144.1
25,State,West Bengal,1610,2.5,525,0.8,518,0.8,561,0.9,938,1.4,672,1,266,0.4,585,0.9,152,0.2,851,1.3,1551,2.4,29311,45,6676,10.2,825,1.3,964,1.5,113,0.2,21464,32.9,66644,102.2
Total (States),State,Total (States),34573,4.2,26664,3.3,4205,0.5,9863,1.2,17530,2.1,13568,1.7,3962,0.5,11061,1.4,1265,0.2,25183,3.1,129303,15.8,339026,41.5,102203,12.5,15853,1.9,23128,2.8,2530,0.3,823642,100.9,1566029,191.9
26,UT,A & N Islands,18,6.3,7,2.4,1,0.3,3,1,8,2.8,7,2.4,1,0.3,1,0.3,0,0,1,0.3,85,29.6,119,41.5,35,12.2,8,2.8,5,1.7,0,0,628,218.8,919,320.2
27,UT,Chandigarh,30,4.1,17,2.3,3,0.4,11,1.5,31,4.2,19,2.6,12,1.6,0,0,0,0,10,1.4,137,18.7,788,107.4,78,10.6,18,2.5,53,7.2,2,0.3,606,82.6,1784,243.1
28,UT,D & N Haveli,6,4.6,1,0.8,0,0,4,3.1,6,4.6,4,3.1,2,1.5,3,2.3,0,0,5,3.8,26,19.8,82,62.6,22,16.8,8,6.1,1,0.8,1,0.8,315,240.5,480,366.4
29,UT,Daman & Diu,4,4.1,0,0,1,1,0,0,2,2,1,1,1,1,0,0,0,0,1,1,17,17.3,29,29.6,37,37.8,2,2,0,0,2,2,109,111.2,204,208.2
30,UT,Delhi,390,4.3,386,4.3,70,0.8,177,2,886,9.8,841,9.3,45,0.5,17,0.2,21,0.2,226,2.5,1552,17.2,12206,135.3,300,3.3,644,7.1,1254,13.9,35,0.4,13684,151.6,31848,352.9
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15.2,6,13,3,6.5,2,4.3,0,0,0,0,12,26.1,30,65.2
32,UT,Pondicherry,24,3.2,20,2.7,1,0.1,10,1.4,11,1.5,6,0.8,5,0.7,7,0.9,0,0,14,1.9,204,27.6,935,126.5,168,22.7,17,2.3,25,3.4,6,0.8,1713,231.8,3155,426.9
Total (UTs),UT,Total (UTs),472,4.3,431,3.9,76,0.7,205,1.9,944,8.5,878,7.9,66,0.6,28,0.3,21,0.2,257,2.3,2028,18.3,14165,128.1,643,5.8,699,6.3,1338,12.1,46,0.4,17067,154.3,38420,347.4
Total (All -India),Total (All -India),Total (All -India),35045,4.2,27095,3.3,4281,0.5,10068,1.2,18474,2.2,14446,1.7,4028,0.5,11089,1.3,1286,0.2,25440,3.1,131331,15.9,353191,42.7,102846,12.4,16552,2,24466,3,2576,0.3,840709,101.7,1604449,194
33,City,Ahmedabad,152,6.1,182,7.3,3,0.1,20,0.8,161,6.5,120,4.8,41,1.6,24,1,0,0,96,3.9,914,36.8,4319,173.7,507,20.4,163,6.6,145,5.8,18,0.7,8143,327.4,14847,597
34,City,Bangalore,132,3.5,51,1.4,3,0.1,21,0.6,103,2.7,46,1.2,57,1.5,21,0.6,0,0,129,3.4,1750,46.7,7064,188.4,305,8.1,269,7.2,718,19.2,766,20.4,11701,312.1,23033,614.4
35,City,Bombay,446,4.1,285,2.7,5,0,107,1,303,2.8,187,1.7,116,1.1,83,0.8,31,0.3,871,8.1,2355,21.9,15161,141,250,2.3,776,7.2,1278,11.9,56,0.5,16295,151.6,38302,356.2
36,City,Calcutta,76,2.2,163,4.7,14,0.4,24,0.7,139,4,60,1.7,79,2.3,41,1.2,9,0.3,139,4,329,9.5,6320,182.3,609,17.6,312,9,536,15.5,72,2.1,4192,120.9,12975,374.2
37,City,Delhi,337,3.9,356,4.2,54,0.6,153,1.8,802,9.3,784,9.1,18,0.2,15,0.2,15,0.2,202,2.4,1444,16.8,11663,136,263,3.1,590,6.9,1218,14.2,35,0.4,12363,144.1,29510,344
38,City,Hyderabad,249,9.6,195,7.5,8,0.3,27,1,56,2.2,21,0.8,35,1.4,34,1.3,0,0,82,3.2,1371,53,3138,121.3,651,25.2,86,3.3,369,14.3,31,1.2,2470,95.5,8767,339
39,City,Jaipur,42,2.8,55,3.7,3,0.2,13,0.9,123,8.2,120,8,3,0.2,4,0.3,0,0,61,4.1,498,33.4,1533,102.7,996,66.8,130,8.7,438,29.4,8,0.5,2997,200.9,6901,462.5
40,City,Kanpur,159,8.5,186,10,37,2,28,1.5,166,8.9,142,7.6,24,1.3,41,2.2,9,0.5,115,6.2,639,34.3,1538,82.5,332,17.8,247,13.3,227,12.2,16,0.9,2029,108.9,5769,309.5
41,City,Lucknow,102,9.7,113,10.7,13,1.2,36,3.4,108,10.2,95,9,13,1.2,28,2.7,9,0.9,121,11.5,707,67.1,2460,233.4,267,25.3,223,21.2,400,38,3,0.3,2871,272.4,7461,707.9
42,City,Madras,92,2.2,0,0,2,0,20,0.5,40,0.9,40,0.9,0,0,3,0.1,1,0,120,2.8,851,20.1,6723,159.1,184,4.4,173,4.1,541,12.8,324,7.7,3298,78.1,12372,292.8
43,City,Nagpur,122,7.5,65,4,2,0.1,46,2.8,58,3.6,39,2.4,19,1.2,17,1,0,0,333,20.6,849,52.4,3084,190.4,213,13.1,120,7.4,183,11.3,12,0.7,4494,277.4,9598,592.5
44,City,Pune,83,5.2,54,3.4,4,0.3,22,1.4,63,3.9,41,2.6,22,1.4,9,0.6,1,0.1,126,7.9,789,49.4,2933,183.8,180,11.3,97,6.1,148,9.3,42,2.6,5741,359.7,10292,644.9
