SL. No.,Category,State/UT/City,Arms Act - Incidence (I),Arms Act - Volume (V),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Foreigners Registration Act - Incidence (I),Foreigners Registration Act - Volume (V),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Volume (V),Indian Passport Act - Incidence (I),Indian Passport Act - Volume (V),Essential Commodities Act - Incidence (I),Essential Commodities Act - Volume (V),Terrorist & Disruptive Activites Act - Incidence (I),Terrorist & Disruptive Activites Act - Volume (V),Antiquity & Art Treasure Act - Incidence (I),Antiquity & Art Treasure Act - Volume (V),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Volume (V),Other LSL Crimes - Incidence (I),Other LSL Crimes - Volume (V),Total Cognizable Crimes Under LSL - Incidence (I),Total Cognizable Crimes Under LSL - Volume (V)
11,State,Kerala,108,0.4,504,1.7,916,3.1,443,1.5,374,1.3,92,0.3,58,0.2,67,0.2,9,0,32,0.1,6,0,85,0.3,0,0,0,0,2,0,4255,14.3,6951,23.3
12,State,Madhya Pradesh,4343,6.8,897,1.4,15188,23.9,16202,25.5,30,0,496,0.8,5,0,21794,34.3,39,0.1,387,0.6,0,0,371,0.6,1,0,0,0,68,0.1,136254,214.7,196075,309
13,State,Maharashtra,1458,2,2051,2.8,37629,50.5,0,0,133074,178.5,212,0.3,927,1.2,5163,6.9,1102,1.5,213,0.3,5,0,456,0.6,0,0,0,0,176,0.2,323416,433.8,505882,678.5
14,State,Manipur,10,0.6,247,13.9,107,6,3228,182,0,0,5,0.3,1,0.1,0,0,33,1.9,0,0,21,1.2,17,1,51,2.9,0,0,0,0,96,5.4,3816,215.1
15,State,Meghalaya,31,1.8,6,0.4,85,5,9,0.5,0,0,5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,6.4,246,14.4
16,State,Mizoram,32,4.6,53,7.6,1,0.1,0,0,0,0,8,1.1,1,0.1,0,0,106,15.2,0,0,0,0,1,0.1,0,0,0,0,0,0,249,35.8,451,64.8
17,State,Nagaland,46,4.1,138,12.4,5,0.5,68,6.1,0,0,3,0.3,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,7.5,344,31
18,State,Orissa,139,0.4,91,0.3,928,3,117,0.4,2,0,70,0.2,8,0,25,0.1,0,0,74,0.2,0,0,162,0.5,0,0,0,0,261,0.8,667,2.1,2544,8.2
19,State,Punjab,2461,12.5,1360,6.9,1622,8.3,11155,56.8,0,0,102,0.5,1,0,364,1.9,1,0,0,0,96,0.5,154,0.8,26,0.1,0,0,1,0,268,1.4,17611,89.6
20,State,Rajasthan,2402,5.5,800,1.8,2391,5.5,2291,5.2,0,0,198,0.5,84,0.2,779,1.8,22,0.1,356,0.8,125,0.3,195,0.4,16,0,0,0,1,0,53317,121.6,62977,143.6
21,State,Sikkim,5,1.1,0,0,2,0.5,80,18.2,0,0,0,0,0,0,0,0,15,3.4,0,0,0,0,3,0.7,0,0,0,0,0,0,185,42,290,65.9
22,State,Tamil Nadu,126,0.2,1478,2.6,34516,61.7,0,0,325406,581.9,437,0.8,11160,20,177,0.3,6,0,778,1.4,184,0.3,15,0,0,0,2,0,333,0.6,566522,1013.1,941140,1683
23,State,Tripura,35,1.4,1,0,3,0.1,0,0,0,0,27,1.1,0,0,0,0,0,0,0,0,0,0,35,1.4,0,0,0,0,10,0.4,18,0.7,129,5.1
24,State,Uttar Pradesh,38695,28.7,2890,2.1,7524,5.6,30751,22.8,2,0,1584,1.2,242,0.2,5080,3.8,27,0,348,0.3,5,0,2154,1.6,17,0,2,0,296,0.2,114121,84.8,203738,151.4
25,State,West Bengal,599,0.9,390,0.6,6690,10.3,1898,2.9,315,0.5,171,0.3,31,0,3378,5.2,803,1.2,0,0,68,0.1,916,1.4,0,0,0,0,39,0.1,103206,158.3,118504,181.8
Total (States),State,Total (States),55986,6.9,12730,1.6,165769,20.3,90139,11,594727,72.9,5570,0.7,16093,2,39201,4.8,2289,0.3,3652,0.4,606,0.1,6401,0.8,2475,0.3,16,0,2151,0.3,2245391,275.2,3243196,397.5
26,UT,A & N Islands,0,0,7,2.4,14,4.9,1533,534.1,60,20.9,5,1.7,0,0,0,0,13,4.5,0,0,0,0,22,7.7,0,0,0,0,0,0,444,154.7,2098,731
27,UT,Chandigarh,42,5.7,18,2.5,106,14.4,62,8.4,0,0,0,0,0,0,0,0,2,0.3,0,0,0,0,1,0.1,8,1.1,0,0,0,0,75,10.2,314,42.8
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.3,0,0,0,0,0,0,23,17.6,26,19.8
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,2
30,UT,Delhi,2059,22.8,1421,15.7,2086,23.1,2359,26.1,0,0,23,0.3,192,2.1,242,2.7,52,0.6,4,0,0,0,87,1,15,0.2,0,0,4,0,853,9.5,9397,104.1
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,2,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.5,5,10.9
32,UT,Pondicherry,5,0.7,0,0,81,11,0,0,0,0,2,0.3,141,19.1,0,0,1,0.1,27,3.7,2,0.3,96,13,0,0,2,0.3,0,0,38168,5164.8,38525,5213.1
Total (UTs),UT,Total (UTs),2106,19,1446,13.1,2287,20.7,3954,35.8,62,0.6,30,0.3,333,3,242,2.2,68,0.6,31,0.3,2,0,210,1.9,23,0.3,2,0,4,0,39567,357.8,50367,455.4
Total (All -India),Total (All -India),Total (All -India),58092,7,14176,1.7,168056,20.3,94093,11.4,594789,71.9,5600,0.7,16426,2,39443,4.8,2357,0.3,3683,0.4,608,0.1,6611,0.8,2498,0.3,18,0,2155,0.3,2284958,276.3,3293563,398.3
33,City,Ahmedabad,26,1,26,1,2141,86.1,0,0,11358,456.7,10,0.4,2,0.1,0,0,5,0.2,0,0,0,0,87,3.5,0,0,0,0,0,0,5030,202.3,18685,751.3
34,City,Bangalore,8,0.2,69,1.8,333,8.9,266,7.1,0,0,10,0.3,436,11.6,1,0,16,0.4,36,1,2,0.1,216,5.8,0,0,0,0,97,2.6,277506,7402.1,278996,7441.9
35,City,Bombay,396,3.7,199,1.9,8243,76.7,0,0,13060,121.5,150,1.4,844,7.8,0,0,1065,9.9,1,0,0,0,7,0.1,0,0,0,0,2,0,291606,2712.1,315573,2935
36,City,Calcutta,51,1.5,315,9.1,5353,154.4,1832,52.8,0,0,48,1.4,26,0.7,9,0.3,0,0,0,0,0,0,103,3,0,0,0,0,0,0,92333,2663.2,100070,2886.4
37,City,Delhi,1914,22.3,1390,16.2,2020,23.5,2098,24.5,0,0,20,0.2,191,2.2,242,2.8,52,0.6,4,0,0,0,77,0.9,9,0.1,0,0,4,0,823,9.6,8844,103.1
38,City,Hyderabad,82,3.2,15,0.6,738,28.5,3010,116.4,0,0,4,0.2,85,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,211967,8196.7,215903,8348.9
39,City,Jaipur,156,10.5,24,1.6,120,8,29,1.9,0,0,10,0.7,8,0.5,0,0,4,0.3,8,0.5,0,0,13,0.9,5,0.3,0,0,0,0,69,4.6,446,29.9
40,City,Kanpur,2909,156.1,336,18,463,24.8,1722,92.4,0,0,95,5.1,130,7,2,0.1,0,0,18,1,0,0,76,4.1,1,0.1,0,0,0,0,785,42.1,6537,350.7
41,City,Lucknow,1210,114.8,72,6.8,200,19,188,17.8,0,0,17,1.6,7,0.7,1,0.1,0,0,14,1.3,0,0,35,3.3,0,0,0,0,0,0,231,21.9,1975,187.4
42,City,Madras,0,0,32,0.8,4471,105.8,0,0,14501,343.2,1,0,2825,66.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105387,2494.4,127217,3011.1
43,City,Nagpur,400,24.7,1756,108.4,406,25.1,0,0,4914,303.3,1,0.1,4,0.2,0,0,0,0,3,0.2,1,0.1,40,2.5,0,0,0,0,0,0,4477,276.4,12002,740.9
44,City,Pune,11,0.7,95,6,229,14.3,0,0,5276,330.6,3,0.2,4,0.3,0,0,37,2.3,1,0.1,0,0,5,0.3,0,0,0,0,137,8.6,3269,204.8,9067,568.1
