SL.No.,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction Total,Kidnapping and Abduction of Women & Girls,Kidnapping and Abduction of Others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Others IPC Crimes,Total Cog. Under IPC
8,Karnataka,Raichur,6,9,0,1,2,1,1,3,0,6,47,65,8,5,25,1,327,505
9,Karnataka,Tumkur,14,0,1,0,2,2,0,6,0,13,208,249,86,11,15,8,1041,1654
1,Kerala,Calicut,7,3,1,5,7,7,0,1,0,7,195,206,179,12,39,8,2333,3003
2,Kerala,Ernakulam,23,11,0,2,2,2,0,4,0,11,376,483,265,21,91,15,2363,3667
3,Kerala,Trivandrum,18,36,5,3,19,11,8,9,0,27,300,431,383,34,78,7,2341,3691
1,Madhya Pradesh,BhilaiDurg,53,76,7,89,53,47,6,4,0,126,548,2459,153,43,112,26,7033,10782
2,Madhya Pradesh,Bhopal,65,92,2,43,33,25,8,2,9,95,720,2014,93,15,81,0,8083,11347
3,Madhya Pradesh,Gwalior,48,94,4,28,27,18,9,4,2,90,601,861,146,23,52,1,3086,5067
4,Madhya Pradesh,Indore,64,385,1,35,55,55,0,17,1,100,1044,3271,112,61,105,0,6619,11870
5,Madhya Pradesh,Jabalpur,49,102,4,32,38,38,0,0,0,88,673,1490,101,10,84,0,5499,8170
1,Maharashtra,Aurangabad,18,14,0,7,24,16,8,8,0,58,453,1030,74,20,38,0,1009,2753
2,Maharashtra,Bombay,446,285,5,107,303,187,116,83,31,871,2355,15161,250,776,1278,56,16295,38302
3,Maharashtra,Malegaon,3,5,0,2,8,4,4,3,0,13,70,150,31,6,5,0,611,907
4,Maharashtra,Nagpur,122,65,2,46,58,39,19,17,0,333,849,3084,213,120,183,12,4494,9598
5,Maharashtra,Nasik,20,11,1,7,14,8,6,5,0,24,221,593,39,23,33,3,865,1859
6,Maharashtra,Pune,83,54,4,22,63,41,22,9,1,126,789,2933,180,97,148,42,5741,10292
7,Maharashtra,Solapur,26,14,0,6,10,7,3,0,0,10,116,259,21,12,25,14,687,1200
8,Maharashtra,Thane,153,60,1,30,76,45,31,50,5,191,1231,2198,360,127,118,5,2566,7171
1,Punjab,Amritsar,87,41,4,2,13,10,3,1,4,41,98,184,3,19,48,0,104,649
2,Punjab,Jalandhar,22,14,3,1,2,0,2,0,1,10,51,107,0,8,14,0,184,417
3,Punjab,Ludhiana,83,47,9,1,18,16,2,2,12,34,130,162,0,13,10,1,266,788
1,Rajasthan,Ajmer,20,32,2,3,31,31,0,0,0,5,141,204,98,22,70,3,644,1275
2,Rajasthan,Bharatpur,7,1,0,3,20,14,6,4,0,14,80,237,252,8,43,1,327,997
3,Rajasthan,Bikaner,6,0,0,2,7,7,0,0,0,2,81,151,61,6,39,0,462,817
4,Rajasthan,Jaipur,42,55,3,13,123,120,3,4,0,61,498,1533,996,130,438,8,2997,6901
5,Rajasthan,Jodhpur,18,45,1,5,36,28,8,2,0,21,154,317,213,35,100,4,958,1909
6,Rajasthan,Kota,24,130,0,20,78,78,0,2,0,37,283,523,189,35,122,0,1312,2755
7,Rajasthan,Udaipur,4,38,1,2,32,32,0,0,0,22,122,304,169,18,56,2,697,1467
1,Tamil Nadu,Coimbatore,23,56,0,2,23,23,0,1,0,15,244,1003,324,36,59,12,1863,3661
2,Tamil Nadu,Madras,92,0,2,20,40,40,0,3,1,120,851,6723,184,173,541,324,3298,12372
3,Tamil Nadu,Madurai,25,26,1,6,11,6,5,2,0,27,209,1014,69,25,79,22,1396,2912
4,Tamil Nadu,Salem,19,21,0,0,18,18,0,1,0,9,153,215,73,4,18,11,797,1339
5,Tamil Nadu,Trichy,22,15,0,4,6,6,0,3,0,7,207,890,43,37,69,13,758,2074
1,Uttar Pradesh,Agra,67,118,20,19,106,99,7,42,0,121,409,882,303,84,97,7,1049,3324
2,Uttar Pradesh,Aligarh,60,64,9,10,34,20,14,10,4,20,93,282,71,27,34,0,95,813
3,Uttar Pradesh,Allahabad,115,190,21,9,64,47,17,16,7,135,387,1096,141,94,80,10,1148,3513
4,Uttar Pradesh,Bareilly,63,52,14,16,38,35,3,9,0,66,166,506,59,63,46,0,493,1591
5,Uttar Pradesh,Gorakhpur,30,35,14,10,17,16,1,10,17,31,118,265,82,35,23,0,230,917
6,Uttar Pradesh,Kanpur,159,186,37,28,166,142,24,41,9,115,639,1538,332,247,227,16,2029,5769
7,Uttar Pradesh,Lucknow,102,113,13,36,108,95,13,28,9,121,707,2460,267,223,400,3,2871,7461
8,Uttar Pradesh,Meerut,100,111,19,18,60,35,25,15,27,132,313,1077,127,80,106,0,470,2655
9,Uttar Pradesh,Moradabad,36,47,24,39,36,36,0,13,0,39,108,304,114,19,5,0,287,1071
10,Uttar Pradesh,Varanasi,58,82,44,8,42,35,7,15,3,12,185,482,180,76,92,7,990,2276
1,West Bengal,Calcutta,76,163,14,24,139,60,79,41,9,139,329,6320,609,312,536,72,4192,12975
