SL. No.,Category,State/UT/City,Murder - 1989,Murder - 1990,Murder - Percentage Variation,Attempt to Commit Murder - 1989,Attempt to Commit Murder - 1990,Attempt to Commit Murder - Percentage Variation,C.H. Not Amounting to Murder - 1989,C.H. Not Amounting to Murder - 1990,C.H. Not Amounting to Murder - Percentage Variation,Rape - 1989,Rape - 1990,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1989,Kidnapping & Abduction - Total - 1990,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - Of Women & Girls - 1989,Kidnapping & Abduction - Of Women & Girls - 1990,Kidnapping & Abduction - Of Women & Girls - Percentage Variation,Kidnapping & Abduction - Of Others - 1989,Kidnapping & Abduction - Of Others - 1990,Kidnapping & Abduction - Of Others - Percentage Variation,Dacoity - 1989,Dacoity - 1990,Dacoity - Percentage Variation,Preparation & Assembly for Dacoity - 1989,Preparation & Assembly for Dacoity - 1990,Preparation & Assembly for Dacoity - Percentage Variation,Robbery - 1989,Robbery - 1990,Robbery - Percentage Variation,Burglary - 1989,Burglary - 1990,Burglary - Percentage Variation,Theft - 1989,Theft - 1990,Theft - Percentage Variation,Riots - 1989,Riots - 1990,Riots - Percentage Variation,Criminal Breach of Trust - 1989,Criminal Breach of Trust - 1990,Criminal Breach of Trust - Percentage Variation,Cheating - 1989,Cheating - 1990,Cheating - Percentage Variation,Counterfeiting - 1989,Counterfeiting - 1990,Counterfeiting - Percentage Variation,Other IPC Crimes - 1989,Other IPC Crimes - 1990,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1989,Total Cognizable Crimes Under IPC - 1990,Total Cognizable Crimes Under IPC - Percentage Variation
11,State,Kerala,495,554,11.9,369,280,-24.1,29,31,6.9,206,197,-4.4,116,137,18.1,74,101,36.5,42,36,-14.3,58,68,17.2,0,0,0,208,231,11.1,4776,4800,0.5,3882,4557,17.4,7430,6065,-18.4,470,378,-19.6,1447,1210,-16.4,200,271,35.5,47365,49919,5.4,67051,68698,2.5
12,State,Madhya Pradesh,2747,2904,5.7,2596,2979,14.8,131,189,44.3,2244,2302,2.6,1108,1307,18,994,1202,20.9,114,105,-7.9,273,333,22,101,94,-6.9,2223,2576,15.9,21179,24044,13.5,39071,43311,10.9,4606,4809,4.4,768,935,21.7,1481,1667,12.6,27,59,118.5,116628,122047,4.6,195183,209556,7.4
13,State,Maharashtra,2726,2795,2.5,1143,1193,4.4,49,49,0,825,875,6.1,1135,1181,4.1,880,793,-9.9,255,388,52.2,704,754,7.1,49,45,-8.2,3433,3426,-0.2,16490,16177,-1.9,59547,57152,-4,4772,5223,9.5,2603,2197,-15.6,2850,2930,2.8,190,216,13.7,92539,91439,-1.2,189055,185652,-1.8
14,State,Manipur,82,100,22,27,46,70.4,8,8,0,13,21,61.5,114,99,-13.2,103,85,-17.5,11,14,27.3,19,8,-57.9,1,0,-100,25,41,64,181,151,-16.6,521,289,-44.5,82,147,79.3,28,37,32.1,80,67,-16.3,2,13,550,1262,1233,-2.3,2445,2260,-7.6
15,State,Meghalaya,102,118,15.7,16,16,0,2,5,150,20,37,85,16,21,31.3,16,21,31.3,0,0,0,19,33,73.7,0,0,0,38,47,23.7,176,179,1.7,464,500,7.8,75,49,-34.7,20,21,5,40,38,5,0,3,@,763,649,-14.9,1751,1716,-2
16,State,Mizoram,29,27,-6.9,19,19,0,3,0,-100,47,56,19.1,8,12,50,0,0,0,8,12,50,14,11,-21.4,0,0,0,35,45,28.6,161,224,39.1,471,510,8.3,0,0,0,58,49,-15.5,73,75,2.7,1,4,300,719,580,-19.3,1638,1612,-1.6
17,State,Nagaland,50,71,42,14,26,85.7,11,8,-27.3,10,13,30,34,22,-35.3,12,6,-50,22,16,-27.3,13,32,146.2,3,0,-100,91,142,56,276,352,27.5,349,438,25.5,39,24,-38.5,44,35,-20.5,48,67,39.6,0,0,0,609,597,-2,1591,1827,14.8
18,State,Orissa,621,668,7.6,638,775,21.5,75,74,-1.3,196,249,27,303,319,5.3,303,319,5.3,0,0,0,191,248,29.8,0,0,0,598,659,10.2,4608,5198,12.8,9822,10694,8.9,1783,1914,7.3,407,435,6.9,393,379,-3.6,18,13,-27.8,24668,26322,6.7,44321,47947,8.2
19,State,Punjab,1667,2813,68.7,1171,1567,33.8,138,129,-6.5,81,55,-32.1,243,370,52.3,114,118,3.5,129,252,95.3,37,96,159.5,39,44,12.8,352,567,61.1,1413,1433,1.4,2195,2901,32.2,43,35,-18.6,200,224,12,323,293,-9.3,3,4,33.3,6261,5600,-10.6,14166,16131,13.9
20,State,Rajasthan,1135,1203,6,996,1210,21.5,55,61,10.9,721,740,2.6,2070,2107,1.8,1986,2018,1.6,84,89,6,97,86,-11.3,8,5,-37.5,1063,1070,0.7,7122,7527,5.7,14013,13922,-0.6,15298,16389,7.1,990,915,-7.6,3129,3473,11,39,39,0,52881,54481,3,99617,103228,3.6
21,State,Sikkim,6,9,50,2,2,0,0,0,0,5,6,20,2,2,0,2,2,0,0,0,0,0,0,0,0,1,@,3,10,233.3,50,53,6,106,81,-23.6,39,0,-100,3,12,300,15,18,20,0,0,0,149,179,20.1,380,373,-1.8
22,State,Tamil Nadu,1493,1649,10.4,1047,1120,7,29,27,-6.9,279,290,3.9,690,789,14.3,530,674,27.2,160,115,-28.1,98,148,51,1,1,0,423,546,29.1,8421,8259,-1.9,24859,27718,11.5,8732,8138,-6.8,819,662,-19.2,1415,1448,2.3,306,533,74.2,77463,77201,-0.3,126075,128529,1.9
23,State,Tripura,154,159,3.2,37,58,56.8,1,2,100,66,76,15.2,84,82,-2.4,29,74,155.2,55,8,-85.5,95,93,-2.1,1,1,0,120,176,46.7,689,739,7.3,998,1061,6.3,505,538,6.5,16,19,18.8,16,20,25,1,1,0,2580,2627,1.8,5363,5652,5.4
24,State,Uttar Pradesh,7594,8151,7.3,7312,8284,13.3,2051,2213,7.9,1468,1541,5,4043,3878,-4.1,3108,3099,-0.3,935,779,-16.7,2494,2864,14.8,381,680,78.5,6984,7368,5.5,19407,18626,-4,44691,46949,5.1,9818,11696,19.1,3562,3692,3.6,2899,3169,9.3,120,95,-20.8,60056,74779,24.5,172880,193985,12.2
25,State,West Bengal,1621,1610,-0.7,610,525,-13.9,496,518,4.4,575,561,-2.4,586,938,60.1,561,672,19.8,25,266,964,564,585,3.7,71,152,114.1,862,851,-1.3,2185,1551,-29,29981,29311,-2.2,7498,6676,-11,932,825,-11.5,1037,964,-7,96,113,17.7,21295,21464,0.8,68409,66644,-2.6
Total (States),State,Total (States),30805,34573,12.2,23352,26664,14.2,4039,4205,4.1,9579,9863,3,16383,17530,7,13307,13568,2,3076,3962,28.8,9878,11061,12,991,1265,27.6,22227,25183,13.3,126863,129303,1.9,326816,339026,3.7,98518,102203,3.7,16847,15853,-5.9,22517,23128,2.7,2036,2530,24.3,781793,823642,5.4,1492644,1566029,4.9
26,UT,A & N Islands,11,18,63.6,5,7,40,1,1,0,6,3,-50,15,8,-46.7,13,7,-46.2,2,1,-50,0,1,@,0,0,0,2,1,-50,103,85,-17.5,182,119,-34.6,38,35,-7.9,11,8,-27.3,5,5,0,0,0,0,765,628,-17.9,1144,919,-19.7
27,UT,Chandigarh,17,30,76.5,7,17,142.9,1,3,200,7,11,57.1,19,31,63.2,16,19,18.8,3,12,300,0,0,0,0,0,0,10,10,0,186,137,-26.3,817,788,-3.5,12,78,550,24,18,-25,37,53,43.2,0,2,@,568,606,6.7,1705,1784,4.6
28,UT,D & N Haveli,6,6,0,4,1,-75,2,0,-100,2,4,100,2,6,200,1,4,300,1,2,100,0,3,@,0,0,0,5,5,0,36,26,-27.8,59,82,39,13,22,69.2,3,8,166.7,1,1,0,0,1,@,219,315,43.8,352,480,36.4
29,UT,Daman & Diu,2,4,100,1,0,-100,0,1,@,0,0,0,0,2,@,0,1,@,0,1,@,0,0,0,0,0,0,1,1,0,12,17,41.7,30,29,-3.3,15,37,146.7,2,2,0,2,0,-100,0,2,@,82,109,32.9,147,204,38.8
30,UT,Delhi,342,390,14,359,386,7.5,57,70,22.8,152,177,16.4,877,886,1,813,841,3.4,64,45,-29.7,13,17,30.8,24,21,-12.5,214,226,5.6,1559,1552,-0.4,12346,12206,-1.1,151,300,98.7,633,644,1.7,1105,1254,13.5,33,35,6.1,12658,13684,8.1,30523,31848,4.3
31,UT,Lakshadweep,0,0,0,1,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,-12.5,12,6,-50,27,3,-88.9,2,2,0,0,0,0,0,0,0,41,12,-70.7,91,30,-67
32,UT,Pondicherry,39,24,-38.5,19,20,5.3,0,1,@,6,10,66.7,22,11,-50,19,6,-68.4,3,5,66.7,5,7,40,0,0,0,21,14,-33.3,253,204,-19.4,978,935,-4.4,169,168,-0.6,19,17,-10.5,24,25,4.2,6,6,0,1677,1713,2.1,3238,3155,-2.6
Total (UTs),UT,Total (UTs),417,472,13.2,396,431,8.8,61,76,24.6,173,205,18.5,935,944,1,862,878,1.9,73,66,-9.6,18,28,55.6,24,21,-12.5,253,257,1.6,2157,2028,-6,14424,14165,-1.8,425,643,51.3,694,699,0.7,1174,1338,14,39,46,17.9,16010,17067,6.6,37200,38420,3.3
Total (All -India),Total (All -India),Total (All -India),31222,35045,12.2,23748,27095,14.1,4100,4281,4.4,9752,10068,3.2,17318,18474,6.7,14169,14446,2,3149,4028,27.9,9896,11089,12.1,1015,1286,26.7,22480,25440,13.2,129020,131331,1.8,341240,353191,3.5,98943,102846,3.9,17541,16552,-5.6,23691,24466,3.3,2075,2576,24.1,797803,840709,5.4,1529844,1604449,4.9
33,City,Ahmedabad,96,152,58.3,114,182,59.6,3,3,0,13,20,53.8,125,161,28.8,97,120,23.7,28,41,46.4,16,24,50,0,0,0,94,96,2.1,810,914,12.8,4186,4319,3.2,183,507,177,124,163,31.5,163,145,-11,20,18,-10,7417,8143,9.8,13364,14847,11.1
34,City,Bangalore,111,132,18.9,43,51,18.6,1,3,200,31,21,-32.3,80,103,28.8,27,46,70.4,53,57,7.5,19,21,10.5,0,0,0,188,129,-31.4,1712,1750,2.2,7399,7064,-4.5,241,305,26.6,326,269,-17.5,727,718,-1.2,657,766,16.6,11572,11701,1.1,23107,23033,-0.3
35,City,Bombay,375,446,18.9,197,285,44.7,4,5,25,108,107,-0.9,267,303,13.5,201,187,-7,66,116,75.8,56,83,48.2,28,31,10.7,670,871,30,2282,2355,3.2,14802,15161,2.4,261,250,-4.2,1028,776,-24.5,1196,1278,6.9,47,56,19.1,15988,16295,1.9,37309,38302,2.7
36,City,Calcutta,60,76,26.7,169,163,-3.6,24,14,-41.7,27,24,-11.1,110,139,26.4,85,60,-29.4,25,79,216,28,41,46.4,2,9,350,155,139,-10.3,375,329,-12.3,6973,6320,-9.4,580,609,5,321,312,-2.8,478,536,12.1,56,72,28.6,4380,4192,-4.3,13738,12975,-5.6
37,City,Delhi,295,337,14.2,319,356,11.6,31,54,74.2,137,153,11.7,797,802,0.6,750,784,4.5,47,18,-61.7,11,15,36.4,21,15,-28.6,200,202,1,1450,1444,-0.4,11805,11663,-1.2,133,263,97.7,599,590,-1.5,1069,1218,13.9,33,35,6.1,11567,12363,6.9,28467,29510,3.7
38,City,Hyderabad,123,249,102.4,97,195,101,9,8,-11.1,16,27,68.8,47,56,19.1,47,21,-55.3,0,35,@,13,34,161.5,0,0,0,59,82,39,1367,1371,0.3,3241,3138,-3.2,306,651,112.7,60,86,43.3,424,369,-13,29,31,6.9,2272,2470,8.7,8063,8767,8.7
39,City,Jaipur,36,42,16.7,25,55,120,1,3,200,19,13,-31.6,124,123,-0.8,122,120,-1.6,2,3,50,1,4,300,3,0,-100,35,61,74.3,424,498,17.5,1480,1533,3.6,827,996,20.4,132,130,-1.5,255,438,71.8,15,8,-46.7,2892,2997,3.6,6269,6901,10.1
40,City,Kanpur,121,159,31.4,146,186,27.4,28,37,32.1,18,28,55.6,163,166,1.8,138,142,2.9,25,24,-4,38,41,7.9,8,9,12.5,115,115,0,539,639,18.6,1651,1538,-6.8,174,332,90.8,255,247,-3.1,229,227,-0.9,39,16,-59,2002,2029,1.3,5526,5769,4.4
41,City,Lucknow,96,102,6.3,73,113,54.8,30,13,-56.7,30,36,20,113,108,-4.4,102,95,-6.9,11,13,18.2,28,28,0,12,9,-25,119,121,1.7,604,707,17.1,2228,2460,10.4,313,267,-14.7,228,223,-2.2,270,400,48.1,5,3,-40,1187,2871,141.9,5336,7461,39.8
42,City,Madras,62,92,48.4,0,0,0,7,2,-71.4,25,20,-20,33,40,21.2,33,40,21.2,0,0,0,3,3,0,0,1,@,87,120,37.9,461,851,84.6,4415,6723,52.3,162,184,13.6,187,173,-7.5,475,541,13.9,199,324,62.8,8052,3298,-59,14168,12372,-12.7
43,City,Nagpur,126,122,-3.2,52,65,25,1,2,100,50,46,-8,74,58,-21.6,57,39,-31.6,17,19,11.8,20,17,-15,0,0,0,323,333,3.1,856,849,-0.8,2612,3084,18.1,241,213,-11.6,99,120,21.2,222,183,-17.6,28,12,-52.1,4664,4494,-3.6,9368,9598,2.5
44,City,Pune,81,83,2.5,65,54,-16.9,5,4,-20,28,22,-21.4,47,63,34,38,41,7.9,9,22,144.4,21,9,-57.1,2,1,-50,168,126,-25,872,789,-9.5,2887,2933,1.6,291,180,-38.1,93,97,4.3,137,148,8,20,42,110,5663,5741,1.4,10380,10292,-0.8
