SL. No.,Category,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs and Psychotropic Substances Act - Male,Narcotic Drugs and Psychotropic Substances Act - Female,Narcotic Drugs and Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives and Explosive Substances Act - Male,Explosives and Explosive Substances Act - Female,Explosives and Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Foreigners Registration Act - Male,Foreigners Registration Act - Female,Foreigners Registration Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Other LSL Crimes - Male,Other LSL Crimes - Female,Other LSL Crimes - Total,Total Cognizable Crimes Under LSL - Male,Total Cognizable Crimes Under LSL - Female,Total Cognizable Crimes Under LSL - Total
17,State,Nagaland,57,2,59,153,23,176,5,0,5,66,24,90,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,8,118,395,60,455
18,State,Orissa,149,0,149,88,0,88,4338,0,4338,169,7,176,0,0,0,68,0,68,4,5,9,103,0,103,0,0,0,74,0,74,0,0,0,167,0,167,0,0,0,0,0,0,240,8,248,1138,0,1138,6538,20,6558
19,State,Punjab,2434,24,2458,1381,20,1401,3243,0,3243,11052,545,11597,0,0,0,51,0,51,1,1,2,382,4,386,0,0,0,0,0,0,144,61,205,226,0,226,42,0,42,0,0,0,5,0,5,383,2,385,19344,657,20001
20,State,Rajasthan,2404,2,2406,925,12,937,4979,0,4979,2429,53,2482,0,0,0,240,0,240,27,11,38,907,0,907,16,1,17,487,0,487,167,1,168,174,0,174,60,0,60,0,0,0,1,0,1,51985,96,52081,64801,176,64977
21,State,Sikkim,8,3,11,0,0,0,12,0,12,15,65,80,0,0,0,0,0,0,0,0,0,0,0,0,40,3,43,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,234,0,234,312,71,383
22,State,Tamil Nadu,241,0,241,1334,98,1432,41223,3,41226,0,0,0,275392,42461,317853,671,7,678,145,11042,11187,839,81,920,11,0,11,1072,46,1118,190,0,190,31,0,31,0,0,0,3,0,3,546,213,759,523375,47923,571298,845073,101874,946947
23,State,Tripura,59,0,59,2,0,2,21,0,21,0,0,0,0,0,0,43,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,10,2,12,23,0,23,193,2,195
24,State,Uttar Pradesh,38489,87,38576,2840,55,2895,32854,5,32859,32157,352,32509,14,0,14,1656,15,1671,242,183,425,3053,0,3053,29,6,35,754,3,757,4,0,4,2538,3,2541,38,0,38,1,0,1,621,74,695,149557,481,150038,264847,1264,266111
25,State,West Bengal,922,0,922,461,19,480,20906,0,20906,2916,21,2937,311,0,311,211,0,211,37,178,215,3831,77,3908,1359,206,1565,0,0,0,106,9,115,1065,8,1073,0,0,0,0,0,0,49,22,71,175914,272,176186,208088,812,208900
Total (States),State,Total (States),59237,210,59447,13672,447,14119,363121,338,363459,92990,4850,97840,526148,76617,602765,5540,34,5574,2056,16464,18520,38429,209,38638,3347,588,3935,7173,327,7500,861,83,944,8151,45,8196,2437,18,2455,33,1,34,3765,831,4596,2304182,92006,2396188,3431142,193068,3624210
26,UT,A & N Islands,0,0,0,10,0,10,87,0,87,1068,497,1565,72,0,72,4,1,5,0,0,0,0,0,0,148,13,161,0,0,0,0,0,0,19,3,22,0,0,0,0,0,0,0,0,0,922,2,924,2330,516,2846
27,UT,Chandigarh,44,1,45,17,0,17,231,0,231,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,73,0,73,454,1,455
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,25,0,25,32,0,32
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
30,UT,Delhi,2354,0,2354,1394,56,1450,5483,3,5486,3087,268,3355,0,0,0,43,0,43,82,518,600,229,0,229,60,2,62,5,1,6,0,0,0,128,0,128,42,0,42,0,0,0,4,2,6,1974,188,2162,14885,1038,15923
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
32,UT,Pondicherry,6,0,6,0,0,0,267,0,267,0,0,0,0,0,0,2,0,2,189,425,614,0,0,0,1,0,1,52,3,55,0,0,0,70,32,102,0,0,0,0,0,0,0,0,0,41461,79,41540,42048,539,42587
Total (UTs),UT,Total (UTs),2404,1,2405,1421,56,1477,6068,3,6071,4231,765,4996,74,0,74,49,1,50,271,943,1214,229,0,229,212,15,227,57,4,61,0,0,0,224,35,259,53,0,53,0,0,0,4,2,6,44455,269,44724,59752,2094,61846
Total (All -India),Total (All -India),Total (All -India),61641,211,61852,15093,503,15596,369189,341,369530,97221,5615,102836,526222,76617,602839,5589,35,5624,2327,17407,19734,38658,209,38867,3559,603,4162,7230,331,7561,861,83,944,8375,80,8455,2490,18,2508,33,1,34,3769,833,4602,2348637,92275,2440912,3490894,195162,3686056
33,City,Ahmedabad,40,0,40,34,3,37,7953,2,7955,0,0,0,11441,1336,12777,35,0,35,16,24,40,0,0,0,10,3,13,0,0,0,0,0,0,94,0,94,0,0,0,0,0,0,0,0,0,6839,725,7564,26462,2093,28555
34,City,Bangalore,5,0,5,65,15,80,927,0,927,306,23,329,0,0,0,7,0,7,113,487,600,1,0,1,12,1,13,37,6,43,2,1,3,215,1,216,0,0,0,0,0,0,125,35,160,243929,6,243935,245744,575,246319
35,City,Bombay,381,50,431,401,53,454,42741,210,42951,0,0,0,9464,776,10240,163,0,163,1101,662,1763,0,0,0,967,172,1139,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,280127,30165,310292,335359,32088,367447
36,City,Calcutta,45,0,45,340,19,359,18386,0,18386,2809,21,2830,0,0,0,76,0,76,21,172,193,13,0,13,0,0,0,0,0,0,0,0,0,115,8,123,0,0,0,0,0,0,0,0,0,162558,226,162784,184363,446,184809
37,City,Delhi,2320,0,2320,1382,55,1437,5471,3,5474,2940,259,3199,0,0,0,40,0,40,82,518,600,229,0,229,60,2,62,5,1,6,0,0,0,101,0,101,35,0,35,0,0,0,4,2,6,1919,185,2104,14588,1025,15613
38,City,Hyderabad,117,0,117,25,0,25,1428,0,1428,2745,157,2902,0,0,0,3,0,3,22,110,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,209592,2600,212192,213935,2868,216803
39,City,Jaipur,150,0,150,21,0,21,313,0,313,30,0,30,0,0,0,26,0,26,7,5,12,0,0,0,4,0,4,1,0,1,0,0,0,7,0,7,20,0,20,0,0,0,0,0,0,87,0,87,666,5,671
40,City,Kanpur,2851,68,2919,302,31,333,1968,0,1968,1692,39,1731,0,0,0,86,0,86,51,79,130,5,0,5,0,0,0,22,0,22,0,0,0,53,2,55,6,0,6,0,0,0,0,0,0,765,33,798,7801,252,8053
41,City,Lucknow,1206,0,1206,72,0,72,876,0,876,186,10,196,0,0,0,14,0,14,11,9,20,1,0,1,0,0,0,16,0,16,0,0,0,49,0,49,0,0,0,0,0,0,0,0,0,250,0,250,2681,19,2700
42,City,Madras,0,0,0,40,0,40,8252,0,8252,0,0,0,9998,4522,14520,1,0,1,0,2825,2825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70484,36979,107463,88775,44326,133101
43,City,Nagpur,400,0,400,385,43,428,4999,11,5010,0,0,0,4973,66,5039,1,0,1,4,14,18,0,0,0,0,0,0,3,0,3,1,0,1,41,0,41,0,0,0,0,0,0,0,0,0,4436,48,4484,15243,182,15425
44,City,Pune,20,0,20,116,3,119,997,2,999,0,0,0,5070,1042,6112,3,0,3,0,4,4,0,0,0,38,0,38,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,305,45,350,3057,204,3261,9617,1300,10917
