SL. No.,Category,State/UT/City,Murder - Male (M),Murder - Female (F),Murder - Total,Attempt to Commit Murder - Male (M),Attempt to Commit Murder - Female (F),Attempt to Commit Murder - Total,C.H. Not Amounting to Murder - Male (M),C.H. Not Amounting to Murder - Female (F),C.H. Not Amounting to Murder - Total,Rape - Male (M),Rape - Female (F),Rape - Total,Kidnapping & Abduction - Total - Male (M),Kidnapping & Abduction - Total - Female (F),Kidnapping & Abduction - Total - Total,Kidnapping & Abduction - Of Women & Girls - Male (M),Kidnapping & Abduction - Of Women & Girls - Female (F),Kidnapping & Abduction - Of Women & Girls - Total,Kidnapping & Abduction - Of Others - Male (M),Kidnapping & Abduction - Of Others - Female (F),Kidnapping & Abduction - Of Others - Total,Dacoity - Male (M),Dacoity - Female (F),Dacoity - Total,Preparation & Assembly for Dacoity - Male (M),Preparation & Assembly for Dacoity - Female (F),Preparation & Assembly for Dacoity - Total,Robbery - Male (M),Robbery - Female (F),Robbery - Total,Burglary - Male (M),Burglary - Female (F),Burglary - Total,Theft - Male (M),Theft - Female (F),Theft - Total,Riots - Male (M),Riots - Female (F),Riots - Total,Criminal Breach of Trust - Male (M),Criminal Breach of Trust - Female (F),Criminal Breach of Trust - Total,Cheating - Male (M),Cheating - Female (F),Cheating - Total,Counterfeiting - Male (M),Counterfeiting - Female (F),Counterfeiting - Total,Other IPC Crimes - Male (M),Other IPC Crimes - Female (F),Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male (M),Total Cognizable Crimes Under IPC - Female (F),Total Cognizable Crimes Under IPC - Total
15,State,Meghalaya,152,1,153,24,1,25,4,0,4,44,0,44,26,0,26,26,0,26,0,0,0,50,0,50,0,0,0,55,0,55,157,5,162,530,7,537,139,14,153,22,0,22,38,0,38,0,0,0,810,32,842,2051,60,2111
16,State,Mizoram,31,0,31,11,0,11,0,0,0,38,0,38,11,0,11,0,0,0,11,0,11,10,0,10,0,0,0,20,0,20,106,0,106,297,10,307,0,0,0,23,0,23,41,0,41,0,0,0,667,16,683,1255,26,1281
17,State,Nagaland,50,2,52,14,0,14,6,0,6,12,0,12,19,3,22,7,0,7,12,3,15,28,2,30,0,0,0,168,7,175,279,12,291,388,13,401,77,0,77,29,1,30,51,1,52,0,0,0,657,14,671,1778,55,1833
18,State,Orissa,1375,38,1413,1825,20,1845,100,2,102,339,0,339,366,1,367,366,1,367,0,0,0,838,0,838,0,0,0,858,0,858,4844,11,4855,10519,140,10659,14947,137,15084,468,0,468,397,2,399,9,0,9,45174,280,45454,82059,631,82690
19,State,Punjab,1470,67,1537,1436,15,1451,206,13,219,92,6,98,274,20,294,107,17,124,167,3,170,85,0,85,191,1,192,267,0,267,548,4,552,1568,12,1580,63,0,63,195,0,195,331,23,354,4,0,4,8822,346,9168,15552,507,16059
20,State,Rajasthan,2259,125,2384,2476,54,2530,124,1,125,731,4,735,1420,36,1456,1257,36,1293,163,0,163,261,2,263,22,0,22,1174,10,1184,4169,34,4203,6920,143,7063,49971,2425,52396,298,5,303,1117,32,1149,0,0,0,76065,2005,78070,147007,4876,151883
21,State,Sikkim,12,2,14,1,0,1,0,0,0,6,0,6,2,0,2,2,0,2,0,0,0,0,0,0,5,0,5,14,1,15,47,2,49,57,3,60,0,0,0,13,1,14,30,1,31,0,0,0,257,14,271,444,24,468
22,State,Tamil Nadu,3789,223,4012,4654,233,4887,40,1,41,433,12,445,991,99,1090,866,90,956,125,9,134,458,6,464,7,0,7,746,3,749,5644,105,5749,17534,581,18115,57635,4530,62165,438,3,441,718,28,746,99,2,101,102929,8198,111127,196115,14024,210139
23,State,Tripura,413,11,424,95,0,95,2,1,3,144,0,144,127,1,128,119,1,120,8,0,8,272,0,272,5,0,5,238,0,238,378,1,379,603,23,626,1474,43,1517,20,0,20,31,0,31,1,0,1,2924,113,3037,6727,193,6920
24,State,Uttar Pradesh,22389,209,22598,16737,63,16800,5953,60,6013,2316,16,2332,6973,185,7158,5600,174,5774,1373,11,1384,10006,4,10010,2437,0,2437,10810,4,10814,16462,131,16593,24121,123,24244,71242,400,71642,3217,5,3222,3472,22,3494,161,0,161,128126,998,129124,324422,2220,326642
25,State,West Bengal,2945,111,3056,1090,36,1126,819,49,868,916,0,916,1368,35,1403,989,29,1018,379,6,385,2475,22,2497,721,0,721,1316,9,1325,1673,3,1676,21390,264,21654,31428,268,31696,698,6,704,841,6,847,63,0,63,27476,995,28471,95219,1804,97023
Total (States),State,Total (States),77036,2428,79646,63419,1159,64578,9420,227,9647,13951,85,14036,24108,944,25052,18051,770,18821,6057,174,6231,35141,136,35277,5021,2,5023,33252,127,33379,89105,1087,90192,206229,4918,211147,546993,16305,563298,15221,172,15393,19662,406,20068,1057,15,1072,1186594,45499,1232093,2326209,73510,2399719
26,UT,A & N Islands,14,3,17,5,0,5,1,0,1,2,0,2,12,0,12,11,0,11,1,0,1,0,0,0,0,0,0,0,0,0,38,0,38,44,0,44,157,23,180,12,0,12,10,0,10,0,0,0,755,49,804,1050,75,1125
27,UT,Chandigarh,28,3,31,19,2,21,6,0,6,16,1,17,11,3,14,5,2,7,6,1,7,0,0,0,0,0,0,12,0,12,46,1,47,333,8,341,142,0,142,6,0,6,36,1,37,0,0,0,1135,16,1151,1790,35,1825
28,UT,D & N Haveli,13,0,13,3,0,3,0,0,0,6,0,6,4,0,4,3,0,3,1,0,1,0,0,0,0,0,0,2,0,2,13,1,14,72,0,72,117,0,117,9,0,9,0,0,0,0,0,0,353,39,392,592,40,632
29,UT,Daman & Diu,28,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,5,5,0,5,177,2,179,1,0,1,1,0,1,0,0,0,102,9,111,323,16,339
30,UT,Delhi,745,42,787,968,20,988,259,3,262,301,8,309,519,34,553,405,31,436,114,3,117,72,0,72,102,0,102,448,0,448,1391,8,1399,6339,127,6466,2379,100,2479,757,69,826,1443,65,1508,28,1,29,15569,771,16340,31320,1248,32568
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
32,UT,Pondicherry,60,5,65,102,1,103,3,0,3,12,0,12,9,0,9,6,0,6,3,0,3,12,0,12,0,0,0,10,0,10,61,7,68,307,8,315,1132,71,1203,15,0,15,13,2,15,2,0,2,2580,389,2969,4318,483,4801
Total (UTs),UT,Total (UTs),888,58,946,1097,23,1120,269,3,272,337,9,346,555,37,592,430,33,463,125,4,129,84,0,84,102,0,102,476,0,476,1554,17,1571,7101,143,7244,4104,196,4300,800,69,869,1503,68,1571,30,1,31,20494,1273,21767,39394,1897,41291
Total (All -India),Total (All -India),Total (All -India),77924,2486,80410,64516,1182,65698,9689,230,9919,14288,94,14382,24663,981,25644,18481,803,19284,6182,178,6360,35225,136,35361,5123,2,5125,33728,127,33855,90659,1104,91763,213330,5061,218391,551097,16501,567598,16021,241,16262,21165,474,21639,1087,16,1103,1207088,46772,1253860,2365603,75407,2441010
33,City,Ahmedabad,348,18,366,697,2,699,4,0,4,22,2,24,199,11,210,123,7,130,76,4,80,108,0,108,0,0,0,123,0,123,504,12,516,1395,72,1467,2241,63,2304,142,4,146,114,5,119,0,0,0,10245,734,10979,16142,923,17065
34,City,Bangalore,239,11,250,116,4,120,3,0,3,38,0,38,54,2,56,27,2,29,27,0,27,26,0,26,0,0,0,147,0,147,764,6,770,1990,86,2076,1019,66,1085,153,5,158,299,9,308,1,2,1,9518,304,9822,14367,493,14860
35,City,Bombay,892,38,930,678,16,694,6,3,9,154,5,159,316,16,332,208,12,220,108,4,112,306,0,306,155,0,155,771,7,778,1020,33,1053,4248,226,4474,2410,226,2636,620,19,639,611,20,631,15,0,17,19572,936,20508,31774,1547,33321
36,City,Calcutta,42,10,52,95,3,98,15,0,15,17,0,17,135,11,146,61,5,66,74,6,80,62,0,62,27,0,27,152,4,156,394,3,397,5952,21,5973,1753,0,1753,149,0,149,331,1,332,9,0,9,5869,51,5920,15002,104,15106
37,City,Delhi,725,40,765,939,19,958,245,2,247,293,0,293,488,32,520,379,30,409,109,2,111,68,0,68,92,0,92,440,0,440,1314,8,1322,6227,124,6351,2241,99,2340,725,67,792,1391,63,1454,27,0,27,15083,736,15819,30298,1190,31488
38,City,Hyderabad,159,1,160,245,4,249,3,0,3,32,0,32,37,18,55,0,18,18,37,0,37,37,0,37,0,0,0,56,0,56,522,1,523,1093,5,1098,933,9,942,34,0,34,180,18,198,0,0,0,1981,87,2068,5312,143,5455
39,City,Jaipur,49,0,49,61,0,61,0,0,0,14,0,14,45,0,45,42,0,42,3,0,3,7,0,7,0,0,0,69,0,69,218,2,220,390,6,396,2481,43,2524,26,1,27,90,2,92,0,0,0,2701,21,2722,6151,75,6226
40,City,Kanpur,316,9,325,371,2,373,61,0,61,38,0,38,192,0,192,165,0,165,27,0,27,165,0,165,10,0,10,111,0,111,498,0,498,404,2,406,875,8,883,113,2,115,201,3,204,0,0,0,2752,68,2820,6107,94,6201
41,City,Lucknow,254,5,259,185,1,186,23,1,24,38,1,39,162,4,166,141,4,145,21,0,21,60,0,60,44,0,44,94,0,94,236,0,236,544,13,557,1138,6,1144,96,1,97,153,3,156,1,0,1,2874,145,3019,5902,180,6082
42,City,Madras,154,6,160,0,0,0,2,0,2,27,0,27,60,0,60,60,0,60,0,0,0,12,0,12,7,0,7,73,0,73,421,0,421,3004,95,3399,1390,0,1390,12,0,12,20,5,25,0,0,0,4189,2454,6643,9671,2560,12231
43,City,Nagpur,251,3,254,106,0,106,2,0,2,76,0,76,59,1,60,44,1,45,15,0,15,57,0,57,0,0,0,267,2,269,292,2,294,959,5,964,948,21,969,88,1,89,193,4,197,0,0,0,4125,20,4145,7423,59,7482
44,City,Pune,189,7,196,152,0,152,1,2,3,35,0,35,92,1,93,45,1,46,47,0,47,31,0,31,5,0,5,200,1,201,530,6,536,1500,168,1668,1204,48,1252,114,4,118,186,5,191,2,0,2,8111,995,9106,12352,1237,13589
